gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XIST	25.00577435107191	-7.402999397618533	0.48747327102094556	-15.18647244414852	4.34691253389746e-52	5.011120769076991e-48
HLA-DRB5	13.02224148741684	-5.6298907558432	0.4598100838201474	-12.243947999290302	1.8100889602621587e-34	1.0433352766951083e-30
RNF144B	63.99477382675281	-1.2726021697505177	0.11617827005671777	-10.953874327180447	6.3664966551023875e-28	2.4464324480006775e-24
AC058791.1	18.403856671649937	2.4111758022626777	0.2508470750312313	9.612134412818957	7.106042060935405e-22	2.0479613219615838e-18
PSMA6	82.35120377249699	-0.8982274953505983	0.09379223718698969	-9.57677865770319	1.0011892776546612e-21	2.3083419985605867e-18
JCHAIN	6.05588131432241	5.806356258635534	0.6128473233130709	9.474392785541102	2.6831668303244627e-21	4.917915627265574e-18
BASP1	117.961976249409	-1.1335039192557725	0.11978003265152931	-9.463212642072195	2.986243007534613e-21	4.917915627265574e-18
ETS1	30.71735547118996	2.87216057186741	0.30912447758626166	9.29127513386878	1.524508205380657e-20	2.1968163239535267e-17
ACSL1	79.57609288810276	-1.0439622529758514	0.1156147506343349	-9.029663146337478	1.7220104676744089e-19	2.2057040745945095e-16
GCC2	30.082641792287614	1.4443052385941944	0.16134906431829335	8.951432378591381	3.5089903810931937e-19	4.0451641113242336e-16
IGHA1	6.038547359095321	5.505959661318936	0.6182823823663974	8.905250769471344	5.326549787489287e-19	5.582224177288773e-16
TNRC6B	22.625698455194208	2.15115659188059	0.24461699619435098	8.793978445273163	1.4435528096352454e-18	1.3867730657895925e-15
PDLIM5	25.666746786889146	-1.2759092927417932	0.14536853353953652	-8.777066547175277	1.6779372550494007e-18	1.4879431289391916e-15
CNOT6L	20.12723974945027	2.136106247937546	0.24366368299911229	8.766617255577344	1.8411435187508614e-18	1.5160501774399951e-15
SESN3	16.670821226995717	2.677301627944262	0.30988759601597887	8.63958952331287	5.641534381833108e-18	4.335707223584804e-15
TSPYL2	18.880510798400895	1.6394000320246986	0.1929730849395252	8.495485432792151	1.9710737453884702e-17	1.4201586335523928e-14
