gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AL627309.5	0.744859256446484	-0.1196392787065	5.8984728849638115	-0.0202830937837284	0.9838175422199432	0.9999034288695854
LINC01409	1.0632350854744168	-2.3558511622918377	5.126814310161658	-0.4595156016519649	0.645863950955077	0.9999034288695854
LINC01128	2.0752220484774773	1.6882721221658086	3.6429114037143933	0.46344034621440666	0.6430487646243418	0.9999034288695854
LINC00115	2.1547321025604567	1.7167941106418156	3.6711317562925787	0.46764709757395917	0.6400369785210858	0.9999034288695854
NOC2L	8.93797546466179	0.18009543574297215	1.7848615462013468	0.10090162798692281	0.919628550758962	0.9999034288695854
KLHL17	1.8830071578319332	0.2156483601421928	3.7131601113379946	0.05807677387347738	0.9536874749233647	0.9999034288695854
HES4	42.843435629292586	1.4036664439894417	1.0587927905855739	1.3257234621073806	0.18493131300659338	0.9999034288695854
ISG15	50.10854899562375	-0.4717626300071509	0.8628369382781962	-0.5467575726979887	0.5845452949070697	0.9999034288695854
C1orf159	1.489718512892968	-0.16855873756028303	4.417771778774658	-0.03815469562509532	0.9695643422254033	0.9999034288695854
SDF4	25.39878508430742	0.49751257386545183	1.0941724669253812	0.45469301129780715	0.6493301094157797	0.9999034288695854
B3GALT6	7.910847059170916	-2.065655169936823	1.9654224206367672	-1.0509980695486225	0.293259476460384	0.9999034288695854
UBE2J2	15.804990506322035	0.012123326077429648	1.354540704501004	0.008950137885960194	0.9928589185032138	0.9999034288695854
ACAP3	6.305176199515412	1.699683926347773	2.1891117802342666	0.7764262847125524	0.43749732996432833	0.9999034288695854
PUSL1	5.845833602313291	-0.014722537762725767	2.1771344299894206	-0.00676234666997449	0.9946044691195997	0.9999034288695854
INTS11	8.469438391115776	0.0627937397728774	1.821947667997153	0.034465172011173	0.9725062145479805	0.9999034288695854
CPTP	2.94624224330635	-0.8602101294307595	2.9737764831933173	-0.28926522699078033	0.7723784202099553	0.9999034288695854
DVL1	2.121872932776887	-1.1290987659245222	3.4487902341541883	-0.3273898060667155	0.7433730756088778	0.9999034288695854
AURKAIP1	51.04596603259971	0.20729566425939178	0.8043082454916771	0.25773161648078224	0.7966140437784913	0.9999034288695854
CCNL2	16.31491000060348	0.3934396914205481	1.4227347942631552	0.2765376182595671	0.7821351704738091	0.9999034288695854
