gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SNHG5	106.15161995508295	0.823988519959544	0.06732339143396819	12.239260417647328	1.9177209711547476e-34	1.9702665257643877e-30
SLFN5	58.50028057244274	-1.4736968095884402	0.18899218899040368	-7.7976598792835246	6.306571105622448e-15	2.1597903846388344e-11
H3F3B	185.3254077039733	0.6255331731768676	0.08010821364372464	7.8086021985071365	5.782569594430065e-15	2.1597903846388344e-11
GIMAP4	66.72752155334386	-1.8177452836074	0.2391932424206383	-7.599484271427559	2.9731321397756175e-14	7.636489901013674e-11
BRK1	36.23334300604859	-1.5026671065847352	0.20057561406070432	-7.491773681570045	6.794901802384551e-14	1.3962164223539778e-10
HIST1H1C	12.604747862922437	1.6650888581683816	0.22298116888274525	7.467396760503886	8.179685499582198e-14	1.4006348137117917e-10
HSPA5	69.48007552310548	0.7554413693013143	0.10404341066344314	7.260828576112292	3.847262721910139e-13	5.646682457843539e-10
DDX3Y	15.252156402671401	2.52962748477617	0.3507222773453119	7.212622773561559	5.488430629694041e-13	7.048517036184572e-10
MRPL20	41.56886898729403	-1.2497250345509385	0.17706230559224517	-7.0581088977171484	1.687837708296092e-12	1.926760512781561e-9
HSP90AA1	114.04161566425566	0.6849386763814777	0.0972665714033477	7.0418712873218805	1.8967500535643992e-12	1.948721005032064e-9
MRPL51	31.810313940739903	-1.4209974696585925	0.21377585169583835	-6.6471374497452445	2.988479341775965e-11	2.7912397052187513e-8
EIF2S2	68.26260257591125	-0.8374727460860693	0.1263106655312356	-6.630261526719365	3.350926326827715e-11	2.868951423485662e-8
RHOH	35.71329943593883	0.8829945622750034	0.13597248556136618	6.493920873988115	8.363068443207485e-11	6.137297513250979e-8
B2M	323.27696954892235	0.37850714831628707	0.05826850383966507	6.4959132871818515	8.253118620481657e-11	6.137297513250979e-8
UBC	170.14679047295272	0.46192220251786886	0.072245696379271293	6.3937677352142375	1.6184721800110894e-10	1.1085455451622621e-7
ARL4C	122.73707402522935	0.539982536154208	0.08466325407070734	6.37800356342595	1.7941134068997118e-10	1.1520450714054774e-7
BTG1	216.76350709069368	0.3822381961411142	0.061416400961317806	6.223715329425786	4.855176786129008e-10	2.665942373360832e-7
PRKCB	8.432743170094923	1.9662331156566253	0.3160480751197944	6.221310207035266	4.930202948594103e-10	2.665942373360832e-7
IFNAR2	28.421054798184095	-1.592747689796916	0.25588655632602775	-6.224428952678465	4.833130960802795e-10	2.665942373360832e-7
NSA2	114.45222493576824	0.5061247801757702	0.08183777611516471	6.184488437998796	6.230417929775834e-10	3.0481578005008055e-7
RSBN1L	32.997974439650605	-1.2706617801244653	0.20528857581099896	-6.189637076026642	6.030289323234802e-10	3.0481578005008055e-7
ELK3	47.41884735510339	-1.732326622249456	0.28224852129122036	-6.137593261160309	8.378103632398063e-10	3.912574396329895e-7
