gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAT1	95.06627111812628	0.803821052954372	0.049192059235707034	16.340463591955153	5.086468779961829e-60	6.001524513476962e-56
SNHG5	112.08105949242614	0.5257882239841415	0.03711283197840225	14.16728920849056	1.4602952861915028e-45	8.61501204088677e-42
PDCD5	39.2969765060617	-1.0087422739391958	0.07689148804414433	-13.119036964924708	2.5616952828382545e-39	1.0075147547402855e-35
SYAP1	39.84014258788536	1.2219621556972342	0.0941781306623541	12.975009666290713	1.6957495229028124e-38	5.002037155182571e-35
UBC	194.94386252133597	0.3812010082143193	0.031050680020622022	12.276736224815307	1.2077284144194544e-34	2.8499975123470285e-31
EPB41	51.08835881782619	-0.9516734570048292	0.07770845932040352	-12.246716320560909	1.7493666843866861e-34	3.440129584846418e-31
LCK	30.144452267646827	-1.2531489495240742	0.1034801287873103	-12.110044355469984	9.344361785185049e-34	1.5750589243342627e-30
UBB	125.19637055172242	0.6419287353608202	0.053927268973325365	11.903601787777244	1.1334724076220353e-32	1.6717301171915494e-29
CALM1	183.55015644986753	0.34906797612885787	0.02953399638717541	11.819192077928003	3.1065772073732336e-32	4.072722718866309e-29
GABARAPL1	41.91054346581713	1.1216401013392086	0.09628484834697838	11.64918593730545	2.3166120325484544e-31	2.7333705372039214e-28
G3BP2	48.015813513556346	0.7675671828716427	0.0662614041801895	11.583925701066354	4.9716039162551065e-31	5.332723146172183e-28
FAM177A1	61.09019699975024	1.07925024950714	0.09375969875270951	11.51081182922371	1.1637765105050173e-30	1.1442832539540583e-27
LDHA	98.13446606673283	0.7143667482843615	0.06237684901493891	11.452434029062204	2.286340074862654e-30	2.075117426408035e-27
H3F3B	197.75157349391864	0.38367579370968175	0.03352167326580276	11.44560388341622	2.4737583228002238e-30	2.0848481750514172e-27
RNF145	44.67231471295755	0.6287958287856699	0.05650897129435141	11.127362866160047	9.232663097442318e-29	7.262412792448128e-26
ARHGDIB	120.80540933854273	0.4137634503370445	0.03734394206169857	11.079801100093734	1.5722143679147361e-28	1.1594098329391232e-25
ITM2A	53.877888927906874	0.7540060469283323	0.06818344990169019	11.05849070434967	1.9942497678185924e-28	1.3841266476759747e-25
CDC42	120.47890220748467	0.4761802050595287	0.04355615945807604	10.932557208535908	8.054604337679933e-28	5.279793143349196e-25
AC004687.1	13.704967198689252	-1.4506968960872164	0.1350992187637436	-10.73801099193727	6.748255630221154e-27	4.190666746367337e-24
PSMA5	31.526143313532078	-0.8119487906708003	0.07573274576669423	-10.721237985641336	8.091299109981035e-27	4.773461909933312e-24
MRPS6	52.80246579757126	-0.7688033967659352	0.07176496168312353	-10.712796032144045	8.864339402884202e-27	4.98049241022051e-24
DRAP1	51.090724586399496	-0.7319072840548504	0.06896672162970767	-10.612470286532782	2.6076213088276915e-26	1.3985147192208153e-23
HTATIP2	18.36633815558298	-1.4164537570171047	0.1335833579832244	-10.603519618027457	2.869725762418826e-26	1.4721693161208579e-23
ABCG1	22.34234996332121	1.0090041657387125	0.09633291385062949	10.474137295413277	1.1356834411351397e-25	5.58330371748063e-23
RSBN1L	29.07269799561038	-0.913451395510706	0.08730301151541556	-10.462999839924342	1.2774592531421134e-25	6.029096691129518e-23
LY6E	39.140132837269654	-1.143229172180774	0.10936123096974837	-10.453697000695021	1.4092243211445309e-25	6.395168371224738e-23
LARS	21.284399662310094	-1.1512134136279644	0.11128396000528373	-10.344827894094577	4.417092296369065e-25	1.9302693335132814e-22
LINC00623	33.40690366534233	-0.8262574791900961	0.08107148117046778	-10.191715597902263	2.159196919696982e-24	9.098701591251676e-22
MRPS34	27.02350754718304	-0.9421660594208879	0.09263215988249203	-10.171047081446304	2.6702257884666675e-24	1.086413588900628e-21
TGFB1	63.54913364929051	1.0290656086372683	0.10162695867478502	10.125911687767479	4.2400866536127084e-24	1.6676260808658783e-21
LYPD3	4.955492520764406	1.971476100914519	0.19502022998997656	10.109085098586165	5.0352279635731944e-24	1.9164727336193586e-21
HLA-B	246.4666044576587	0.23500277491385804	0.023346018200536424	10.066075203713256	7.802999893818275e-24	2.877112367098807e-21
OSBPL8	65.79801572050316	0.5119360016484114	0.050910407444609465	10.055625702964523	8.676846704127641e-24	3.1023670988485465e-21
ELL2	12.558713834305602	1.7633125973151265	0.17550820006837753	10.04689579534258	9.48068808130177e-24	3.290077607978811e-21
AREG	10.868589265653968	2.110860296151409	0.21018393982729158	10.042919063587378	9.87090172265648e-24	3.3276219835892515e-21
SNHG8	122.39542607850441	0.3652992905280759	0.036439372938904514	10.024851172399401	1.1853805173665999e-23	3.885084645669031e-21
PRKDC	23.89550117696013	-1.1542596526629871	0.11533937409165623	-10.007507512098485	1.4126674087346305e-23	4.504881825854028e-21
BZW1	66.14170686296092	0.6580453941864283	0.06591644867638509	9.983022559620638	1.8087141721403925e-23	5.6160575044959186e-21
TMEM147	16.739682085240183	-1.2078483819568102	0.12126979325556894	-9.960010234464084	2.280392393457874e-23	6.899064064207553e-21
RNF125	29.093376988564653	0.7968416340577286	0.08015780587228197	9.940911248585849	2.762880238732943e-23	8.1498059842025e-21
NINJ1	22.806139866250106	1.5229461587765634	0.15341988774217932	9.926654107164126	3.1877283510074646e-23	9.173660198423676e-21
SLC5A3	30.338539100744445	-1.0070380122814417	0.10165510097841822	-9.906418886891272	3.9038875558790296e-23	1.0967135540908731e-20
MTFP1	14.792027731638532	1.1022051644473088	0.11131013994962549	9.902109232331597	4.0758670751229073e-23	1.1183989678924462e-20
SLC2A3	33.95724713718749	1.0662502089810237	0.1079595077169888	9.876390060763827	5.2697181469399124e-23	1.4131228276305462e-20
SRSF2	71.28231728975464	0.5529218242104824	0.05624310644982329	9.830926118986083	8.285329767346081e-23	2.1724134649981423e-20
TRIM14	10.044545721171577	-1.8061740174990228	0.18530290506101618	-9.747143558835678	1.8973167573973648e-22	4.866617482724241e-20
SET	95.66388483217273	-0.3617379560672165	0.037123324619562886	-9.744223066610562	1.9526677530883935e-22	4.902026982699991e-20
GMCL1	8.736792190348659	-1.7457312328812449	0.18031574662145175	-9.681524024333653	3.61289554631848e-22	8.880948864794113e-20
PSME2	45.77375566892154	-0.7721708872318535	0.07980254494146531	-9.676018324957383	3.812767279467864e-22	9.180987985804352e-20
RRP7A	19.44395023320866	0.8150456182528488	0.08460281765726402	9.633788103307559	5.75672505794034e-22	1.3584719791727611e-19
SOCS3	25.24677769692536	1.6072025825449712	0.1669218208631477	9.62847502042678	6.06224445929322e-22	1.402518085788249e-19
DEK	72.15853375574912	-0.4513187147380566	0.04691466562540379	-9.61999214364372	6.583619178396634e-22	1.4938485131904208e-19
ICOS	20.012479413245007	1.183533687274438	0.12305681066190131	9.617782883437453	6.726535388917251e-22	1.4974790764874463e-19
PPM1K	23.17955257578308	-1.0891543342861094	0.11332740132549408	-9.610688337923564	7.206559100305155e-22	1.5746331634166763e-19
RBM3	100.18337762220045	0.4331566395471659	0.045148462653719246	9.594050696020394	8.469312616194545e-22	1.816898537426899e-19
GIMAP2	15.294665399204977	-1.292374333576493	0.13606412042195135	-9.49827426634357	2.1339733566481704e-21	4.496205649123529e-19
YWHAZ	118.87188806864893	0.4308528607373127	0.04541555628902777	9.486900435510137	2.380060012333905e-21	4.926724225531183e-19
KMT2A	46.00692449333628	-0.6641763142225005	0.07021276163395472	-9.45948142141309	3.094741746884846e-21	6.2956651502576385e-19
VPS36	10.573001851976645	-1.454495789225418	0.15509941044988038	-9.377829258064338	6.73448960807414e-21	1.3467837777231657e-18
SYNE2	74.37111348021756	-0.9599103434720951	0.10241478924470826	-9.372770774135958	7.065294869699821e-21	1.3893902361264699e-18
SGK1	10.668210985565786	1.8630288315246382	0.19923511179664657	9.350906146634319	8.689999506622043e-21	1.6808738389939916e-18
ATP1B3	35.509058494687295	1.1040619542145806	0.11833499545507294	9.329969971847836	1.0590090633305119e-20	2.0153625706833402e-18
ECI2	12.107497497922074	-1.3704306915117703	0.1469352654809195	-9.326765001079536	1.0915152461120938e-20	2.044252125218507e-18
ZBTB7A	17.411756508201428	-0.9578655885681249	0.10295591828449618	-9.303647663277332	1.357082477013739e-20	2.501908772857048e-18
TMPO	30.95316855883355	-0.7893292010901559	0.08486099915828958	-9.30143657179708	1.3856071457724182e-20	2.5151967250721175e-18
SEC14L2	4.206451205002147	2.1199731071086214	0.2281142118563745	9.293472291167028	1.4933528094061104e-20	2.6697075451791964e-18
ADK	22.166337717188338	-1.1209591380956945	0.12103196065008931	-9.261678750594275	2.0124287756341836e-20	3.543977182642945e-18
EHD4	16.99095069734659	1.1539734717778587	0.12465231402116765	9.257537502126903	2.0920114999377468e-20	3.626818105151237e-18
MX1	47.71205680606252	-0.91369345846754	0.09871289063483929	-9.256070332774401	2.120946260322361e-20	3.626818105151237e-18
VEGFB	14.431844399919754	-1.2532955663308822	0.13570867514645035	-9.235191228404412	2.57825060635274e-20	4.34582555776514e-18
CD55	45.2653040003376	0.8171522063950518	0.08867203098130304	9.21544479529687	3.099903924643185e-20	5.15151639533309e-18
CCDC91	13.421946807350656	-1.13271587054622	0.12305924492795293	-9.204638556082374	3.4282303030194843e-20	5.61801240907318e-18
IFI6	16.912716111496252	-1.3898661184588226	0.15197733682420983	-9.145219593277005	5.950883824991418e-20	9.61842167822928e-18
EIF2AK2	34.45119007326841	-0.8659854665058218	0.09521417153714884	-9.09513208512189	9.44715690319639e-20	1.5063108689299214e-17
CDK2AP2	22.32240394762397	-1.1003339704914235	0.12149830757870984	-9.056372820490505	1.3486053360692616e-19	2.1216259147041624e-17
ARID5A	45.938852162456385	0.8969597332549729	0.09910226657455813	9.050849836821426	1.4185991950097678e-19	2.2023752502526645e-17
SMAP2	69.83148123935167	0.4750835520417404	0.052554731072601064	9.03978656812918	1.5697801258289447e-19	2.4054332083968465e-17
SNRPB	76.03982772336111	0.4259164649420337	0.04735424744754138	8.994261083208222	2.378265908926143e-19	3.5975845460794317e-17
CLEC2B	65.29452127631286	0.5490400970454355	0.061256991574076256	8.962896853684002	3.1625837128184376e-19	4.723458889562626e-17
BAX	16.565251469398536	-1.2590374311374373	0.1405276417038629	-8.959357859222	3.2657464470079165e-19	4.8165677910308014e-17
EIF1	228.50563066676983	0.2930333787612879	0.033049115505124516	8.866602760241824	7.54113476635354e-19	1.0984919642988322e-16
NDRG1	9.044034155758627	1.117030033619382	0.12708500682173454	8.789628781200516	1.5005495281484063e-18	2.1591443759296396e-16
PHF14	12.490670347147605	-1.1449037649179097	0.13050727048089472	-8.772720176425075	1.7440105444822452e-18	2.479226555945302e-16
CALM2	118.18789669691311	0.3374901249076033	0.038537818485647884	8.757374915585586	1.998500563392209e-18	2.8071795413648423e-16
INPP4B	10.938308739813449	-1.791025911050421	0.205208609789475	-8.727830244977769	2.596049187785294e-18	3.603621690197492e-16
ADGRE5	29.13610175226759	1.3317019556520133	0.15277743177340794	8.716614359816763	2.8664442140888e-18	3.9326948002364835e-16
IRF3	16.250165461612873	-1.234326494013479	0.1423452270784229	-8.67135849474915	4.269950357656731e-18	5.790936122987559e-16
LAMTOR4	35.81211601771508	-0.6384554088829016	0.07397005222374861	-8.631268867455537	6.067506940866269e-18	8.135285726736491e-16
KANSL1-AS1	6.538108407479145	-1.823780776970332	0.21146307400880734	-8.624582733978285	6.43267623106221e-18	8.527994028123934e-16
H1FX	27.62202273292661	0.8610221048333792	0.09994030877047966	8.615363664832978	6.97199402206472e-18	9.140284162926847e-16
FAM107B	160.26802123425597	0.39095612873957225	0.045413386855420894	8.608830034725866	7.380998901662436e-18	9.57015450996869e-16
SUDS3	13.830947823100214	-1.1202860351274588	0.13026864690303713	-8.599813245633245	7.984592167316064e-18	1.0240239454582853e-15
MORF4L1	91.37504684312887	0.3720526559487037	0.04329280072656254	8.593868950604268	8.408892341986669e-18	1.066844309065599e-15
PDE4D	35.24753649674639	0.6168293131365932	0.07184569772898632	8.585473210426237	9.046328351407715e-18	1.1355066831729747e-15
THEM4	19.99630389102217	-1.0301962971004186	0.12013184152988379	-8.575547365135069	9.861665760952449e-18	1.2137666008307329e-15
CRYBG1	30.665431146032507	0.5975481336427061	0.06968178116280868	8.575385469073456	9.875548239660172e-18	1.2137666008307329e-15
GIMAP1	39.95483459875201	-0.9174225218694887	0.1071183104754923	-8.564572366732639	1.0847768594607239e-17	1.3113600062190726e-15
