gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HBB	9.486482317534792	4.484143125410103	0.2261353610073261	19.829464553599074	1.6579523901672986e-87	1.9373173679104884e-83
IL1B	42.32122929346371	2.4382219504654605	0.13727084999694472	17.762124664630026	1.3887660018107343e-70	8.113865365579215e-67
HBA2	4.597617734855255	4.1109691645411015	0.23446493942395857	17.533406805474073	7.965088881903228e-69	3.1024021195013073e-65
CXCL3	17.889478564646492	2.764774602208066	0.16001723048269076	17.27798058914121	6.891909606841952e-67	2.0132990938987053e-63
SOD2	74.4343245844215	1.182655267519757	0.07013875041174364	16.861652946154283	8.614576889802756e-64	2.013226619146904e-60
LYZ	10.647189291049283	3.295955094032978	0.2332795109683737	14.128780879002353	2.5247729485380473e-45	4.916995317277847e-42
THBS1	15.829476757534026	1.773419857149309	0.13626499151598725	13.014493579161474	1.0121104562656027e-38	1.6895015259233667e-35
S100A9	7.265917032934921	2.5798577789581127	0.20495848403637246	12.5872212174456	2.482598781561135e-36	3.6261458453177324e-33
HBA1	2.7420925871454314	3.9642055315215337	0.3162624135103001	12.5345452452649	4.8312476699635807e-36	6.272569891502715e-33
CXCL2	12.24064709948451	2.440036078923653	0.19579966680852504	12.461901078257682	1.204642569131489e-35	1.407624842030145e-32
IFITM1	28.646962019103643	1.2621314179937133	0.10496109187554564	12.024755034848974	2.6336803752999467e-33	2.7976868350345343e-30
EPB41	53.31266950809978	-1.1418516215175287	0.09567060742307759	-11.935239592114183	7.753531736566962e-33	7.550001528482079e-30
XIST	10.233330626931817	-6.2493809496051345	0.5398341458213652	-11.576483255049776	5.422521860190435e-31	4.8740129181788634e-28
PTGS2	8.155001768690147	2.2073130111513266	0.1908450294051376	11.565996861597618	6.12754855205601e-31	5.114314630769605e-28
CXCL8	81.58102657661415	1.5368480430673128	0.13455676332260516	11.421559237291245	3.2632609346043186e-30	2.542080268056764e-27
EREG	5.761723722868529	2.2527822973733262	0.1986876035243202	11.338313298935011	8.476238612365625e-30	6.190303011593271e-27
ARID5A	46.77371134383213	1.2491238006046324	0.114881481341352	10.873151930319041	1.5476017647680646e-27	1.0637486247832255e-24
CCL3	45.41626214291009	1.9130772951731798	0.17831053476926192	10.728907844108859	7.447111964067466e-27	4.83441685000713e-24
UBC	190.92165724725447	0.400422804391724	0.03772523604013972	10.614189503431428	2.5600648324914894e-26	1.574439871982266e-23
SAT1	89.578831450007	0.7827191828181629	0.07529309860297562	10.395629843121233	2.5956633044671653e-25	1.5165162856349414e-22
RNASET2	35.761120149387864	0.8539399206519496	0.08224926002695296	10.382341681519259	2.9836548362850594e-25	1.6601907981900437e-22
FYB1	84.38053346095377	-0.8013203867846175	0.07750580566629964	-10.338843392386543	4.701777755925978e-25	2.497285139908866e-22
