gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IL1B	33.5978215547332	2.1354502285977013	0.1462000835918122	14.606354361327433	2.5584690386494483e-48	2.8583216099791636e-44
SOD2	63.00497386237146	0.9685845084412688	0.07515243482622726	12.888265173056574	5.240952195786628e-38	2.9275958965664102e-34
NINJ1	16.76461743616525	1.4817680909545479	0.12810723136044874	11.566623329680532	6.082984539666908e-31	2.2653034425719564e-27
UBC	178.65458537626682	0.44091404235466225	0.039268822461958834	11.228094317872456	2.9681107849020903e-29	8.289933422231538e-26
CXCL3	14.07190489217303	2.722485159109886	0.25025027983373094	10.879049409729873	1.45067862659697e-27	3.2413963232682698e-24
FAM177A1	41.443106293021934	1.1033961974486195	0.10165799215328919	10.854003448984297	1.908774573758086e-27	3.554138256337556e-24
XIST	20.973521810220266	-6.883226147885425	0.6444084194619483	-10.681465263338128	1.2429411441635563e-26	1.983734066085036e-23
CCL3	36.51926939872673	1.825855403874608	0.17313864379299995	10.545626117168581	5.321719698733739e-26	7.431781559281667e-23
CIB1	79.49720768815385	0.5552574772202616	0.05335762114988112	10.406338687036813	2.3197239390910117e-25	2.879550649724976e-22
EPB41	61.19584862795328	-0.8073935581755544	0.07967163963479224	-10.134014586326767	3.902887363671558e-24	4.360305762693865e-21
CXCL2	9.580124457952857	2.1109893226802923	0.21000843487442353	10.051926361636749	9.008887046612885e-24	9.149753280432651e-21
PTGS2	5.9286363059823675	2.2401418134663613	0.2255791119846224	9.930626083939325	3.0632605875254914e-23	2.8518956069862325e-20
HLA-B	238.18891051475165	0.23895933023022117	0.024096648916347857	9.916703814699492	3.5219528656817137e-23	3.0267121088766235e-20
IK	71.5355506442715	0.5085029372096858	0.052481142755540215	9.689250471894598	3.349778849044996e-22	2.673123521537907e-19
SRSF2	60.825112119077815	0.6588517184232306	0.06942989667744129	9.489452670283182	2.3225049572037433e-21	1.7298016921253479e-18
IER3	13.524991347802596	1.1378664914876175	0.12388303423124256	9.185006635885694	4.115019425589241e-20	2.873312313917688e-17
UBB	112.48490117964282	0.49442320138264834	0.05395784497235512	9.163138402505924	5.040949558052976e-20	3.3127934389745786e-17
STAT4	20.50470752194257	0.9239339133487197	0.10282056364682507	8.98588648592036	2.566568147865572e-19	1.592983297108565e-16
RBM3	93.95576291907021	0.47317881138220774	0.05324469636097478	8.88687219050459	6.285324141656689e-19	3.6957705952941333e-16
EREG	4.591210400897754	2.0114979287154453	0.22834969735343244	8.808848673892099	1.2643773523853684e-18	7.062811890424668e-16
RNF213	60.151375177012135	-0.8853665120165422	0.10181817945467837	-8.695564159155284	3.4511073585677598e-18	1.8359891147580483e-15
SYAP1	29.48507897403006	0.9289425462829456	0.10751427067411176	8.640179024221615	5.612500536261618e-18	2.8501298177779453e-15
RBM8A	65.81046257970677	0.5065750101686689	0.05913342039182556	8.566644831502026	1.0654386780733408e-17	5.175252570189289e-15
NDUFS5	97.25020679594728	0.3754063094563267	0.045222107777390004	8.3013890308762	1.0290113869591617e-16	4.790048006294898e-14
EIF5A	50.451079076476624	0.6629653295898625	0.0799567591391364	8.29154829094819	1.1178373161257226e-16	4.9953913983026295e-14
CCL4	38.38793454788059	1.4348448774480127	0.17494604717650103	8.20164216685853	2.3712524161801726e-16	1.0189089228294188e-13
XAF1	16.52663216963521	-1.5810880537751917	0.1931651656659829	-8.185161378988878	2.719389901573097e-16	1.1252231103842459e-13
TGFB1	50.78029922422674	1.0105073489127285	0.12585644807045723	8.029047096156917	9.823264598431715e-16	3.9194825747742543e-13
CXCL8	69.9248194074052	1.4035698056341015	0.175590271505433	7.993437185332179	1.312277559577002e-15	4.971833827633913e-13
PACS1	19.979609298328512	-0.9634174491271034	0.12055807513099366	-7.991314128732496	1.3350789010832204e-15	4.971833827633913e-13
GABARAPL1	28.848370689079484	1.0572366681267458	0.1323777768930379	7.986511731353517	1.3881056115050194e-15	5.002553513462606e-13
HNRNPM	58.401166448786896	0.3943630332473431	0.049537466122544456	7.96090442477979	1.70786272764527e-15	5.962575747891549e-13
GLRX	26.99207754735945	-0.9391389935406059	0.11870922617377201	-7.91125529001302	2.5480640038168884e-15	8.525190950762892e-13
CCL3L1	15.78601492027072	1.6420440410319215	0.20761695431429147	7.909007462589918	2.5944906223231145e-15	8.525190950762892e-13
HBB	8.921728609192842	3.125460325595213	0.3954660956994742	7.9032320585336295	2.717629635940083e-15	8.674673797920745e-13
IL1RN	3.3202066682026907	2.0874771425959775	0.26513282997725074	7.873325769483507	3.4533588940970875e-15	1.0716923768014629e-12
H3F3A	151.30777101792938	0.2722603562376703	0.034706495929384344	7.844651237382924	4.341583835268594e-15	1.3109236380438035e-12
PRKDC	26.304158282653013	-0.8967060001014796	0.11454083129730329	-7.828701694804194	4.92933662740864e-15	1.4492249684581401e-12
HIST1H1C	13.462815488566442	1.0215984098515691	0.13068082952906643	7.817507843599524	5.387937300685696e-15	1.5434368082887333e-12
CXCL1	2.9171692533681526	2.495816004384753	0.320338897361775	7.7911737379994195	6.638955089652562e-15	1.854260156539961e-12
SMDT1	63.95158345967579	0.43140699156943585	0.05541149401811739	7.785514525711627	6.9430066228882625e-15	1.8918846339245773e-12
G0S2	3.336772263660346	2.1673721154929844	0.2798567993258601	7.744575514026859	9.590168795693884e-15	2.550984899654573e-12
LRRFIP1	81.54155269412678	0.5659911697512331	0.07326697443319144	7.725051759402631	1.1180790265512834e-14	2.9049253220071947e-12
FYB1	103.82253227586132	-0.6127409022612047	0.0800231605481071	-7.657044511417998	1.9026070577086664e-14	4.8308922838002775e-12
LNPEP	28.83387520724688	-0.8209044208840905	0.10789209289141156	-7.608568884749443	2.771475313304957e-14	6.8806493778317735e-12
SAMD9L	10.237771130695744	-1.634761613874291	0.21650080390507828	-7.5508339201873325	4.3248004881018317e-14	1.0503624141972536e-11
SYNE2	68.40500606127733	-0.6120331458282602	0.08221514977347753	-7.444286697945067	9.746961869878733e-14	2.3168735746869194e-11
CDC42	116.47240682215647	0.3890380500810552	0.05237275792415808	7.428252120013005	1.1004206381383155e-13	2.5612290352669294e-11
SAP18	75.90493733746068	0.3965468629035373	0.05349645878460786	7.412581541147407	1.238642485144776e-13	2.8061315817483217e-11
CCL4L2	17.818615877678834	1.5893465893486243	0.21446502954713098	7.410749401451244	1.2558770057949882e-13	2.8061315817483217e-11
ITPR2	11.069314863547106	-1.2625122740987136	0.1722592949363846	-7.329138753092887	2.316364686127446e-13	5.074201230081535e-11
GSTP1	39.562713445833225	-0.5632138224136132	0.07688159093544909	-7.3257305885682795	2.3760069718188635e-13	5.104759594069296e-11
BUD23	20.715868714216374	0.675954335199292	0.09231151874710837	7.322535089592663	2.433296599026769e-13	5.129205585722087e-11
CAMK4	40.5554524007604	-0.6348517425426071	0.08676300267472847	-7.317078973426549	2.5342672405556794e-13	5.24311733546075e-11
GIMAP1	46.51687266494193	-0.8545510949199945	0.11832302938981819	-7.222187424771339	5.115789607563242e-13	1.0391563908308462e-10
CALM2	105.26685232092099	0.3808607965691598	0.05334581214051992	7.139469459494254	9.369183165502414e-13	1.8691520415177318e-10
PRKACB	25.63064690164691	-0.7256384772441326	0.10167659366715322	-7.136730795875897	9.557676721651092e-13	1.873304637443614e-10
RSBN1L	31.7253329917072	-0.6836898209151865	0.09610844581875004	-7.113732982474301	1.1294556884097576e-12	2.1755653363644502e-10
IFI44L	6.321783841831131	-1.8929942549529177	0.2667468954531011	-7.096593389540462	1.2786955143765057e-12	2.421285811290563e-10
CHCHD2	111.5016311051572	0.29063741307996616	0.04099891240201565	7.088905438030045	1.3517684769450675e-12	2.5169929040717155e-10
HIST1H1E	17.746374418806116	0.9451852211077509	0.13378225858370998	7.065101390229045	1.6049876219293275e-12	2.9394953626548273e-10
P2RY8	19.490724067681217	0.7468785636852304	0.10585004242070499	7.056006276471136	1.7135608910508462e-12	3.087726173358073e-10
MSL3	41.98717752522807	-0.7246227454189967	0.10290430150942953	-7.041714824259282	1.8988816469618196e-12	3.3673501206122936e-10
BTN3A2	23.089290465255225	-1.119746806918754	0.15955619603239612	-7.017883571825702	2.252541181241351e-12	3.932092199504433e-10
DDX3Y	15.886513321802646	1.4371370967767791	0.205138833770707	7.005680350036174	2.457884944555317e-12	4.2245370154726157e-10
LCK	39.85449067186661	-0.7402939521969959	0.10627053128356971	-6.966126387583529	3.2578649193435346e-12	5.352480423368525e-10
