gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SRSF2	64.28805398869596	0.6448343312317089	0.05622143782651145	11.469545357796498	1.876425171990592e-30	2.0650059017756467e-26
HLA-B	246.5328382438961	0.22001395146294422	0.02046534204765578	10.750563120353315	5.890091486988617e-27	3.241022840715487e-23
EIF4A1	91.92776448089846	0.4024835964397284	0.04105785109510592	9.802841252149806	1.0946247381060301e-22	4.0154484142856205e-19
PPIA	133.0296022645693	0.2739562509504319	0.02809090119697755	9.752490638495726	1.7999702778405743e-22	4.95216822690888e-19
SNHG5	111.87734252642973	0.3315947364700669	0.03560457858744747	9.313261092408263	1.2396645228751053e-20	2.7285016148481067e-17
GIMAP1	46.38883624627902	-0.830752197822681	0.09426395036913784	-8.813042468191217	1.2179438405578884e-18	2.2339119942232604e-15
UBC	181.60703688723171	0.2930396287362173	0.03523723379515059	8.316192764726779	9.083404090570163e-17	1.3455245908384042e-13
TMSB4X	323.4832228574256	0.1589575069176436	0.019134419601439117	8.30741199517169	9.781187393645828e-17	1.3455245908384042e-13
HLA-C	201.22396955969046	0.2219098544121116	0.02677711851103831	8.287294031306388	1.158539850310952e-16	1.416636783630225e-13
SFXN1	28.618125898518453	-0.7160195651857212	0.08993995708963087	-7.961084131629752	1.7053837609695004e-15	1.8767748289469354e-12
DNPH1	22.14399005413412	-0.8987661778842131	0.1131733036441181	-7.94150341948531	1.9974520101635835e-15	1.998359942895476e-12
HIST1H1C	13.90055710699053	0.8390782052711779	0.11076807682574306	7.575090489213693	3.588774008571139e-14	3.2912048303604494e-11
H3F3B	197.0935933229863	0.3160911839985833	0.042033474685380254	7.519987019025187	5.478168102943429e-14	4.6374799979148026e-11
SAMD3	11.554832829680342	1.1173865760477366	0.1518983117766242	7.356148748321326	1.8929207547486635e-13	1.4805182757268836e-10
B2M	341.15109974294177	0.21153780721308457	0.028815010282322886	7.341236568735721	2.116293596857587e-13	1.4805182757268836e-10
UBA52	256.35007007114666	0.21272035443443837	0.028985057881320223	7.338966004671277	2.1525027180036472e-13	1.4805182757268836e-10
TPT1	356.9343278768509	0.183067123645275	0.025305200942801358	7.2343675143726776	4.677036590866605e-13	3.02769339308747e-10
ARHGDIB	125.33386553922796	0.25542868928478146	0.03541699021608207	7.2120382823720846	5.512047143110527e-13	3.2280992510768596e-10
UBB	115.23098203058342	0.3665808479729164	0.05083962316942644	7.210534325780922	5.573274490727881e-13	3.2280992510768596e-10
CXCR4	113.21332723830288	0.4622126117955898	0.0646080542205832	7.154102029098649	8.422240864759535e-13	4.634338035833934e-10
AP000787.1	17.081974230151584	-1.1053447713975773	0.15522208260800244	-7.121053608003785	1.07105119878906e-12	5.61281830603505e-10
IFITM2	52.524529761814925	0.7892360478183451	0.11238242366510566	7.022771195700774	2.175102546971029e-12	1.0880456149734626e-9
IKZF3	40.00049518614002	-0.7005648017978164	0.1003741522814119	-6.979533932537657	2.9616089624678265e-12	1.417065505737323e-9
SNHG16	44.48160174165832	0.5740606043679479	0.0828549980652518	6.928496985973628	4.253352317130524e-12	1.9503392604175592e-9
HNRNPA1	171.84915756757954	0.1879969353369166	0.02741706944034027	6.856930342099444	7.035591477860396e-12	3.097067368554146e-9
KANSL1-AS1	9.94415764579296	-1.1614722675749682	0.17009572480414956	-6.828344856475979	8.589989682431238e-12	3.635878325198299e-9
LPAR6	16.81996747921221	-1.0253213512970758	0.15169090951471842	-6.7592801346977875	1.3867903127920602e-11	5.652454589732082e-9
CTSL	13.304572670305257	-1.5555207170510048	0.2338601880933704	-6.65149861433427	2.9012358557216994e-11	1.1402893068649036e-8
HLA-A	234.04214652511635	0.13101592516597813	0.01984533456687366	6.601850159012852	4.0605782907897786e-11	1.54091945138419e-8
EEF1G	199.09923717208432	0.18675942098669726	0.028568356842494667	6.537282561134129	6.264662595962605e-11	2.2980870622856156e-8
RBM3	95.4672333319398	0.29763902184057905	0.04576034072686684	6.504300822782752	7.805555996373831e-11	2.77097237871271e-8
EEF1B2	244.5105763891611	0.21171906385077216	0.03261397072812023	6.491667807508792	8.48912823945698e-11	2.8309956447037595e-8
AC004556.3	0.7238684358193915	3.1751207587255053	0.48888649003931955	6.494597055586749	8.325594265479201e-11	2.8309956447037595e-8
EEF1D	201.43189198658052	0.1563032975774367	0.024164908532191675	6.468193221969565	9.918162631843689e-11	3.154107719481262e-8
TNFSF8	8.084368285185086	1.0228862019353977	0.15818285506132873	6.4664795785789595	1.0031237635787747e-10	3.154107719481262e-8
HSP90AA1	120.58692410344761	0.3093946898204368	0.04815714284766369	6.424689496201016	1.3213895993580395e-10	4.0394145947042294e-8
EEF1A1	356.4739219046775	0.1571682697638102	0.024605437701074002	6.387542122729642	1.6857318321095817e-10	4.7567894390681915e-8
FAU	288.96691299217446	0.16429751002210283	0.025709402428189608	6.39056121514343	1.6527802146772564e-10	4.7567894390681915e-8
MRPL10	7.756335857682691	0.8422322425948433	0.13185305849448978	6.387657989974049	1.6844554467164086e-10	4.7567894390681915e-8
CRK	7.446172792620981	-1.093438071932573	0.17159685935338673	-6.372133359857977	1.864166740552512e-10	5.003696336531804e-8
EIF3K	128.98418394199544	0.20679559255922028	0.032451665188052106	6.372418529553832	1.860702690285348e-10	5.003696336531804e-8
