gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CCL3L1	22.492322316345575	-1.931379004124607	0.23154605163913758	-8.341230569263361	7.352138156991935e-17	6.502966199859367e-13
TIGIT	22.030864336817125	-1.0430776739527432	0.14764251379604196	-7.064886983661656	1.6074676681749076e-12	7.109025762503529e-9
PPP1R2	39.80018655061499	-0.5519426912958887	0.08119648277583226	-6.7976182271305445	1.063628568229414e-11	3.135931561996389e-8
SYTL3	29.636373114450745	0.7388447775625073	0.11026445447748334	6.700661433131053	2.074782477463736e-11	4.587862753291686e-8
CARD19	16.0775887890967	-0.9976448897870771	0.15287668054836884	-6.525814703776428	6.763289080558692e-11	9.970215319590273e-8
SLC5A3	13.108442282859324	-1.2048583056284028	0.1839473394280199	-6.550017572283907	5.7530313548374457e-11	9.970215319590273e-8
MRPS6	28.882339286937565	-0.8486204730846657	0.13060542170940947	-6.497589931395067	8.161690502819434e-11	1.0312878928205414e-7
LINC00623	30.96274212465168	-0.581594526637674	0.09407451470526543	-6.182275066311043	6.318430463654094e-10	6.985814681377558e-7
ARHGDIB	119.74391702935742	0.24781281923543433	0.04096929811073852	6.048744563931882	1.459788944035189e-9	1.434648134443472e-6
SNX9	4.671640735988264	-1.8977881739360727	0.32111836637004454	-5.90993344724834	3.422459765942528e-9	2.9066975567271842e-6
CES1	4.483125149859505	2.6901472808543505	0.4558863789448679	5.900916116600361	3.614886729677674e-9	2.9066975567271842e-6
KDSR	6.36507995775456	-1.3786505502991373	0.23521054956092416	-5.861346580213826	4.591285585599296e-9	3.384160083718815e-6
FNBP1	61.206719711382746	0.3607134207364383	0.06263333898548688	5.759128071074436	8.45495360468287e-9	5.752620356416922e-6
ODC1	28.733635120965626	0.7263273560053032	0.12694807073546063	5.721452494688577	1.0561719097860145e-8	6.672743244326642e-6
NCL	114.13475390459813	0.21786201366859514	0.03858338465969402	5.646524160338474	1.6372416628254074e-8	9.654268338460485e-6
DSTN	53.262988117633746	0.4667472927511639	0.08346728056081783	5.5919791517715955	2.2449578158048278e-8	1.2410407425496064e-5
TRAT1	20.84140103660287	-1.0501426032925651	0.18957757538782882	-5.539381971439571	3.035409379738141e-8	1.579305644928462e-5
SAT1	82.76414733824319	0.5532082170631347	0.10065527109990612	5.496068025230829	3.883527536137427e-8	1.9083222809519746e-5
LCP1	93.36274893726201	0.41783199973702995	0.07656026425553113	5.457556916763692	4.827304367568701e-8	2.2472372174286928e-5
CDC26	19.55835924879986	-0.6422120926049295	0.11869518276672389	-5.4105994669311315	6.281412202547502e-8	2.5254132241605754e-5
HTATIP2	10.886145209115792	-0.8001670301337216	0.14776056238735527	-5.415294969141215	6.118775048543207e-8	2.5254132241605754e-5
LYSMD2	24.38571481097326	-0.7558409274407574	0.13969276296481367	-5.410737903660345	6.27655783067295e-8	2.5254132241605754e-5
SPON2	14.044166781279445	1.679936803283389	0.31278661596234797	5.370871762254729	7.835691761737584e-8	3.013334505763867e-5
JUND	134.5228071047875	0.6196508309625934	0.11573643922096603	5.3539821609644065	8.603934636909192e-8	3.1709084109775755e-5
CALM1	173.65148207448254	0.3491708907740642	0.06574798734409985	5.3107464559582205	1.0917713132227609e-7	3.862686906182128e-5
ATP1B1	4.439356586931803	1.4774199112901354	0.27867789579729735	5.301532463000833	1.1483462274306765e-7	3.906585531393974e-5
DIP2A	10.867781006942495	1.0337217137563253	0.1957942015076871	5.279633951344265	1.2944222017076452e-7	4.2404312496681936e-5
TBL1XR1	18.7879852329359	-0.5984902361977995	0.11365749323224605	-5.265734965444411	1.396296043030142e-7	4.4107994645005746e-5
RSBN1L	27.48325326246889	-0.5733413199167077	0.10911962110364178	-5.25424588280185	1.4863220487724873e-7	4.467457850416713e-5
DOK2	21.949844703665597	0.7456563850396883	0.14201093737819048	5.250696874522593	1.5152485643018814e-7	4.467457850416713e-5
