gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PRMT2	56.342773403969034	1.0167298228362738	0.12022523892298986	8.456875045077172	2.7463793229337096e-17	2.6615162018550577e-13
DIP2A	17.74013549771408	2.1669000659393807	0.26197980119296715	8.271248607992115	1.325633006234874e-16	6.423354731711083e-13
SH2D1B	40.105732879458394	-2.10614605437345	0.2974808127805586	-7.079939155360187	1.442177679625099e-12	4.658714631082278e-9
DDX3Y	18.724496034163337	2.7488584535126632	0.4046728657970399	6.792791624658443	1.0998418635509779e-11	2.6646418749181316e-8
S100B	20.474942456366314	5.988871173363621	0.9167740580359116	6.532548691652689	6.46597650563536e-11	1.2532355663222457e-7
NEDD9	11.171059798595227	1.8562685388475093	0.2901186730907686	6.39830769619832	1.571084464009012e-10	2.537563256785223e-7
RBPJ	41.12537515381886	-2.5099229385717545	0.3987489011625233	-6.29449493466755	3.0840234741412387e-10	4.2696102125575345e-7
LAMTOR4	52.91182611096059	0.7429841493813754	0.11890673714195919	6.248461333981008	4.145158088697368e-10	4.463414115285133e-7
SCAF11	63.78995783642248	-0.902949840550848	0.14409478058692465	-6.266360494620045	3.695841830086444e-10	4.463414115285133e-7
CD3E	19.494049774992533	2.414992810245069	0.3969654308826831	6.083635053246695	1.1748786414813363e-9	1.138574891459563e-6
PLEKHO1	18.139071433768066	-2.2207652731613194	0.37994253355200974	-5.845003065068319	5.065589391902105e-9	4.462784254265755e-6
CCL4L2	36.11326180276094	-2.617370434002398	0.454011912821851	-5.764981843173406	8.166663277668987e-9	6.595261151990846e-6
TUBA1A	42.1508795703317	2.031789083508474	0.3604345796187783	5.63705370793624	1.7298417506830334e-8	1.2895304927591751e-5
C7orf50	10.680364590513163	1.4650708199775668	0.26401523908879576	5.549190361261012	2.8699555512086215e-8	1.986624231911625e-5
BTG3	17.559022112525575	1.211974571922753	0.22092169520485724	5.48599163517602	4.1115635302878873e-8	2.656344144801328e-5
APOBEC3G	115.2199492475721	-2.1298979587025366	0.38905907464887785	-5.4744847183547884	4.387865025047414e-8	2.6576749973584057e-5
IFIT3	16.45974890201109	-2.3236952921541447	0.42617863805687994	-5.452397386102709	4.9695249208657156e-8	2.8329215298888028e-5
CXCR4	90.08674524428935	1.004871351661799	0.18706673853224243	5.371726473376247	7.798634238190498e-8	4.198698022350229e-5
MRPL14	19.834540503725588	-2.2358834071850695	0.4187425517584444	-5.339518035116861	9.319399909361295e-8	4.753384448506332e-5
RNASET2	13.337961271495896	1.4425449028890491	0.2715297447003573	5.31265885614465	1.0803717506086112e-7	5.021942651211165e-5
PRKX	21.937775895619502	-1.3870409292452497	0.26114719083703775	-5.311337735625107	1.0882343997052364e-7	5.021942651211165e-5
TTC39C	25.432862995779843	-1.8787107613872138	0.35435631648985105	-5.301756096793102	1.1469400951125059e-7	5.052271118970588e-5
TNFSF10	26.094744000128298	-2.7978424544185168	0.5305225898500805	-5.273748013650379	1.3366540759053585e-7	5.397297770666179e-5
GCHFR	37.64486478704942	-1.8656850676467978	0.35357124411234764	-5.276687792670081	1.3153970725409728e-7	5.397297770666179e-5
SERPINB2	8.350467483170522	-5.88992222169841	1.1231144121600494	-5.24427623573142	1.568969882973732e-7	6.081954854359374e-5
KPNA2	11.798989690749401	1.597538190378803	0.3071556261470526	5.2010709047340455	1.981434860863203e-7	7.385417398702039e-5
LAT2	34.28869039991521	-1.3975940276488312	0.2700086204364856	-5.176108916039548	2.2656122804288607e-7	7.733488442873647e-5
LYSMD2	24.2300438344867	-2.0832197854165853	0.4024704591870674	-5.176081220033864	2.2659484488965153e-7	7.733488442873647e-5
STAT5B	13.121376817437111	-2.364834413713526	0.4572250963527082	-5.172144820085003	2.3142210797991514e-7	7.733488442873647e-5
HSPB1	6.370276697550568	2.26568225598206	0.44012603646017573	5.147803284269158	2.6355466704201574e-7	7.981588369700546e-5
EIF3J	41.03674467835776	-1.0893953343271303	0.21142149744650204	-5.152717899951448	2.567380291817182e-7	7.981588369700546e-5
C15orf48	6.656977399809115	-5.558201575787096	1.0790179585204909	-5.151166884570016	2.5887070268868114e-7	7.981588369700546e-5
CHI3L2	6.971892502735866	2.1676767048491103	0.42418934736664793	5.110162992790763	3.2188099631913426e-7	9.174555103908029e-5
EIF2AK2	27.678447044863784	-1.7247537815372784	0.337349704936871	-5.112658337318052	3.176565295782407e-7	9.174555103908029e-5
EVI2A	31.642687488171646	-1.252217459721019	0.24660660004685997	-5.077793779578785	3.8184281184286953e-7	1.0572681970197853e-4
NT5C3A	23.066543943969368	-1.1109898285125233	0.22004740158174535	-5.0488659285522255	4.444404965518609e-7	1.1744445397123308e-4
PLAAT3	25.794480641722046	0.8252868130567164	0.16367966964896746	5.042085036135839	4.6048655688181965e-7	1.1744445397123308e-4
SEPTIN9	24.124737703549584	0.9928943696698455	0.19692191096378595	5.042071574515846	4.6051896098512614e-7	1.1744445397123308e-4
C12orf65	13.912608125649285	-2.652886922213166	0.527492837194383	-5.029237811689123	4.924333407453472e-7	1.223633719272605e-4
GBP5	24.150151621329123	0.8886757962249524	0.17833125074603123	4.983286959000538	6.251313508477191e-7	1.4775970539183527e-4
CD244	21.33536384480757	-1.5374017978485555	0.3085010917434394	-4.98345658733394	6.245833198291079e-7	1.4775970539183527e-4
FASLG	19.307485464714684	-2.1428570661289306	0.43219365237583623	-4.958094720617273	7.118785612463038e-7	1.6425750326280787e-4
ARHGAP31	5.3749259433637855	-5.252463895545841	1.0605040384855087	-4.952799522618332	7.315333106767774e-7	1.6486719334345699e-4
PA2G4	60.85301751434803	-0.6731782363393138	0.1360664945413681	-4.9474210282873745	7.5203198334743e-7	1.6563504433227146e-4
HSP90AA1	134.91349112874673	0.6988190564344443	0.14146456226334578	4.939887737633866	7.816756130703457e-7	1.6833818591699377e-4
S100A6	144.46285908332717	0.47371877392004796	0.09608937447894121	4.929980827629047	8.223768715712424e-7	1.732533535303676e-4
NCS1	22.719241787990317	-6.160574825213569	1.2560853383943236	-4.904583022271992	9.362601567547276e-7	1.93048876151278e-4
CD58	28.552086061510646	-1.5026946510033565	0.30861836391968944	-4.869103160025814	1.1210587518376998e-6	2.131580935087458e-4
TXNDC9	13.598277146807858	-2.237024358409804	0.4600417890286633	-4.862654679986962	1.1582180532102157e-6	2.131580935087458e-4
KTN1	59.957668820955774	-0.6843739492941284	0.1405462758286854	-4.869385156304855	1.1194602153081807e-6	2.131580935087458e-4
MRPL34	23.8187246210597	-1.261210370995424	0.2594351612170024	-4.861370236320801	1.1657598757572518e-6	2.131580935087458e-4
PMEPA1	22.044929118650604	-5.276345248553697	1.083827373394187	-4.868252433992267	1.1258945345838674e-6	2.131580935087458e-4
CXCR3	22.883574616229254	-4.669607049356542	0.9604434295046794	-4.861928257205898	1.1624775773499976e-6	2.131580935087458e-4
SLC2A3	32.38398100845477	1.4639721063632933	0.30198980812072745	4.847753357881656	1.2486750848251901e-6	2.2409093050075772e-4
ABLIM1	23.990223578317735	-1.7091614677405345	0.35421808330810245	-4.825167173223871	1.3988588373630258e-6	0.00024647892714336513
MCL1	63.52007843424047	1.3244362645183618	0.2750865739671361	4.8146161603531725	1.4748309508278732e-6	2.5522476329415924e-4
TUBA1B	38.331969716963194	1.1978860299460041	0.24964669641494933	4.7983251817398065	1.599978688263634e-6	2.7202444680636626e-4
EIF4EBP1	23.18387091634653	-3.501092546997978	0.7325778287327915	-4.7791407406557	1.7604593437993917e-6	2.941484741510328e-4
SH3BGRL3	182.1278203819343	0.42304770052347007	0.08867930257018179	4.77053481773456	1.8373742151478834e-6	3.017965003220023e-4
STK17A	90.27040868315085	-0.6205633682072589	0.13063613469550456	-4.750319424665385	2.0309558241577793e-6	3.2803321486521734e-4
RALA	22.426712209303584	-1.951011750799487	0.41142683396922114	-4.742062475549279	2.1155335758805897e-6	3.3609239153866875e-4
GLCCI1	17.961511014811	-2.042328462766508	0.4330212768287288	-4.71646215106031	2.3998098545003646e-6	3.751057629026296e-4
SCOC	13.073403140060181	-1.7550960058010152	0.37325731066014795	-4.702107515849933	2.5748984486492414e-6	3.904530576012043e-4
GCNT1	12.812828543420796	-3.438047453263742	0.7312169215958556	-4.701816043535101	2.5785776170134223e-6	3.904530576012043e-4
FBXO34	21.43476935884771	-1.9304956539671592	0.4109082494427457	-4.6981185132817505	2.625690670549472e-6	3.914702813583836e-4
RSBN1L	30.76896719169711	-1.0883977355149597	0.23232557531864326	-4.684795180307554	2.8024002830661227e-6	4.1148577489687573e-4
UBE2S	32.867390273672335	1.7607425340408827	0.37651724745546217	4.676392770690163	2.919651554517468e-6	4.2230363007207135e-4
MAT2B	23.42082198746466	-1.2994540704005721	0.278344587798772	-4.668508486825713	3.033942473111554e-6	4.3238141921947155e-4
CAPZB	42.99851391210405	0.6946278673516713	0.14933904370765905	4.651348034017485	3.2977224004038523e-6	4.631627214828077e-4
GIMAP7	78.5300185508599	-1.5004731733959291	0.32309668646395195	-4.644037640303494	3.4166527299538474e-6	4.730111657997534e-4
AC009093.2	3.914890160076519	-4.767627476856149	1.0285517000536548	-4.635282287324443	3.5645070933651357e-6	4.865301160817117e-4
SUPT16H	32.47998058496808	-0.9648158650082332	0.20837662364358628	-4.6301540361767435	3.6539381076898013e-6	4.918099194669704e-4
MCUB	34.249550893628964	-1.8682313055316657	0.40467317552152793	-4.616642314193319	3.899986063021258e-6	5.12535424918768e-4
SERPINB6	17.323167428913443	1.1436112252183077	0.24775402985613848	4.615913718466497	3.91369533009894e-6	5.12535424918768e-4
SAFB	18.05770075079373	-1.4429598202994707	0.31309751642100203	-4.608659425963685	4.0527355591216e-6	5.236674707126324e-4
CYSTM1	12.746982798798825	-2.920527432973228	0.6345912163446559	-4.602218495547291	4.180143380441811e-6	5.245950072833718e-4
HSPA5	95.16581417037798	0.6066833550635913	0.13188401088871993	4.600128180629067	4.2223104497062225e-6	5.245950072833718e-4
SLFN13	20.077648594118997	-1.4860001446344482	0.32295083051998946	-4.601320090249684	4.198216859032227e-6	5.245950072833718e-4
CARD19	22.048289548731166	-2.046013060976273	0.44635921485559654	-4.583781387011774	4.5664166159168164e-6	5.60166372466454e-4
GTF2I	35.77658850378096	-0.9486713975109059	0.2073673257787439	-4.574835471057365	4.76594371489934e-6	5.702069202603643e-4
MX1	16.86890927305414	-2.3193733547551103	0.5069744237522095	-4.574931685091742	4.763754026408508e-6	5.702069202603643e-4
LFNG	17.88170072044783	-1.750248793373182	0.38292731153004506	-4.570707653052464	4.860799947138601e-6	5.744635644843925e-4
SARS	24.24861945400519	-1.1913470030776934	0.2614746812743344	-4.556261421838217	5.207212215810425e-6	5.969917645592693e-4
