gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PPP1R14B	48.79987251324538	-1.2001386704102206	0.18306632696932204	-6.555758725695839	5.535967655569475e-11	4.588209992935981e-7
DRAP1	68.30588476425606	-0.8293697977968348	0.1323305136886567	-6.267411609601633	3.6709887316048314e-10	7.60628865188521e-7
CKLF	46.56233725696563	-0.9806089465360281	0.15580430767222067	-6.2938500301225435	3.096870388593309e-10	7.60628865188521e-7
DSTN	99.37839934678912	0.6837252018964336	0.1086317509451977	6.293972028871722	3.0944360938274885e-10	7.60628865188521e-7
LARS	14.64115189736172	-1.629745159614127	0.2701472190621099	-6.032803762601125	1.6113905282630649e-9	2.0074940270267708e-6
JMJD6	31.769031513798563	0.8787743355976968	0.14568080524828067	6.032190267619818	1.6175216745295221e-9	2.0074940270267708e-6
PDXK	23.5470338561307	1.1626109127946607	0.19297799670780633	6.0245775820494405	1.6955186039077457e-9	2.0074940270267708e-6
CD58	52.45435156375025	0.6816093259637835	0.11630714782845741	5.860425078681287	4.616838042501817e-9	4.783044212031882e-6
ITGAX	13.599524632277154	1.5486648586902998	0.2718126000411069	5.697546244935265	1.2154401933150725e-8	1.1192853691328134e-5
EIF4A1	115.38558669292463	0.46343648774503854	0.08237632193072557	5.625845836316482	1.846011586854218e-8	1.5299744031847757e-5
SYAP1	55.560372450153714	0.7662780235530735	0.13674405391361397	5.603739260481178	2.0977620359884135e-8	1.580568341297452e-5
EVL	51.16198677347231	-0.9792172207106855	0.17679702346902015	-5.5386521871069405	3.048083076498197e-8	2.1052093781680878e-5
LINC00623	33.911328855549385	-0.9344453915277116	0.16961119648941317	-5.509337890827496	3.60185927345142e-8	2.1323006898832406e-5
SAT1	118.3956552787318	0.6074787839970667	0.11022019252232626	5.511501750226171	3.557848907015708e-8	2.1323006898832406e-5
KLHL18	9.800330280460338	1.4382900540607393	0.2674068605982401	5.378658015142208	7.504310102068832e-8	4.135734813679659e-5
H1FX	26.241526413068303	1.1175718609829886	0.20821130537865487	5.36748885441433	7.984044041852623e-8	4.135734813679659e-5
IRF2	37.42510576070724	-0.9423713355104734	0.17713214397987775	-5.320159934481045	1.0367606998813709e-7	5.054513341539295e-5
AC245297.3	54.57239155109679	-0.6870030190346322	0.1327477448472113	-5.175251902210107	2.276036897292479e-7	1.0479885447088926e-4
KRCC1	13.722685853693372	-1.269034631367962	0.24847326933893624	-5.107328586065743	3.267452752249381e-7	1.381345356831218e-4
SRSF2	89.1607667294272	0.5907597461571047	0.11575461656752883	5.103552356483923	3.33336234756568e-7	1.381345356831218e-4
ATP1B3	53.31681214096828	0.8958098724995733	0.18146529599690028	4.936535482326468	7.952257485844653e-7	3.010560118443117e-4
LY6E	58.21757181157198	-0.8238770083890565	0.166926126957979	-4.935578530474468	7.991351665751516e-7	3.010560118443117e-4
GLIPR2	20.637022934089337	-1.1903231552200129	0.2423565839043688	-4.911453759761283	9.040360829896763e-7	3.20204541871086e-4
CHMP4B	44.87659823231565	0.8688342618519588	0.17707877517013496	4.906484478544615	9.272332293564267e-7	3.20204541871086e-4
MYCBP2	27.463484439306647	-0.9616590008425557	0.1970931510310858	-4.879210646395732	1.0651125979577751e-6	3.531061284749616e-4
TRIM56	19.64167937781882	-1.2076671362306994	0.2481008820569503	-4.867645476381199	1.1293569267051036e-6	3.600042387896884e-4
TUBA4A	45.11890728709687	1.3894696610657093	0.2871075607029765	4.839543959286979	1.3013740479754558e-6	3.773490413788521e-4
MAP1LC3B	92.33056994743961	0.48096983922983727	0.0994424565346029	4.8366649013992795	1.3203574082995549e-6	3.773490413788521e-4
CYBC1	12.189728167588903	-1.4141483758395232	0.29223381927866343	-4.839098976737676	1.3042908360671324e-6	3.773490413788521e-4
LRRFIP1	112.81984848580372	0.6348885084594678	0.13144960902115246	4.829900318359284	1.366014186140181e-6	3.773841858243273e-4
CXXC5	15.195365108703314	-1.1926035767745404	0.24922492787261144	-4.78524996257247	1.7077466422301742e-6	4.5657432809044143e-4
SMIM14	7.951292298247453	-2.0629174750074863	0.4339757533011041	-4.753531641608047	1.9989380342669972e-6	5.177249508751523e-4
CDK2AP2	34.270231243534994	-0.8462888730947279	0.17917205283220633	-4.7233307857853974	2.3201301383192542e-6	5.655658407761759e-4
RASAL3	18.257519647816913	-1.1894373730087413	0.2516825188782309	-4.725943535173435	2.290492942342307e-6	5.655658407761759e-4
AKAP5	14.194744978627	-1.5265947785225633	0.327816138458349	-4.6568627941925635	3.210642599568899e-6	7.602801675779153e-4
FCGR3B	9.741711678974433	-5.344115863903597	1.1492181796674688	-4.650218695156685	3.3158323181870247e-6	7.633782848092795e-4
GIMAP4	43.83015174141107	-0.9202475506155239	0.1984848920652427	-4.6363606874070555	3.5459699159670357e-6	7.94297261176616e-4
ABLIM1	50.78407510845156	0.6804066245368564	0.14784061972273285	4.602298243966526	4.178542666408277e-6	9.113621478734684e-4
SRM	17.916399726166958	-1.1933510957165798	0.26034350307491055	-4.58375600551556	4.5669712296462686e-6	9.705399372130327e-4
LCK	14.735679414035939	-1.4015303191605333	0.3069468851295246	-4.566035320961538	4.970350551380275e-6	0.0010248811297405918
YPEL5	68.53583862509947	0.5899179300361524	0.1293149276169564	4.561870318510696	5.0699959362167306e-6	0.0010248811297405918
MAGED2	20.34670428200045	-0.9882604738595292	0.21689871834952837	-4.55632233043888	5.205703225905519e-6	0.0010272587699120225
VPS13C	30.4655095890761	-0.8427269899981724	0.18552005752812747	-4.542511474105182	5.558796989364931e-6	0.0010714258011129429
C5orf56	42.743802471868186	-0.8682398085156182	0.19351181759709873	-4.486753415356455	7.231668966254023e-6	0.0013319127198291854
TGFB1	150.24474511965263	0.4780274409763945	0.10644607091686588	4.490794604807281	7.095795338512541e-6	0.0013319127198291854
