gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FCGR3B	12.642852199407908	-4.38957935205319	0.6817209203766817	-6.43896823589886	1.2028836814447285e-10	9.849211583669438e-7
STK17A	85.85291873898157	-0.475872599684114	0.077098676865448093	-6.172253779589532	6.732332238238239e-10	2.756216818334735e-6
MX1	13.747846400173596	-1.6570514890753385	0.27570661810816527	-6.010198450968064	1.8529636433424876e-9	5.05735543722943e-6
XAF1	27.800445177558704	-1.0537387450046445	0.19350553271665877	-5.445522565742787	5.165351407746779e-8	1.0573474331657657e-4
GTF2I	33.699910044664364	-0.6242055653181005	0.116828958007477	-5.3429010749043195	9.147068845901558e-8	1.3705611451877173e-4
ACAA2	19.81004102973532	0.7099052940991865	0.133292003010567	5.325940627082535	1.0043193540701395e-7	1.3705611451877173e-4
HERC5	14.41544415684031	-1.3979969097421403	0.2726261157228023	-5.1278906499316435	2.9300653852010114e-7	2.772061672302431e-4
ANXA2	36.070069976060665	0.7836747909940233	0.1530459808770273	5.120518595151527	3.0469656876797604e-7	2.772061672302431e-4
MIAT	15.019197660627164	-1.3637629993222835	0.2654289931361961	-5.137957926934205	2.7774004244427274e-7	2.772061672302431e-4
PDCD4	55.86669797802873	-0.5119358571500138	0.1036675948748182	-4.938243795162721	7.882925583151211e-7	6.454539467484211e-4
EIF2AK2	25.538877976481917	-0.8685925938514326	0.1823187552011883	-4.764142849115785	1.896581152276381e-6	0.0012941005395699172
HELZ2	5.691278584313723	-1.2799354686238305	0.26775625836880185	-4.78022615202844	1.7509811628529369e-6	0.0012941005395699172
EPSTI1	16.774645010359446	-1.2472002536136242	0.2632297808612035	-4.738066678979804	2.1576682215583983e-6	0.0013589990306246281
LINC00623	33.68261406675974	-0.7164774303759228	0.15172236766853495	-4.722292707303367	2.3320072855861137e-6	0.0013638911181699357
SMDT1	34.62139999369085	0.4980630367615889	0.10586159308438686	4.704851138642523	2.5405125631965997e-6	0.0013867811244969172
IFI44	4.102875957701997	-1.6551475530544313	0.3530826370796946	-4.6877058774228155	2.7628470591430005e-6	0.0014138869825164305
SLF1	9.910637306891038	-1.162269554476891	0.24938879648323095	-4.660472205915805	3.1548476248225815e-6	0.0014351051306692943
IFIT1	4.50275641190239	-2.3997101820027917	0.51464829669024	-4.662815747055985	3.119119979750222e-6	0.0014351051306692943
AKAP5	10.377271042975451	-1.4117900512488835	0.30795543284224913	-4.5843972883312505	4.552978253686075e-6	0.0019620939969042937
PPP1R2	44.077214426527625	-0.6610372011954726	0.1459758803914936	-4.5284001673607515	5.9431948825733075e-6	0.002335060415189358
KLRC1	23.11558815953946	1.195390811610006	0.2646461772952711	4.516939650619945	6.273977666605505e-6	0.002335060415189358
SMURF2	10.065032637520842	-1.0389983938773262	0.2299599820138752	-4.518170443301894	6.237626472710597e-6	0.002335060415189358
IFIT3	14.704748035901664	-1.096708717334312	0.24491335154112173	-4.477945814032809	7.536472376977562e-6	0.002682984166204012
PRMT2	57.13994342733032	0.42350133644837107	0.0950311037889779	4.4564497260684295	8.332813101326355e-6	0.0028428780697358417
LINC00996	8.481168000325992	-2.5848691497022993	0.5899233705724193	-4.381703249345975	1.1775512247332218e-5	0.003856715771246248
IFIT5	8.020005714161108	-1.1393603502110907	0.2622751221494629	-4.344141910500389	1.3982111230320745e-5	0.004403289490533317
DDX3Y	19.88974196867855	1.7022367559430862	0.39387250964192194	4.321796302795102	1.5476403705375348e-5	0.004693362723689383
EPHA1-AS1	2.743365575780482	-2.3364608730023595	0.5465511877051678	-4.274916834071071	1.912086557847024e-5	0.004950252858263816
CLEC2D	40.26815982844924	-0.7095240347061728	0.16631286730555314	-4.266200482267086	1.988301217814515e-5	0.004950252858263816
SCAF11	64.42971576177409	-0.3461273859434312	0.08084790795164518	-4.2812163568963175	1.8587453207306556e-5	0.004950252858263816
OAS1	4.258333036235026	-1.8668515724125287	0.4341312306374315	-4.3002010467467295	1.7064322885893476e-5	0.004950252858263816
IRF3	20.847801644248964	-0.887112149628383	0.20797674876004224	-4.265439069113962	1.9950945813715918e-5	0.004950252858263816
MBOAT7	3.214972271173358	-1.602286636310765	0.37366393843149076	-4.28804193157252	1.8025507079350465e-5	0.004950252858263816
YPEL3	56.264340243245144	-0.34948471586582897	0.08260104236673356	-4.230996436027775	2.326583587875474e-5	0.005602960711036583
CX3CR1	17.128430327735252	1.4134701369341707	0.3351332165420096	4.217636650639163	2.468762094267728e-5	0.005775492579389759
B3GNT2	17.332886586408886	-0.5797632890598415	0.13771922123897004	-4.209748529247328	2.5565508070825524e-5	0.005814732780108872
TRGV7	3.122665031419498	-1.7846737252643023	0.42905615048257234	-4.159534185110798	3.1889729154793685e-5	0.006871397429459229
PAGR1	12.498313273718704	-0.6912342170928943	0.16596991899369498	-4.1648162587773125	3.11603412811435e-5	0.006871397429459229
TUBA1B	39.88173715995479	0.5999365554311155	0.1451482512159506	4.133267541325964	3.576420016457124e-5	0.00750864797301306
GMFB	6.816022688926276	0.9226624691075405	0.2236949452731575	4.124646035165714	3.713053430991324e-5	0.00760062037323924
DRAIC	3.3885798249234855	-4.048321858304792	0.9843989549303647	-4.112480857510831	3.914299360283645e-5	0.007817142234634752
SAT1	90.94849298942219	0.5969948646843756	0.14566230751407666	4.098485564816984	4.158621681316572e-5	0.008003104423652633
RBM3	98.34891454214815	0.3358197408047168	0.08198658087496817	4.096032999800922	4.202900466744788e-5	0.008003104423652633
KLHL18	8.343592027770411	0.8222665430307997	0.20139926494069207	4.082768342143355	4.450237925879924e-5	0.008097455141578848
SAMD9L	19.44474008328199	-0.7929283249727371	0.19400946350971335	-4.087060036290643	4.368740963732949e-5	0.008097455141578848
SERPINB1	41.94190461518408	0.4885951277021905	0.12001562920661975	4.071095830869009	4.679249326601159e-5	0.008151849677917083
DIP2A	15.65950011514495	0.8489478289617763	0.20852864917174627	4.071132826754057	4.6785061342723375e-5	0.008151849677917083
MRFAP1L1	16.6055539913998	-0.6669026911320401	0.16488369844383005	-4.0446854202462585	5.239342788592634e-5	0.008937445573540936
TUT4	38.28241505337444	-0.46266510379532727	0.11467474163843949	-4.034585970588661	5.469866072445932e-5	0.008957452680237458
ANKRD12	80.87241969831217	-0.26493932485383787	0.0655950877320315	-4.0390116701446575	5.367689482017082e-5	0.008957452680237458
ZDHHC18	7.777277520990482	-0.9319479606878672	0.23219620713343264	-4.013622669350146	5.979390529981388e-5	0.009599852874409336
OAS2	11.280341977427465	-1.2716903883790804	0.317754238922507	-4.0021193507640875	6.277761539843917e-5	0.009885059901584997
NEDD9	10.635261974979466	0.7972362294042179	0.20077796730541403	3.970735634510631	7.165105099349e-5	0.010864422324716594
BMI1	12.214977446406706	-0.7496243955265718	0.18867219552118564	-3.9731577483148435	7.092604263096039e-5	0.010864422324716594
NF1	10.496221013260797	-0.9532327429762794	0.24200773271121637	-3.9388524172231945	8.187226941243937e-5	0.012188548035437338
UCP2	24.056234000794323	0.7039668025877336	0.17975869668212144	3.916176605533596	8.996435609613237e-5	0.01315407406634164
LBH	57.22625816251503	-0.42796694775765426	0.10961528426773268	-3.904263448447165	9.451278339158262e-5	0.0135766784282505
F2R	25.19454214463366	-0.6769699380339687	0.17459948846871756	-3.8772733183308223	1.056336692024407e-4	0.014912560059130768
TMX4	29.620720219172043	0.5117962003576889	0.13226694816534443	3.8694186828738357	1.090951593107751e-4	0.015140189227739432
SH3BP5	22.787930460663045	0.5344328427770383	0.13859206137433752	3.856157686647966	1.1518320276906041e-4	0.015460984660214205
PARP9	11.179726469529522	-1.0247289657420902	0.26558049221049773	-3.8584496821020093	1.1410855395576659e-4	0.015460984660214205
RSAD2	4.576726415346726	-2.1830169572343463	0.5706121885905113	-3.8257454027168456	1.303769818136236e-4	0.016814018426418977
ARHGDIB	128.16881299733444	0.2271939374641375	0.05938143594975392	3.8260094898408905	1.302372711056614e-4	0.016814018426418977
XBP1	39.39155413543294	0.3899520862344049	0.10198091012603831	3.8237753100306984	1.3142369068036328e-4	0.016814018426418977
TMEM245	7.19447318531926	-1.1009833038353072	0.2907961027662044	-3.786100616074903	1.5302973241883508e-4	0.019277037677621872
CAP1	46.58310756437192	0.42348406380621084	0.11221628554123507	3.7738200098469408	1.6076676889470023e-4	0.019944822783481902
CALM2	91.89885798737629	0.2561479318930012	0.06836145494314609	3.7469643106050157	1.789875403285588e-4	0.021031880650134806
VSIR	8.428279295457674	0.9369783740714707	0.2501395437647704	3.745822671494912	1.798035717524959e-4	0.021031880650134806
MYL6	157.72927406002657	0.2018168632992801	0.05383320858560074	3.7489287486620646	1.7759152685187232e-4	0.021031880650134806
HOXB2	12.824844197855588	-0.8384533562348705	0.2236561330701902	-3.7488502762038634	1.7764709584420103e-4	0.021031880650134806
FAM102A	8.796070588235342	-1.6629883793739482	0.4472589909954528	-3.7181776394761297	2.0066514785836573e-4	0.022842159176166655
S100B	4.623633342246253	2.1513305104734015	0.5786361147263773	3.717933353487126	2.00859240435271e-4	0.022842159176166655
TPM3	125.20230315182854	0.3228523267356594	0.08708441190579229	3.7073492220963757	2.0944003718263165e-4	0.02349171266371764
