gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XIST	19.761129152087346	-7.465795612149433	0.9489387240212321	-7.867521287899712	3.6173672932462205e-15	2.4279769272268633e-11
IL1B	41.28146809588821	1.6536690137250296	0.22832399590864882	7.242642224896298	4.400265979201093e-13	1.4767292626198867e-9
FCGR3B	15.086425851634292	-5.892794593363146	0.8545125643617711	-6.896088880523868	5.34537589932339e-12	1.1959387678752864e-8
RIC3	4.045850503209651	3.435559561647614	0.5424143571008323	6.333828588185691	2.391511965730758e-10	4.012957078496212e-7
BTN3A2	34.509501818960686	-0.9810750568583031	0.17454980686837723	-5.620602362499905	1.9029280170015488e-8	2.5544905700228792e-5
DOCK10	16.999315404175043	-1.1350824304799216	0.20368144806420124	-5.572831700028659	2.506316722508897e-8	2.803732973579953e-5
OAS2	11.343300542417989	-2.0495859185300693	0.37037248692381536	-5.533850355768094	3.1327627999738996e-8	3.0038719876321164e-5
LRRFIP1	84.39368675825916	0.5416980184132898	0.09900149714450925	5.471614410260796	4.4595429584801305e-8	3.74155654216483e-5
DDX3Y	16.895782927133723	1.7254518616426098	0.3211758687603522	5.372296082835752	7.774032111989686e-8	5.7977003928527524e-5
RNF19A	58.96400133032335	-0.5692546014598582	0.10785398712574952	-5.278011658448479	1.3059315851941283e-7	8.629797294434407e-5
CCND2	35.98975545747625	0.8682797363113864	0.1654695597689431	5.2473683831867755	1.542871983510323e-7	8.629797294434407e-5
HOXB2	12.633185049992411	-1.3787606249823845	0.26213838257553085	-5.259667094287947	1.4431643653097864e-7	8.629797294434407e-5
XAF1	29.168065036118147	-1.2275682969496857	0.23823818866665258	-5.152693209346562	2.5677184588099067e-7	1.2310375925380068e-4
CD7	87.60807171524694	-0.5899460973131226	0.11438372731798595	-5.1576051169680515	2.50128432780061e-7	1.2310375925380068e-4
SPOCK2	36.68459088485801	1.012369394312475	0.19818019905009038	5.10832766928747	3.250226507953179e-7	1.4031634436623998e-4
CIB1	72.67143072155847	0.4327601965615961	0.08480668849529263	5.102901719663507	3.3448473031284857e-7	1.4031634436623998e-4
SMDT1	33.11772580085507	0.5455785370907449	0.10847679600825826	5.029449220174335	4.918907456501424e-7	1.9421004028257385e-4
ANXA2	32.79831002816361	0.7748183442998323	0.15652433928528425	4.950146078480699	7.415779905434615e-7	2.7652619291820634e-4
PRMT2	54.47590414040843	0.4546235988224348	0.09257445383514165	4.910896905014823	9.066074742012219e-7	3.202710193072948e-4
SP140	10.031566493652825	-1.453213272880279	0.2974690645556509	-4.885258489150927	1.0329324911873077e-6	3.466521440424605e-4
TIGIT	22.974069178609035	-1.7516535952888521	0.3629803717651051	-4.825752937468467	1.3947532481513781e-6	4.457897048377166e-4
G0S2	4.125188017820814	2.063003356698576	0.42884596263339864	4.810592931854522	1.504832156871187e-6	4.478097685999712e-4
CXCL3	18.043063257581608	2.367544268893485	0.4925520629808877	4.806688362170867	1.5345090401965638e-6	4.478097685999712e-4
EIF2AK2	26.375819064146032	-1.0442164209866924	0.22000276427696802	-4.746378639461536	2.0709088286735993e-6	5.787726199440987e-4
CXCL2	11.447747113940471	1.7005171273993578	0.3588915369373541	4.738248056532438	2.1557383043209874e-6	5.787726199440987e-4
PTGS2	7.009207540404818	1.8456437104816759	0.3933621897072664	4.691970298048151	2.7058641834420233e-6	6.985292461254946e-4
HBA1	14.545958246345226	3.6714753892623637	0.7921240079299477	4.634975524674482	3.569797146765706e-6	8.874251277441265e-4
TSPAN2	11.862735067695906	1.1533241139026462	0.25439373777227287	4.533618335114342	5.798175808241917e-6	0.0012921819311315765
LBH	57.476041192615	-0.5265111008214132	0.11597522338361323	-4.5398584754595674	5.629199930300657e-6	0.0012921819311315765
PARP14	33.93136254634207	-0.89570951616015	0.19728722747882224	-4.540129270437944	5.62197488285927e-6	0.0012921819311315765
EPSTI1	17.83193273366718	-1.4897284176432957	0.32903868055257746	-4.527517601096295	5.968063150339521e-6	0.0012921819311315765
SAMD9L	19.633809954558213	-1.0797464095852471	0.23985237739008508	-4.50171235046462	6.74081710222118e-6	0.0014138863871908925
PIM1	35.751534915048715	-0.7771447495095478	0.17327199324513506	-4.485114616359777	7.287475056210872e-6	0.0014386333110966874
ITPR2	12.23200956086895	-1.0758783534231553	0.23960199730566742	-4.490272892218946	7.113198194145784e-6	0.0014386333110966874
TRIM22	35.02505702921217	-0.6596629801308459	0.14805141056651355	-4.45563455023271	8.364541512126843e-6	0.001604080075125582
