gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PRDX1	72.55502573950285	1.6672075528426222	0.1860999017578193	8.958669709628538	3.2861889037531756e-19	2.600361279539888e-15
HOPX	55.48144409396039	-1.073972915258645	0.16929196448311923	-6.343909579746977	2.2400633380075303e-10	8.862810596826793e-7
ECE1	22.82678033957157	1.4572171201499873	0.2617955098503464	5.566241838842062	2.602919363485829e-8	6.865633641087788e-5
UBE2E3	48.001802434796446	0.8900324229616209	0.16902445753529366	5.265701993309311	1.3965466965436872e-7	1.3813592512187747e-4
GIMAP7	88.58718011184914	-0.8166324622417023	0.15430909692676842	-5.292186128399529	1.2086278820068719e-7	1.3813592512187747e-4
CEP78	15.090989352704284	-1.5149631803665868	0.28736447398672327	-5.271922306014002	1.3500222974944495e-7	1.3813592512187747e-4
KLRF1	59.02962750424493	-0.804119300165161	0.15174941123325233	-5.298994530721164	1.1644212180688972e-7	1.3813592512187747e-4
ZFP36L1	39.63027618441817	-0.9688136228948472	0.18147556120966402	-5.33853493240089	9.370065496722129e-8	1.3813592512187747e-4
GADD45A	14.390470615634191	2.023129260910107	0.38648593361455036	5.234677603888714	1.6527308589273195e-7	1.4531176985213199e-4
B3GNT5	5.3009621081913	2.764134996642501	0.5384614952705838	5.133393976951847	2.845633610967602e-7	2.112473147342944e-4
NRIP3	5.654153286623828	2.443811135742371	0.4781416666394798	5.111060813666782	3.203548308873414e-7	2.112473147342944e-4
CHMP4B	43.811836461194176	0.9328783082596154	0.18220497295358914	5.119938787275779	3.0563484597322563e-7	2.112473147342944e-4
GLCCI1	21.593499387036804	-1.27230354821014	0.25357388595158603	-5.0174864948556115	5.235188038323486e-7	2.959003067660982e-4
XIST	14.823080130756011	-5.421926480839787	1.080181575608189	-5.019458397804098	5.18173655388179e-7	2.959003067660982e-4
KRCC1	13.740272474456454	-1.5511617445845662	0.31894614463127846	-4.863397067795899	1.153880432902362e-6	5.309536823703974e-4
FNBP1	81.16212432119414	0.6071853220710125	0.12535748218739387	4.843630483606442	1.2748793081053395e-6	5.309536823703974e-4
LPXN	39.47613351623177	0.9529823643937035	0.19640185786918907	4.852206464505164	1.220954168917059e-6	5.309536823703974e-4
AKAP5	14.101611180875766	-2.079924772001033	0.42941036725385484	-4.843676190918424	1.2745859222467394e-6	5.309536823703974e-4
RAB27A	39.99280410382394	-0.9071664657772585	0.1855881136367321	-4.888063400185935	1.018327388988686e-6	5.309536823703974e-4
GSTM3	3.045286715582937	3.0112348953478585	0.6237062457578558	4.827969762734945	1.3793203011945337e-6	5.457280771676172e-4
STK17A	105.61756190338063	-0.5580161292729882	0.11627547924295561	-4.799086900403335	1.593906300468975e-6	5.732991161641363e-4
LDHA	199.6592967098194	0.42088135084282646	0.08766419036496834	4.801063571004195	1.5782515318600574e-6	5.732991161641363e-4
