gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DIP2A	22.466753098352164	1.790606204367594	0.22767201280498198	7.8648498878137545	3.695403117325065e-15	1.5384228815674912e-11
PRMT2	59.63682538300534	0.6996270826107494	0.0893623228447342	7.829105828262117	4.9135192640290364e-15	1.5384228815674912e-11
S100B	13.705430395787658	4.141649070245088	0.5645722469838991	7.335906241178027	2.2022615841597803e-13	4.596854013336182e-10
FCGR3B	12.791751255906117	-4.812680609355497	0.7288672557811449	-6.602959004102372	4.030310239698746e-11	6.309450680248386e-8
MYOM2	21.314154399136473	3.7025718732591963	0.5977872354757933	6.19379547358891	5.873242960792526e-10	7.355649484096561e-7
KLRC1	24.962705251622186	1.534803585059187	0.27766105923215856	5.52761553709951	3.246124472543582e-8	3.387871907844652e-5
LAIR2	24.284762091658695	2.0208136960826613	0.37832344102722587	5.34149745148156	9.218191237648547e-8	8.246330504307885e-5
STK17A	84.18243529430033	-0.42708161060967703	0.08266517579467964	-5.1664029805059	2.386419845226726e-7	1.733690573662338e-4
HSPB1	6.993997885260176	1.5632047994811011	0.3030452236735728	5.158321852202883	2.491730303890297e-7	1.733690573662338e-4
GBP5	25.708643337500344	0.6164766031475951	0.13008284910505763	4.739107479493439	2.146616275109856e-6	0.0010571817103046722
MIR4435-2HG	9.671638322493518	1.5015581761729675	0.31565868641059874	4.756904342622108	1.9658426348084165e-6	0.0010571817103046722
PCED1B-AS1	88.49979993640646	0.4072608341764754	0.08587254646048649	4.742619742432733	2.1097205056109467e-6	0.0010571817103046722
ACAA2	18.24819894228406	0.6667040100846534	0.14081486117046166	4.734613978545796	2.1947240871863203e-6	0.0010571817103046722
TMSB4X	319.47785184310743	0.20660541677157937	0.044896749762141135	4.601790059773946	4.188753026716273e-6	0.0018735693895212359
GADD45A	11.343088706118715	1.5372930025704556	0.336812625267434	4.564238057732614	5.013116853504589e-6	0.002092809182443049
HLA-A	265.5213630878209	0.20132921161378844	0.044429782614827266	4.53140213084455	5.8593481186612306e-6	0.002240286131683439
BCL11B	30.151492302571505	-0.6874453861253865	0.1519712724864632	-4.5235219451532895	6.081901028204801e-6	0.002240286131683439
SLF1	9.754897950230895	-1.1532283500584577	0.25628640785766227	-4.499763993332584	6.802894796014985e-6	0.002263068504500805
SERF2	159.5927722879403	0.3601213601156749	0.08018868996944706	4.490924596135513	7.091465536975403e-6	0.002263068504500805
ATP5F1E	176.91546066973365	0.2494447419316699	0.055594459872386495	4.4868633044417425	7.227941566594713e-6	0.002263068504500805
SH3BP5	23.33405286604616	0.7453860604450092	0.16728844963603456	4.455693516597994	8.362242544553168e-6	0.0024935410863805687
MYL6	154.00260397427783	0.28460622759920823	0.06417857340686556	4.434598846486081	9.224388958743611e-6	0.002625596529984204
ITGB1BP1	17.640548891917934	0.6954831360041102	0.15729862388221935	4.421419074364362	9.805478835404157e-6	0.002669648194230471
CD63	92.31819048182788	0.36439987007213365	0.08264246222061206	4.409353984388522	1.0367943569785605e-5	0.002705169276416561
TMEM39A	4.319221707581506	-1.480691642102093	0.3388367124672468	-4.369926833843963	1.2428817364880693e-5	0.0030619371395144727
ZBTB38	33.50723835522486	-0.9306508813815354	0.2132083503428462	-4.364983265829023	1.271324906218082e-5	0.0030619371395144727
HLA-E	189.65504402710135	0.2501233451538485	0.05789672085902763	4.320164276019574	1.55913090269574e-5	0.0035763461325540686
UBA52	207.8531963678529	0.2173279840775068	0.05037070747145613	4.314570808850786	1.5991327325377503e-5	0.0035763461325540686
UCP2	24.753386071769363	0.9187359034466179	0.21343965109817278	4.304429372516356	1.674166896924974e-5	0.003615045899497996
