gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AL627309.5	1.616479849162664	2.7520281710383854	4.317960304384663	0.6373444814311621	0.5239004829931566	0.9997946887506981
LINC01128	0.565481360086551	-2.461729347823916	5.806463830888161	-0.42396360668406474	0.6715923548938857	0.9997946887506981
NOC2L	2.923625562800852	0.7232899688862031	2.887515915917102	0.2504886518197699	0.802209479572616	0.9997946887506981
ISG15	7.613953902543415	0.22639373070706828	1.9103253460671952	0.11851056217892265	0.9056631266649745	0.9997946887506981
TNFRSF18	9.040101083842872	1.2190183874017029	2.072698287770025	0.5881311306110165	0.5564442791716548	0.9997946887506981
TNFRSF4	3.7712142131355164	0.6556608094947122	2.572995408145683	0.2548239330000346	0.798859089481649	0.9997946887506981
SDF4	6.525828757705565	0.1382035470994231	1.97863584751077	0.06984789407979775	0.9443147262730275	0.9997946887506981
B3GALT6	1.9070258942353842	-0.8210220920419994	3.8310362190508416	-0.21430809971444534	0.8303068021117368	0.9997946887506981
UBE2J2	5.029617155794494	-0.3327677414482168	2.540883095745451	-0.13096538837438662	0.8958026876026222	0.9997946887506981
INTS11	2.6558622230213036	0.21095950415138054	3.336361189829434	0.06323041545815532	0.949583025197859	0.9997946887506981
DVL1	0.565481360086551	-2.461729347823916	5.806463830888161	-0.42396360668406474	0.6715923548938857	0.9997946887506981
AURKAIP1	15.130227987057966	-0.7810879047967102	1.3425678626264619	-0.5817865349976946	0.5607104748658727	0.9997946887506981
CCNL2	3.278525108911672	-1.7529811592311246	3.0429116858381495	-0.5760867682718428	0.5645565345780115	0.9997946887506981
MRPL20-AS1	0.565481360086551	-2.461729347823916	5.806463830888161	-0.42396360668406474	0.6715923548938857	0.9997946887506981
MRPL20	13.929200846273249	-0.21820122643486609	1.4433701021104879	-0.15117482765911075	0.8798378066803532	0.9997946887506981
ATAD3A	0.33928881605193056	-1.7248037595163725	5.830306607740881	-0.29583414313517503	0.767356746971248	0.9997946887506981
SSU72	13.990826512060258	-0.03459452439012494	1.3820911457345322	-0.025030566541788517	0.980030582667311	0.9997946887506981
AL691432.2	0.4523850880692408	-2.1398186722495995	5.815416396004535	-0.36795622643973624	0.7129058740644727	0.9997946887506981
MIB2	2.0760369124661873	0.8498554748330838	3.3971260304755133	0.2501689567031239	0.8024566910537916	0.9997946887506981
CDK11B	5.586659761056438	0.6215152198057647	2.2426809160226364	0.27713047155545134	0.7816799248686377	0.9997946887506981
SLC35E2B	3.8843104851528265	0.4855575960722901	2.536548564850821	0.1914245218091642	0.8481930096570724	0.9997946887506981
CDK11A	3.490373702477727	-2.2645906048904667	2.955967450886778	-0.766108099130489	0.4436119842882733	0.9997946887506981
SLC35E2A	0.33928881605193056	-1.7248037595163725	5.830306607740881	-0.29583414313517503	0.767356746971248	0.9997946887506981
