"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"1","A1BG",2.95123336553371e-06,0.0457536144014563,0.0626309915639206,0.0288762372389919,4.23749923548482e-05,FALSE
"2","A1BG-AS1",0.56910593340398,-0.00294740061184835,0.00296222891062767,-0.00885703013432437,1,FALSE
"3","A2M",1,NA,NA,NA,1,FALSE
"4","A2M-AS1",0.807595268370317,-0.00177206044344236,0.00417810824080987,-0.0077222291276946,1,FALSE
"5","A2ML1",1,NA,NA,NA,1,FALSE
"6","A4GALT",1,NA,NA,NA,1,FALSE
"7","AAAS",0.0138065834146658,0.00623518441214891,0.00961678847594032,0.00285358034835749,0.0712102512307162,FALSE
"8","AACS",0.217689663769869,-0.00471093395980446,0.00154596358656871,-0.0109678315061776,0.635467912434551,FALSE
"9","AAGAB",0.429700846539129,0.00302824352784497,0.0116028290921929,-0.00554634203650299,1,FALSE
"10","AAK1",0.000329686148256329,-0.0283677458546011,0.000182080847293566,-0.0569175725564958,0.00290763151893316,FALSE
"11","AAMDC",0.000923357829825238,0.0110391621860992,0.0158435386220033,0.00623478575019515,0.00714708637234707,FALSE
"12","AAMP",0.0901461066402381,-0.00880532470710449,0.00495680671973949,-0.0225674561339485,0.325241136878884,FALSE
"13","AANAT",1,NA,NA,NA,1,FALSE
"14","AAR2",0.241936725630174,0.00504022679205381,0.0102530129459071,-0.000172559361799491,0.690201600836122,FALSE
"15","AARD",1,NA,NA,NA,1,FALSE
"16","AARS",2.11832161072556e-06,-0.0307888770914972,-0.016409366400064,-0.0451683877829304,3.14821808528098e-05,FALSE
"17","AARS2",0.288513580009853,0.00282336795441059,0.00572619726577095,-7.9461356949763e-05,0.787540997056778,FALSE
"18","AARSD1",0.00117969151720516,0.00819787076707098,0.0155352646455743,0.000860476888567677,0.008815656672824,FALSE
"19","AASDH",0.011214265967859,0.010510844257052,0.0161219205729987,0.00489976794110526,0.0597445798534025,FALSE
"20","AASDHPPT",0.0797485218925174,0.0105707288529207,0.0238840259950999,-0.00274256828925852,0.29675520617109,FALSE
"21","AASS",1,NA,NA,NA,1,FALSE
"22","AATBC",1,NA,NA,NA,1,FALSE
"23","AATF",0.655930589044891,-0.00150507218619482,0.0155718230494253,-0.0185819674218149,1,FALSE
"24","AATK",0.0248056115454693,-0.00683031411984112,0.000571765837107425,-0.0142323940767897,0.116024128334392,FALSE
"25","ABALON",1,NA,NA,NA,1,FALSE
"26","ABAT",0.273937093306927,-0.00268112782377835,0.00620571003997531,-0.011567965687532,0.756719084782808,FALSE
"27","ABCA1",9.6615283829336e-34,-0.182212858986796,-0.139800042920562,-0.224625675053029,1.72070343977139e-31,FALSE
"28","ABCA10",1,NA,NA,NA,1,FALSE
"29","ABCA13",1,NA,NA,NA,1,FALSE
"30","ABCA2",0.959943103836029,0.000424110053836139,0.00334320344992045,-0.00249498334224818,1,FALSE
"31","ABCA3",1,NA,NA,NA,1,FALSE
"32","ABCA4",1,NA,NA,NA,1,FALSE
"33","ABCA5",0.668835916702484,-0.00224465843505876,0.00486935349014536,-0.00935867036026287,1,FALSE
"34","ABCA6",1,NA,NA,NA,1,FALSE
"35","ABCA7",0.786019400686971,-0.00250501957886988,0.00485021073113337,-0.00986024988887312,1,FALSE
"36","ABCA9",1,NA,NA,NA,1,FALSE
"37","ABCB1",0.0170878153396839,0.00377841263427043,0.00810540529404654,-0.000548580025505685,0.0850498051888025,FALSE
"38","ABCB10",0.849350737531409,-0.00155884891799028,0.00399044561746747,-0.00710814345344804,1,FALSE
"39","ABCB11",1,NA,NA,NA,1,FALSE
"40","ABCB4",1,NA,NA,NA,1,FALSE
"41","ABCB5",1,NA,NA,NA,1,FALSE
"42","ABCB6",0.837391815532934,NA,NA,NA,1,FALSE
"43","ABCB7",0.12973693529879,0.00831292961167286,0.0166472475074382,-2.13882840924863e-05,0.428874570236664,FALSE
"44","ABCB8",0.449824991489093,0.00295690030298622,0.00712002639125468,-0.00120622578528224,1,FALSE
"45","ABCB9",0.577330761263539,NA,NA,NA,1,FALSE
"46","ABCC1",0.620274661966644,-0.00448133329838313,0.00607195155679008,-0.0150346181535563,1,FALSE
"47","ABCC10",0.497893415427852,-0.00273168718398986,0.00238306917637462,-0.00784644354435434,1,FALSE
"48","ABCC11",1,NA,NA,NA,1,FALSE
"49","ABCC2",1,NA,NA,NA,1,FALSE
"50","ABCC3",0.000100952863381457,0.0124777797342987,0.0170980166529518,0.00785754281564561,0.00102653788470729,FALSE
"51","ABCC4",1,NA,NA,NA,1,FALSE
"52","ABCC5",0.664515032046914,0.00177799543694695,0.00539364634436994,-0.00183765547047605,1,FALSE
"53","ABCC6",0.609204060733918,NA,NA,NA,1,FALSE
"54","ABCD1",0.604061857512253,-0.00399184274922644,0.00419615831801676,-0.0121798438164696,1,FALSE
"55","ABCD2",0.633202623407826,NA,NA,NA,1,FALSE
"56","ABCD3",0.0492016834261793,0.0110686235864821,0.0190629821947928,0.0030742649781715,0.203301087317414,FALSE
"57","ABCD4",0.322591262577362,-0.00662641947796385,0.00295024175947512,-0.0162030807154028,0.852347167161455,FALSE
"58","ABCE1",0.0965308419035073,0.0134188429160585,0.0276925598783894,-0.000854874046272429,0.342402491763615,FALSE
"59","ABCF1",0.0883348793221148,-0.0220246050494528,0.00865404061186868,-0.0527032507107742,0.320781545146261,FALSE
"60","ABCF2",0.559653839823154,-0.0057919675438799,0.00528847780848394,-0.0168724128962437,1,FALSE
"61","ABCF3",0.529394296873209,-0.00546630698680508,0.0046257537681312,-0.0155583677417413,1,FALSE
"62","ABCG1",0.000383643981472964,-0.0286792165217079,-0.00860819979944034,-0.0487502332439755,0.0033199538176221,FALSE
"63","ABCG2",0.454955952445689,NA,NA,NA,1,FALSE
"64","ABCG5",1,NA,NA,NA,1,FALSE
"65","ABCG8",1,NA,NA,NA,1,FALSE
"66","ABHD1",1,NA,NA,NA,1,FALSE
"67","ABHD10",0.550913652966157,0.00285679728348949,0.00757924381992075,-0.00186564925294177,1,FALSE
"68","ABHD11",0.0164751506426963,0.00570964693338661,0.00893280479942639,0.00248648906734682,0.0823823337815037,FALSE
"69","ABHD12",0.434425714224086,-0.00490438128545605,0.00547703126982917,-0.0152857938407413,1,FALSE
"70","ABHD13",0.319649783534346,-0.000462018338035677,0.0121579829896306,-0.0130820196657019,0.846263318231529,FALSE
"71","ABHD14A",0.115657759041003,0.00550382024968908,0.0100173845674367,0.000990255931941426,0.393462556776795,FALSE
"72","ABHD14B",0.00181751142246542,0.0196055109830506,0.0292799758051273,0.00993104616097378,0.0127629289517262,FALSE
"73","ABHD15",0.91815217935113,0.000876779311914279,0.00500768029290163,-0.00325412166907308,1,FALSE
"74","ABHD16A",0.737461409622653,-0.00417615563411305,0.00667812147891358,-0.0150304327471397,1,FALSE
"75","ABHD17A",0.00801064991526411,-0.0145959546014199,0.00776520004115587,-0.0369571092439956,0.045308167508458,FALSE
"76","ABHD17B",0.225787519544808,0.00192069575092573,0.0107045266227297,-0.00686313512087819,0.653430365947417,FALSE
"77","ABHD17C",0.00378839234603223,-0.0122694639345859,-0.00169561978714656,-0.0228433080820253,0.0239164131633783,FALSE
"78","ABHD18",0.0352707390323476,-0.00916566912046898,-0.000381966062813995,-0.017949372178124,0.155330962557205,FALSE
"79","ABHD2",0.134201945157142,0.00995970811278438,0.0222490179298935,-0.00232960170432478,0.440815533743848,FALSE
"80","ABHD3",0.00300182457172989,-0.00973576440954938,0.000378295496494331,-0.0198498243155931,0.0196290244210649,FALSE
"81","ABHD4",0.0109476392646074,-0.0088728402470925,-0.00144249402906061,-0.0163031864651244,0.0585153389495144,FALSE
"82","ABHD5",0.0375241536349663,0.0221506088968743,0.0390036925840617,0.00529752520968686,0.163564250922633,FALSE
"83","ABHD6",0.960623625461872,0.000595351163280823,0.0047986920944902,-0.00360798976792855,1,FALSE
"84","ABHD8",0.83067241654214,-0.0012199138847361,0.00283419409067687,-0.00527402186014907,1,FALSE
"85","ABI1",0.00945563933435587,-0.0309673790152779,0.000926014985585553,-0.0628607730161414,0.0519153793816072,FALSE
"86","ABI2",0.975464814757238,0.00114686559748362,0.01202417441374,-0.00973044321877277,1,FALSE
"87","ABI3",0.170459836397919,0.00848814367839755,0.0169709800941499,5.3072626452124e-06,0.530711813248289,FALSE
"88","ABI3BP",1,NA,NA,NA,1,FALSE
"89","ABITRAM",0.44755404391511,0.00428558107932386,0.010970043987053,-0.00239888182840531,1,FALSE
"90","ABL1",0.709673656240823,-0.00379761727529096,0.00581350303417296,-0.0134087375847549,1,FALSE
"91","ABL2",1.93011895405657e-13,-0.063920066619458,-0.043423585882773,-0.0844165473561431,7.7766180595667e-12,FALSE
"92","ABLIM1",5.31069174387297e-05,0.0254917323475112,0.0369624995395178,0.0140209651555047,0.000581050542735673,FALSE
"93","ABLIM2",0.66019083281022,NA,NA,NA,1,FALSE
"94","ABLIM3",1,NA,NA,NA,1,FALSE
"95","ABO",1,NA,NA,NA,1,FALSE
"96","ABR",0.00993108339440009,-0.0221020753481408,-0.0058593625984132,-0.0383447880978683,0.0540913519345981,FALSE
"97","ABRA",1,NA,NA,NA,1,FALSE
"98","ABRACL",5.43504909125206e-08,0.0272011580582694,0.0504978778056917,0.00390443831084718,1.07148832921772e-06,FALSE
"99","ABRAXAS1",0.000173257779821308,0.0193321188453789,0.0278203448533054,0.0108438928374525,0.00164657046087578,FALSE
"100","ABRAXAS2",0.0660666450768771,-0.0114747250156517,0.00165785995585475,-0.0246073099871581,0.257333285997842,FALSE
"101","ABT1",0.26820031935491,0.0115133906656388,0.0253893812177538,-0.00236259988647613,0.745438605650964,FALSE
"102","ABTB1",3.64456847961879e-06,-0.0374942203019853,-0.0183345663780865,-0.0566538742258841,5.14928931923741e-05,FALSE
"103","ABTB2",0.205663552604759,0.00754376680092166,0.0208663826649066,-0.00577884906306328,0.610195669935973,FALSE
"104","AC000032.1",1,NA,NA,NA,1,FALSE
"105","AC000065.1",1,NA,NA,NA,1,FALSE
"106","AC000065.2",1,NA,NA,NA,1,FALSE
"107","AC000068.1",1,NA,NA,NA,1,FALSE
"108","AC000068.2",1,NA,NA,NA,1,FALSE
"109","AC000068.3",1,NA,NA,NA,1,FALSE
"110","AC000403.1",0.660190832810214,NA,NA,NA,1,FALSE
"111","AC001226.1",1,NA,NA,NA,1,FALSE
"112","AC002044.1",1,NA,NA,NA,1,FALSE
"113","AC002059.1",1,NA,NA,NA,1,FALSE
"114","AC002070.1",1,NA,NA,NA,1,FALSE
"115","AC002091.1",1,NA,NA,NA,1,FALSE
"116","AC002091.2",0.842163982399927,0.00174748595577101,0.00745670783423946,-0.00396173592269745,1,FALSE
