"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"1","A1BG",0.0100240365108071,-0.0328356372855427,-0.0116573613781967,-0.0540139131928888,0.0697629840026779,FALSE
"2","A1BG-AS1",0.371067090619322,-0.00390344165662688,0.00155142683619872,-0.00935831014945247,1,FALSE
"3","A2M",1,NA,NA,NA,1,FALSE
"4","A2M-AS1",0.0298541916410003,0.00701165210432448,0.0124817015748621,0.00154160263378684,0.168585100838721,FALSE
"5","A2ML1",1,NA,NA,NA,1,FALSE
"6","A4GALT",1,NA,NA,NA,1,FALSE
"7","AAAS",0.366602689126327,-0.00445055401002013,0.00171856446979715,-0.0106196724898374,1,FALSE
"8","AACS",0.600915976713192,-0.00254965006420538,0.00238097807131082,-0.00748027819972158,1,FALSE
"9","AAGAB",0.159842972409253,-0.00225501077853258,0.00649050197095663,-0.0110005235280218,0.601162753197748,FALSE
"10","AAK1",0.0012521473285074,0.0476487628632392,0.075412396227681,0.0198851294987974,0.0121784113506458,FALSE
"11","AAMDC",0.00466553703097607,-0.0160772470711921,-0.00631213949914741,-0.0258423546432367,0.037046356799354,FALSE
"12","AAMP",0.959311357762158,-0.00105253478731638,0.0126704512242415,-0.0147755207988742,1,FALSE
"13","AANAT",1,NA,NA,NA,1,FALSE
"14","AAR2",0.444101449382771,0.00403404352972667,0.0104241264477134,-0.00235603938826006,1,FALSE
"15","AARD",1,NA,NA,NA,1,FALSE
"16","AARS",0.00114197960380817,0.0173692535674428,0.0270990606597944,0.00763944647509128,0.011256731973724,FALSE
"17","AARS2",0.725109221036504,-0.00166707307825588,0.00235880691602241,-0.00569295307253416,1,FALSE
"18","AARSD1",0.646896193580713,0.00253357159907473,0.0118325374069692,-0.00676539420881979,1,FALSE
"19","AASDH",0.191862110231476,-0.00707539812848983,0.000821897246820006,-0.0149726935037997,0.678820317551864,FALSE
"20","AASDHPPT",0.0277185824303026,0.0179167260657752,0.0314120029146568,0.00442144921689368,0.158553022637371,FALSE
"21","AASS",1,NA,NA,NA,1,FALSE
"22","AATBC",0.179288837678823,NA,NA,NA,0.647192699187074,FALSE
"23","AATF",0.11127167295569,0.0175163808065683,0.0341526499142226,0.000880111698914096,0.466227869701449,FALSE
"24","AATK",0.0576944169240972,-0.0107206409534836,-0.00159870011421544,-0.0198425817927517,0.285077235793496,FALSE
"25","ABALON",0.466580689167666,NA,NA,NA,1,FALSE
"26","ABAT",0.239114453094493,-0.000520004385011402,0.0092876918320296,-0.0103277006020524,0.781517621569771,FALSE
"27","ABCA1",6.37227092201004e-23,0.143339272283358,0.173090416490818,0.113588128075898,6.92551475129019e-21,FALSE
"28","ABCA10",1,NA,NA,NA,1,FALSE
"29","ABCA13",1,NA,NA,NA,1,FALSE
"30","ABCA2",0.191488646054668,-0.00345928345008693,0.00036340719438736,-0.00728197409456123,0.678066956717762,FALSE
"31","ABCA3",1,NA,NA,NA,1,FALSE
"32","ABCA4",1,NA,NA,NA,1,FALSE
"33","ABCA5",0.853468288554398,0.00185148903501765,0.0102916592080097,-0.00658868113797437,1,FALSE
"34","ABCA6",1,NA,NA,NA,1,FALSE
"35","ABCA7",0.0183261850502561,-0.01184197020637,-0.0030142910126093,-0.0206696494001307,0.114602195270014,FALSE
"36","ABCA9",1,NA,NA,NA,1,FALSE
"37","ABCB1",0.000821890387806763,0.00986591347576763,0.0157123432454804,0.00401948370605486,0.00847194697898284,FALSE
"38","ABCB10",0.429319188694376,-0.0040913884473316,0.00206757114804532,-0.0102503480427085,1,FALSE
"39","ABCB11",1,NA,NA,NA,1,FALSE
"40","ABCB4",1,NA,NA,NA,1,FALSE
"41","ABCB5",1,NA,NA,NA,1,FALSE
"42","ABCB6",1,NA,NA,NA,1,FALSE
"43","ABCB7",0.00950299159360161,-0.0176748929436245,-0.00587599349603462,-0.0294737923912144,0.0669092693831226,FALSE
"44","ABCB8",0.325784222472957,-0.00451651023077813,0.00142239836978389,-0.0104554188313401,0.949912854317222,FALSE
"45","ABCB9",1,NA,NA,NA,1,FALSE
"46","ABCC1",0.0754755555823696,0.00875949752387609,0.0183940044634499,-0.000875009415697689,0.35024161363196,FALSE
"47","ABCC10",0.973597627134211,-0.000650609598807065,0.00458257113086511,-0.00588379032847924,1,FALSE
"48","ABCC11",1,NA,NA,NA,1,FALSE
"49","ABCC2",1,NA,NA,NA,1,FALSE
"50","ABCC3",0.831510865500587,-0.00184468019228613,0.00392914510124126,-0.00761850548581352,1,FALSE
"51","ABCC4",0.552460532535696,NA,NA,NA,1,FALSE
"52","ABCC5",0.0547141476275888,-0.00817995765284953,-0.00141557243413799,-0.0149443428715611,0.272708591409099,FALSE
"53","ABCC6",1,NA,NA,NA,1,FALSE
"54","ABCD1",0.957889450565462,0.00122523612091651,0.00987612174733926,-0.00742564950550624,1,FALSE
"55","ABCD2",0.242145074683465,NA,NA,NA,0.786703987202273,FALSE
"56","ABCD3",0.987496767626893,-0.000790090014381305,0.00906312433712342,-0.010643304365886,1,FALSE
"57","ABCD4",0.0668007734149503,0.0106409804409723,0.0202973153650985,0.000984645516846069,0.318997023655485,FALSE
"58","ABCE1",0.104418786353029,0.0161242823091916,0.0318884950203511,0.000360069598032073,0.446248707235279,FALSE
"59","ABCF1",1.35911730362426e-07,0.0805467976173323,0.108846586434513,0.0522470088001521,3.14795333505016e-06,FALSE
"60","ABCF2",0.130439651334225,0.00662964707603124,0.0143057392429848,-0.00104644509092232,0.524330579874189,FALSE
"61","ABCF3",0.0138471659218474,0.00680059836828941,0.0166492429621574,-0.00304804622557858,0.0914214913961717,FALSE
"62","ABCG1",3.42106612995603e-11,0.0498301273408227,0.0651644155856742,0.0344958390959712,1.25004576710618e-09,FALSE
"63","ABCG2",1,NA,NA,NA,1,FALSE
"64","ABCG5",1,NA,NA,NA,1,FALSE
"65","ABCG8",1,NA,NA,NA,1,FALSE
"66","ABHD1",1,NA,NA,NA,1,FALSE
"67","ABHD10",0.998825627200215,7.71079339909339e-05,0.00511462840801967,-0.00496041254003781,1,FALSE
"68","ABHD11",0.1430286996352,-0.00636179099973165,2.55114950102695e-05,-0.0127490934944736,0.559134504774738,FALSE
"69","ABHD12",0.0264447177163225,0.0185675204535289,0.0330118623328162,0.00412317857424157,0.152834170319614,FALSE
"70","ABHD13",0.669502136929846,-0.00191137299802266,0.0115848364297289,-0.0154075824257742,1,FALSE
"71","ABHD14A",0.644780194302824,-0.00263644346356991,0.00283213179456302,-0.00810501872170284,1,FALSE
"72","ABHD14B",0.0235292432802322,-0.0129271705754955,-0.00185085519180538,-0.0240034859591856,0.139757638127231,FALSE
"73","ABHD15",0.973736872777446,-0.000571230116195146,0.00381681490618819,-0.00495927513857848,1,FALSE
"74","ABHD16A",0.96751664522832,-0.00150634813267302,0.0107325676952761,-0.0137452639606221,1,FALSE
"75","ABHD17A",0.0551492227989935,-0.000912234536543405,0.0221377856769127,-0.0239622547499995,0.274554258580942,FALSE
"76","ABHD17B",0.251105805108211,0.00522060949123317,0.0136507523621919,-0.00320953337972554,0.805705575724196,FALSE
"77","ABHD17C",0.226287303948932,NA,NA,NA,0.75314429083856,FALSE
"78","ABHD18",0.309224228907334,0.00591681502029486,0.0138014170784083,-0.00196778703781859,0.919989164435984,FALSE
"79","ABHD2",0.223687809816171,-0.0137284293341347,0.00295154198090508,-0.0304084006491745,0.747731191393392,FALSE
"80","ABHD3",0.00174560157989701,-0.0176501039204538,-0.00758792146452665,-0.027712286376381,0.0161815160699232,FALSE
"81","ABHD4",0.519869236927661,0.00320143214850309,0.00883742207892098,-0.0024345577819148,1,FALSE
"82","ABHD5",2.37069899708901e-07,-0.0667518863897236,-0.042937981217247,-0.0905657915622002,5.24997114371028e-06,FALSE
"83","ABHD6",0.940089099475298,-0.000869950561608801,0.00367763582978724,-0.00541753695300484,1,FALSE
"84","ABHD8",0.00176995512393428,-0.00624975879938216,-0.00237498881048844,-0.0101245287882759,0.0163730506073938,FALSE
"85","ABI1",4.84851450588653e-07,0.072085005479327,0.102513377308616,0.041656633650038,1.01435901207555e-05,FALSE
"86","ABI2",0.00940372584020841,0.0136403742871487,0.0228841662981276,0.00439658227616987,0.0663905107074231,FALSE
"87","ABI3",0.00153236008607928,-0.0169012621090825,-0.00716931356893549,-0.0266332106492295,0.0144398876408529,FALSE
"88","ABI3BP",1,NA,NA,NA,1,FALSE
"89","ABITRAM",0.219861726255675,0.00726198366992138,0.0163464470812488,-0.001822479741406,0.738669873896089,FALSE
"90","ABL1",0.99978519431283,-0.000151412800588686,0.00844478754844078,-0.00874761314961815,1,FALSE
"91","ABL2",0.16091415990827,-0.0096241786911074,0.00627478780372782,-0.0255231451859426,0.604333473495652,FALSE
"92","ABLIM1",5.49018286551632e-28,0.0774980746671117,0.0956726321372349,0.0593235171969884,8.13660457824387e-26,FALSE
"93","ABLIM2",1,NA,NA,NA,1,FALSE
"94","ABLIM3",1,NA,NA,NA,1,FALSE
"95","ABO",1,NA,NA,NA,1,FALSE
"96","ABR",0.187030196998717,0.00604434993799574,0.0206800438262991,-0.00859134395030758,0.66774443480354,FALSE
"97","ABRA",1,NA,NA,NA,1,FALSE
"98","ABRACL",1.86816767992732e-07,-0.0743223955711079,-0.0480544721194287,-0.100590319022787,4.21640869443022e-06,FALSE
"99","ABRAXAS1",0.199945775451423,-0.00662485551806059,0.0040393382041155,-0.0172890492402367,0.697844135886533,FALSE
"100","ABRAXAS2",0.0216516817004551,0.0128434705410231,0.022837071668685,0.00284986941336122,0.130507420443044,FALSE
"101","ABT1",0.0116771514113704,0.0216807380380762,0.0361988860889283,0.00716258998722415,0.0792677353815413,FALSE
"102","ABTB1",0.000993475726367366,-0.029757994411703,-0.0136569032123272,-0.0458590856110787,0.00999749813338252,FALSE
"103","ABTB2",7.21449066461208e-08,0.0369709137835508,0.0501202968842977,0.0238215306828039,1.75743334086349e-06,FALSE
"104","AC000032.1",1,NA,NA,NA,1,FALSE
"105","AC000065.1",1,NA,NA,NA,1,FALSE
"106","AC000065.2",1,NA,NA,NA,1,FALSE
"107","AC000068.1",1,NA,NA,NA,1,FALSE
"108","AC000068.2",1,NA,NA,NA,1,FALSE
"109","AC000068.3",1,NA,NA,NA,1,FALSE
"110","AC000403.1",1,NA,NA,NA,1,FALSE
"111","AC001226.1",1,NA,NA,NA,1,FALSE
"112","AC002044.1",1,NA,NA,NA,1,FALSE
"113","AC002059.1",1,NA,NA,NA,1,FALSE
"114","AC002070.1",1,NA,NA,NA,1,FALSE
"115","AC002091.1",1,NA,NA,NA,1,FALSE
"116","AC002091.2",0.927785682238667,0.0013607271132169,0.00856509053262759,-0.00584363630619378,1,FALSE
"117","AC002094.2",1,NA,NA,NA,1,FALSE
"118","AC002094.4",1,NA,NA,NA,1,FALSE
"119","AC002116.2",1,NA,NA,NA,1,FALSE
"120","AC002128.1",1,NA,NA,NA,1,FALSE
"121","AC002306.1",1,NA,NA,NA,1,FALSE
"122","AC002310.1",1,NA,NA,NA,1,FALSE
"123","AC002310.2",1,NA,NA,NA,1,FALSE
"124","AC002347.1",1,NA,NA,NA,1,FALSE
"125","AC002377.1",1,NA,NA,NA,1,FALSE
"126","AC002401.4",1,NA,NA,NA,1,FALSE
"127","AC002407.1",1,NA,NA,NA,1,FALSE
"128","AC002451.1",0.0945441006946098,NA,NA,NA,0.414495888709322,FALSE
"129","AC002454.1",1,NA,NA,NA,1,FALSE
"130","AC002456.1",0.906572482920626,0.00146550884626767,0.0127782061059972,-0.00984718841346184,1,FALSE
"131","AC002458.1",1,NA,NA,NA,1,FALSE
"132","AC002460.2",1,NA,NA,NA,1,FALSE
"133","AC002464.1",1,NA,NA,NA,1,FALSE
"134","AC002467.1",0.124062246621032,0.0062816047561196,0.0125056233103458,5.75862018933832e-05,0.504654739470161,FALSE
"135","AC002470.1",1,NA,NA,NA,1,FALSE
"136","AC002480.1",1,NA,NA,NA,1,FALSE
"137","AC002480.2",0.00421192098521277,0.0148984910983226,0.0240663998927155,0.00573058230392968,0.0340569406484602,FALSE
