"","logFC","FDR","pval","gene","label"
"1",NA,1.18225046109105,0.00864778823747553,"AC007384.1",FALSE
"2",-0.020165380383006,0.0114365372134363,0.950036088155198,"AC007952.4",FALSE
"3",-0.0788141147961743,0.0857765473564312,0.663851137460117,"AC020916.1",FALSE
"4",-0.000180138674196362,0.214616373492349,0.320047111006819,"AC025164.1",FALSE
"5",-0.0747374273175731,0.0518745804647669,0.765055405538254,"AC092821.3",FALSE
"6",0.0679034572474112,0.0316621803468472,0.82167522207209,"AC103591.3",FALSE
"7",0.030660926845036,0.0090351059893438,0.959422836243252,"AC253572.2",FALSE
"8",-0.189946184134679,0.374539331846901,0.168427292049747,"ACP5",FALSE
"9",-0.113493270526101,0.145051633561195,0.475267818687488,"ACSM3",FALSE
"10",0.00438666403607635,0.0118667090732072,0.943258702137166,"ACTG1",FALSE
"11",-0.455898755598966,0.863395116419485,0.0253328534249529,"ADAM28",FALSE
"12",-0.0656073612450688,0.103444015901275,0.585411551392263,"ADD3",FALSE
"13",-0.122242159709055,0.183672862954628,0.393077682994825,"AGPAT5",FALSE
"14",-0.0848967499789737,0.145051633561195,0.471690024604215,"AHI1",FALSE
"15",0.77107783762584,3.62014889276138,1.17453582773571e-05,"AHNAK",TRUE
"16",-0.122329761795691,0.258615034963063,0.272864811568626,"AHSA1",FALSE
"17",-0.260305199319576,0.413515098760372,0.130338062040549,"AKAP9",FALSE
"18",-0.0302289632559421,0.102362894497261,0.59170752132654,"AL021155.5",FALSE
"19",-0.0138105382613055,0.103952628517726,0.577123870506328,"ALOX5AP",FALSE
"20",-0.124516284933592,0.102579169971265,0.589801449299696,"AMD1",FALSE
"21",0.0147322519446365,0.639827731683107,0.0495772066584336,"ANKRD10",FALSE
"22",-0.196141136167578,0.423688093251485,0.122324359669759,"ANKRD44",FALSE
"23",0.0315335508376084,0.271866935756603,0.250994855586275,"ANTXR2",FALSE
"24",1.72803772681676,14.0839173059156,1.00934088272957e-16,"ANXA1",TRUE
"25",0.304263661185025,0.438786357255582,0.106256033588924,"ANXA5",FALSE
"26",-0.0322390501194924,0.103952628517726,0.578300798841609,"AP000787.1",FALSE
"27",0.13139880409061,0.0867372957682981,0.638098340540646,"APBB1IP",FALSE
"28",-0.12824187552869,0.258615034963063,0.275648078466099,"APC",FALSE
"29",0.0644674600615307,0.066816988458711,0.705166995802123,"APOBEC3G",FALSE
"30",0.174418296224044,0.438786357255582,0.103055740664062,"ARAP2",FALSE
"31",-0.228795995622254,0.421093863357973,0.12460513287678,"ARHGAP24",FALSE
"32",0.0492132640481159,0.103952628517726,0.577701337323991,"ARHGAP5",FALSE
"33",-0.0850019527598534,0.0183712388501574,0.902712054811685,"ARID5B",FALSE
"34",-0.0921694540019636,0.0857765473564312,0.656455658127871,"ARL4A",FALSE
"35",0.824147609919858,3.77776108162479,7.83016068377021e-06,"ARL4C",TRUE
"36",-0.292322241547412,0.972472474319821,0.018264623813508,"ARL8B",FALSE
"37",-0.0929173189780155,0.0867372957682981,0.65015398007177,"ASAH1",FALSE
"38",-0.149137589002751,0.341425819606916,0.201981736369381,"ASCC3",FALSE
"39",-0.185575146873952,0.33127453555495,0.21224342605895,"ATF7IP",FALSE
"40",0.118420945974646,0.112155630869156,0.548564290272265,"ATM",FALSE
"41",-0.155674162833694,0.161195139257456,0.440710216360752,"ATP1B3",FALSE
"42",0.20268198311985,0.395169916876818,0.144592801035502,"ATP2B1-AS1",FALSE
"43",-0.189031096268755,0.258615034963063,0.274590073335418,"ATRX",FALSE
"44",0.163130148156116,0.221392707745367,0.310121398241865,"ATXN1",FALSE
"45",-0.0143111813031299,0.113194448231595,0.535398490807658,"BACH2",FALSE
"46",-0.311358236464445,1.18225046109105,0.00909218187589262,"BANK1",FALSE
"47",-0.093634387209076,0.0823837616435806,0.672127689121446,"BASP1",FALSE
"48",-0.0997439364700162,0.134941015926652,0.492670206714478,"BCAS4",FALSE
"49",0.0817575330343789,0.0548196249905042,0.753699657551598,"BCL11A",FALSE
"50",0.12208579128565,0.383198010658236,0.154086364385593,"BCL11B",FALSE
"51",0.275569601447183,0.270489865049099,0.254915567815965,"BCL2A1",FALSE
"52",0.0849783849943577,0.0592487791773848,0.740710449430474,"BCL2L11",FALSE
"53",0.242151026519997,0.521980753732867,0.0736214577149868,"BHLHE40",FALSE
"54",-0.347771587890818,0.372871434800337,0.170432964925511,"BIRC3",FALSE
