"","logFC","FDR","pval","gene","label"
"1",0.0230102422059251,0.705416781016982,0.0572969600356487,"ABCF1",FALSE
"2",0.301708018161459,1.15072655416086,0.0108764632533238,"AC020916.1",FALSE
"3",0.00318854825529102,0.301490696453846,0.314688422052064,"AC025164.1",FALSE
"4",-0.137256881760341,0.483308307020686,0.154730571281535,"AC026979.2",FALSE
"5",-0.142299356620699,0.404379715626509,0.214729493283495,"AC044849.1",FALSE
"6",-0.0643279973456279,0.234621739950136,0.408872346713314,"AC103591.3",FALSE
"7",-0.0522507191427213,0.116530545766079,0.637471902768322,"AC253572.2",FALSE
"8",-0.353449652024491,0.745914438360902,0.0499082553099927,"ACTB",FALSE
"9",-0.11435959990714,0.624770308816652,0.0845847279436575,"ACTG1",FALSE
"10",0.385393127445361,2.44402976761678,0.000193573817700023,"ACTN4",TRUE
"11",0.374687795824904,1.62215773800616,0.00246187067372677,"ADGRE5",TRUE
"12",-0.101974261387258,0.307811779476685,0.305278167267599,"ADK",FALSE
"13",0.0215036513517464,0.597487234906815,0.103097775400792,"ADSS",FALSE
"14",-0.0508942627812295,0.51380626184221,0.141185403060074,"ADTRP",FALSE
"15",-0.0607151269543217,0.158440341500314,0.549540247724396,"AHI1",FALSE
"16",0.619073322566728,3.01332104858096,4.34884659617074e-05,"AHNAK",TRUE
"17",0.414029311720221,1.88124600221458,0.000943124696566443,"AHR",TRUE
"18",-0.285695531236403,0.657560205850523,0.068136034814885,"AKAP9",FALSE
"19",-0.173903428006981,0.572860730710582,0.114508513748581,"AL021155.5",FALSE
"20",-0.139528470635579,0.555816284997099,0.119715417652379,"AL499604.1",FALSE
"21",-0.172985430420777,0.47704268323754,0.158474109106642,"AL627171.2",FALSE
"22",-0.263358761191633,0.653652258250395,0.0718312020132618,"ALOX5AP",FALSE
"23",-0.0408515394948576,0.167372817779622,0.533777628528254,"ANKRD12",FALSE
"24",0.0178531775834261,0.020295081413201,0.904114623608119,"ANTXR2",FALSE
"25",0.451269423118058,2.97988063493929,4.93178120386735e-05,"ANXA1",TRUE
"26",0.416820455374858,1.55422231167932,0.00300389028960458,"ANXA2",TRUE
"27",0.279650242944088,0.798545218723287,0.0406466514985975,"ANXA5",FALSE
"28",0.0451615712299553,0.113297783763909,0.64428228360256,"AP000787.1",FALSE
"29",0.150235467386033,0.419011629004962,0.204197966673317,"APOBEC3G",FALSE
"30",-0.115736203236539,0.788772016946193,0.0419363824896472,"AQP3",FALSE
"31",0.184769100330062,0.731052193090625,0.0524787513722074,"ARHGAP26",FALSE
"32",0.0467258562181536,0.244961406829882,0.383946073059751,"ARHGAP5",FALSE
"33",-0.188614952271211,0.59136439342736,0.105710608041142,"ARID4A",FALSE
"34",0.0816347133727783,0.216659701387069,0.445787599811012,"ARID4B",FALSE
"35",0.0245804067333324,0.117330213246783,0.629771128415558,"ARID5B",FALSE
"36",0.292970567359732,0.99702399090137,0.019189341691162,"ARL4A",FALSE
"37",-0.127349106432629,0.588392592958146,0.108698070591302,"ARRDC3",FALSE
"38",0.0811479557298125,0.51380626184221,0.141490115079371,"ASAP1",FALSE
"39",-0.248140637659828,0.61735776834469,0.090789456493287,"ATM",FALSE
"40",-0.00825653548188271,0.51380626184221,0.140943494534995,"ATP1B3",FALSE
"41",0.245470618174531,0.617078910296144,0.0936768619712992,"ATP2B1",FALSE
"42",0.222782123064299,0.929926570649145,0.0260839743962167,"ATP2B4",FALSE
"43",-0.293794378128036,0.705416781016982,0.0574369952979975,"ATRX",FALSE
"44",0.162769791218146,0.294905844773833,0.321770134495295,"ATXN1",FALSE
"45",-0.00176974255376933,0.0159446301827108,0.920725370390537,"BATF",FALSE
"46",-0.21030808723284,0.476257116089113,0.159509894810849,"BAZ1A",FALSE
"47",-0.119994843152908,0.226149883272225,0.432251897066059,"BBX",FALSE
"48",-0.36004999356737,1.42310535153156,0.00490894067134286,"BCL2",TRUE
"49",-0.219913338403763,0.47704268323754,0.158038899953826,"BCLAF1",FALSE
"50",0.0300167700306624,0.653652258250395,0.0760712837137625,"BDP1",FALSE
"51",-0.109715871085924,0.424189072622454,0.200089553307051,"BEX3",FALSE
"52",0.0956482545315659,0.0637880517403038,0.767496334353546,"BIRC2",FALSE
"53",0.177713023278162,0.233058073647296,0.411658147845916,"BIRC3",FALSE
"54",0.0498983313604169,0.190592772411974,0.485512650963061,"BOD1L1",FALSE
"55",-0.111194703129567,0.0776752794402481,0.716231182215561,"BPTF",FALSE
"56",-0.0368110596087119,0.0270143474550737,0.861735732865223,"BTG2",FALSE
"57",0.150062342982968,0.375646984797505,0.237913287024582,"BTG3",FALSE
"58",-0.10822846153699,0.976736186227773,0.0217629007975788,"C12orf75",FALSE
"59",0.186239905228026,0.428487510595047,0.191577921927791,"C17orf49",FALSE
"60",-0.0898955770249472,0.773109085267251,0.0457447676815279,"C1orf162",FALSE
"61",-0.114296601654729,0.266023792861379,0.362952289272652,"CASP8AP2",FALSE
"62",0.00350174551933147,0.61735776834469,0.0913449706817048,"CBLB",FALSE
"63",-0.0319763259562177,0.161003675904295,0.543211032574097,"CCDC186",FALSE
"64",0.430231405794494,3.60649079013846,8.87757466857362e-06,"CCL3",TRUE
"65",0.425140324288508,1.67708519399218,0.00202790872088048,"CCL4",TRUE
"66",0.23226251175111,0.860171649267206,0.0340318984921507,"CCL4L2",FALSE
"67",0.137625237210165,0.149176106813894,0.567750140788099,"CCL5",FALSE
"68",-0.0559041249733431,0.0254067145377446,0.876930059660489,"CCND2",FALSE
"69",-0.169208274929632,0.588392592958146,0.109328742406304,"CCNL1",FALSE
"70",-0.121184785210643,0.491143880923775,0.151240305682638,"CCR4",FALSE
