"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"1","ABCF1",0.983789208809705,0.020168081652851,0.461490889128769,-0.421154725823067,0.995019679229907,FALSE
"2","AC020916.1",0.674862592576976,-0.0536802795021181,0.196117730504009,-0.303478289508246,0.925585537187618,FALSE
"3","AC025164.1",0.686747121326443,0.0235255253118259,0.314476543168448,-0.267425492544796,0.926356102849628,FALSE
"4","AC026979.2",0.853762049536151,0.0581518732398846,0.363591465387021,-0.247287718907252,0.979369392471869,FALSE
"5","AC044849.1",0.882458795248039,-0.0666217973661375,0.212482824947374,-0.345726419679649,0.985451330352516,FALSE
"6","AC103591.3",0.796061338731745,-0.0541278867585872,0.197364350373984,-0.305620123891159,0.969883561406959,FALSE
"7","AC253572.2",0.0421277322056933,NA,NA,NA,0.242371238534053,FALSE
"8","ACTB",0.796924641878404,-0.0419528391526192,0.393917961818782,-0.47782364012402,0.969883561406959,FALSE
"9","ACTG1",0.162066823476492,0.361245936390637,0.833160164294347,-0.110668291513073,0.495142088276455,FALSE
"10","ACTN4",0.50974316045285,0.150363426910508,0.509561610266809,-0.208834756445793,0.836356370668935,FALSE
"11","ADGRE5",0.505562408957353,0.172004026643685,0.556179310503008,-0.212171257215638,0.832580472743894,FALSE
"12","ADK",0.970352294744308,0.0115773437515421,0.335088771487546,-0.311934083984462,0.995019679229907,FALSE
"13","ADTRP",0.974528916807294,-0.00849065040128064,0.2390011269578,-0.255982427760361,0.995019679229907,FALSE
"14","AHI1",0.759358694678375,0.106017138467875,0.436026492685379,-0.223992215749628,0.95857962813594,FALSE
"15","AHNAK",0.0731460776952065,0.144755049181047,0.587200608279383,-0.29769050991729,0.332631258508469,FALSE
"16","AHR",0.451275103807243,0.210642912414776,0.610084509391405,-0.188798684561854,0.796473589588083,FALSE
"17","AKAP9",0.960935009048794,0.067894514341079,0.565757914248563,-0.429968885566405,0.995019679229907,FALSE
"18","AL021155.5",0.0143341247487021,NA,NA,NA,0.128601607358016,FALSE
"19","AL499604.1",0.0346248489411539,NA,NA,NA,0.213039001124044,FALSE
"20","AL627171.2",0.279389089800334,-0.228965163239109,-0.019601436384224,-0.438328890093995,0.641467877898548,FALSE
"21","ALOX5AP",0.0190378355265894,0.669996251672108,1.17996458739063,0.160027915953584,0.149958023418104,FALSE
"22","ANKRD12",0.779593049343304,0.0925499017197255,0.505681277348039,-0.320581473908588,0.969883561406959,FALSE
"23","ANTXR2",0.711165829629127,-0.0246936238570195,0.350962741478622,-0.400349989192661,0.938195371536174,FALSE
"24","ANXA1",0.000196153282099724,0.928810389533694,1.31756306398125,0.54005771508614,0.00965510044113088,TRUE
"25","ANXA2",0.00449946755342629,0.802440547799705,1.26932734245096,0.335553753148445,0.0755007325758955,FALSE
"26","ANXA5",0.945245736102026,-0.0698664083672739,0.334134971281442,-0.47386778801599,0.995019679229907,FALSE
"27","AP000787.1",0.623188054356692,0.0832939131947754,0.449590400750234,-0.283002574360683,0.890600610708058,FALSE
"28","APOBEC3G",0.504454100026405,0.223585448571876,0.658453931965063,-0.211283034821311,0.832580472743894,FALSE
"29","AQP3",0.457176752716823,0.0878469509294156,0.464395539708427,-0.288701637849595,0.798830339407118,FALSE
"30","ARHGAP26",0.754928054193646,-0.0841342055579869,0.106569307973842,-0.274837719089816,0.95857962813594,FALSE
"31","ARHGAP5",0.00422022439108442,-0.0834996983984944,0.212423488775091,-0.379422885572079,0.0755007325758955,FALSE
"32","ARID4A",0.757800613626424,-0.110153558352782,0.176452350333373,-0.396759467038937,0.95857962813594,FALSE
"33","ARID4B",0.00984098520778064,0.418784266631522,0.982881949847157,-0.145313416584113,0.109891991617389,FALSE
"34","ARID5B",0.271761829018584,0.37724753735936,0.913016617162406,-0.158521542443685,0.640374948166132,FALSE
"35","ARL4A",0.665586617317227,-0.0138117277594515,0.289010807028113,-0.316634262547016,0.921421473348536,FALSE
"36","ARRDC3",0.572069306403719,0.163273900795491,0.520041621990903,-0.19349382039992,0.861646833838341,FALSE
"37","ASAP1",0.790822136692564,-0.0691161400720759,0.128244572137871,-0.266476852282023,0.969883561406959,FALSE
"38","ATM",0.390828399793432,-0.293769779584974,0.109129163673571,-0.696668722843519,0.769480647206073,FALSE
"39","ATP1B3",0.269278375694753,-0.0676717848764761,0.257982244819673,-0.393325814572625,0.640374948166132,FALSE
"40","ATP2B1",0.740214680694048,0.0864446931742541,0.487084885809237,-0.314195499460729,0.95047856100714,FALSE
"41","ATP2B4",0.871065058853499,-0.0766663384049128,0.199751341553901,-0.353084018363726,0.984673698284989,FALSE
"42","ATRX",0.167228251694081,-0.400979363132475,-0.0604988588503642,-0.741459867414587,0.505287571051243,FALSE
"43","ATXN1",0.00992252745980936,NA,NA,NA,0.109891991617389,FALSE
"44","BATF",0.154631306707826,0.366468151492617,0.819775051099643,-0.0868387481144088,0.489695904130994,FALSE
"45","BAZ1A",0.253610364612912,-0.341256097702232,-0.00236987375309716,-0.680142321651366,0.640374948166132,FALSE
"46","BBX",0.0167482550610791,0.234303634257415,0.721675058176737,-0.253067789661906,0.139990131925623,FALSE
"47","BCL2",0.442921394648609,-0.251438990639653,0.0927651489634267,-0.595643130242732,0.790378520126185,FALSE
"48","BCLAF1",0.169949995680892,-0.405497230303802,-0.0494769078530174,-0.761517552754587,0.505287571051243,FALSE
"49","BDP1",0.487135777080551,0.0639098669205003,0.526188977522826,-0.398369243681825,0.824865689395672,FALSE
"50","BEX3",0.0735843416113543,NA,NA,NA,0.332631258508469,FALSE
"51","BIRC2",0.348947289365246,0.331501382460043,0.813146323065578,-0.150143558145492,0.722353500882262,FALSE
"52","BIRC3",0.291961303413612,-0.39531357571039,0.0607404600122217,-0.851367611433002,0.657276629759048,FALSE
"53","BOD1L1",0.978390023788181,0.0481838822594454,0.541812074668792,-0.445444310149901,0.995019679229907,FALSE
"54","BPTF",0.431151651598919,-0.0450559337775309,0.443924295888605,-0.534036163443667,0.785655391945506,FALSE
"55","BTG2",0.00229689443796953,-0.440586549487889,-0.0148012279968754,-0.866371870978903,0.0535539071589738,FALSE
"56","BTG3",0.726687343710349,-0.0929135938582009,0.105006110250858,-0.29083329796726,0.944054232444822,FALSE
"57","C12orf75",0.169212790586046,0.259468680917712,0.66886253276672,-0.149925170931296,0.505287571051243,FALSE
"58","C1orf162",0.918814798042555,-0.0502968662209822,0.209332969429952,-0.309926701871917,0.991773136786973,FALSE
"59","CASP8AP2",0.591069629783847,0.155458863533438,0.516024979985483,-0.205107252918606,0.868895168480589,FALSE
"60","CBLB",0.0111638435428471,0.280851675261914,0.713011364517452,-0.151308013993625,0.117751968797173,FALSE
"61","CCDC186",0.223762820351856,0.169082632354972,0.647381334978621,-0.309216070268677,0.593849970672501,FALSE
"62","CCL3",0.14225761984847,-0.277919355959981,-0.0955523222465325,-0.460286389673429,0.472107134196004,FALSE
"63","CCL4",0.894118617379483,0.0754812889755569,0.481828728656212,-0.330866150705098,0.985451330352516,FALSE
"64","CCL4L2",0.680106155594452,-0.0938344109063153,0.107042283238384,-0.294711105051015,0.926356102849628,FALSE
