"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"1","ABCA1",1.10688362338462e-82,-0.42149190203042,-0.379209511885718,-0.463774292175123,5.71439919389622e-82,TRUE
"2","ABHD5",0.0575450261934739,0.0326593855001885,0.0594780939537381,0.00584067704663884,0.0601004796593025,FALSE
"3","ABL2",3.75164117868627e-11,-0.0701033676283626,-0.0493926818267515,-0.0908140534299737,5.29398255214618e-11,FALSE
"4","AC004854.2",2.53784353871496e-11,0.060469043976715,0.079804553935174,0.041133534018256,3.61329741498654e-11,FALSE
"5","AC007952.4",4.29312445393563e-152,0.608366749365852,0.651858081803532,0.564875416928171,7.36792980607872e-151,TRUE
"6","AC008875.3",1.25110945988645e-25,0.105472945263098,0.125055511679198,0.0858903788469979,2.41475534051031e-25,FALSE
"7","AC015912.3",3.10737873596856e-30,0.194897191941717,0.231424305591207,0.158370078292226,6.53372681238421e-30,FALSE
"8","AC020656.1",6.81543228523449e-70,0.212201074189498,0.235528965934517,0.188873182444479,2.98468931111993e-69,FALSE
"9","AC020916.1",4.3866799380775e-20,0.243753690464031,0.294259151330877,0.193248229597184,7.46794037715606e-20,FALSE
"10","AC025164.1",1.11603396790306e-07,0.0134113446667235,0.0439596796969242,-0.0171369903634772,1.39779402291606e-07,FALSE
"11","AC037198.1",1.02334232268518e-18,-0.167310050182145,-0.130559689971659,-0.20406041039263,1.71005888132918e-18,FALSE
"12","AC044849.1",2.42970005121788e-36,0.132936711159732,0.153278805049279,0.112594617270185,5.73553729562585e-36,FALSE
"13","AC091271.1",3.03186076850568e-21,0.113823686305697,0.137769961223799,0.0898774113875958,5.30366828650442e-21,FALSE
"14","AC103591.3",2.6855013199476e-09,0.0804988660452221,0.131489937383617,0.0295077947068275,3.54530839535702e-09,FALSE
"15","AC239799.2",5.3976536026309e-34,0.18927647002011,0.220181161118967,0.158371778921254,1.22411072773951e-33,FALSE
"16","AC245014.3",1.52386749964603e-59,0.31355446614822,0.351082699377976,0.276026232918465,5.59338648714006e-59,TRUE
"17","AC245407.2",1.50286975944697e-41,0.148676533810739,0.17096040244672,0.126392665174759,4.02667635969968e-41,FALSE
"18","AC253572.2",1.40435282536632e-110,0.61327191250494,0.665200889728184,0.561342935281695,1.25600569592621e-109,TRUE
"19","ACSL1",1.51758505571187e-28,-0.26514092298281,-0.219353997475646,-0.310927848489973,3.12878737135401e-28,TRUE
"20","ACSL4",0.150935620437883,-0.030401412462242,0.0051095170424665,-0.0659123419669506,0.155087571161902,FALSE
"21","ADA",3.89386160736405e-35,-0.206379169038369,-0.152614983873512,-0.260143354203226,8.95870333578323e-35,FALSE
"22","ADM",3.35059391004582e-34,0.186363911700347,0.215925563696273,0.156802259704422,7.62590370207561e-34,FALSE
"23","ADORA2A",0.0709152973239716,0.0338670263594992,0.0644087300007353,0.00332532271826313,0.0737008409177119,FALSE
"24","ADRB2",1.23311731552827e-43,0.144011556606606,0.164496647144421,0.12352646606879,3.48013109049089e-43,FALSE
"25","ADSS",3.11722694690994e-195,-0.527349978677784,-0.489775791651971,-0.564924165703597,1.04181005857253e-193,TRUE
"26","AIF1",9.44293009401872e-276,1.00147296750776,1.0543480992736,0.948597835741925,9.99376768283648e-274,TRUE
"27","AK4",1.22827819806128e-09,-0.0736380602984641,-0.0468355639699552,-0.100440556626973,1.63856440287587e-09,FALSE
"28","AKAP9",0.00829804127585393,0.0268980316526872,0.057558901336476,-0.00376283803110161,0.00888576089404257,FALSE
"29","AL021155.5",1.42935462633749e-94,0.447881794658565,0.489346813182787,0.406416776134342,8.81204065751757e-94,TRUE
"30","AL109615.2",9.44351900094879e-13,0.0612255742541274,0.0852795791476996,0.0371715693605551,1.39456617804709e-12,FALSE
"31","AL118516.1",2.48236309234432e-107,0.432416711054072,0.469616923228235,0.395216498879909,2.0471435891411e-106,TRUE
