"","primerid","Pr(>Chisq)","coef","ci.hi","ci.lo","fdr","label"
"1","ABCB1",0.18656623611712,-0.123954034708409,-0.00645269857065288,-0.241455370846165,0.442518149055682,FALSE
"2","ABLIM1",6.04496106514891e-05,0.286845614213839,0.483463419704603,0.0902278087230759,0.00102764338107531,TRUE
"3","AC007952.4",0.049215963568447,0.0435592538444061,0.202931398097666,-0.115812890408854,0.201955160849834,FALSE
"4","AC008875.3",0.156092209452636,-0.102957477620911,0.0226993917608021,-0.228614347002624,0.399750371491497,FALSE
"5","AC020916.1",0.319756247149076,0.0830180509356216,0.27800454600078,-0.111968444129537,0.599228242688819,FALSE
"6","AC044849.1",0.11680051823242,0.13849670858209,0.301957966437619,-0.024964549273439,0.348388076814363,FALSE
"7","AC092821.3",0.701205715427427,-0.0494614719672907,0.149322753714795,-0.248245697649376,0.858030644070579,FALSE
"8","AC103591.3",0.708722716710022,-0.0129675794425348,0.120048794280104,-0.145983953165174,0.860591870290741,FALSE
"9","AC253572.2",0.501451096521914,-0.0242571362943508,0.108539196121865,-0.157053468710567,0.763458352389165,FALSE
"10","ACTB",0.0203974928287489,0.307526611024705,0.511749248640406,0.103303973409004,0.110331893028233,FALSE
"11","ACTG1",0.00235543458692235,0.340574019068213,0.547070991150917,0.134077046985509,0.0238550396462775,TRUE
"12","ADD3",0.247048154210541,-0.0274132914864042,0.099033339428161,-0.153859922400969,0.525805325604447,FALSE
"13","ADGRG1",0.0057654951282397,-0.19769748942675,-0.0999314059580358,-0.295463572895463,0.0435615187467,FALSE
"14","AGO2",0.534247313586615,-0.0505710547431236,0.123945141768412,-0.22508725125466,0.776974589272523,FALSE
"15","AHI1",0.0933769998424786,-0.0998223427444761,-0.0292068483559072,-0.170437837133045,0.298305046476643,FALSE
"16","AHNAK",0.00326290929547203,0.330093429139218,0.554314083806325,0.105872774472111,0.0306778549220996,TRUE
"17","AKAP5",0.0623762018720207,-0.111007256652279,-0.0342226680276688,-0.187791845276889,0.226649405275434,FALSE
