Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
OSGIN2,2.704437287622394e-238,-0.8891972635162961,0.853,0.973,9.867139443890305e-234
MMP2-AS1,1.1988740242924377e-213,-1.3468139824675036,0.24,0.714,4.374091877630959e-209
SGPP2,6.203706272292813e-205,-1.3397263067830585,0.592,0.853,2.2634222334460327e-200
AC010980.1,8.605607337219064e-205,-1.257338266520699,0.402,0.772,3.1397558369843753e-200
ANXA1,1.8908934338083447e-201,0.8986191689281471,1,0.991,6.898924693249746e-197
SLC7A11,4.735293978048321e-201,-1.3352252974244614,0.701,0.897,1.7276720078909299e-196
HLA-C,1.0584027017092444e-200,0.7204604691105403,1,0.999,3.861582257186178e-196
EFR3A,5.591472448976277e-181,-0.4090143803556865,0.949,0.99,2.0400487230089946e-176
CRIM1,7.91535350297678e-178,-1.397925700254961,0.371,0.735,2.887916725561078e-173
FGFR1OP,8.925388339027997e-177,0.7542639257100563,0.871,0.487,3.256427935494365e-172
ALCAM,1.035168363738919e-176,-0.9962821977406042,0.644,0.892,3.7768117751014465e-172
NRGN,1.0006620458549176e-175,0.6473973064887686,0.848,0.477,3.650915474301667e-171
ADAM17,2.7081416790955176e-174,-0.7598713122239644,0.993,0.997,9.880654916179997e-170
WNT5B,5.56617123379564e-173,-1.222105902448319,0.022,0.38,2.0308175746503392e-168
TRIB3,1.426995865368054e-172,-1.3638779832652161,0.181,0.575,5.206394414795344e-168
AC135893.1,3.1878355240694577e-172,-1.176611676863001,0.02,0.377,1.1630817909567415e-167
NEU4,8.865679075132271e-172,-1.1671627039709718,0.473,0.785,3.2346430105620093e-167
ARRDC4,1.3954838186750812e-171,-1.031767448075443,0.511,0.806,5.0914227124360335e-167
MB21D2,6.367400535224384e-170,-1.100121374134272,0.391,0.736,2.3231460852766167e-165
ITGB2,1.6775256778021586e-168,0.7635382601740262,0.889,0.62,6.120452435461175e-164
LINC01510,1.2135450796145187e-167,-1.3015644511639137,0.007,0.348,4.427619222973571e-163
SLC6A6,6.429724636241316e-166,-0.41523366938233774,0.999,0.997,2.345885033532644e-161
IL20,9.465572851684071e-166,-1.1089351804086,0.009,0.348,3.4535142549369334e-161
MAP3K7,6.581573096981146e-164,-0.6770869958508248,0.908,0.977,2.401286944433571e-159
AC107071.1,7.723149265191385e-163,-1.10572740526042,0.007,0.34,2.8177910094050767e-158
AL442125.1,3.848278729722447e-162,-0.9276200147875927,0.171,0.553,1.4040444945392347e-157
SGK3,1.0078630654857018e-161,-0.7963246131038135,0.417,0.77,3.677188394424583e-157
IL24,3.382954078034169e-160,-2.504281403473797,0.004,0.329,1.2342707953707665e-155
CCL18,5.610766061325782e-160,-2.300682938663081,0.269,0.622,2.0470879974747116e-155
WAC-AS1,1.0575758516268482e-158,0.6948677852071101,0.819,0.428,3.8585654946605554e-154
AC131097.2,2.6634003345759247e-158,-1.019466159774466,0.036,0.377,9.717416120700262e-154
PLEKHM3,4.023483513263765e-158,-1.0709044868270166,0.393,0.744,1.4679679598142847e-153
AC009107.2,5.706335473684475e-158,0.4015116399382732,0.991,0.888,2.0819564975737807e-153
IER3,6.0263981755048175e-158,-0.8354779398803904,0.999,1,2.1987313743329327e-153
SNX16,6.596215751964721e-158,-0.6800564671537577,0.732,0.882,2.4066293171043286e-153
SDC2,1.19240000000244e-157,-1.4011750856513014,0.119,0.494,4.350471400008902e-153
NIBAN1,4.279570890558112e-157,-0.9043885659800592,0.979,0.988,1.5614014394201271e-152
AK6,8.519073392614589e-157,-0.6892509873837369,0.83,0.926,3.1081839272954328e-152
CLASP2,2.882009021112056e-156,-0.6067728745331089,0.984,0.991,1.0515009913527336e-151
DAPK1,9.744134013379232e-156,-0.7604527266926984,0.59,0.907,3.5551472947814126e-151
MARS,2.5276495872168833e-155,-0.6724206920786457,0.988,0.986,9.222129518960798e-151
HAS1,1.0029493000880613e-154,-1.38496064951869,0.01,0.33,3.659260521371292e-150
SOS1-IT1,1.8872353786121512e-154,-1.0346849870941905,0.026,0.357,6.885578278866434e-150
GSTK1,2.2930703612227255e-154,0.48141474134978957,0.968,0.696,8.366267212921115e-150
SEC22B,8.361450080471012e-153,-0.8697745891049151,0.998,0.999,3.0506750618598487e-148
SAMD9,3.3740366320416985e-152,1.0062343471267778,0.737,0.339,1.2310172652004136e-147
HSPA13,9.28035580245088e-152,-0.813270344394037,0.924,0.959,3.3859378145242036e-147
MTRNR2L1,2.661890523285915e-151,-1.2230871054895596,0.029,0.355,9.711907574208661e-147
AC008735.1,4.0403082360451876e-150,-1.0513323485386987,0.227,0.59,1.4741064599210867e-145
DIRC3,6.05045721739274e-150,-0.9094469862526326,0.02,0.342,2.207509315765741e-145
RHOQ,9.301023099949188e-150,-0.6973347408624231,0.942,0.988,3.3934782780164614e-145
AC008760.2,4.853373189150276e-149,-1.1316659049154447,0.132,0.482,1.770753208061478e-144
AF230666.2,1.2637503416811233e-148,-0.7719191361201598,0.025,0.346,4.6107931216235785e-144
SETD5,8.053507226670407e-148,-0.6046135146241158,0.994,0.999,2.938322111650698e-143
EMC10,2.4361919275892342e-145,0.3378849099827608,0.978,0.848,8.888446247809322e-141
RIT1,3.3862834759012096e-145,-0.5189030538002903,0.976,0.987,1.2354855261825564e-140
AL354822.1,8.04483692814544e-145,-1.16638905130295,0.07,0.402,2.9351587532338638e-140
EEF1D,1.2206062991151868e-143,0.5841713370789381,0.998,0.997,4.4533820823217585e-139
LINC02454,1.5956544322621794e-143,-1.2740071990295774,0.037,0.361,5.8217451961085614e-139
TBC1D30,2.2992919606252385e-143,-1.3359911505290236,0.168,0.512,8.388966718341183e-139
SLC16A10,2.0474447782410467e-142,-1.2936551092729474,0.017,0.324,7.470102273412459e-138
AC011816.2,2.899112506206277e-142,-0.9041177282652801,0.024,0.333,1.0577411978893601e-137
STAMBP,6.1855875684944554e-142,0.3519956176973993,0.979,0.84,2.256811624365202e-137
TMSB10,8.633219093508166e-142,0.5629933344710567,0.999,0.998,3.1498299862664544e-137
TMX4,1.0483440966559469e-141,0.5104844056224913,0.964,0.722,3.824883436649222e-137
OR11G2,1.5036231816667308e-141,-1.1274332191339367,0.3,0.634,5.485969178311067e-137
FMNL3,2.4879056149245703e-141,-0.8576024867021093,0.788,0.935,9.077123636052294e-137
SNX33,3.5587501497938013e-141,-0.976624418955823,0.01,0.309,1.2984099921522684e-136
RTTN,4.3521894768541e-141,0.7642468176254553,0.878,0.555,1.5878963306302184e-136
LINC00862,4.3978357943868865e-141,-0.6493870041542117,0.002,0.292,1.6045503895820556e-136
CCDC163,6.498552769634662e-141,-1.1789734801897085,0.015,0.317,2.3709969780012062e-136
EBI3,6.801685959484851e-141,-1.2710316859397612,0.061,0.389,2.4815951223180478e-136
CCL23,1.631473179675802e-140,-1.415336972839169,0.386,0.707,5.952429896047163e-136
PRR16,3.3483134250867675e-140,-0.8623500644008539,0.32,0.661,1.2216321531429071e-135
AHNAK,1.860524931136587e-139,0.7048300708048294,0.978,0.823,6.788125211251838e-135
AL136295.2,3.2970604979794255e-139,-0.9783456389855074,0.06,0.384,1.2029325226877933e-134
FBXL19,1.2752927337479137e-138,-0.9202141731537026,0.014,0.31,4.652905539079263e-134
CXCL5,2.5289713800779327e-138,-3.3924754772110726,0.049,0.363,9.226952080214338e-134
IGFN1,2.7242479816776406e-138,-1.1512694445574103,0.028,0.332,9.939418761150872e-134
MAPRE2,2.7839501478390106e-138,0.6112785653376669,0.965,0.763,1.015724211439063e-133
AC107029.1,2.904848227388177e-138,-0.8529205968733558,0.001,0.285,1.0598338757625763e-133
NUCB1,1.4772154984538263e-137,0.5156106261546876,0.874,0.493,5.389620746108785e-133
AC022506.2,2.922899296805658e-137,-1.2751397794573387,0.117,0.456,1.0664198084395442e-132
TNIP3,3.555245893957497e-137,-1.370965496394703,0.478,0.751,1.2971314644103928e-132
LPAR1,3.686963740884056e-137,-0.9109333786784051,0.035,0.343,1.3451887208615479e-132
AL117336.1,5.09433777339961e-137,-1.1109889945032976,0.014,0.307,1.8586691366248477e-132
NBPF9,5.446724590961718e-137,-0.8917950037542743,0.663,0.867,1.987237467012383e-132
AC078785.1,5.904798505426044e-137,-0.9308015013825001,0.017,0.316,2.1543657347046922e-132
TFEC,1.5437004069310013e-136,-0.8647933108060712,0.441,0.772,5.6321909346877583e-132
SUSD6,1.729481251566239e-136,-0.6715848347494506,0.993,0.994,6.310012346339423e-132
EZR,3.0265993819829203e-136,1.2737339549594755,0.857,0.54,1.1042547845164685e-131
