Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
C1orf216,0,-0.9818043741318736,0.321,0.671,0
PPT1,0,0.6903194105976673,0.904,0.754,0
SCP2,0,0.5916795257514491,0.953,0.789,0
TTLL7,0,-1.4078833109003075,0.139,0.506,0
SEC22B,0,-1.0162119507104768,0.995,0.999,0
NOTCH2NLA,0,-0.9232412737560607,0.643,0.874,0
NBPF9,0,-0.9189962895204193,0.445,0.798,0
NOTCH2NLC,0,-0.957962473433442,0.405,0.756,0
NBPF19,0,-1.0584305248887398,0.646,0.87,0
RAB13,0,-1.2484476980154902,0.38,0.712,0
RUSC1-AS1,0,-0.9231637224523546,0.018,0.324,0
RIT1,0,-0.6726822383482252,0.98,0.99,0
FCGR3B,0,-0.8705564168589893,0.009,0.268,0
CDC73,0,-0.6665996573946273,0.998,1,0
DDX59,0,-0.6721208049796374,0.901,0.969,0
TMEM81,0,-0.8121897016055488,0.011,0.327,0
ZC3H11B,0,-0.9744674176723535,0.018,0.292,0
AKT3,0,-1.0917244647000792,0.375,0.702,0
AL356512.1,0,0.6362354471721234,0.93,0.761,0
RHOQ,0,-0.7338389876277831,0.975,0.994,0
GFPT1,0,-1.1087997541639318,0.475,0.737,0
SLC35F5,0,-0.7888543126121133,0.974,0.986,0
KYNU,0,-0.8302628202560398,0.84,0.943,0
ACVR1,0,-0.9074934825826089,0.481,0.765,0
AC078883.1,0,-1.0284997761365144,0.181,0.553,0
MOB4,0,-0.6993797750492257,0.977,0.991,0
AC009974.1,0,-1.46856468472223,0.017,0.437,0
SETD5,0,-0.8303317341243239,0.986,0.991,0
SLC6A6,0,-0.7443389279878736,0.993,0.997,0
ACVR2B,0,-1.429014615267528,0.09,0.432,0
STIMATE,0,0.8795345640678571,0.883,0.527,0
ARL13B,0,-1.1133998586773681,0.598,0.785,0
ALCAM,0,-1.3473228768736025,0.409,0.779,0
H1FX,0,0.9353669946034686,0.978,0.887,0
ATP2C1,0,-0.7220025952193709,0.643,0.891,0
FNDC3B,0,-0.6605280606174895,0.976,0.992,0
KLHL24,0,-0.8281656088665788,0.982,0.994,0
MB21D2,0,-1.1200748102333657,0.378,0.753,0
