Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AL645608.8,0,1.2602513274651455,0.566,0.011,0
RRAGC,0,-0.6574292306871521,0.849,0.976,0
GNG12,0,1.2106548172997127,0.541,0.006,0
F3,0,-2.0420875863711694,0.482,0.889,0
AC253572.1,0,1.233540963373523,0.66,0.121,0
HIST2H2AA4,0,1.3666306560034638,0.762,0.334,0
AL391069.2,0,1.1524523805329103,0.744,0.253,0
LMNA,0,1.4093053276762415,0.908,0.547,0
AL445228.2,0,1.329275134523837,0.645,0.093,0
EIF2D,0,0.7756035124702135,0.872,0.521,0
TGFB2,0,1.4056909873907983,0.616,0.104,0
ADAM17,0,-0.9485369962477632,0.989,0.997,0
CRIM1,0,-1.7278561343131926,0.183,0.735,0
FEZ2,0,-0.5478442753282875,0.909,0.983,0
MIR4435-2HG,0,1.282890717536669,0.823,0.435,0
AC017002.1,0,1.3515931456021986,0.613,0.073,0
PAX8-AS1,0,1.5187398922185102,0.737,0.212,0
STAM2,0,-0.9062272284612474,0.6,0.96,0
DYNC1I2,0,-0.6605474727425003,0.949,0.994,0
PLEKHM3,0,-1.3706526941636974,0.262,0.744,0
SGPP2,0,-1.3803264631616372,0.588,0.853,0
NEU4,0,-1.4634126224130262,0.318,0.785,0
SH3BP5,0,-1.304142993598156,0.434,0.831,0
ABHD14B,0,1.0407656253234285,0.671,0.144,0
RABL3,0,-0.7633196611424093,0.957,0.995,0
SLC9A9,0,1.485554278041099,0.615,0.075,0
PLD1,0,-1.304968940139189,0.493,0.857,0
AC069213.1,0,1.271504295628001,0.539,0.023,0
TFRC,0,1.1173043412488797,0.887,0.505,0
PCYT1A,0,-0.9869409244731955,0.442,0.922,0
CFAP99,0,1.3224308790198283,0.588,0.027,0
RUFY3,0,-0.9692445961335137,0.431,0.855,0
AC021127.1,0,1.2031859450476654,0.708,0.205,0
PRDM8,0,1.3306480913026284,0.82,0.547,0
AC016596.1,0,1.199693350372328,0.707,0.199,0
AC010359.2,0,1.1112938541345871,0.66,0.173,0
TSLP,0,1.8667321721170438,0.692,0.214,0
