Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
KDM1A,0,-0.6515033962757844,0.721,0.899,0
TMEM50A,0,-0.5744818119145894,0.983,0.988,0
SNHG3,0,0.7241940721489648,0.93,0.761,0
RRAGC,0,-0.7740546369561956,0.924,0.962,0
PABPC4,0,-0.48860403568786026,0.983,0.995,0
PARS2,0,-0.6766082627977946,0.011,0.19,0
LEPROT,0,-0.6278829117969664,0.944,0.988,0
TTLL7,0,-1.1971444191982163,0.202,0.506,0
AHCYL1,0,-0.5902341295428153,0.998,0.999,0
FCGR1A,0,0.8311184123606157,0.781,0.492,0
MTMR11,0,-0.6972773954029077,0.444,0.802,0
AL391069.2,0,0.7997454312118248,0.771,0.477,0
UBE2Q1,0,-0.6192764547162808,0.988,0.997,0
FCGR3B,0,-0.8676997568453793,0.011,0.268,0
POU2F1,0,-0.7420559371874034,0.82,0.967,0
VAMP4,0,-0.9381515101128319,0.793,0.935,0
GAS5,0,0.77384480803273,0.97,0.943,0
DDX59,0,-0.5930379902940621,0.955,0.969,0
ELF3,0,-1.301193826600798,0.111,0.506,0
TMEM81,0,-0.7493171969939393,0.038,0.327,0
SLC30A1,0,-0.8334003205576708,0.651,0.843,0
LINC01705,0,-0.8413646616276167,0.047,0.293,0
SIPA1L2,0,-1.179782078932388,0.434,0.739,0
MAP3K21,0,-0.9758683339295264,0.126,0.429,0
ADSS,0,-1.1330166872131113,0.882,0.939,0
RAB10,0,-0.5446620447260293,0.994,0.995,0
MEMO1,0,-0.6636300257018173,0.774,0.934,0
AL133245.1,0,-0.7575690322705899,0.715,0.84,0
CRIM1,0,-0.7096338429581988,0.093,0.377,0
FEZ2,0,-0.691911562836522,0.976,0.987,0
SEMA4F,0,-0.5684812475998295,0.011,0.186,0
CAPG,0,-0.6519489174054445,0.876,0.97,0
ACTR3,0,-0.6969322168270922,0.998,0.999,0
WDR33,0,-0.621303918393614,0.796,0.939,0
SFT2D3,0,-0.7830068589210444,0.385,0.758,0
