Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
HLA-C	7.93666231113697e-176	-0.6888323742108846	0.912	0.971	2.8956912442183235e-171	TRUE	Other	170.53824774706078
B2M	2.5577854855199823e-152	-0.421012719478143	0.997	0.999	9.332080343919655e-148	TRUE	Other	147.03002153083298
HLA-A	4.223721955064413e-137	-0.5499887791041402	0.964	0.982	1.5410249553052512e-132	TRUE	Other	131.8121903282747
F3	5.961123540406537e-128	-1.4990777949502387	0.17	0.44	2.1749159237173255e-123	TRUE	Other	122.66255752701802
HBB	2.2429019254196486e-119	1.3915682625657273	0.258	0.008	8.183227674893586e-115	TRUE	Other	114.0870753656546
EREG	2.6021035477304297e-113	0.8675463563889227	0.909	0.801	9.493774793894473e-109	TRUE	Other	108.02256107459037
CXCL2	1.618553534647913e-102	0.7459561856755261	0.961	0.915	5.905292571162912e-98	TRUE	Other	97.2287585808796
HLA-B	2.647424844422987e-98	-0.3932504820866302	0.987	0.993	9.659129544877266e-94	TRUE	Other	93.01506200928738
EIF1B	2.789717756417283e-98	0.8478889026302623	0.873	0.782	1.0178285234288456e-93	TRUE	Other	92.99232538270797
LMNA	1.4929260653698214e-88	0.7218929435495292	0.769	0.533	5.4469407495017935e-84	TRUE	Other	83.26384734885104
DDX3Y	3.2916687217474596e-88	0.61884894236906	0.449	0.151	1.2009653331295606e-83	TRUE	Other	82.9204695286902
ITM2B	1.7877410342410855e-83	-0.7359620667020652	0.503	0.693	6.5225731634286e-79	TRUE	Other	78.1855810407375
PLD1	2.036245263942289e-77	-0.6235860308784744	0.096	0.288	7.429240845493442e-73	TRUE	Other	72.12905556220947
FTH1	3.6853444255573e-77	-0.3540678633749099	1	0.999	1.3445979136645811e-72	TRUE	Other	71.8714075669506
SLC7A11	1.5200946789778673e-67	0.6783696635371479	0.719	0.494	5.546065436250748e-63	TRUE	Other	62.256015010626356
NRG1	1.6329555900373093e-65	0.5610922898790098	0.224	0.045	5.957838470251123e-61	TRUE	Other	60.22491127561402
CYBA	6.098307253935943e-64	-0.5251501232525824	0.842	0.84	2.2249674015985288e-59	TRUE	Other	58.65267634756376
ZEB2	2.4506457983533108e-62	-0.450941850310608	0.881	0.909	8.941181195292055e-58	TRUE	Other	57.048605103943316
FOLR3	2.9144152797675794e-61	0.5221808271209601	0.152	0.01	1.0633244148232013e-56	TRUE	Other	55.973334214241774
MET	1.3892646304970191e-60	-0.4480776800769811	0.025	0.139	5.068732004368374e-56	TRUE	Other	55.29510067032736
RACK1	4.620116054817469e-60	0.3648127601097473	0.958	0.954	1.685649342600154e-55	TRUE	Other	54.77323276447558
WDR33	4.6586312863978766e-60	-0.5702129049503353	0.092	0.255	1.699701624842265e-55	TRUE	Other	54.76962731042038
HBA2	1.2426075949438303e-58	0.7527387257512062	0.139	0.006	4.5336538101525653e-54	TRUE	Other	53.34355164567412
AC253572.2	6.617094480117605e-58	0.7060660991384986	0.634	0.401	2.4142469210709077e-53	TRUE	Other	52.61721831378528
CD55	1.8567233064061784e-57	0.5083803501190896	0.823	0.703	6.774254983422942e-53	TRUE	Other	52.1691384605096
PTGS2	2.0347337185173417e-56	0.5668227794744798	0.894	0.81	7.42372597201052e-52	TRUE	Other	51.12937806737111
ADA	2.332114696148776e-56	0.6730008823011384	0.652	0.463	8.508720468898809e-52	TRUE	Other	51.07013574368472
TMSB10	8.385789872576795e-56	-0.3890509197842169	0.958	0.975	3.0595554350096435e-51	TRUE	Other	50.51434167356696
ZFY	3.4486299556235946e-54	0.47346626658486246	0.212	0.05	1.2582326393092687e-49	TRUE	Other	48.90023905314557
KCNJ2-AS1	6.533781561633761e-54	-0.4545363284351412	0.055	0.186	2.3838502027620777e-49	TRUE	Other	48.62272103842752
MIR4435-2HG	1.2366810122026105e-51	0.629020497214579	0.476	0.276	4.512030673021224e-47	TRUE	Other	46.34562795665801
HIST1H1C	3.240396690115395e-51	0.7353189599169581	0.287	0.107	1.1822587323886018e-46	TRUE	Other	45.927287469518774
SLC25A37	1.6702113485695905e-50	-0.5706309238526275	0.257	0.45	6.093766105256151e-46	TRUE	Other	45.215114219156014
HLA-E	4.542931458753286e-50	-0.395837451035312	0.862	0.887	1.6574885427261364e-45	TRUE	Other	44.78054946494311
PSME2	4.2771511377789636e-49	-0.6716618741838687	0.173	0.336	1.5605185926186548e-44	TRUE	Other	43.80673105261634
HLA-DQA2	6.951826363562312e-49	0.6457156760954578	0.34	0.153	2.53637384874571e-44	TRUE	Other	43.59578673325041
DTNA	7.004107030501185e-49	0.4597584612798372	0.136	0.015	2.5554484500783577e-44	TRUE	Other	43.59253287544924
PFN1	1.2299628941557886e-48	-0.5379377746242127	0.589	0.711	4.487519619327394e-44	TRUE	Other	43.34799363968449
TXNRD1	3.2029576329505836e-48	0.557202108380213	0.527	0.326	1.1685990923820203e-43	TRUE	Other	42.9323344553299
HLA-DQB1	5.50205041728477e-48	0.5956446583332293	0.651	0.451	2.0074230947463484e-43	TRUE	Other	42.69736108374146
ADIRF	1.716259737200594e-47	1.371520891598081	0.127	0.012	6.261773651176366e-43	TRUE	Other	42.20330263518952
PMP22	2.8192279289166695e-47	0.5396222916131821	0.146	0.022	1.0285953098652467e-42	TRUE	Other	41.98775546028353
CXCL1	2.304659180553952e-46	1.1504826594818771	0.478	0.283	8.408549020251095e-42	TRUE	Other	41.07527893962001
MYL6	2.9589166906521463e-46	-0.3983807868598878	0.867	0.892	1.0795607545844353e-41	TRUE	Other	40.96675291179357
CCL7	3.2332963940573633e-46	0.9018856865189884	0.453	0.247	1.179668189371829e-41	TRUE	Other	40.92824013149835
RGPD2	3.674140877203602e-46	0.44745579881887576	0.113	0.006	1.340510299047734e-41	TRUE	Other	40.87272984501387
TPT1	2.712165978485148e-44	0.13931079775528143	0.996	0.999	9.89533757250306e-40	FALSE	Other	39.004569385553125
MAP3K8	4.88994852121429e-42	0.4259107633304056	0.785	0.644	1.784097717965034e-37	TRUE	Other	36.7485813622857
SH3BGRL3	5.543401130309065e-42	-0.3263005499768612	0.955	0.971	2.0225099023932625e-37	TRUE	Other	36.69410934336502
DUSP2	2.1374265101606603e-41	0.5908529319894931	0.515	0.331	7.798400622321171e-37	TRUE	Other	36.10799445783818
TM4SF19	2.522567116082829e-41	-0.2349105573487087	0.005	0.064	9.203586123028199e-37	FALSE	Other	36.03604291939566
CREB5	2.5610496737992273e-40	0.48710871499291464	0.198	0.065	9.343989734856482e-36	TRUE	Other	35.02946764733973
PPP1R14B-AS1	6.315012712709571e-40	0.44854879941637504	0.187	0.057	2.3040323882320868e-35	TRUE	Other	34.63751142024379
CYTOR	1.2954730264028376e-39	0.5927859508021389	0.798	0.695	4.7265333368307534e-35	TRUE	Other	34.32545727462622
FABP5	1.3485716521785111e-39	0.6558465278107716	0.332	0.169	4.920263672973298e-35	TRUE	Other	34.308011623117
GPRC5A	1.2128478563496699e-38	0.4282192600885438	0.178	0.052	4.425075403891769e-34	TRUE	Other	33.354079324465566
KCNJ2	1.4537303273010266e-38	-0.4407138005207567	0.075	0.192	5.303935099157796e-34	TRUE	Other	33.275401798752995
SLC7A5	3.377055580578775e-38	0.4796792761923365	0.581	0.408	1.2321187285741664e-33	TRUE	Other	32.90934744097015
PSME1	4.719518677815582e-38	-0.5657589997147345	0.43	0.56	1.7219163896010148e-33	TRUE	Other	32.763987940232234
AC093583.1	6.21889227353928e-38	-0.3845740039059006	0.046	0.142	2.268962846000806e-33	TRUE	Other	32.644172615577794
HMGB1	1.7701783315881714e-37	-0.556246335456295	0.641	0.753	6.458495642799443e-33	TRUE	Other	32.18986862908149
PABPC4	6.969145300206166e-37	-0.5272839372180671	0.232	0.38	2.54269266278022e-32	TRUE	Other	31.594706130160475
PPP1R15B	7.2476827713088774e-37	0.5017402969777027	0.501	0.333	2.6443170591120435e-32	TRUE	Other	31.577686473253195
CACNA2D4	2.7141299337666506e-35	-0.2151623389626548	0.006	0.061	9.902503063347623e-31	FALSE	Other	30.004255014574287
PELO	6.60540883742199e-35	0.371396407526115	0.176	0.057	2.4099834143334137e-30	TRUE	Other	29.617985946258436
TMEM123	8.419060573971808e-35	0.43403089541259576	0.553	0.382	3.0716942504136136e-30	TRUE	Other	29.512622015192143
OPTN	9.398686913905475e-35	-0.4637587369125087	0.098	0.217	3.4291109205384115e-30	TRUE	Other	29.464818466649813
CFL1	1.441904647220184e-34	-0.45684552073685536	0.666	0.736	5.260789105382841e-30	TRUE	Other	29.278949107859617
LRIG1	2.253280280480881e-34	-0.28072760504967353	0.017	0.086	8.221093103334493e-30	TRUE	Other	29.085070433410777
PDE4DIP	5.40115058287076e-34	0.4206767558205966	0.756	0.617	1.9706097901603967e-29	TRUE	Other	28.70539936392827
FGFR1	5.465529844916943e-34	0.40337933794346664	0.146	0.039	1.9940985639179462e-29	TRUE	Other	28.70025337927022
PPBP	1.0153538105356258e-33	-0.6125963677193156	0.094	0.212	3.70451837773923e-29	TRUE	Other	28.431268246385432
FAM107B	1.0787349869472686e-33	-0.3691313872539155	0.833	0.877	3.935764599877109e-29	TRUE	Other	28.404970884842236
LEPROT	1.834195844343713e-33	-0.4501474694840615	0.168	0.298	6.692063538088036e-29	TRUE	Other	28.17443994426224
MMP19	2.4797086987532168e-33	0.5272875141821178	0.232	0.101	9.047217187401111e-29	TRUE	Other	28.043484983889375
TES	3.0324624240695334e-33	-0.4780529068414985	0.42	0.562	1.1063939154217694e-28	TRUE	Other	27.956090221280903
LSP1	4.966990326889866e-33	-0.5437380788760682	0.168	0.3	1.8122064207657675e-28	TRUE	Other	27.741792335194717
TPM3	5.640671330562274e-33	-0.4142874327681745	0.739	0.784	2.0579989349556456e-28	TRUE	Other	27.686554854327234
NANS	8.283323715685252e-33	0.4410839907867916	0.507	0.349	3.0221706576677643e-28	TRUE	Other	27.51968101531441
ALPK2	3.002397904291242e-32	0.40502583363289096	0.155	0.048	1.0954248753806597e-27	TRUE	Other	26.960417401148796
Z95118.2	6.127647897957335e-32	0.49545527614473384	0.315	0.174	2.2356723355697336e-27	TRUE	Other	26.65059184715483
ACSL1	7.529171456391187e-32	0.4454937409216213	0.739	0.606	2.7470182058643248e-27	TRUE	Other	26.561138462283036
RGL4	1.1840102463589316e-31	-0.44729775320968407	0.055	0.148	4.3198613838405615e-27	TRUE	Other	26.364530188647816
SH3BP5	1.5667305486182242e-31	-0.4196014665492134	0.176	0.312	5.7162164066335905e-27	TRUE	Other	26.24289133788881
EMP3	3.944123750341317e-31	-0.2497622131899906	0.959	0.958	1.4390135503120295e-26	FALSE	Other	25.841935116558158
KLF6	5.267567231975813e-31	-0.4211879901089213	0.823	0.839	1.921871904586375e-26	TRUE	Other	25.71627556202918
GAS5	7.628431280772587e-31	0.31496507500371607	0.665	0.508	2.7832331527898785e-26	TRUE	Other	25.555450411082848
SLC3A2	1.7810648148524946e-30	0.3754703425918619	0.723	0.594	6.498214976989326e-26	TRUE	Other	25.187205925220056
LYPD3	1.8939659113828352e-30	-0.6032844615249097	0.141	0.258	6.910134627680274e-26	TRUE	Other	25.16051349133939
NDUFA12	2.2266845186070625e-30	-0.4955506212657872	0.18	0.306	8.124058466137868e-26	TRUE	Other	25.090226959783518
LY86	3.248558616647147e-30	-0.30321195484093666	0.06	0.153	1.1852366112837114e-25	TRUE	Other	24.926194941875654
PRDM8	3.4577860617318656e-30	0.4508119766623286	0.371	0.222	1.2615732446228715e-25	TRUE	Other	24.899087530075366
TRAF4	3.4578903765068685e-30	0.3513336797000497	0.133	0.037	1.2616113038685313e-25	TRUE	Other	24.899074428441253
NCF1	3.5671281751327986e-30	-0.360662103316938	0.047	0.132	1.3014667146972018e-25	TRUE	Other	24.885566934591385
GLS	3.9611396877507084e-30	0.45408463199885407	0.381	0.227	1.445221815075846e-25	TRUE	Other	24.840065491543847
IRF7	6.954573778177494e-30	0.38689965173329727	0.239	0.112	2.537376242968059e-25	TRUE	Other	24.595615130677455
TYMP	7.941114321593696e-30	-0.4767548434267579	0.352	0.479	2.89731556023346e-25	TRUE	Other	24.53800420117019
MAFF	1.1787385017549067e-29	0.44711178855736766	0.533	0.381	4.3006274236527775e-25	TRUE	Other	24.366468180059353
G0S2	1.4271816110201403e-29	0.7197153389874744	0.72	0.659	5.207072107806981e-25	TRUE	Other	24.283406408149958
OGFRL1	1.7185897091042528e-29	0.4236225191012464	0.614	0.455	6.270274553666867e-25	TRUE	Other	24.202713442497515
MT2A	2.1556518088013667e-29	-0.5525819331026927	0.237	0.376	7.8648956244117875e-25	TRUE	Other	24.104307036555355
SLC11A1	4.1089880525443574e-29	-0.4233684566676822	0.145	0.267	1.4991642909708088e-24	TRUE	Other	23.824150770919363
TNNT1	4.150343494270206e-29	0.3505544678957514	0.146	0.047	1.5142528238844843e-24	TRUE	Other	23.819801607761207
PTPRC	5.900879987854342e-29	-0.5202896337617	0.417	0.553	2.1529360635686566e-24	TRUE	Other	23.666968867367235
SLC39A8	6.780534354603596e-29	-0.5351688020843064	0.353	0.477	2.4738779592771214e-24	TRUE	Other	23.606621728684193
DNAAF1	7.699934991234357e-29	-0.5457370569965985	0.694	0.703	2.8093212815518557e-24	TRUE	Other	23.55139859087096
CXCL5	9.699661188289435e-29	0.8041818132550312	0.095	0.016	3.538921384547401e-24	TRUE	Other	23.451129084900344
ARPC2	3.799226427417205e-28	-0.3676429987381882	0.769	0.804	1.386147762043167e-23	TRUE	Other	22.858190471874636
SLAMF7	7.549384421114886e-28	-0.483951607422862	0.414	0.532	2.754392906043766e-23	TRUE	Other	22.559974108830108
HBA1	8.860821186805943e-28	0.46289969151286053	0.079	0.009	3.232870610006148e-23	TRUE	Other	22.490411676917937
MAP3K4	1.0926349506793027e-27	-0.40739561773230415	0.054	0.138	3.9864786175534365e-23	TRUE	Other	22.39941056100834
DBI	1.3261046525865019e-27	-0.5233085288652586	0.397	0.511	4.8382928249618525e-23	TRUE	Other	22.315307850646185
CSF2	1.664956549484331e-27	0.8051796299831133	0.23	0.115	6.074593970793581e-23	TRUE	Other	22.2164827452419
SOD2	2.1367527452339495e-27	0.24613151987000403	0.996	0.999	7.795942390986065e-23	FALSE	Other	22.10813137881164
RHCG	2.1524231833702548e-27	0.3541941414251376	0.129	0.038	7.853115984526375e-23	TRUE	Other	22.104957988302445
GADD45A	2.4940143353800948e-27	0.36615812876283127	0.434	0.283	9.099411302634277e-23	TRUE	Other	22.04098670397425
LRRFIP1	3.63667636362284e-27	-0.3969653862442515	0.669	0.751	1.3268413712677931e-22	TRUE	Other	21.877180995523677
MGLL	4.4607678314845675e-27	0.38965509337668813	0.327	0.192	1.6275111433171445e-22	TRUE	Other	21.788476029202425
CYP1B1	5.369076527421885e-27	0.29314741524507326	0.773	0.585	1.9589075710298747e-22	TRUE	Other	21.707986055245026
ANTXR2	5.9047448816434525e-27	0.3889158671810869	0.404	0.257	2.1543461700676138e-22	TRUE	Other	21.666684511032983
HOXA5	7.312510451184177e-27	0.26514149910326956	0.083	0.012	2.667969438114547e-22	TRUE	Other	21.573819149618394
SLC1A4	7.878898294142556e-27	0.32058934543880657	0.153	0.055	2.8746160426179117e-22	TRUE	Other	21.54142015504674
AHNAK	8.331544446967916e-27	-0.445062686872828	0.604	0.681	3.039763991476244e-22	TRUE	Other	21.517160133884143
MTMR11	1.3415757598479906e-26	-0.22573035465367047	0.022	0.083	4.8947391598053935e-22	FALSE	Other	21.310270446756757
CDC42EP3	1.4454165895844967e-26	-0.5092080970281381	0.545	0.62	5.273602427099035e-22	TRUE	Other	21.277892614441214
PRKAG2	1.5932976448643652e-26	-0.4158400712440844	0.238	0.362	5.813146457287635e-22	TRUE	Other	21.23558873522517
C1orf122	3.301035431395983e-26	0.405833925567308	0.667	0.534	1.2043827771448243e-21	TRUE	Other	20.9192354635914
DNTTIP2	3.667927224349901e-26	0.3708334601646668	0.61	0.46	1.3382432478040614e-21	TRUE	Other	20.8734649392009
PDLIM5	5.069618739156751e-26	-0.4600787324850644	0.268	0.39	1.8496503969813407e-21	TRUE	Other	20.732910349980628
C1orf21	6.703792892704392e-26	0.3399322457422339	0.308	0.172	2.445878836903197e-21	TRUE	Other	20.61156506069617
MAD1L1	6.951218839973482e-26	-0.3401164462492232	0.069	0.157	2.5361521937643247e-21	TRUE	Other	20.595824688121237
HIF1A	9.860356908785102e-26	-0.46528679398693384	0.605	0.672	3.597551218170245e-21	TRUE	Other	20.4439930143169
DPYSL3	1.0784922205705485e-25	0.4485518457170678	0.184	0.079	3.934878866751646e-21	TRUE	Other	20.405068632634286
ANXA2	1.9142152838389345e-25	-0.30146252132455276	0.83	0.82	6.984014463086351e-21	TRUE	Other	20.155894869927902
AC018755.4	2.570987825422192e-25	-0.16694769165905676	0.009	0.054	9.380249081052868e-21	FALSE	Other	20.027785629308507
DDIT4	4.0554776214276447e-25	0.37004527226349304	0.416	0.268	1.4796410101778763e-20	TRUE	Other	19.829843640152582
PTMA	4.249826095001683e-25	-0.3766058370882384	0.944	0.966	1.5505490507613643e-20	TRUE	Other	19.809514490543684
CA2	4.821282662447812e-25	0.3470613646781744	0.165	0.065	1.759044979394084e-20	TRUE	Other	19.75472305533907
SCPEP1	7.351133621806876e-25	-0.2643020865541808	0.05	0.127	2.6820611019162392e-20	TRUE	Other	19.571531332404337
GM2A	1.0107590805970084e-24	0.3396414383052304	0.241	0.126	3.687754505558185e-20	TRUE	Other	19.433237997713334
ASGR2	1.2048016819323567e-24	0.27680814386740726	0.147	0.054	4.395718936530204e-20	TRUE	Other	19.35697008426864
PAX8-AS1	1.5028711205147468e-24	0.2843465102370264	0.105	0.027	5.483225283198055e-20	TRUE	Other	19.26096391037407
MRPS24	1.6042027982739515e-24	0.4033615134693904	0.469	0.329	5.852933909502512e-20	TRUE	Other	19.23262637984967
TGFB1	1.6228679248835058e-24	-0.39598549242629666	0.531	0.634	5.921033623937471e-20	TRUE	Other	19.227602472670906
ZBTB10	2.1124557248320378e-24	0.4648830154753585	0.354	0.226	7.707294712049691e-20	TRUE	Other	19.11309803411509
PLSCR1	2.2565835271108078e-24	0.4204927998384545	0.285	0.163	8.233144998663782e-20	TRUE	Other	19.084434235910592
ACTB	2.2596604146728575e-24	-0.2716074899024261	0.893	0.9	8.24437102293392e-20	TRUE	Other	19.08384247181919
SMIM3	2.4458106972356407e-24	0.2925118692298734	0.199	0.091	8.923540328864237e-20	TRUE	Other	19.04946280927339
OAZ1	2.7114651561126127e-24	-0.2851330840459565	0.869	0.858	9.892780622076869e-20	TRUE	Other	19.00468162153796
SGK1	3.1205863754676167e-24	-0.478880626516796	0.28	0.398	1.1385459390893602e-19	TRUE	Other	18.94364944138568
RESF1	3.3884897263821635e-24	-0.4577390171272565	0.178	0.295	1.2362904766705326e-19	TRUE	Other	18.907879476177868
PTTG1IP	4.433317532844799e-24	-0.4380182101637728	0.106	0.202	1.617495901858425e-19	TRUE	Other	18.791156811000857
RNF145	7.48588629934344e-24	-0.4553361357635437	0.444	0.548	2.7312256163154544e-19	TRUE	Other	18.56364242293838
MX2	8.222319748969243e-24	0.3728412600202391	0.257	0.137	2.999913360411429e-19	TRUE	Other	18.52289128782653
SERPINB9	1.228482906578394e-23	0.29080833610931967	0.862	0.796	4.482119884651269e-19	TRUE	Other	18.348516531436342
CCR7	1.2929631466313631e-23	-0.7578755109688791	0.194	0.299	4.717376040484527e-19	TRUE	Other	18.326299503063584
SFT2D3	1.4657895083105798e-23	-0.1899503896035536	0.028	0.089	5.3479330210711515e-19	FALSE	Other	18.27181404059505
CHST2	1.6516324364624483e-23	0.3703119877150428	0.286	0.165	6.025980944433244e-19	TRUE	Other	18.21997224600162
GLIPR1	2.345747168890318e-23	0.3819640100849302	0.629	0.497	8.558458545696324e-19	TRUE	Other	18.0676044485683
THAP2	6.736898453210699e-23	0.3304025315917517	0.375	0.24	2.457957400653924e-18	TRUE	Other	17.60942564822794
GADD45B	8.618638814240295e-23	0.46251156701487783	0.452	0.313	3.1445103713755715e-18	TRUE	Other	17.502446968522094
PALM2-AKAP2	1.7212294510533168e-22	-0.47958852840777233	0.338	0.45	6.2799056521680265e-18	TRUE	Other	17.20204688095239
HOTAIRM1	1.7754449654993208e-22	0.40834057375633337	0.263	0.15	6.477710956624273e-18	TRUE	Other	17.188578434643798
DNAJB6	2.575211658235562e-22	0.2967402989467338	0.678	0.542	9.395659735072448e-18	TRUE	Other	17.027072719635623
CDC42SE1	2.8221300817115626e-22	-0.4311003440528389	0.187	0.297	1.0296541603124636e-17	TRUE	Other	16.98730862140067
COTL1	3.420598259219893e-22	-0.43369279620627355	0.424	0.525	1.2480052748763776e-17	TRUE	Other	16.903783579040724
RNASE6	3.610357732566693e-22	0.25886944471401063	0.159	0.068	1.3172390187269574e-17	TRUE	Other	16.880335413272284
NR4A3	3.8952950107727577e-22	0.3948966865684075	0.324	0.202	1.4211983846804407e-17	TRUE	Other	16.847345294797098
KDM7A-DT	5.236415788874846e-22	0.3928793443873314	0.286	0.172	1.910506300570988e-17	TRUE	Other	16.718851525733385
BTF3	5.408857005604542e-22	0.225394437368021	0.882	0.853	1.9734214784948168e-17	FALSE	Other	16.704780149296255
INSIG1	5.419923798486908e-22	0.3638357728417527	0.686	0.56	1.9774591978779485e-17	TRUE	Other	16.70389246880084
CIB1	6.287161940384501e-22	-0.44138285359907714	0.25	0.366	2.293871033949285e-17	TRUE	Other	16.639431002659087
