Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CXCL3,3.1026556469183257e-273,1.807446473456987,0.959,0.835,1.1320039127781511e-268
HLA-C,7.93666231113697e-176,-0.6888323742108846,0.912,0.971,2.8956912442183235e-171
HLA-DRB5,1.4524891372347426e-152,1.3326176040387765,0.352,0.036,5.299406617200958e-148
B2M,2.5577854855199828e-152,-0.421012719478143,0.997,0.999,9.332080343919657e-148
HLA-A,4.223721955064413e-137,-0.5499887791041402,0.964,0.982,1.5410249553052512e-132
CXCL8,6.069669673226155e-131,0.6689259350758388,1,0.999,2.2145189802765625e-126
F3,5.961123540406538e-128,-1.4990777949502387,0.17,0.44,2.1749159237173255e-123
IL1B,3.103535093487923e-122,0.7339535447113406,0.998,0.998,1.1323247788590687e-117
HBB,2.2429019254196486e-119,1.3915682625657273,0.258,0.008,8.183227674893587e-115
EREG,2.6021035477304297e-113,0.8675463563889227,0.909,0.801,9.493774793894473e-109
CXCL2,1.6185535346479133e-102,0.7459561856755261,0.961,0.915,5.905292571162912e-98
HLA-B,2.647424844422987e-98,-0.39325048208663027,0.987,0.993,9.659129544877268e-94
EIF1B,2.7897177564172832e-98,0.8478889026302623,0.873,0.782,1.0178285234288458e-93
S100A11,5.161480679116619e-90,-0.529779810857347,0.956,0.967,1.8831662257756985e-85
LMNA,1.4929260653698214e-88,0.7218929435495292,0.769,0.533,5.4469407495017935e-84
DDX3Y,3.2916687217474596e-88,0.61884894236906,0.449,0.151,1.2009653331295606e-83
ITM2B,1.7877410342410855e-83,-0.7359620667020652,0.503,0.693,6.5225731634286e-79
PLD1,2.036245263942289e-77,-0.6235860308784744,0.096,0.288,7.429240845493442e-73
FTH1,3.6853444255573e-77,-0.3540678633749099,1,0.999,1.344597913664581e-72
SLC7A11,1.5200946789778673e-67,0.6783696635371479,0.719,0.494,5.546065436250748e-63
NRG1,1.6329555900373093e-65,0.5610922898790098,0.224,0.045,5.957838470251123e-61
CYBA,6.098307253935943e-64,-0.5251501232525824,0.842,0.84,2.2249674015985288e-59
ZEB2,2.4506457983533108e-62,-0.45094185031060796,0.881,0.909,8.941181195292055e-58
FOLR3,2.9144152797675794e-61,0.5221808271209601,0.152,0.01,1.0633244148232013e-56
MET,1.3892646304970191e-60,-0.4480776800769811,0.025,0.139,5.068732004368374e-56
RACK1,4.6201160548174697e-60,0.3648127601097473,0.958,0.954,1.685649342600154e-55
WDR33,4.658631286397876e-60,-0.5702129049503353,0.092,0.255,1.699701624842265e-55
HBA2,1.2426075949438305e-58,0.7527387257512062,0.139,0.006,4.5336538101525653e-54
AC253572.2,6.617094480117605e-58,0.7060660991384986,0.634,0.401,2.414246921070908e-53
CD55,1.8567233064061784e-57,0.5083803501190896,0.823,0.703,6.774254983422942e-53
PTGS2,2.0347337185173417e-56,0.5668227794744798,0.894,0.81,7.42372597201052e-52
ADA,2.332114696148776e-56,0.6730008823011384,0.652,0.463,8.508720468898809e-52
TMSB10,8.385789872576795e-56,-0.3890509197842169,0.958,0.975,3.0595554350096435e-51
ZFY,3.448629955623595e-54,0.47346626658486246,0.212,0.05,1.2582326393092687e-49
CTSS,5.489898838564516e-54,-0.4840395291842001,0.865,0.849,2.0029895912502638e-49
KCNJ2-AS1,6.533781561633761e-54,-0.4545363284351412,0.055,0.186,2.3838502027620774e-49
ITGB2,3.346436699898918e-52,-0.6167800045308958,0.312,0.492,1.2209474299581202e-47
MIR4435-2HG,1.2366810122026105e-51,0.629020497214579,0.476,0.276,4.512030673021224e-47
HIST1H1C,3.240396690115395e-51,0.7353189599169581,0.287,0.107,1.1822587323886018e-46
SLC25A37,1.6702113485695905e-50,-0.5706309238526275,0.257,0.45,6.093766105256151e-46
TSPO,1.7622936697064396e-50,-0.6955118951422214,0.44,0.578,6.429728453923945e-46
HLA-E,4.542931458753286e-50,-0.395837451035312,0.862,0.887,1.6574885427261364e-45
PSME2,4.2771511377789636e-49,-0.6716618741838687,0.173,0.336,1.5605185926186548e-44
HLA-DQA2,6.951826363562312e-49,0.6457156760954578,0.34,0.153,2.5363738487457095e-44
DTNA,7.004107030501185e-49,0.4597584612798372,0.136,0.015,2.5554484500783577e-44
PFN1,1.2299628941557886e-48,-0.5379377746242127,0.589,0.711,4.487519619327394e-44
