Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TSPO,2.6835553792322826e-300,-0.7526574374529988,0.7,0.844,9.790951801128982e-296
LMNA,2.921285655223298e-287,0.8289896944051862,0.743,0.513,1.0658310713082202e-282
SLC7A11,3.761355874172273e-242,1.189120858169176,0.508,0.282,1.372330690691754e-237
CXCL3,4.673426765504212e-242,1.204494195316654,0.715,0.509,1.7050997553942116e-237
EEF1A1,2.927990948001687e-233,0.2677661285778097,0.998,0.999,1.0682774973784155e-228
TPT1,8.675239399172779e-200,0.2221099781097795,0.998,0.999,3.1651610947881883e-195
S100A9,3.7649249024524016e-194,-0.6862925588087165,0.962,0.978,1.3736328506597587e-189
CYP1B1,5.826035445806308e-181,0.8073331153902257,0.686,0.5,2.1256290324024316e-176
HLA-DRB5,6.732729085592874e-176,0.62257423532289,0.37,0.162,2.4564362068785603e-171
HBB,2.391557370807897e-162,1.0037797660116914,0.219,0.061,8.725597067392612e-158
HSPA5,2.5877788405555045e-158,0.5411567832844759,0.837,0.686,9.441511099766759e-154
S100A8,1.2992544615440452e-156,-0.594443347999972,0.9,0.938,4.7403299029434484e-152
CYBA,2.591324702081878e-156,-0.36938826002347636,0.904,0.932,9.454448175545731e-152
KLF6,3.5313145287154306e-154,-0.4867326730089321,0.831,0.902,1.2884001058018248e-149
ADA,5.767179768890665e-147,0.8317266808299393,0.422,0.241,2.104155538679759e-142
CTSS,2.0357300654352996e-142,-0.38775616469684504,0.929,0.949,7.427361143740691e-138
MNDA,1.3915896250817052e-138,-0.7386170134091441,0.376,0.546,5.077214747110602e-134
VIM,1.5951110943481335e-136,0.4098463216467376,0.998,0.997,5.819762827729165e-132
MMP19,2.292482164712258e-134,0.7381621215339718,0.216,0.076,8.364121177952674e-130
SNHG29,1.2493976719944025e-126,0.44467278698247403,0.803,0.71,4.5584274062715776e-122
CYTOR,2.1481538719514044e-126,0.7037649142151596,0.661,0.523,7.837539401814699e-122
CXCL8,2.2633560721154004e-122,0.4290567821722897,0.99,0.972,8.257854629113038e-118
FABP5,6.9814025594359885e-121,0.7973664111972203,0.345,0.186,2.5471647238102205e-116
MCL1,4.3925249594542246e-120,-0.5712303181298437,0.599,0.719,1.6026127314568738e-115
PFN1,8.652971302150313e-120,-0.36650745344331614,0.839,0.893,3.157036579589542e-115
FN1,1.3635103483547876e-119,0.49539503667602297,0.093,0.007,4.974767505972443e-115
PMP22,1.5335899665808955e-118,0.49760175350829383,0.114,0.018,5.595302993070397e-114
ITM2B,1.1400300328306156e-117,-0.40621851272577114,0.753,0.843,4.159399574782501e-113
SLC11A1,3.0014419291766316e-117,-0.5154296044404243,0.336,0.504,1.095076087860094e-112
