Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-DRA,4.4003097359739774e-51,0.5883194713310171,0.998,0.991,1.6054530071701057e-46
ISG20,3.1781860402145766e-38,-1.1037415393421584,0.655,0.787,1.1595611767722884e-33
HLA-B,1.292946663258268e-31,0.37187610255355796,0.997,0.993,4.717315900897791e-27
HLA-C,1.4444146804275678e-31,0.51811172238805,0.975,0.932,5.269946961539981e-27
UBC,2.0302310396193876e-31,0.5170150958916668,0.984,0.965,7.407297948051335e-27
HLA-DQA2,2.2422891366382807e-30,0.90725941106342,0.661,0.396,8.180991915024768e-26
HLA-DPA1,3.3714147544366647e-29,0.5939159695698395,0.939,0.864,1.2300606731562171e-24
LY9,1.2758186850018318e-28,1.1727285596251273,0.427,0.188,4.6548244722291835e-24
HERC5,5.324622801533725e-28,-1.2641406640550985,0.067,0.287,1.9426886291395797e-23
CALR,6.62239655154212e-28,0.7710141931847523,0.725,0.499,2.4161813818301423e-23
OAZ1,1.2448609738777944e-27,-0.6591985747790345,0.803,0.867,4.541875263193133e-23
HLA-DPB1,4.282437286875201e-27,0.6320305385803549,0.955,0.919,1.5624472441164169e-22
CRIP1,6.191400375789938e-26,0.6201778763644636,0.88,0.715,2.258932427106959e-21
LMNA,1.9256424453554786e-25,0.7747123776948088,0.695,0.465,7.025706461879464e-21
PARP14,4.7385807097715505e-25,-0.8552946050771477,0.569,0.73,1.7288711719601503e-20
HSP90B1,7.162652656280749e-25,0.7163399530055896,0.769,0.567,2.6132938216440314e-20
PHACTR1,3.9014758019474006e-24,0.9334487484195255,0.442,0.212,1.423453446340509e-19
LITAF,5.4202456302072984e-24,1.0537764215673209,0.453,0.248,1.9775766181811327e-19
BST2,1.2650800676385724e-23,-1.0423430743547593,0.08,0.279,4.615644626779332e-19
GNG7,1.5188223174088798e-23,0.7970192423600828,0.462,0.225,5.541423225066298e-19
HLA-DRB5,3.3220965553147415e-23,-1.343254337475479,0.089,0.279,1.2120669282065835e-18
DRAP1,3.637733996566901e-23,-1.0047802460640736,0.192,0.41,1.327227248647434e-18
HLA-DRB1,7.459478521937821e-23,-0.3378467066060509,0.863,0.905,2.721590738729014e-18
SQSTM1,1.5035122442666751e-22,0.6441397280387142,0.803,0.667,5.485564423206964e-18
EPSTI1,4.608280609119379e-22,-1.0411110696834833,0.111,0.31,1.6813311802372055e-17
SAMD9L,5.317724208134064e-21,-1.0226564710488089,0.119,0.317,1.9401716773377132e-16
CCND2,7.914743387671066e-21,1.103739355828008,0.225,0.073,2.887694124991788e-16
TGFB1,9.60925904336898e-21,0.7351891620967654,0.598,0.397,3.5059381619731725e-16
EZR,1.0220970035912241e-20,0.5610225988176758,0.92,0.875,3.729120917602581e-16
LYSMD2,1.3277541698184803e-20,-0.8431253536060268,0.195,0.413,4.844311088582725e-16
CD83,1.658849916858713e-20,0.6244534529781349,0.856,0.73,6.052313921659015e-16
DUSP4,2.1147174523237295e-20,0.8014052820938006,0.262,0.092,7.715546624803127e-16
TRIM22,7.041823759805246e-20,-0.9736006725429542,0.238,0.432,2.569209398764944e-15
UBE2L6,8.486092934718774e-20,-0.947748681086236,0.105,0.288,3.096151007232145e-15
CALM1,1.5094008573103628e-19,0.5370171106055688,0.863,0.744,5.5070490278968586e-15
GBP2,1.6965602292438304e-19,-1.2898051772765624,0.144,0.324,6.189899996396115e-15
MX1,2.981442453481201e-19,-0.9038583598754861,0.247,0.446,1.0877792791526163e-14
IRF7,5.315919764181427e-19,-1.0038641729657076,0.112,0.291,1.9395133259615935e-14
EIF2AK2,1.4797821190508593e-18,-0.8679451641739695,0.212,0.406,5.3989850613570604e-14
ZFP36L2,1.5399401026241215e-18,-0.8516545284085388,0.205,0.403,5.618471464424107e-14
GPR183,1.6257848356126466e-18,0.714252068797983,0.65,0.471,5.931675972732741e-14
PRDX1,3.2570888216374143e-18,0.6250161956791653,0.736,0.557,1.1883488565744105e-13
ADAM28,4.069470937466481e-18,-0.8946065373652894,0.181,0.375,1.4847464715346455e-13
HMGB1,4.6208316514458734e-18,-0.3321658077719096,0.942,0.967,1.685910428030027e-13
GUK1,4.864459251674462e-18,0.5882508083795854,0.653,0.459,1.7747979579734275e-13
SP110,1.0213780795890746e-17,-0.8592616025830271,0.245,0.429,3.7264979233807385e-13
BTG1,1.523061866170338e-17,-0.44430261765008794,0.948,0.969,5.556891218722479e-13
BASP1,1.7643833755623027e-17,0.7544535578483114,0.625,0.451,6.437352745739061e-13
STAT1,2.0861652929932204e-17,-0.8659865268572964,0.175,0.357,7.611374071485765e-13
SERPINB9,2.699332676993962e-17,0.6538769860568843,0.464,0.277,9.84851527201247e-13
C7orf50,2.864665244275239e-17,0.6725502873019207,0.466,0.268,1.0451731143738208e-12
CD69,3.854372232415745e-17,0.605989481059511,0.622,0.441,1.4062677089968846e-12
CLECL1,4.138561016079305e-17,0.7353318085637637,0.305,0.138,1.5099539867165345e-12
GBP4,4.6090335696230123e-17,-1.1297794650309037,0.166,0.343,1.6816058978769561e-12
XAF1,7.169187340724738e-17,-0.929516454927809,0.148,0.319,2.6156780012634207e-12
IRF4,7.703428260465337e-17,0.7472669062211987,0.323,0.156,2.810595800830778e-12
IFI16,7.759984193129423e-17,-0.6097170226114508,0.584,0.716,2.83123023286327e-12
VIM,1.2130545468607413e-16,0.5558070022401624,0.955,0.948,4.425829514221415e-12
ITM2B,1.2726832708287503e-16,-0.5959831835375775,0.517,0.668,4.6433849136186955e-12
ELL2,1.9048273962234688e-16,0.6612669897124753,0.256,0.103,6.949762755121326e-12
H3F3A,3.0124888652871276e-16,0.3209296087616691,0.977,0.952,1.0991065625000085e-11
RNASET2,8.396382959631216e-16,0.6425172997808255,0.439,0.257,3.0634203228214496e-11
IFI30,9.87694737087595e-16,0.7766822654492516,0.484,0.312,3.60360424826409e-11
CD58,1.057954164543209e-15,0.686688348172942,0.497,0.325,3.8599457693358975e-11
GBP1,1.247033120219903e-15,-0.9526451710959559,0.02,0.135,4.549800339122316e-11
IFI6,1.830697588264897e-15,-0.904139374913589,0.041,0.17,6.679300150784476e-11
LY6E,2.1049584261569032e-15,-0.9222049099068779,0.228,0.395,7.679940817833461e-11
DDX21,2.439162523760326e-15,0.5671935887828603,0.742,0.591,8.899284467939549e-11
ODC1,3.5357249035985165e-15,0.5522663395495577,0.542,0.357,1.2900092310779189e-10
BCL2A1,3.817842889668371e-15,0.7940394785063019,0.545,0.365,1.392939978295505e-10
MX2,4.02707509078266e-15,-0.8291086305980009,0.272,0.442,1.4692783468720535e-10
RNF213,4.5896925101149475e-15,-0.8602439756456852,0.134,0.292,1.6745493123154386e-10
EIF1,6.519604720533779e-15,0.3106302725440244,0.995,0.993,2.3786777822867493e-10
CXCR4,7.223686517589683e-15,-0.49596767766439376,0.791,0.859,2.6355620259425956e-10
HLA-DQA1,9.385794371761353e-15,0.2757491056938721,0.883,0.748,3.4244070765371296e-10
YBX1,1.137734135376982e-14,0.2995492945646996,0.959,0.942,4.151022992922919e-10
IDI1,1.1772682274507829e-14,0.7191407734893951,0.412,0.246,4.2952631278541813e-10
IGHD,1.4253531620702346e-14,-0.7724033389144598,0.328,0.5,5.200401011813251e-10
YBX3,1.4871313925436808e-14,-0.6330631584461446,0.295,0.494,5.42579888569562e-10
HLA-DQB1,1.5925476203592238e-14,0.4323701605679311,0.897,0.822,5.810409992880628e-10
STAT2,2.115933428142438e-14,-0.6310580758670902,0.034,0.155,7.719983112577686e-10
CD74,2.393304639819719e-14,0.26219728081662375,0.991,0.997,8.731971978382245e-10
SP100,3.977001495684369e-14,-0.6290105812176816,0.547,0.668,1.4510089957004422e-9
EIF1AY,5.0872494472801935e-14,-0.7322055674880699,0.038,0.158,1.8560829608401785e-9
ATP6V1F,9.152710211562618e-14,0.6067128836567672,0.706,0.582,3.339366320688621e-9
SNU13,1.1692203584180492e-13,0.503274516920579,0.717,0.562,4.265900477688253e-9
ACP5,1.7506081975967103e-13,0.6061133671656667,0.419,0.249,6.387094008931597e-9
