Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-DPA1,6.724925209854763e-62,0.7741928107877505,0.942,0.858,2.4535889628155104e-57
LYSMD2,1.5171719355201897e-51,-1.154481623720251,0.148,0.437,5.535401806745412e-47
CD52,2.1082738753311102e-48,1.1882929418310941,0.814,0.665,7.692037234145556e-44
HLA-DRA,3.1045896416831034e-47,0.5242681507024161,0.994,0.993,1.1327095307680803e-42
FOS,1.458636621400003e-42,1.5779318491187184,0.435,0.175,5.321835713177911e-38
JUND,3.3031947514626803e-40,0.7584417272610775,0.945,0.906,1.205170605071159e-35
CD69,5.4503288701183965e-39,1.0736583218688556,0.641,0.403,1.988552488262697e-34
FOSB,2.64082264339985e-36,1.3003215980035365,0.363,0.131,9.635041414444353e-32
KLF2,2.0602300449391011e-35,1.6421347471170944,0.505,0.296,7.516749318960311e-31
DUSP1,7.634039120645179e-35,1.1399106211268533,0.374,0.144,2.7852791731673935e-30
EIF1,1.4353567803391917e-31,0.368553879120463,0.993,0.991,5.2368992130675405e-27
FTH1,2.108849395443541e-31,-0.42290841533896195,0.991,0.998,7.69413701927576e-27
GSTP1,4.187253038611631e-31,-0.7842696445257644,0.368,0.596,1.5277192711374537e-26
HLA-DPB1,9.085466286343177e-29,0.5382615976754783,0.96,0.941,3.314832374572308e-24
CD74,1.1524006337596548e-28,0.28295452327355264,0.997,1,4.204533712272101e-24
TMSB10,2.3839369659500012e-27,0.6605037534622795,0.963,0.935,8.697794020268579e-23
ARL4A,7.571896466358875e-27,0.8701828762119965,0.385,0.179,2.762606425751036e-22
LTB,1.4820932325458116e-26,0.9048112720546992,0.732,0.634,5.407417158943394e-22
YPEL5,2.0215366147716848e-26,0.9886437121157265,0.597,0.427,7.375576338994492e-22
TUBA1A,2.594440548526167e-26,1.0258159657729902,0.419,0.223,9.46581634129772e-22
NDUFV2,7.690962288476803e-26,-0.7066973107000825,0.368,0.578,2.8060475909507618e-21
OAZ1,7.387219784995272e-25,-0.48635843856072114,0.793,0.888,2.6952271385555248e-20
KLF6,1.533751483341734e-24,0.7911707064699285,0.624,0.468,5.595892286972317e-20
ANKRD12,1.913105283918644e-24,-0.6147206098940567,0.631,0.781,6.979964628377172e-20
PPP1R15A,2.8757965573089143e-24,0.7739708961333127,0.579,0.407,1.0492343739341574e-19
HMGB1,6.780859955296653e-24,-0.36927247021986087,0.916,0.965,2.473996754689984e-19
RNASET2,9.57764713513452e-24,0.7215284101289894,0.465,0.262,3.4944045572538297e-19
EPSTI1,1.5827767910666628e-23,-0.7009559566558642,0.073,0.225,5.774761122206719e-19
IFI16,4.173484806043048e-23,-0.6250566153249126,0.407,0.605,1.5226959314848061e-18
FAM107B,7.805401443277553e-21,-0.39619396727838563,0.772,0.914,2.8478007165798156e-16
H3F3B,2.879195557864271e-20,0.3783891923853311,0.963,0.938,1.0504744992867793e-15
AC020916.1,3.5312984550064224e-20,0.8042016956016711,0.268,0.111,1.2883942413090932e-15
AC103591.3,4.002387746513909e-20,1.1617885314060157,0.283,0.129,1.4602711693155996e-15
ADAM28,8.320349254727702e-20,-0.6982602760158785,0.221,0.397,3.035679425587402e-15
PARP14,1.0677185599503784e-19,-0.5974731037183441,0.492,0.65,3.895571165978956e-15
CD22,1.338432552939736e-19,0.8731539249109084,0.247,0.101,4.8832711694006266e-15
