Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-C,2.2418247698711723e-119,0.6231305112410026,0.971,0.93,8.179297672874971e-115
SLC7A11,4.483371839504804e-104,-1.188287968784738,0.494,0.748,1.635758215643328e-99
ANXA1,8.092703270161757e-99,0.7486919074210876,0.958,0.865,2.952622788118517e-94
HLA-DRB5,9.565352043918637e-87,-0.953897368395603,0.036,0.257,3.489918693223715e-82
C15orf48,3.492267963720723e-85,-0.84994672759521706,0.827,0.921,1.2741539665635058e-80
IER3,1.1406555448173386e-74,-0.6282421880134983,0.87,0.948,4.1616817552660596e-70
TNFAIP6,8.279444833362913e-71,-1.4182865601565124,0.632,0.795,3.0207554474524587e-66
CD74,1.303974680989653e-69,0.5865350009508528,0.915,0.836,4.7575516235907485e-65
IL1A,3.1336949648304807e-69,-1.1321628327497328,0.536,0.727,1.143328607918401e-64
MARCKS,1.6891300454264494e-66,-0.6396250580369349,0.874,0.951,6.162790970738401e-62
"NAMPT",6.417172747329162e-64,-0.6686497291853337,0.864,0.931,2.3413054768630446e-59
SGPP2,2.573325933734173e-62,-0.881112396721214,0.113,0.327,9.388779669229131e-58
GRAMD1A,8.576054329360231e-62,-0.9127040498820808,0.243,0.463,3.1289734220670806e-57
TMSB10,5.988438237955833e-61,0.4608704441770577,0.975,0.949,2.184881691118186e-56
SOD2,8.448939980678171e-61,-0.40942253362056213,0.999,0.996,3.082595751950431e-56
S100A4,2.20598189684087e-60,0.5121880390654945,0.92,0.884,8.048524950623915e-56
LYZ,2.72650933554762e-58,0.4729150290190445,0.955,0.866,9.947669310745492e-54
CXCL8,4.5491636292561304e-58,-0.5366836541597433,0.999,0.998,1.6597623501340991e-53
EZR,7.872312432691515e-58,1.0730508251595174,0.524,0.297,2.872213191067499e-53
NEU4,8.039763466230834e-58,-0.63131108049,0.016,0.164,2.93330770065432e-53
B2M,1.270247652814272e-57,0.26429236463858974,0.999,0.999,4.634498561292871e-53
SH3BGRL3,6.783543646181781e-56,0.4068334631567989,0.971,0.939,2.4749758993094228e-51
FTH1,5.599287237760805e-54,-0.3256290368096124,0.999,1,2.04289994869703e-49
ZEB2,3.3111696898959626e-53,0.5036025682473548,0.909,0.85,1.208080261358542e-48
IL6,2.725336884452615e-51,-1.0560448572492303,0.663,0.802,9.943391622925366e-47
EEF1A1,5.438449215991067e-51,0.30000902592969947,1,0.996,1.984218196454341e-46
LRRFIP1,1.843178344643333e-50,0.668111542997583,0.751,0.574,6.7248361904312e-46
MALAT1,4.944322467257809e-50,0.5474541083236026,0.999,0.999,1.8039360521790118e-45
S100A9,1.0229730924773936e-49,0.7843242294184263,0.927,0.892,3.732317327903771e-45
FAM107B,6.3574731835373755e-49,0.5543598410508022,0.877,0.75,2.3195240910136114e-44
MMP14,8.184976113896127e-49,-0.6682658227431588,0.107,0.292,2.986288535155002e-44
CRIP1,2.53323537373917e-48,0.6879557748113379,0.824,0.688,9.242509261087362e-44
HLA-A,7.676870522495865e-48,0.3099318903740578,0.982,0.976,2.8009062101326164e-43
ITGB2,1.4205579580122059e-47,0.633626779808319,0.492,0.272,5.182905709807533e-43
NFKB1,5.737691476006598e-47,-0.4733887797814149,0.81,0.913,2.0933967350210072e-42
PTMA,1.0923359893168642e-43,0.543372944005454,0.966,0.899,3.985387857022579e-39
NBPF19,4.420553317176378e-43,-0.5316783937277809,0.432,0.647,1.6128388777718014e-38
ITGB8,2.788003002974741e-42,-0.6953262516768342,0.503,0.669,1.0172028956353342e-37
ALCAM,3.1260403906209623e-42,-0.6137410672798913,0.281,0.482,1.140535836518058e-37
TNIP3,4.518381534917842e-41,-0.6313542488570922,0.08,0.236,1.6485315030147747e-36
AIF1,8.640215763338283e-41,0.6083920659145055,0.621,0.445,3.1523827212539725e-36
TAGLN2,3.319506144336274e-40,0.4881554313144565,0.802,0.692,1.2111218167610895e-35
INSIG1,8.84913506775129e-40,-0.7051371553225687,0.56,0.712,3.228606929469058e-35
SLC39A8,2.3692482198102683e-39,-0.9210455802282551,0.477,0.624,8.644202129977764e-35
CPM,2.6837182637327847e-39,-0.6562643181011392,0.039,0.166,9.791546085229065e-35
G0S2,5.976251305642949e-39,-0.6928961859147345,0.659,0.801,2.18043528886383e-34
UBA52,3.341216769909352e-38,0.2979836348797713,0.984,0.979,1.219042938501427e-33
