Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SLC7A11,0,-1.715976272161562,0.282,0.642,0
FTH1,1.2464273003532927e-294,-0.6430039081347285,1,1,4.5475900053389884e-290
TMSB10,1.031783829520633e-244,0.6455481742080211,0.989,0.986,3.7644633020060294e-240
S100A9,1.207555403886937e-237,0.9112274104135079,0.978,0.931,4.40576589108149e-233
AIF1,2.221787755390435e-228,0.9353440151558536,0.846,0.665,8.106192625542002e-224
ADA,1.0592703312086754e-222,-1.17888773493046,0.241,0.538,3.8647478034148525e-218
LGALS3,2.8563024997040867e-205,-0.8333412190649341,0.835,0.939,1.0421219670170361e-200
PDE4DIP,3.8937885979720015e-204,-1.082811283942819,0.299,0.578,1.4206487699700847e-199
ALCAM,1.1883894075944065e-194,-0.9660752185038415,0.188,0.455,4.335838753608192e-190
C15orf48,1.9820008556833058e-192,-0.9472745761796535,0.503,0.778,7.231330121960541e-188
SOD2,3.248373845589842e-192,-0.6964641409897618,0.974,0.991,1.1851691975634539e-187
ATP6V1F,1.2660726332550242e-179,-0.6768342545582322,0.719,0.881,4.6192660024309557e-175
NBPF19,8.759603537030967e-176,-0.8919416707031387,0.313,0.575,3.1959413504857484e-171
MNDA,1.6432524011433607e-167,1.3306677253160588,0.546,0.304,5.995406385571552e-163
KLF2,2.183372752157193e-167,1.1438521779539672,0.532,0.268,7.966035486245519e-163
AQP9,5.850171339418172e-166,-0.7215934308903376,0.501,0.771,2.13443501318672e-161
KYNU,2.455652128680664e-165,-0.8342890832445862,0.413,0.657,8.959446791491402e-161
SQSTM1,5.050450014527385e-164,-0.7725046993044407,0.634,0.81,1.8426566878003165e-159
KLF4,8.407913497850785e-160,1.2435480727773374,0.53,0.287,3.067627239690859e-155
LYZ,4.393480896817992e-159,0.5254895501050294,0.991,0.974,1.6029615052040446e-154
SDCBP,2.9020135620341586e-156,-0.6749025804389954,0.749,0.865,1.0587996481081628e-151
ITGB2,3.657813799853749e-153,0.7297817830593607,0.69,0.457,1.3345533648766402e-148
BASP1,1.3028463593749577e-149,-0.8844889016140334,0.44,0.684,4.753434942179533e-145
S100A4,1.7468557196946457e-149,0.5041017706819746,0.972,0.971,6.373403093305915e-145
TSPO,1.521530027472819e-138,0.6520385202359797,0.844,0.758,5.55130230523458e-134
VIM,1.866742071265504e-138,-0.397602902721224,0.997,0.999,6.810808447012191e-134
LIMS1,4.351804158781304e-137,-0.7088182142474109,0.545,0.758,1.5877557473313586e-132
CST3,8.40694588454005e-136,0.5493064260187008,0.933,0.91,3.067274205974437e-131
ARHGDIB,4.648923204460405e-131,0.7240967639156655,0.674,0.463,1.696159631147379e-126
