Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CRIP1,7.221961458420382e-35,1.3406297625619805,0.958,0.799,2.6349326381046765e-30
S100A10,2.0872592668718172e-30,1.1025652022186465,0.989,0.881,7.615365435181826e-26
VIM,1.2005132559773951e-26,0.8163915158966608,0.995,0.996,4.380072614433526e-22
HLA-A,1.5539733300806238e-26,-0.6601200141695163,1,1,5.6696716947991565e-22
EZR,3.227898645322972e-25,1.1976301384540533,0.804,0.548,1.1776988207460863e-20
LMNA,1.1468799206721008e-20,1.3440762005673057,0.646,0.303,4.1843913905721597e-16
CXCR4,3.9685927370812004e-20,-1.0520619234232136,0.656,0.868,1.447941060124076e-15
LRRFIP1,1.7665543167362715e-19,1.0449694779312932,0.762,0.508,6.445273424612287e-15
ISG15,8.750849519285225e-19,-1.7901109401135702,0.138,0.5,3.192747447111214e-14
BST2,4.374752139275584e-17,-1.3411000570486427,0.079,0.425,1.5961283180146968e-12
B2M,7.860555743755457e-17,-0.3245786996574447,1,1,2.8679237631091784e-12
AHNAK,1.2431165046055538e-16,1.2333202541702106,0.598,0.331,4.535510567053363e-12
ISG20,1.7658284300342084e-16,-1.2451608248404042,0.46,0.726,6.442625026979809e-12
TAGLN2,4.717022913292497e-15,0.8630181039715512,0.794,0.582,1.7210058099147676e-10
LY6E,9.325203171638931e-15,-1.387852506162415,0.217,0.523,3.402300377172464e-10
UBB,1.6474748778969673e-14,0.6150188171128796,0.947,0.887,6.010812092007086e-10
HERC5,2.2059283289316e-14,-1.398427597232509,0.09,0.391,8.048329508106943e-10
IFI6,2.4245398346276265e-14,-1.4308028938529622,0.095,0.397,8.845933586638895e-10
GZMB,4.80733296947747e-14,0.7071308268096019,0.836,0.556,1.7539554339138548e-9
FGFBP2,5.109825172112576e-14,0.8965861165635234,0.735,0.471,1.864319714045273e-9
S100A4,4.2502178272920973e-13,0.9247172502832397,0.72,0.494,1.5506919742875217e-8
CALM1,4.5275470042222163e-13,0.5459611502914372,0.958,0.897,1.6518755244904755e-8
TPM3,7.727466544947018e-13,0.7135902858554477,0.825,0.653,2.8193661689239198e-8
EIF1,1.3830918296643228e-12,0.4763986484294085,0.984,0.985,5.046210540530282e-8
ANXA2,1.4393828020404844e-12,0.9074325682620794,0.598,0.343,5.251588153244707e-8
NCL,3.051007229329276e-12,0.7010539064693315,0.841,0.713,1.1131599876207863e-7
KLRB1,3.2104539872097672e-12,-1.1805030690047587,0.153,0.446,1.1713341372334836e-7
HLA-DRB1,4.194148184469776e-12,1.3032894133077342,0.413,0.193,1.530234965103798e-7
GNLY,4.843487161485437e-12,-0.8866427795743945,0.968,0.92,1.7671462908679616e-7
MX2,1.1238150030171414e-11,-1.2618972244405706,0.153,0.421,4.1002390385080403e-7
HLA-B,1.875679913091797e-11,-0.3235627967237207,1,1,6.843418162915422e-7
OAS3,2.6583585348957388e-11,-1.054040133786728,0.005,0.211,9.699021114567104e-7
DRAP1,3.2599857345761216e-11,-1.0421107965004968,0.222,0.5,1.189405795260098e-6
FTH1,3.624439370382338e-11,-0.6177751518796875,1,1,1.322376704283996e-6
ITGB1,4.9581335617918316e-11,0.7704743873004078,0.778,0.638,1.8089750300197496e-6
HLA-F,7.201560641643964e-11,-0.9775930869059397,0.333,0.588,2.6274894001038004e-6
OAZ1,7.976112563331597e-11,-0.5788646634465384,0.82,0.9,2.9100846687315334e-6
S100A6,1.2816554580315403e-10,0.5475790891730354,0.889,0.766,4.676119938628075e-6
ATP2B1,2.1467691785962235e-10,0.8078433702953076,0.333,0.13,7.832487348108321e-6
EPSTI1,3.4601456047669046e-10,-1.034254862662661,0.063,0.287,1.2624341238992051e-5
MX1,3.6127833003250486e-10,-1.0963154708353464,0.106,0.347,1.318123987123594e-5
TGFB1,4.634619605786863e-10,0.6767205389912516,0.825,0.707,1.690940963171337e-5
CAST,5.50254033026503e-10,0.8132338798837067,0.677,0.506,2.0076018394971963e-5
SUPT16H,8.191788531321178e-10,0.8319335523048259,0.439,0.232,2.988774045652532e-5
