Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FOS,4.340520552434118e-25,3.548068481341276,0.459,0.056,1.5836389235555878e-20
FOSB,3.188766956142402e-19,2.4531650353568804,0.358,0.033,1.1634216239485554e-14
FTH1,1.1443643655724052e-17,-0.731077551932767,0.951,1,4.175213387790921e-13
JUND,2.375374302209187e-17,1.0360536288950577,0.85,0.687,8.666553141610219e-13
S100A4,1.1168289842351369e-16,1.361502424734943,0.825,0.617,4.074750548981897e-12
PPP1R14B,1.6342852362274867e-16,-1.4282242416424145,0.164,0.463,5.962689684375985e-12
GIMAP7,2.7750786219482908e-15,-0.9440952539533312,0.437,0.748,1.0124874352178339e-10
KLF2,3.162345057767255e-15,1.8795474878896246,0.527,0.238,1.153781594326383e-10
HLA-A,1.2585831781505887e-14,-0.5515661708876438,0.981,1,4.591940725482423e-10
CD52,2.5264593498695357e-14,1.078891378590428,0.855,0.687,9.217786937999001e-10
TMSB10,2.6269361529888967e-14,0.5942554109918099,0.986,0.972,9.58437655417999e-10
S100A11,5.1517951295354793e-14,-0.895555548849023,0.555,0.813,1.8796324530110197e-9
ID2,8.374653000695377e-14,1.408200250376271,0.448,0.159,3.055492147303708e-9
CD69,1.4479870190704436e-13,0.977012843125314,0.486,0.201,5.282980639078513e-9
DUSP1,2.199830671536305e-13,1.8913876925867719,0.35,0.089,8.026082205100209e-9
SRSF7,2.843529437491481e-13,1.2649480288814774,0.631,0.411,1.0374617152687668e-8
YPEL5,4.045854221501659e-13,1.215899879883496,0.59,0.341,1.4761299127148804e-8
PPP1R15A,6.356110119160948e-13,1.6139384026215298,0.421,0.154,2.319026776975872e-8
KLF6,1.1346765528739978e-12,1.3109443233863365,0.653,0.472,4.139867403160781e-8
PMEPA1,1.2857619353956522e-12,-0.8521506766204774,0.145,0.425,4.691102421291037e-8
CALM1,1.482192630887601e-12,0.6323904321863614,0.923,0.883,5.4077798137934125e-8
EIF1,2.2297953564955228e-12,0.5175056959021349,0.986,0.967,8.135408358173914e-8
JUNB,3.4176064969997707e-12,1.6475089247481962,0.475,0.243,1.2469137304303662e-7
NFKBIA,6.446358025802114e-12,1.1782050026016577,0.672,0.467,2.3519537257139012e-7
PDCD4,2.021535019013437e-11,-0.8010383253265827,0.407,0.682,7.375570516870524e-7
MALAT1,1.0343349788493164e-10,0.3600112182510582,1,1,3.773771170331731e-6
MYL12B,2.905600622466107e-10,-0.5504362069377482,0.757,0.916,1.0601083871067591e-5
LIMD2,2.9973413291572605e-10,-0.8485912365472981,0.344,0.603,1.0935799839430264e-5
MYBL1,5.379444883176588e-10,1.3757232818819944,0.199,0.019,1.9626904656269782e-5
NR4A2,3.9481324573312555e-9,1.3374595540299856,0.238,0.056,1.4404761270573086e-4
JUN,5.070430909770166e-9,1.6846657670682328,0.555,0.393,1.8499467174296451e-4
RNASEK,8.462793429861574e-9,-0.627051133247976,0.552,0.776,3.0876501828849953e-4
SERTAD1,8.819150111285926e-9,1.0319095540005576,0.265,0.07,3.2176669181026703e-4
HCST,9.243758907418056e-9,0.8063984767172201,0.694,0.514,3.3725854373714776e-4
CYSTM1,1.2060515842312077e-8,-0.8245541766922333,0.109,0.304,4.4002792050675617e-4
ACTB,1.278588892733796e-8,0.8681859135107528,0.801,0.748,4.664931575139255e-4
APOBEC3G,1.7277819885410957e-8,-0.5172185089387269,0.544,0.818,6.303812585192188e-4
TNFAIP3,1.821690808213401e-8,1.012656700516986,0.68,0.514,6.646438913766594e-4
TPM3,2.189277900473537e-8,0.5610858080336159,0.811,0.682,7.987580419877699e-4
KLRB1,2.670738199554069e-8,-0.475506447728133,0.183,0.421,9.744188321073021e-4
CCNL1,3.936141122880146e-8,1.0302012008434942,0.448,0.266,0.0014361010886828212
TRBC1,4.122196273815504e-8,-0.7495329303590208,0.393,0.621,0.0015039833105015867
EMP3,5.876321474320821e-8,-0.5006891936875997,0.757,0.897,0.0021439758899059517
GZMA,7.153962342627997e-8,1.1130105200427767,0.514,0.336,0.002610123160707825
PAGR1,9.682891508783289e-8,-0.7165821304822748,0.066,0.215,0.003532802966979583
CD82,1.0030237851608683e-7,-0.7675384099711106,0.09,0.257,0.003659532280159428
MRPS6,1.2062775461564241e-7,-0.7181898528751987,0.178,0.388,0.004401103627151713
STK17A,1.6288352160420385e-7,-0.6331085450186715,0.448,0.65,0.0059428052857293774
GIMAP5,2.3259519771973213e-7,-0.7925876995438599,0.18,0.374,0.008486235788804426
DDX5,2.7533179031524205e-7,0.4755373109776495,0.915,0.902,0.010045480369651607
ORAI2,2.858319585346294e-7,-0.6272320552543089,0.033,0.15,0.010428579007135954
PSMB8,2.863852962868738e-7,-0.6071722925543293,0.325,0.556,0.01044876753502659
AC020916.1,3.027483101099551e-7,1.0923515216053674,0.268,0.098,0.011045772094361712
PLEKHO1,4.374165419131897e-7,-0.7395547943268111,0.115,0.28,0.015959142531702726
GAPDH,4.4654882834345367e-7,-0.39202153970728837,0.855,0.981,0.016292334002110907
S100A6,4.6248518243849154e-7,0.49767044765846213,0.872,0.79,0.016873771881268363
TTC39C,4.7206275866190676e-7,-0.5853389064108228,0.208,0.421,0.01722320974977967
TULP4,5.863775574133378e-7,-0.5639108289882625,0.046,0.173,0.02139398518222563
PRR5L,8.237395730726116e-7,-0.5404015552547702,0.123,0.299,0.030054138323554233
MYADM,8.827059671447199e-7,0.9542935704503248,0.227,0.07,0.032205527211275106
GPATCH11,9.856318468888942e-7,-0.5818892868819048,0.071,0.215,0.035960777933741306
LINC-PINT,1.0521683293174896e-6,1.0459412933172785,0.41,0.266,0.038388361495148605
IER2,1.1196806340540067e-6,1.1507254727953944,0.598,0.491,0.040851547933460436
HSP90AA1,1.1826046350897932e-6,0.6115665682707876,0.833,0.818,0.0431473301112511
NOP10,1.2045712260028737e-6,-0.5985887814956565,0.227,0.435,0.043948781180714845
DRAP1,1.250197795013194e-6,-0.57955407360245,0.281,0.495,0.045613466551056386
GZMH,1.36464964763553e-6,0.5403513538346707,0.847,0.757,0.04978924239398231
SARAF,1.436842567712178e-6,-0.3733447929768885,0.686,0.841,0.052423201082978814
GIMAP4,1.5201697049290248e-6,-0.7085693075612833,0.235,0.425,0.05546339168433547
PCBP1,1.5758818418239777e-6,-0.5999572992917068,0.342,0.561,0.05749604899894783
UPP1,1.7115604151005927e-6,-0.5893320624172236,0.339,0.556,0.062446281744945126
CD3D,1.7227332989334607e-6,-0.5194440714079378,0.699,0.855,0.06285392441158731
ZNF22,1.897754729875798e-6,-0.5957545609113993,0.079,0.22,0.06923958131951849
NDUFV2,2.2445534702422443e-6,-0.5763523137416244,0.27,0.486,0.08189253336178828
ODC1,2.334670420838361e-6,0.8337464614744006,0.317,0.15,0.0851804503042876
ISCU,2.4155381100364495e-6,-0.52222755276749,0.374,0.598,0.08813090794467986
LYST,2.4606884662709395e-6,-0.7363978158000156,0.112,0.262,0.08977821869189523
