Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CD69,1.6307489527590036e-27,2.8742934539636593,0.7,0.121,5.949787554141225e-23
FAM177A1,3.4818385090456444e-19,2.3646411405622727,0.8,0.3,1.2703487800253034e-14
SOCS3,1.2025608954280715e-17,1.8451886029801998,0.48,0.079,4.387543426969319e-13
BATF,2.598749972845412e-15,1.934191896020386,0.44,0.077,9.481539275926486e-11
EIF1,7.949455550298384e-14,0.9534677238672957,1,0.993,2.900358857526365e-9
CDC42,6.036089312361232e-11,1.2714433975787118,0.88,0.668,2.202267185614996e-6
AREG,1.1907953791590856e-10,1.51682620403259,0.28,0.042,4.344616940861924e-6
MYC,1.293399068936188e-10,1.4504398102981315,0.46,0.131,4.718966503013682e-6
SKIL,1.363582408039057e-10,1.1538623496822755,0.66,0.29,4.975030415730499e-6
CALM1,6.48114548808527e-10,0.7809436902188942,0.96,0.941,2.364645931327911e-5
ZFP36L2,1.8150165509048154e-9,-1.564082788288338,0.22,0.71,6.622087885976219e-5
ENO1,4.39431438825072e-9,-1.2461054477874138,0.26,0.777,1.6032656045532752e-4
LDHA,4.5336741149672084e-9,0.9004167963386824,0.88,0.604,1.654111000845786e-4
AC087239.1,4.809544359633303e-9,0.8778419577285045,0.12,0.005,1.7547622596122107e-4
LY6E,7.900509855864946e-9,-1.571142076365194,0.2,0.656,2.882501020912326e-4
CFL2,1.2541782793882933e-8,1.1181176948233786,0.18,0.02,4.575869452348188e-4
ARHGDIB,3.794961694999294e-8,1.0054430941717833,0.86,0.723,0.0013845917744204925
SNHG5,4.4704976523548995e-8,0.8626922164979072,0.88,0.824,0.0016310610684616852
PDE4D,6.747987555121972e-8,1.3085579511255214,0.5,0.203,0.0024620032594862514
B2M,7.75698165646905e-8,-0.3762188891373439,1,1,0.0028301347573627326
CLEC2B,8.368779908932201e-8,1.6189064873491472,0.7,0.468,0.0030533493497739133
PPP1R14B,8.389579665635978e-8,-1.704725689639411,0.06,0.478,0.0030609381410072866
SOX4,8.613239342832746e-8,1.6124008198042958,0.14,0.012,0.0031425403742325274
NFE2L2,1.2430508231098109e-7,1.1984726935639973,0.48,0.196,0.004535270928116145
SGK1,1.5399034626871925e-7,1.3345035995584866,0.22,0.04,0.005618337783614221
SYNE2,4.1477068406035633e-7,-1.4746309551299552,0.22,0.614,0.0151329084079421
CALM3,4.5024132552473477e-7,1.2020933000313563,0.54,0.27,0.01642705476176995
RELB,4.7467452655379793e-7,1.1562819830091409,0.54,0.255,0.017318500101315318
TOX2,8.213928947542566e-7,0.4729092947786306,0.06,0,0.02996851976510905
LINC01578,9.888887917456694e-7,1.085506488292368,0.78,0.626,0.03607960756684075
NME2,1.148260048469321e-6,-0.8840092597695044,0.5,0.817,0.04189426786840318
IFI6,1.4257560215000923e-6,-1.5695658055631427,0.06,0.431,0.052018708444430864
SRRM1,1.8158540074335504e-6,0.9882786538180146,0.76,0.567,0.06625143346121308
UBB,1.8516480206154814e-6,0.8851187759509305,0.86,0.698,0.06755737803215583
GADD45G,2.4411071904996913e-6,0.7083145174296338,0.1,0.007,0.08906379584538124
ATP2B1-AS1,2.5641635725433296e-6,0.9099157669931542,0.1,0.007,0.09355350794424339
HERC5,3.058790224295965e-6,-1.2921649141522984,0.1,0.473,0.11159996133343829
ISG15,3.887721626241678e-6,-1.3054391831609529,0.4,0.735,0.14184352353342763
OSBPL8,3.982366627650271e-6,1.472733477845044,0.58,0.389,0.14529664640982012
ARID5A,4.6471376339843645e-6,1.323743565743087,0.56,0.312,0.16955081657591953
FAM241A,5.427601178509643e-6,1.1255695446887577,0.22,0.052,0.19802602899792432
GPBP1,5.833206248184785e-6,1.0147244208800206,0.62,0.423,0.21282452996502185
CDKN2D,5.957846994957669e-6,1.264197107953711,0.34,0.119,0.21737204761103054
CIB1,7.525002238804392e-6,0.7984312051625042,0.8,0.629,0.2745497066827782
CD52,7.769052990003278e-6,-0.7815225193156659,0.22,0.616,0.28345389834026957
ANXA1,7.923467582457374e-6,-0.8771022204096197,0.5,0.812,0.2890877147459573
