Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TXNIP,2.7649898332445498e-12,1.0305253151966118,0.942,0.77,1.008806540659274e-7
IL7R,1.395512284582121e-10,0.9604212766931086,0.952,0.912,5.091526570297869e-6
FOS,6.96378393967396e-10,1.5276737335228776,0.788,0.453,2.5407365703900443e-5
VIM,7.550022786533529e-10,-1.4333249090134461,0.837,0.905,2.754625813666758e-5
FAU,1.5623068227590407e-9,-0.5283249633028602,1,1,5.70007644283636e-5
HLA-A,1.013505502639699e-8,-0.6598351974117138,0.904,0.973,3.6977748263809416e-4
FTH1,1.7675112045574843e-8,-0.6509946508399018,0.923,0.986,6.448764629827981e-4
EEF1A1,1.778340502810111e-8,-0.3037048986352717,1,1,6.48827532450269e-4
FOSB,6.16785317849072e-8,1.1720294341932918,0.606,0.291,0.002250341232172339
RACK1,1.1004907391907029e-7,-0.52426957161427,0.971,1,0.00401514046193728
TPT1,1.1715464147731287e-7,-0.2993520341439906,0.99,1,0.00427438709429976
TOMM7,2.2756480536656907e-7,-0.498266018881524,0.913,0.98,0.008302701923799272
JUN,3.9623836731005695e-7,1.5408417712835436,0.615,0.378,0.014456756831307429
BTF3,5.317261729407635e-7,-0.5924781755921971,0.817,0.953,0.019400029419743756
SARAF,7.324520091879691e-7,-0.46880562555917127,0.76,0.932,0.02672351155522305
UBA52,9.400249422348241e-7,-0.38815675051485954,0.971,1,0.034296810017437555
S100A11,1.0241045352351974e-6,-1.450939154891768,0.163,0.446,0.037364453968056176
MALAT1,1.0651159051138234e-6,0.2759239076204345,1,1,0.038860753798077845
DUSP1,2.5312660064318982e-6,1.173151532947772,0.462,0.203,0.0923532402446678
SH3BGRL3,2.7520410575101847e-6,-0.7430047126261652,0.596,0.824,0.1004082179832591
"NACA",3.3030257915617713e-6,-0.38076274994401427,0.962,1,0.12051089600513122
PTMA,4.5169320749403e-6,-0.3568528135031812,0.99,1,0.16480026675419684
MYL12B,6.772138437732365e-6,-0.6403701247164348,0.433,0.723,0.24708147090066535
EEF1G,7.028320797789877e-6,-0.4592129491885286,0.865,0.98,0.25642828430736364
OAZ1,7.270790235101662e-6,-0.7324254234708842,0.413,0.716,0.26527478172768415
GTF3A,8.007402697011795e-6,-0.9490702051506619,0.317,0.601,0.2921500874004754
LYSMD2,8.167451675606745e-6,-1.0683996824139816,0.077,0.311,0.2979894743845121
MT2A,9.155621182182579e-6,-1.0902710849094333,0.163,0.419,0.33404283883193137
EMP3,9.655846652109825e-6,-0.7370894490662243,0.385,0.682,0.352293565102227
LY6E,1.2105938537607965e-5,-0.900608925467228,0.173,0.459,0.4416851675446266
GAPDH,1.2290391690847631e-5,-0.731266889061386,0.433,0.689,0.4484149408405758
ELK3,1.5339456122451193e-5,-0.9609433997126803,0.077,0.311,0.5596600566276317
UQCR10,1.5943977536129215e-5,-0.6811598816505324,0.308,0.622,0.5817160204056744
MX1,1.6336293726608344e-5,-1.145510919426712,0.115,0.351,0.5960296766153055
TRA2B,1.6626975248713776e-5,0.8340593173006403,0.606,0.405,0.6066351919493221
PFDN5,1.6936060009661247e-5,-0.48932066939204955,0.846,0.973,0.6179121494524906
EEF1B2,3.14076708689061e-5,-0.3400965076500153,0.962,0.993,1
CD48,5.243919602404629e-5,-0.5141646348510944,0.673,0.912,1
IFIT3,6.439398530900227e-5,-1.0071262906036047,0.029,0.203,1
SELENOW,9.25391903604768e-5,-0.8164268588750381,0.163,0.412,1
EEF1D,9.762372980138127e-5,-0.41789252205848726,0.827,0.98,1
IFIT1,0.00010094329949546661,-0.8231171742363073,0.019,0.176,1
GSTP1,1.0211074147656425e-4,-0.9504994855484418,0.106,0.311,1
IFITM1,1.1488822284920925e-4,-0.9645061956348541,0.087,0.277,1
DDX5,1.1492006001752943e-4,0.4467986104495756,0.99,0.959,1
SAP18,1.2096985940598622e-4,-0.7387745843658458,0.288,0.568,1
NDUFB2,1.3489604533583444e-4,-0.791834798818505,0.24,0.473,1
TRMT10C,1.4373462075132728e-4,-0.8544537434284839,0.087,0.291,1
DNPH1,1.44942784795513e-4,-0.7388133915061863,0.067,0.264,1
ATP6V1F,1.5050272999395998e-4,-0.7764380501453341,0.154,0.385,1
BCL11B,1.615007442378694e-4,0.6535372026919304,0.779,0.682,1
NOP53,1.7868569827911204e-4,-0.6146014896277001,0.644,0.872,1
APRT,1.917649432367424e-4,-0.6685816825456348,0.346,0.588,1
OCIAD2,1.960966144684597e-4,-0.7040624451326967,0.298,0.547,1
IL6ST,1.9716853386208925e-4,0.8282180631264215,0.5,0.311,1
GUK1,2.2033705820768458e-4,-0.7427585582729253,0.221,0.459,1
APBA2,2.3020188879155853e-4,0.761048766562314,0.154,0.027,1
C19orf53,2.3671407152981442e-4,-0.7266582305252602,0.356,0.615,1
LPP,2.377613283555744e-4,0.813165760601798,0.125,0.014,1
AC093635.1,2.405654347239085e-4,0.8224183223479105,0.154,0.027,1
SESN3,2.4269300794799127e-4,-0.8340676237403298,0.115,0.318,1
ISG15,2.684905321054334e-4,-0.8436725764079533,0.106,0.304,1
DRAP1,2.8550070566213273e-4,-0.6624383729618077,0.24,0.507,1
SUB1,3.050912818180317e-4,-0.44776572364407796,0.452,0.73,1
ENO1,3.1076845063651736e-4,-0.68421077178956,0.221,0.466,1
MRPS6,3.360363387314512e-4,-0.7850745429667683,0.115,0.324,1
DDT,3.5523992999714866e-4,-0.6834828958145862,0.212,0.446,1
ARPC3,3.7193520940925626e-4,-0.7106863394965526,0.423,0.642,1
