Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
H3F3B	4.0332042137595e-167	0.5087083546018292	0.958	0.96	1.4715145573901538e-162	TRUE	Other	161.83223543715735
YPEL5	3.3970886156867487e-162	0.9145125093509988	0.592	0.4	1.2394277814333102e-157	TRUE	Other	156.9067787734857
GIMAP7	1.7165763974317267e-153	-0.6546742783735553	0.54	0.755	6.2629289860296545e-149	TRUE	Other	148.2032225126401
UBC	2.736586750438328e-152	0.5379932864337356	0.927	0.936	9.98443675897424e-148	TRUE	Other	147.0006764294782
GIMAP5	4.852637589684167e-146	-0.7470041283657727	0.22	0.461	1.770484824596269e-141	TRUE	Other	140.75190779136977
CALM1	1.3983157868500402e-136	0.42249402955170456	0.935	0.945	5.1017551483223717e-132	TRUE	Other	131.29228038858867
GIMAP1	9.293777157240794e-133	-0.7205660600417048	0.174	0.395	3.390834595819304e-128	TRUE	Other	127.46969339449645
TMSB10	1.114112729008726e-131	0.5042317926747897	0.973	0.979	4.064840291788338e-127	TRUE	Other	126.39095651323292
UBB	6.113715064822551e-128	0.5788903734386452	0.798	0.739	2.230588941400508e-123	TRUE	Other	122.65158045523368
SESN3	1.8001984433514874e-112	-0.7651798406451493	0.219	0.42	6.5680240205679025e-108	TRUE	Other	107.18256526758456
IFI16	4.998008720050154e-112	-0.6370274521827326	0.303	0.52	1.823523481510299e-107	TRUE	Other	106.73908863990452
GIMAP4	2.3440723502443424e-103	-0.5709842246469601	0.307	0.521	8.552347969866481e-99	TRUE	Other	98.0679146372756
PKIA	2.891072307386634e-101	-0.6284356677334986	0.105	0.272	1.054807731350013e-96	TRUE	Other	95.97682669564924
DNAJB1	1.1108355614469748e-99	0.8914225708994068	0.398	0.248	4.0528835459392885e-95	TRUE	Other	94.39223587493646
CLEC2D	2.6907010261829745e-99	-0.5172493885896619	0.429	0.631	9.817022694028584e-95	TRUE	Other	94.00802020504494
AC020916.1	7.679614373969803e-98	0.8867927326159379	0.255	0.111	2.801907304342882e-93	TRUE	Other	92.55254623660139
LYSMD2	1.2020172871207157e-97	-0.5850523640371557	0.213	0.412	4.38556007205993e-93	TRUE	Other	92.35797493578191
S100A4	2.261192951858864e-96	0.8528869410589093	0.62	0.501	8.249962484857067e-92	TRUE	Other	91.08354802631754
ATP2B1-AS1	1.8484310283117153e-95	0.839433786833822	0.213	0.082	6.744000606795293e-91	TRUE	Other	90.17108239930742
DEK	3.172154198342878e-95	-0.5135065502093541	0.39	0.598	1.157360459265399e-90	TRUE	Other	89.93653135920782
TNFAIP3	9.531159150547727e-91	0.7206901202835585	0.624	0.528	3.477443416077339e-86	TRUE	Other	85.45873992798877
LINC00623	1.2324750495626592e-89	-0.5545537524636988	0.177	0.359	4.4966852183293617e-85	TRUE	Other	84.3471075133054
IKZF3	7.448298499133182e-89	-0.6163489417344159	0.169	0.34	2.7175117074087415e-84	TRUE	Other	83.56582857623815
SNHG5	6.386069189321143e-88	0.5306215657628455	0.752	0.702	2.3299573437238196e-83	TRUE	Other	82.63265202985593
SLC5A3	1.2831753323547041e-87	-0.5488336602614754	0.095	0.244	4.6816652000961384e-83	TRUE	Other	82.3295996472284
RNF213	1.2864351140454299e-87	-0.5234876478235613	0.291	0.488	4.693558513594751e-83	TRUE	Other	82.32849776350753
RALA	3.54521423671747e-85	-0.5378896851025377	0.261	0.452	1.293471414266369e-80	TRUE	Other	79.8882431647546
PTPRC	3.6107390993381016e-83	-0.314623925052242	0.857	0.93	1.3173781603935066e-78	TRUE	Other	77.88028954060546
PPP1R15A	1.915790976285958e-82	0.7902354325623522	0.483	0.363	6.98976337697932e-78	TRUE	Other	77.15553752608716
MYADM	6.159356978442871e-81	0.6839269803733264	0.228	0.102	2.2472413935848814e-76	TRUE	Other	75.6483502741447
ID2	7.191130727795437e-79	0.8601858372551547	0.267	0.139	2.6236840460361647e-74	TRUE	Other	73.58108846553296
MFHAS1	8.391523097886224e-78	-0.49657963292166696	0.121	0.272	3.061647202263788e-73	TRUE	Other	72.5140448550935
MX1	1.4428818909875776e-77	-0.5799828507521485	0.072	0.197	5.264354579268176e-73	TRUE	Other	72.2786548666142
NR4A2	8.989863211982863e-77	0.6934643385256924	0.217	0.096	3.2799515928919474e-72	TRUE	Other	71.48413256576852
SRSF7	2.3731585784765923e-74	0.6303854898422161	0.592	0.517	8.658469073571847e-70	TRUE	Other	69.06255888993132
