Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
JUND,0,1.1047116963379433,0.86,0.719,0
FOS,6.690433527269733e-270,1.40603149241334,0.516,0.215,2.441004672424362e-265
EIF1,2.7197233233101183e-251,0.5051251788644979,0.983,0.992,9.922910545096967e-247
JUN,9.665509604586137e-246,1.338587862208923,0.585,0.316,3.5264611792332516e-241
FOSB,1.078616027902804e-244,1.364583407739061,0.41,0.144,3.9353305778033805e-240
DUSP1,2.2766320639929604e-224,1.1923242432277847,0.427,0.167,8.306292085478316e-220
CD69,1.099844532529921e-208,1.086634803325222,0.556,0.307,4.0127827769354166e-204
H3F3B,4.033204213759501e-167,0.5087083546018292,0.958,0.96,1.471514557390154e-162
YPEL5,3.397088615686749e-162,0.9145125093509989,0.592,0.4,1.2394277814333104e-157
GIMAP7,1.716576397431727e-153,-0.6546742783735553,0.54,0.755,6.262928986029655e-149
UBC,2.7365867504383284e-152,0.5379932864337356,0.927,0.936,9.984436758974241e-148
GIMAP5,4.852637589684168e-146,-0.7470041283657727,0.22,0.461,1.770484824596269e-141
CALM1,1.3983157868500402e-136,0.42249402955170456,0.935,0.945,5.1017551483223717e-132
GIMAP1,9.293777157240794e-133,-0.7205660600417048,0.174,0.395,3.390834595819304e-128
TMSB10,1.1141127290087262e-131,0.5042317926747897,0.973,0.979,4.064840291788338e-127
UBB,6.113715064822551e-128,0.5788903734386452,0.798,0.739,2.230588941400508e-123
LMNA,1.1083217540777738e-121,0.9330843120419097,0.459,0.286,4.043711919752758e-117
TUBA1A,1.0321632592394414e-118,0.9012053997213862,0.432,0.258,3.765847651335102e-114
MRPS6,1.1638076669421712e-112,-0.5907890514736616,0.203,0.421,4.246152272838512e-108
SESN3,1.8001984433514877e-112,-0.7651798406451493,0.219,0.42,6.5680240205679025e-108
IFI16,4.998008720050155e-112,-0.6370274521827326,0.303,0.52,1.8235234815102992e-107
JUNB,2.4751291144282966e-105,1.004992591500654,0.546,0.421,9.030508573991641e-101
GIMAP4,2.3440723502443424e-103,-0.5709842246469601,0.307,0.521,8.552347969866483e-99
PKIA,2.891072307386634e-101,-0.6284356677334986,0.105,0.272,1.0548077313500133e-96
DNAJB1,1.110835561446975e-99,0.8914225708994068,0.398,0.248,4.0528835459392885e-95
CLEC2D,2.6907010261829745e-99,-0.5172493885896619,0.429,0.631,9.817022694028583e-95
AC020916.1,7.679614373969803e-98,0.8867927326159379,0.255,0.111,2.8019073043428825e-93
LYSMD2,1.2020172871207157e-97,-0.5850523640371557,0.213,0.412,4.385560072059931e-93
S100A4,2.2611929518588645e-96,0.8528869410589093,0.62,0.501,8.249962484857067e-92
IL7R,1.035988928467992e-95,-0.43818125235332683,0.847,0.905,3.779805605515469e-91
ATP2B1-AS1,1.8484310283117156e-95,0.839433786833822,0.213,0.082,6.744000606795294e-91
DEK,3.172154198342878e-95,-0.5135065502093541,0.39,0.598,1.157360459265399e-90
TNFAIP3,9.531159150547729e-91,0.7206901202835585,0.624,0.528,3.477443416077339e-86
LINC00623,1.2324750495626592e-89,-0.5545537524636988,0.177,0.359,4.496685218329362e-85
IKZF3,7.448298499133182e-89,-0.6163489417344159,0.169,0.34,2.7175117074087415e-84
SNHG5,6.386069189321144e-88,0.5306215657628455,0.752,0.702,2.3299573437238196e-83
SLC5A3,1.2831753323547043e-87,-0.5488336602614754,0.095,0.244,4.681665200096139e-83
RNF213,1.28643511404543e-87,-0.5234876478235613,0.291,0.488,4.693558513594752e-83
NFKBIA,5.669430010017385e-86,0.682821399933399,0.593,0.472,2.068491539154843e-81
RALA,3.5452142367174706e-85,-0.5378896851025377,0.261,0.452,1.2934714142663692e-80
EPB41,8.914073164762189e-85,-0.4790454757231719,0.297,0.493,3.252299594163485e-80
PTPRC,3.610739099338102e-83,-0.314623925052242,0.857,0.93,1.3173781603935066e-78
PPP1R15A,1.9157909762859586e-82,0.7902354325623522,0.483,0.363,6.98976337697932e-78
MYADM,6.1593569784428715e-81,0.6839269803733264,0.228,0.102,2.2472413935848817e-76
ID2,7.191130727795437e-79,0.8601858372551547,0.267,0.139,2.623684046036165e-74
MFHAS1,8.391523097886223e-78,-0.49657963292166696,0.121,0.272,3.0616472022637885e-73
MX1,1.4428818909875776e-77,-0.5799828507521485,0.072,0.197,5.2643545792681767e-73
NR4A2,8.989863211982863e-77,0.6934643385256924,0.217,0.096,3.2799515928919474e-72
SRSF7,2.3731585784765923e-74,0.6303854898422161,0.592,0.517,8.658469073571847e-70
CDK2AP2,2.1412159622580643e-73,-0.46215999700142263,0.095,0.23,7.812226438298547e-69
KLF6,4.867056162760438e-73,0.7515299982664554,0.623,0.561,1.775745440983146e-68
FYB1,1.2647664226507127e-72,-0.3448058295524521,0.523,0.707,4.614500293041125e-68
RSBN1L,2.7012084910229347e-72,-0.4587183119266486,0.147,0.301,9.855359179497177e-68
ACTB,1.0767802044822164e-71,0.5017368003983207,0.805,0.79,3.9286325760533666e-67
MYL12B,4.1079192145242415e-71,-0.3220599425570514,0.709,0.852,1.4987743254191694e-66
TSHZ2,1.4098203101409095e-70,-0.5529339201115857,0.187,0.342,5.143729401549108e-66
SRSF3,1.430405989845669e-70,0.5491767828579959,0.527,0.411,5.218836253951923e-66
TXNIP,1.6038673558365516e-69,0.6934113870424912,0.694,0.676,5.851710047769659e-65
HLA-A,5.965272770883509e-68,-0.21845911760794667,0.962,0.982,2.1764297704568482e-63
FAM102A,2.1902393568580754e-67,-0.4715154063863407,0.207,0.371,7.991088293496689e-63
ANTXR2,3.970472361318392e-67,-0.47249753051600407,0.107,0.237,1.4486268410270154e-62
SRSF5,6.932816888101821e-66,0.4505093545565728,0.755,0.734,2.5294382416239495e-61
YWHAZ,1.3918971180496954e-65,0.4163484599634981,0.773,0.76,5.0783366352043134e-61
OCIAD2,1.7361136847053746e-65,-0.4267610171877647,0.358,0.54,6.33421077864756e-61
TGFBR2,3.4858665824516718e-65,-0.435663695308373,0.183,0.337,1.2718184226074923e-60
CRIP1,4.03169032745939e-65,0.5457264282220313,0.84,0.832,1.4709622159735584e-60
IER2,2.93594061337626e-63,0.7412057223900486,0.535,0.451,1.0711779327903285e-58
FTH1,3.1428243449896495e-63,-0.20494683276731163,0.974,0.994,1.1466594622694736e-58
ANKRD12,3.237697381492438e-63,-0.36906627512263324,0.637,0.777,1.181273889637516e-58
CCR7,1.483396413430724e-61,-0.4089473150389855,0.334,0.507,5.412171814401996e-57
GTF2I,1.1930862483052332e-60,-0.41331174805930315,0.153,0.295,4.352975176941643e-56
ENO1,8.903492862869328e-60,-0.41082006788782666,0.366,0.537,3.2484393710178745e-55
CD52,1.050095727189402e-59,0.5508622040941309,0.776,0.772,3.831274260650533e-55
GADD45B,1.359421590777395e-59,0.6351878056808553,0.413,0.303,4.9598496739513255e-55
ARL4A,3.5175153003345484e-59,0.5884852006825458,0.254,0.141,1.28336545732706e-54
