Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TGFB1,2.645392705369408e-168,0.8304305283469358,0.875,0.682,9.651715285540285e-164
HLA-A,1.446131899774755e-149,-0.48084250382945193,0.997,0.998,5.276212236328194e-145
UBB,4.219461042532612e-136,0.5929829190653155,0.956,0.893,1.5394703613680235e-131
CALM1,1.4934443366027187e-116,0.6276360796533105,0.938,0.876,5.4488316620950195e-112
EZR,2.201438661667789e-106,0.718878924879824,0.808,0.624,8.031948957094927e-102
LRRFIP1,1.2520492871871297e-105,0.7657659065335864,0.704,0.481,4.568101824302243e-101
TUBA4A,2.028481110318599e-104,0.9859151489609939,0.568,0.344,7.400913330997409e-100
CRIP1,3.6432872978064276e-103,0.6751602925358267,0.932,0.858,1.329253370604675e-98
IFI6,1.0764643666230531e-102,-1.3289976764776659,0.078,0.301,3.9274802416242095e-98
LY6E,1.7832392039278273e-96,-1.1349255794380935,0.198,0.436,6.506148235530678e-92
ISG15,2.3551989836803347e-95,-1.2187415166898132,0.223,0.46,8.592943491957701e-91
BST2,4.5173976734500055e-95,-1.0670157270447693,0.099,0.323,1.6481725411582345e-90
JUND,2.6306786787983577e-89,0.6156809866391151,0.895,0.784,9.598031159595808e-85
TAGLN2,1.6313615744882238e-87,0.648288929592383,0.765,0.579,5.952022704520284e-83
EIF1,1.4050682959353693e-84,0.3835401127169451,0.989,0.979,5.126391677720195e-80
MX1,1.862178234540162e-79,-1.0242366514745236,0.131,0.339,6.794157288719781e-75
ISG20,7.781503271667101e-75,-0.9180313767888082,0.508,0.652,2.8390814686677416e-70
NCL,1.4514109088491425e-74,0.5423575760695556,0.847,0.732,5.2954727009360966e-70
UBC,1.4240318272352388e-71,0.35431611479623726,0.986,0.964,5.1955801216677684e-67
B2M,9.901971577241138e-71,-0.20820078678596943,1,1,3.612734329956429e-66
DRAP1,2.5620208204440267e-66,-0.7670188349109195,0.282,0.493,9.347532963390031e-62
FTH1,1.0023687958033773e-65,-0.49694359221671114,0.995,0.998,3.6571425514886224e-61
LDHA,1.3025204562520265e-65,0.4463992988193155,0.928,0.871,4.752245884635519e-61
CCL3L1,1.357113583418036e-64,-1.1721303752223173,0.133,0.308,4.9514289091007043e-60
LMNA,1.6754115505932848e-64,0.7743003372276631,0.484,0.295,6.112739042339599e-60
TRIM22,2.4318967765515705e-64,-0.8491913930124424,0.193,0.384,8.872775389248405e-60
BZW1,4.537525095632385e-64,0.5847246356997955,0.684,0.533,1.6555160311414757e-59
HERC5,2.5201057908261345e-63,-0.8385274267245264,0.151,0.342,9.194605977829151e-59
TPM3,1.0344808722709672e-60,0.4656406862346798,0.795,0.68,3.774303462480624e-56
YWHAZ,3.183047964025497e-59,0.45757138595075464,0.811,0.703,1.1613350496747027e-54
PSMB9,1.7748972379798155e-57,-0.6526318884434965,0.435,0.61,6.475712572769357e-53
COTL1,2.7938918134308276e-56,0.6383817979895952,0.304,0.146,1.0193514281302374e-51
VIM,3.5102500592534673e-56,0.420870783098203,0.995,0.993,1.2807147341186276e-51
EPSTI1,3.6127048056111685e-54,-0.7383986168176633,0.096,0.255,1.3180953483272349e-49
MX2,4.1180095024326876e-53,-0.8954628651561376,0.158,0.323,1.502455766962566e-48
RNF213,8.99587681447497e-53,-0.7551275772726824,0.245,0.421,3.282145655761193e-48
RSAD2,9.105530554588552e-53,-0.726646508308538,0.032,0.154,3.3221528228416334e-48
OAZ1,1.0145464873581711e-52,-0.43565201972675327,0.792,0.848,3.7015728591262877e-48
FGFBP2,3.0710427460370135e-52,0.566130774137934,0.631,0.444,1.1204699458916043e-47
EIF2AK2,1.3450957251119048e-51,-0.7723024594501062,0.204,0.374,4.907581753070785e-47
CYBA,7.940088614725873e-51,-0.46213654091784173,0.766,0.841,2.896941331082735e-46
IFI35,1.0423040549620611e-49,-0.7029543171482568,0.077,0.221,3.80284634452908e-45
CALM2,1.1221569730406988e-49,0.44259972879191434,0.801,0.696,4.09418971613899e-45
S100A10,1.5520311685386893e-49,0.43181085477398273,0.911,0.855,5.662585718413407e-45
ODC1,2.868797891410354e-49,0.6994440918642528,0.323,0.177,1.0466809106810676e-44
HLA-F,3.5280172207564853e-47,-0.643612962805798,0.335,0.503,1.2871970829930037e-42
ADGRE5,1.2502987226424966e-45,0.5324426461159943,0.45,0.29,4.561714889561149e-41
CLEC2D,2.1750491588065625e-45,-0.5788694113836756,0.511,0.637,7.935666855905743e-41
CDC42,1.268773980454337e-44,0.3876931436544746,0.8,0.696,4.629121867687649e-40
IRF7,6.119220188131018e-43,-0.6462821949333372,0.084,0.217,2.2325974856396019e-38
CDK2AP2,4.60311010648271e-42,-0.6172412486473028,0.122,0.267,1.6794447223502167e-37
OAS3,1.5501228953585924e-41,-0.5643760194587255,0.033,0.137,5.655623383715824e-37
CAST,2.1568887445435553e-41,0.5056975649080666,0.67,0.554,7.869408584467161e-37
FAM177A1,1.003008620201208e-40,0.5531650923536198,0.555,0.414,3.659476950804107e-36
SRSF3,1.8838327822927152e-40,0.49773435913368536,0.523,0.378,6.873163906194971e-36
REL,4.530769032093312e-40,0.5562285600146404,0.432,0.292,1.6530510813592448e-35
PLSCR1,1.4350462026528027e-39,-0.6753930405829975,0.083,0.206,5.23576607037875e-35
ARHGDIB,5.93815452767015e-39,0.34413956368830423,0.851,0.774,2.1665356794204545e-34
YPEL5,6.783739988246159e-39,0.5121251838906029,0.549,0.413,2.475047534711611e-34
XAF1,3.29131994652479e-38,-0.6570403161783274,0.158,0.298,1.2008380824895697e-33
S100A4,1.5589933109763421e-37,0.4735383521105687,0.581,0.427,5.687987095097184e-33
PSME2,2.412175179552357e-37,-0.5657411637030365,0.281,0.436,8.800821142596775e-33
OAS2,2.5712965018532772e-37,-0.5535725957775053,0.074,0.191,9.381375287011682e-33
GNLY,1.2924119818578441e-36,-0.48423199898949765,0.565,0.708,4.715365115808344e-32
OSBPL8,1.811830035984165e-36,0.4394499806647145,0.509,0.364,6.610461886288226e-32
OVCH1-AS1,6.852996335136607e-36,0.29793838522988586,0.044,0.003,2.500315712874591e-31
IFI16,8.41417078646906e-36,-0.47826449209958666,0.494,0.625,3.0699102114432367e-31
CXCR4,3.867650009103073e-35,-0.42838226197408336,0.712,0.777,1.4111121058212562e-30
AC004687.1,4.309788789050236e-35,-0.5795504558815447,0.155,0.292,1.5724264396849785e-30
IFIT1,8.290827402585081e-35,-0.6626325242368661,0.096,0.215,3.0249083778331666e-30
JUN,1.0076501677584731e-34,0.5529476610498922,0.428,0.286,3.6764116370667894e-30
KLRG1,2.0078651129969785e-34,-0.647892076018758,0.111,0.231,7.325695864769476e-30
SRRM1,4.404213213308849e-34,0.37442701964710423,0.722,0.61,1.6068771908757337e-29
KLF2,2.170854057577159e-33,0.5850641877724785,0.289,0.169,7.920361029070265e-29
HSP90AB1,2.500086604599081e-33,0.3688085560644443,0.765,0.676,9.121565976879747e-29
PNRC1,2.5427397630676427e-33,0.335964404056186,0.826,0.75,9.277186025552294e-29
CSTB,2.906543042391789e-33,-0.5714475126890115,0.216,0.354,1.0604522290166442e-28
STAT1,4.427143064946589e-33,-0.6113456088541839,0.163,0.292,1.6152431472457632e-28
C9orf78,6.249907598429838e-33,0.40970937151527176,0.584,0.457,2.2802787872871266e-28
TUBA1B,9.217877513696124e-33,0.5686597004004028,0.327,0.206,3.363142610872031e-28
BAX,1.0298454601917271e-32,-0.5005266029608526,0.077,0.185,3.7573911615095164e-28
LITAF,1.1759679049609037e-31,0.42548035298120856,0.496,0.365,4.290518901249857e-27
UBE2L6,1.3450505946768724e-31,-0.5688104615089419,0.132,0.254,4.907417094678569e-27
PCED1B-AS1,1.3522136444665034e-31,-0.48499900269003815,0.533,0.64,4.9335514818360376e-27
TUBA1A,2.8604730023495294e-31,0.517095742156933,0.212,0.111,1.0436435749072258e-26
GABARAPL1,3.2988651133037564e-31,0.45574792861489444,0.601,0.482,1.2035909365888755e-26
PPP2R5C,5.527237897018903e-31,0.380330736948729,0.707,0.609,2.016612746727347e-26
PPM1K,8.017883294804671e-30,-0.5618546423013626,0.103,0.213,2.925324720109484e-25
ALOX5AP,1.1111203448512056e-29,-0.8573187314259811,0.17,0.283,4.0539225781896234e-25
CD55,1.885378817076975e-29,0.5521186484063877,0.202,0.107,6.878804614105343e-25
OAS1,2.2364244530708679e-29,-0.48118115013034324,0.035,0.115,8.159594617029062e-25
SARAF,3.1152463813840085e-29,0.2997140156734006,0.874,0.816,1.1365976422479554e-24
H1FX,5.053857653737146e-29,0.6457534212223324,0.237,0.134,1.843899964965998e-24
YBX1,8.468261183130028e-29,0.26993930874623207,0.901,0.848,3.0896450926649906e-24
MTFP1,1.0025009411509624e-28,0.4844553158249614,0.198,0.103,3.6576246837892865e-24
CREM,1.146284275053907e-28,0.3297612319572938,0.681,0.541,4.18221817753418e-24
ATP1B3,1.7807702070661638e-28,0.517087846056796,0.439,0.323,6.497140100480898e-24
BIRC2,2.6547058812848287e-28,0.42552685063566775,0.468,0.346,9.685694407867697e-24
PARP14,3.3622226469265754e-28,-0.545295431379992,0.237,0.361,1.226706932731161e-23
CD69,4.381608321394886e-28,0.5889105106343566,0.41,0.298,1.598629796060924e-23
DSTN,4.613925352115895e-28,0.49085804254570586,0.494,0.384,1.6833906647194844e-23
TES,8.457024146281908e-28,0.4024569377119147,0.449,0.328,3.085545259770954e-23
ITM2B,1.4131676128451295e-27,-0.3473671373362901,0.749,0.821,5.155942035465455e-23
CPNE1,1.5845924880331549e-27,-0.4942727620098031,0.094,0.197,5.781385692588966e-23
NEDD8,1.830607388715429e-27,-0.4646866151913538,0.331,0.463,6.678971057728243e-23
ANAPC16,3.1239233879903804e-27,-0.48287335664202624,0.253,0.385,1.1397634481082902e-22
DDX24,5.774225788170336e-27,0.33149089834809153,0.768,0.706,2.1067262788139472e-22
CALR,1.0402323214845811e-26,0.36381556116087976,0.593,0.479,3.795287624936494e-22
LAT2,1.2375618192185058e-26,0.4356049734745278,0.119,0.049,4.5152442974187185e-22
PARP9,1.859880551806746e-26,-0.48373069680070857,0.079,0.175,6.7857741932669125e-22
ACTB,2.5810260821862008e-26,0.40078187540701604,0.754,0.68,9.416873660856354e-22
TRAV20,4.733872596055015e-26,-0.37532194523200507,0.002,0.05,1.7271534166706723e-21
SKI,5.6549717938913e-26,0.4589217444632987,0.233,0.137,2.063216459001241e-21
TRAC,1.0564847804182336e-25,-0.432984050602633,0.384,0.515,3.854584721355925e-21
SAMD9L,1.2521928780886326e-25,-0.5232429834137213,0.126,0.231,4.568625715706376e-21
RAB8B,1.654832950954477e-25,0.4111801175631393,0.415,0.3,6.03765802155741e-21
TNFAIP3,1.8947162157052504e-25,0.4121406275004005,0.607,0.506,6.912872113000606e-21
CMPK2,2.350356061150895e-25,-0.4153391580852359,0.025,0.092,8.575274089109039e-21
DYNLL1,2.4214335414420784e-25,-0.48495323491725517,0.22,0.343,8.834600275951422e-21
FNBP1,2.6054358729152324e-25,0.394718362217088,0.556,0.452,9.505932782331226e-21
OST4,4.427905483775148e-25,-0.3291369762246381,0.682,0.755,1.6155213157553626e-20
