Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
VIM,1.3674034536016356e-45,0.6797546764888178,0.983,0.976,4.988971500465567e-41
UBB,2.177525337321428e-45,0.5875706862796237,0.972,0.936,7.94470119321723e-41
HERC5,1.236289105965822e-41,-1.2798907567739275,0.089,0.319,4.5106008031163015e-37
BST2,3.6385119770148604e-31,-1.0105899535487262,0.089,0.284,1.327511094813872e-26
ISG15,3.36603359161487e-30,-1.579116558979163,0.286,0.473,1.2280973559006852e-25
LRRFIP1,7.720686007552871e-30,0.6453536650421379,0.698,0.513,2.816892289855665e-25
GZMB,8.072879833194795e-30,0.5527682634622542,0.917,0.817,2.945390207141121e-25
IFI6,1.2045192624695756e-29,-1.1963666654119907,0.07,0.245,4.394688529120246e-25
LMNA,3.801993926177772e-29,0.8897462774403735,0.578,0.377,1.38715748396596e-24
UBC,1.0421056713087244e-27,0.4013775426896409,0.976,0.956,3.802122541769881e-23
DRAP1,2.281140108008528e-27,-0.8287104502870575,0.295,0.487,8.322739684069115e-23
EPSTI1,1.560206996445845e-24,-0.854554844398054,0.117,0.293,5.692415226532666e-20
FGFBP2,1.923643210740642e-24,0.5653247130173615,0.804,0.63,7.018412254387232e-20
LY6E,7.923572094199716e-24,-0.8862579258385197,0.259,0.435,2.8909152785687665e-19
MX1,2.926415229556623e-23,-1.0466311023276653,0.16,0.329,1.0677025965037339e-18
EZR,3.267990121911068e-23,0.5360270170994963,0.707,0.545,1.192326195979253e-18
TRIM22,3.90544078600464e-23,-0.8331724522542718,0.222,0.4,1.4249000707737928e-18
MYL12A,3.929094572185211e-23,-0.6963563278593305,0.489,0.651,1.4335301546617742e-18
CRIP1,1.3274078613597093e-22,0.7454402320168727,0.84,0.755,4.843047582170899e-18
IFIT1,9.056642171524897e-22,-0.8057055554822188,0.099,0.257,3.3043158962808586e-17
TGFB1,9.855404715859143e-22,0.4896334782811973,0.804,0.688,3.595744410581208e-17
EIF2AK2,1.191437204408242e-21,-0.8408626634582594,0.204,0.375,4.3469586402834714e-17
CALM1,1.6442117268530265e-21,0.4388616213744654,0.898,0.816,5.998906485423268e-17
DSTN,3.193555621979731e-20,0.6667002155141004,0.617,0.469,1.1651687686793048e-15
TUBA4A,4.2283119262620523e-20,0.8445502127873339,0.378,0.224,1.5426996062967097e-15
RSAD2,3.62334802787149e-19,-0.7561575541741385,0.056,0.184,1.321978527968913e-14
OAS2,1.2885196901690674e-18,-0.6914966717265278,0.082,0.218,4.701164089581842e-14
EIF1,1.6938616824266085e-18,0.29431913816336674,0.985,0.972,6.180054348333481e-14
LDHA,1.792803313458892e-18,0.46148486880877115,0.894,0.85,6.541042889154767e-14
ACTG1,3.574087747055734e-18,0.5203179839831664,0.878,0.826,1.3040059145132846e-13
HLA-C,4.6289054033782576e-18,0.27691040619034624,0.994,0.984,1.6888561364225574e-13
IFI35,6.325591114928924e-18,-0.7388692497254016,0.087,0.22,2.3078919182818177e-13
PSMB9,1.2723637027543078e-17,-0.5843245893363012,0.398,0.548,4.642218969499092e-13
OAS1,1.7799341828014008e-17,-0.6612344450413916,0.037,0.144,6.49408986595091e-13
TAGLN2,1.9280009620674123e-17,0.4639886474681676,0.754,0.64,7.034311510102954e-13
RNF213,2.5652658211602516e-17,-0.70586273507892106,0.265,0.417,9.359372348503177e-13
REL,3.266737004780272e-17,0.6234031951859009,0.57,0.427,1.1918689961940823e-12
S100A10,1.5436406742289406e-16,0.5540874700720915,0.82,0.766,5.6319729999242895e-12
ITGAX,2.449067419888309e-16,0.6778985346263364,0.153,0.055,8.935422481462496e-12
JUND,3.355373714343478e-16,0.39769871226800824,0.875,0.757,1.2242080996782179e-11
CST7,3.754230645227305e-16,0.43947813555370274,0.868,0.782,1.3697310509111823e-11
CD55,3.8310388843549367e-16,0.6863763204070044,0.346,0.208,1.3977545369568986e-11
XAF1,4.0997402594765293e-16,-0.7051259091865121,0.248,0.394,1.4957902336700117e-11
SP100,6.285990802628422e-16,-0.5563468081378877,0.433,0.559,2.29344374433898e-11
CREM,7.046307811992377e-16,0.503667855496909,0.644,0.489,2.570845405205419e-11
ITM2B,9.0936807951461e-16,-0.4592748015916208,0.67,0.763,3.317829438109054e-11
BZW1,1.439389236800292e-15,0.434255558559141,0.689,0.562,5.2516116304658656e-11
H1FX,1.858336896389366e-15,0.6391876262752247,0.246,0.123,6.780142166476603e-11
FCGR3B,2.6190037462183597e-15,-0.5091111571392969,0.003,0.07,9.555435168077685e-11
SAMD9L,3.130356276590144e-15,-0.7289765847875724,0.157,0.289,1.1421104875139141e-10
MX2,4.868315328724018e-15,-0.8084929412389197,0.132,0.258,1.776204847684958e-10
HSP90AB1,7.982736445169135e-15,0.4069603517455298,0.764,0.646,2.9125013920199586e-10
IFIT3,8.197055760427424e-15,-0.6525719747771712,0.261,0.407,2.990695794191946e-10
SRSF2,1.2373706372432333e-14,0.4435085835745842,0.607,0.476,4.5145467699819365e-10
HERC6,1.2838502010042294e-14,-0.5246229956169125,0.028,0.116,4.684127458363931e-10
AKAP13,3.146814874466598e-14,0.45427933503266216,0.641,0.517,1.1481154069491383e-9
PTPRC,3.494562433381245e-14,-0.37227782602020065,0.736,0.818,1.2749911038191472e-9
NKG7,6.821463093010456e-14,0.2763411698327838,0.988,0.991,2.488810809484865e-9
PPM1K,8.029447298400296e-14,-0.5482566755878621,0.112,0.234,2.929543846821348e-9
S100A4,8.107548387884895e-14,0.4764887975560179,0.603,0.451,2.958039029319804e-9
PARP9,9.86395150771532e-14,-0.5468935798846503,0.075,0.184,3.5988627075899344e-9
HNRNPA1,1.1036397760971729e-13,0.3082891652102888,0.884,0.812,4.0266297230905355e-9
C5orf56,2.190952145947404e-13,-0.587782735357224,0.169,0.299,7.993688904489103e-9
RAB8B,2.904145494717175e-13,0.476287216321571,0.632,0.52,1.0595774837475613e-8
ZFP36L2,3.174920013706465e-13,-0.591054248676824,0.331,0.469,1.1583695670008038e-8
IRF7,9.029521122628125e-13,-0.5990703365718086,0.148,0.27,3.294420781590872e-8
TUBA1B,1.0938067771180944e-12,0.5485338611035864,0.302,0.187,3.9907540263153676e-8
LITAF,1.1732748400660601e-12,0.42363580364536535,0.567,0.433,4.2806932539810205e-8
PRSS23,1.524969742584665e-12,0.49612616910728824,0.177,0.081,5.56385210582015e-8
EFHD2,1.5509271954127662e-12,0.34224792423786354,0.85,0.796,5.658557872463478e-8
FAM107B,1.919514372045293e-12,0.4833276555517316,0.647,0.559,7.003348186407251e-8
CD8A,1.9484632784225666e-12,-0.633452442358568,0.116,0.226,7.108968271324734e-8
CMPK2,1.9606614301363427e-12,-0.4797519475053317,0.044,0.13,7.153473227852446e-8
MAP1LC3B,2.312842046907005e-12,0.42500803948422083,0.603,0.481,8.438404208140208e-8
CD52,3.1836960325248915e-12,0.6106196393130114,0.311,0.198,1.1615714974667067e-7
STAT2,5.5182727115034736e-12,-0.4328167847788002,0.021,0.091,2.0133417987920422e-7
METRNL,6.304441261356415e-12,0.41741791470322687,0.666,0.549,2.3001753942058882e-7
AC245297.3,7.986649573730944e-12,-0.5413878122682105,0.242,0.366,2.913929096975735e-7
HNRNPC,8.229594357507526e-12,0.3825695570104002,0.679,0.57,3.0025675013366204e-7
YWHAZ,1.0264451867752834e-11,0.31461609685764413,0.801,0.712,3.744985263949621e-7
FEZ1,1.0316583363523618e-11,-0.6596015784691549,0.3,0.415,3.764005440181592e-7
ADGRE5,1.045325404506838e-11,0.41113237864612184,0.589,0.462,3.813869738343198e-7
UBE2L6,1.195612080669296e-11,-0.5131720549891234,0.112,0.22,4.3621906763219265e-7
SYNJ2,1.3155507304000616e-11,0.42697026823420636,0.214,0.111,4.799786839864624e-7
WDR1,1.4806424471722426e-11,0.4717744077844339,0.312,0.198,5.402123968507927e-7
DDX58,1.55662720412085e-11,-0.5506948261923243,0.056,0.142,5.679354354234921e-7
ERCC1,2.5434001901959687e-11,0.45639442335351355,0.168,0.081,9.279595593929991e-7
LARS,2.899957105325094e-11,-0.471286649370203,0.04,0.118,1.0580493498778605e-6
OAS3,3.3100124904435574e-11,-0.5478323921667341,0.055,0.139,1.2076580571383318e-6
CDC42,3.741643482095441e-11,0.26616507146095136,0.836,0.754,1.3651386244425218e-6
BCL2A1,3.8072750984989815e-11,0.799099025883141,0.321,0.216,1.3890843196873534e-6
GIMAP7,3.874784601846614e-11,-0.48030459018391136,0.391,0.508,1.4137151619837372e-6
CALR,3.972164829997581e-11,0.40882406037391217,0.567,0.445,1.4492443382246174e-6
PPP1R14B,4.389890078795745e-11,-0.6083560963936707,0.168,0.282,1.6016513952486275e-6
GPR183,4.6938162060213566e-11,0.6143555505678875,0.206,0.112,1.712538842766892e-6
AKAP5,6.361130923062857e-11,-0.4651350685632406,0.029,0.099,2.3208586172794834e-6
HSPA5,1.2518478126684085e-10,0.41467959171898583,0.678,0.591,4.567366744520688e-6
EIF4A1,1.3156935799609136e-10,0.34689020791286396,0.69,0.58,4.8003080264873935e-6
ISG20,1.603866182499034e-10,-0.7603591055909398,0.529,0.575,5.851705766847725e-6
ID2,1.9902124725503023e-10,0.40615679177562125,0.452,0.33,7.261290206099778e-6
PARP14,2.1375041746958112e-10,-0.5440321291240473,0.321,0.424,7.798683981377667e-6
ANXA2,3.9435419586891923e-10,0.47966516654582647,0.333,0.223,1.4388012836277517e-5
TPM3,4.1007620063012993e-10,0.29062301349835407,0.736,0.645,1.4961630179990291e-5
CHMP4B,4.539252045314049e-10,0.4488438603259801,0.354,0.245,1.6561461087328308e-5
BIRC2,4.6294999480808016e-10,0.3970560613292067,0.534,0.431,1.6890730560572804e-5
SYNGR1,5.045297353998296e-10,0.48616904840443864,0.165,0.083,1.8407767396062784e-5
SRSF3,6.856848176993841e-10,0.37358142820592644,0.518,0.407,2.5017210573762028e-5
IFI16,7.091031416161863e-10,-0.4295508773408243,0.544,0.615,2.587162812186656e-5
GIMAP4,7.427394499685696e-10,-0.5532135192232575,0.17,0.276,2.7098848832103263e-5
CDK2AP2,8.652100504175141e-10,-0.4811178083600308,0.135,0.238,3.1567188689483e-5
IFITM1,9.722493486936273e-10,-0.6020299971826706,0.265,0.368,3.547251748708699e-5
SH3BGRL3,9.774629948612606e-10,0.3075123898344527,0.871,0.782,3.566273736751309e-5
SPTBN1,1.0258644265859972e-9,0.4094013424884002,0.219,0.126,3.7428663603990106e-5
GADD45A,1.0759504374549579e-9,0.5776698356788916,0.137,0.065,3.9256051710544136e-5
PRDX1,1.0968486094663794e-9,0.7309943650053898,0.393,0.294,4.001852151638085e-5
SMAP2,1.767475671740677e-9,0.416002210149794,0.44,0.328,6.44863498834586e-5
RGS1,1.8001795103416566e-9,0.5315159158517657,0.301,0.2,6.567954943481535e-5
RNASEK,2.4785540768997067e-9,-0.370074307630619,0.649,0.734,9.043004549568579e-5
BHLHE40,2.674713743452356e-9,0.3595560423132993,0.407,0.289,9.758693092985921e-5
FNBP1,2.7452385356878397e-9,0.41512062634791613,0.519,0.413,1.0016002797457082e-4
CXCR4,2.851248904370225e-9,-0.4703255924282237,0.535,0.607,1.0402781627594766e-4
ATP1B3,3.6276837999446765e-9,0.4123470936095892,0.398,0.286,1.3235604344098153e-4
CD48,4.307799018093172e-9,-0.4233015635933244,0.394,0.509,1.5717004717512938e-4
CLEC2D,8.738568760059476e-9,-0.5224582295856821,0.263,0.368,3.1882668121077e-4
NFKB1,9.557143859431877e-9,0.4198067894118225,0.641,0.563,3.4869239371137205e-4
SP110,9.635357991079687e-9,-0.4741586741152888,0.207,0.308,3.515460363045424e-4
TYMP,1.00729371344667e-8,-0.39823713281830875,0.09,0.176,3.6751111135101754e-4
BAX,1.2490462672330294e-8,-0.3549689923327073,0.071,0.15,4.557145305999708e-4
STK17A,1.4022330335173213e-8,-0.3816402923862512,0.521,0.612,5.116047222787946e-4
EVL,1.4064560621954126e-8,-0.5101167414157273,0.238,0.336,5.131454942919962e-4
IRF3,1.4158528853407283e-8,-0.4397358560461705,0.071,0.145,5.165739252165647e-4
PPP1R15A,1.452082316330822e-8,0.3559652493889516,0.294,0.193,5.297922331133004e-4
CD2,1.651922753044396e-8,-0.5732406613110403,0.241,0.334,6.02704016448248e-4
NEDD8,2.244799797740656e-8,-0.44512707509395755,0.289,0.393,8.190152062056784e-4
IFIH1,2.3448218657683797e-8,-0.43475691445130693,0.111,0.197,8.555082577255933e-4
KRCC1,2.4080681080091974e-8,-0.427424501983163,0.043,0.105,8.785836492071556e-4
NINJ1,2.654739188739403e-8,0.41513787170343086,0.325,0.226,9.685815930115712e-4
AC004687.1,2.7090423628637836e-8,-0.425949568489818,0.219,0.325,9.883941060908515e-4
STAT1,2.7400301570084643e-8,-0.40505553600784494,0.164,0.259,9.997000027845383e-4
GRAMD1B,3.179554519968034e-8,0.315002061454533,0.074,0.027,0.0011600604666103373
PNPT1,3.68108891027414e-8,-0.4126431105916421,0.065,0.136,0.00134304528891352
SDCBP,3.802317161843679e-8,0.39753604205867377,0.407,0.308,0.0013872754164986662
MIAT,4.156585656430028e-8,-0.41927481935423894,0.051,0.116,0.0015165302767484957
KLHL18,4.262825895601887e-8,0.34706867530487534,0.102,0.045,0.0015552920280103484
TRIM14,5.385689517500591e-8,-0.27450765737432137,0.022,0.073,0.0019649688204600906
YPEL5,5.5055746623058773e-8,0.37025350968687576,0.486,0.391,0.002008708915542299
MYCBP2,5.5156030818133246e-8,-0.47277324114305563,0.116,0.199,0.0020123677843995914
ABLIM1,5.9079819348527167e-8,0.39824702504562937,0.357,0.252,0.0021555272089310135
NCL,6.526938528309478e-8,0.2914853573890954,0.775,0.728,0.002381353522053713
PDXK,7.006316739654198e-8,0.3868794084033661,0.201,0.123,0.002556254662462834
ANKRD28,7.056055725888944e-8,0.45481754949271785,0.112,0.054,0.002574401931590581
LINC00623,7.180278402584821e-8,-0.44153184756071717,0.147,0.236,0.002619724575183072
JMJD1C,8.146039689327602e-8,0.38414956466187467,0.387,0.288,0.0029720825806511756
PELI1,8.349589240420104e-8,0.41757988772369004,0.115,0.057,0.003046347634367275
SNHG8,8.397618928098254e-8,0.3630047825909868,0.492,0.393,0.003063871265916648
HNRNPA3,8.862795789795896e-8,0.271251046056018,0.703,0.609,0.0032335910439070326
BAG1,9.276555579997464e-8,-0.43321496945810023,0.214,0.312,0.0033845513033620746
AHR,9.627828844411118e-8,0.4081695095129594,0.154,0.085,0.0035127133538833963
H2AFJ,9.777872220412782e-8,0.39540808134620586,0.157,0.087,0.0035674566796176036
RASAL3,1.0396002199827588e-7,-0.3988956537484411,0.057,0.123,0.003792981402607095
CKLF,1.0545520222134779e-7,-0.45943324342159664,0.185,0.278,0.0038475330530458743
TMPO,1.0559037501146703e-7,-0.4113354680478113,0.09,0.166,0.0038524648322933747
ADGRG1,1.1591772353068466e-7,0.4010437423205524,0.199,0.123,0.00422925814301703
GTF3C1,1.1782007503941657e-7,0.5021650858835531,0.278,0.194,0.004298665437813114
ECE1,1.1812288108021146e-7,0.4376188877497664,0.175,0.103,0.004309713316211515
THAP2,1.3286820761826479e-7,0.4500952714105546,0.129,0.067,0.004847696554952391
