Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FOS,3.055734441912784e-79,1.0678141020039131,0.665,0.355,1.1148847111318793e-74
KLF2,9.178090074807267e-77,1.042599907675974,0.68,0.42,3.3486261637934317e-72
DUSP1,9.792470555762087e-76,1.1091556603352686,0.602,0.315,3.5727828822697975e-71
S100A4,1.970706634330511e-70,0.7849780900932686,0.821,0.588,7.190123155354869e-66
JUND,1.0099081171844132e-66,0.6338233420793609,0.901,0.735,3.6846497655473314e-62
JUN,9.14977788584048e-61,1.074425298227431,0.687,0.468,3.3382964616488993e-56
DDX3Y,5.080240838542244e-59,1.2124256573710337,0.265,0.067,1.853525869942138e-54
GZMB,1.6531581320756383e-58,0.6079142377144509,0.901,0.8,6.031547444877966e-54
FCGR3B,9.688175544122519e-56,-0.7653530302686173,0.007,0.118,3.534730847273101e-51
ACTB,1.78044732102724e-54,0.6443122702913406,0.888,0.776,6.495962050767885e-50
CALM1,4.1893126485630066e-54,0.4640276135702539,0.94,0.889,1.528470719828213e-49
GZMA,7.569917318984212e-51,0.5992184658120507,0.819,0.634,2.7618843338313897e-46
FOSB,3.690437898410574e-49,0.8542881116946774,0.511,0.275,1.346456267235098e-44
TUBA1A,5.452187878944014e-49,1.056641101959967,0.416,0.208,1.9892307476327234e-44
GIMAP7,2.0131343324347458e-48,-0.8645362603163516,0.313,0.516,7.34492061188817e-44
JUNB,1.0071282393202039e-47,0.7801073720827905,0.616,0.407,3.674507381159764e-43
VIM,1.704904726022499e-46,-0.35007245586849844,0.759,0.883,6.220344892893087e-42
APOBEC3G,2.3336590036267758e-46,-0.6562862445734905,0.479,0.675,8.514354874732292e-42
EIF1,5.361119124448694e-42,0.3446117186818505,0.987,0.984,1.956004312555106e-37
YPEL5,3.3184678395639974e-41,0.6584795810162096,0.656,0.468,1.2107429912649245e-36
AC020916.1,1.8211817735580228e-40,0.6685226118170764,0.521,0.302,6.644581700826446e-36
PTMA,3.4203532494340135e-39,-0.3280219479865565,0.994,0.998,1.247915883056e-34
S100B,2.457731930846407e-38,1.7814797643950637,0.12,0.011,8.967034949693116e-34
SRSF7,2.0117207996212127e-34,0.5942968458960669,0.641,0.471,7.339763337417994e-30
CCL4L2,3.400751889712198e-33,-1.02178964413763,0.115,0.261,1.2407643269614955e-28
IER2,5.915448711020771e-31,0.5649983064697031,0.778,0.659,2.1582514622159284e-26
LINC00996,6.488127508814329e-31,-0.4683963419127917,0.013,0.088,2.367193321590908e-26
CST7,1.05398351563836e-30,0.3985424189596327,0.896,0.826,3.845458856806556e-26
PPP1R15A,1.9217765178025213e-30,0.5500144120280197,0.603,0.421,7.011601625202499e-26
MYOM2,8.773762451329046e-30,1.2729788094169838,0.135,0.031,3.2011072303674025e-25
CCL3L1,5.226943626348783e-29,-0.8649408363588085,0.096,0.218,1.9070503820733535e-24
HCST,7.71219330481528e-29,0.486358333948969,0.778,0.666,2.813793727261855e-24
STK17A,1.1176521580610664e-28,-0.544019216123476,0.443,0.594,4.077753898685801e-24
KLF6,1.5829103893852617e-28,0.6406743844880691,0.651,0.528,5.775248555672127e-24
CFL1,5.288804100406886e-28,0.393739733683645,0.861,0.782,1.9296201760334523e-23
FTH1,1.5698157555574517e-27,-0.37511543822189175,0.965,0.985,5.727472784151362e-23
CD52,1.903991114424751e-27,0.6112018782153514,0.543,0.385,6.946711580978704e-23
KMT2E-AS1,5.222538207117156e-26,0.7048807252760793,0.204,0.083,1.9054430648666943e-21
PPP1R14B,5.543512021846556e-26,-0.7706518514020478,0.124,0.247,2.022550361170716e-21
IFNG,5.911687701535511e-26,0.8332909770192198,0.279,0.14,2.1568792579052315e-21
MX1,7.073866747894216e-26,-0.66352931213858235,0.038,0.125,2.5809002829692045e-21
