Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
B3GLCT,1.4096475354734003e-9,1.7292686032421947,0.222,0,5.143099033174701e-5
RRP1,2.758836604961978e-9,1.8373638511236268,0.444,0.024,1.0065615353203776e-4
ZNF324,1.2210724384169552e-6,1.2383401658679563,0.222,0.006,0.04455082791564261
ATG2A,1.651996593756681e-6,0.9870484838963187,0.222,0.006,0.06027309572321251
NDRG1,3.881474650597304e-6,1.492656699237389,0.444,0.048,0.14161560262704265
JMJD8,4.181306161390245e-6,1.653001762386829,0.444,0.048,0.15255495529832308
PIGC,1.801796017391072e-5,1.5878873281676813,0.333,0.03,0.6573852769451326
ST3GAL3,2.0830822474004256e-5,0.6112603276285078,0.111,0,0.7600125579640453
HHLA3,2.0830822474004256e-5,0.7092206036833019,0.111,0,0.7600125579640453
RABGAP1L-DT,2.0830822474004256e-5,0.8079737061292342,0.111,0,0.7600125579640453
KANSL3,2.0830822474004256e-5,1.5671043145958101,0.111,0,0.7600125579640453
DPP4,2.0830822474004256e-5,0.6112603276285078,0.111,0,0.7600125579640453
DHRS9,2.0830822474004256e-5,0.8079737061292342,0.111,0,0.7600125579640453
AC009948.2,2.0830822474004256e-5,0.677736647400194,0.111,0,0.7600125579640453
HECW2,2.0830822474004256e-5,1.4651247310313347,0.111,0,0.7600125579640453
SLC11A1,2.0830822474004256e-5,0.8629866234229049,0.111,0,0.7600125579640453
GHRL,2.0830822474004256e-5,0.8629866234229049,0.111,0,0.7600125579640453
AC083799.1,2.0830822474004256e-5,0.8629866234229049,0.111,0,0.7600125579640453
AC091978.1,2.0830822474004256e-5,0.677736647400194,0.111,0,0.7600125579640453
AC011379.2,2.0830822474004256e-5,0.6366579993707677,0.111,0,0.7600125579640453
ADAP1,2.0830822474004256e-5,0.677736647400194,0.111,0,0.7600125579640453
TTC26,2.0830822474004256e-5,0.677736647400194,0.111,0,0.7600125579640453
ADHFE1,2.0830822474004256e-5,1.5671043145958101,0.111,0,0.7600125579640453
AP003472.2,2.0830822474004256e-5,0.7092206036833019,0.111,0,0.7600125579640453
AL161457.2,2.0830822474004256e-5,0.7092206036833019,0.111,0,0.7600125579640453
AL117336.2,2.0830822474004256e-5,0.6112603276285078,0.111,0,0.7600125579640453
LHPP,2.0830822474004256e-5,0.6112603276285078,0.111,0,0.7600125579640453
C11orf74,2.0830822474004256e-5,0.7092206036833019,0.111,0,0.7600125579640453
CATSPERZ,2.0830822474004256e-5,0.8629866234229049,0.111,0,0.7600125579640453
ITFG2-AS1,2.0830822474004256e-5,1.1752604554071986,0.111,0,0.7600125579640453
CORO1C,2.0830822474004256e-5,1.5671043145958101,0.111,0,0.7600125579640453
FGF9,2.0830822474004256e-5,0.6366579993707677,0.111,0,0.7600125579640453
TRAV19,2.0830822474004256e-5,0.8079737061292342,0.111,0,0.7600125579640453
AC004974.1,2.0830822474004256e-5,0.677736647400194,0.111,0,0.7600125579640453
ACOT4,2.0830822474004256e-5,0.6366579993707677,0.111,0,0.7600125579640453
NEDD4,2.0830822474004256e-5,1.5671043145958101,0.111,0,0.7600125579640453
CLN6,2.0830822474004256e-5,0.8629866234229049,0.111,0,0.7600125579640453
LOXL1-AS1,2.0830822474004256e-5,0.8629866234229049,0.111,0,0.7600125579640453
AC133552.5,2.0830822474004256e-5,1.4651247310313347,0.111,0,0.7600125579640453
FCSK,2.0830822474004256e-5,1.5671043145958101,0.111,0,0.7600125579640453
MLYCD,2.0830822474004256e-5,0.6112603276285078,0.111,0,0.7600125579640453
AC004148.1,2.0830822474004256e-5,1.1752604554071986,0.111,0,0.7600125579640453
TRPV2,2.0830822474004256e-5,0.8079737061292342,0.111,0,0.7600125579640453
CD300C,2.0830822474004256e-5,0.8079737061292342,0.111,0,0.7600125579640453
AC087645.2,2.0830822474004256e-5,0.677736647400194,0.111,0,0.7600125579640453
AC061992.2,2.0830822474004256e-5,0.7092206036833019,0.111,0,0.7600125579640453
AP001269.4,2.0830822474004256e-5,0.7092206036833019,0.111,0,0.7600125579640453
SPIRE1,2.0830822474004256e-5,0.6112603276285078,0.111,0,0.7600125579640453
AC009005.1,2.0830822474004256e-5,0.677736647400194,0.111,0,0.7600125579640453
ZNF429,2.0830822474004256e-5,0.6112603276285078,0.111,0,0.7600125579640453
RASGRP4,2.0830822474004256e-5,1.0768647996446759,0.111,0,0.7600125579640453
KPTN,2.0830822474004256e-5,0.6366579993707677,0.111,0,0.7600125579640453
SPACA6,2.0830822474004256e-5,1.1752604554071986,0.111,0,0.7600125579640453
AP5S1,2.0830822474004256e-5,0.8079737061292342,0.111,0,0.7600125579640453
KAT14,2.0830822474004256e-5,1.5671043145958101,0.111,0,0.7600125579640453
RALY-AS1,2.0830822474004256e-5,1.5671043145958101,0.111,0,0.7600125579640453
TOMM34,2.0830822474004256e-5,0.6112603276285078,0.111,0,0.7600125579640453
TIMM23B-AGAP6,2.0830822474004256e-5,0.8079737061292342,0.111,0,0.7600125579640453
AC010538.1,2.0830822474004256e-5,0.7092206036833019,0.111,0,0.7600125579640453
AC120049.1,2.0830822474004256e-5,0.7092206036833019,0.111,0,0.7600125579640453
ZNF610,2.0830822474004256e-5,1.4651247310313347,0.111,0,0.7600125579640453
