Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FOS,5.785003377367168e-25,2.076329714794996,0.881,0.218,2.1106584822324112e-20
DUSP1,2.6856603646905966e-21,1.9936020084154873,0.687,0.146,9.798631840573642e-17
FOSB,1.5322695256336817e-17,1.99038788280696,0.672,0.157,5.590485364274487e-13
CD69,1.3309015018885768e-14,1.9190222491309477,0.657,0.218,4.855794129640473e-10
JUN,1.6192772953588502e-14,1.7541841355800356,0.746,0.282,5.907933212116765e-10
JUND,2.795072092072428e-13,1.36614602579585,0.896,0.7,1.0197820527926253e-8
KLF6,2.9977050247359114e-11,1.4886845800651836,0.821,0.561,1.0937126782748972e-6
FTH1,3.4567739034994356e-10,-0.9765173020406026,0.866,0.979,1.2612039586917692e-5
RGS1,3.7741986706889353e-10,1.6628728421812384,0.627,0.282,1.377016385000858e-5
JUNB,5.588812951283874e-10,1.5712019546837643,0.716,0.411,2.0390784052759217e-5
DNAJB1,1.943223805254111e-9,1.4353295648348683,0.567,0.239,7.089852053469624e-5
VIM,6.818119066290943e-9,-1.1634316011623058,0.761,0.925,2.4875907413362506e-4
AC020916.1,7.067191954769139e-9,1.552485756349859,0.403,0.114,2.5784649846975207e-4
EMP3,1.0003214803583883e-8,-1.1470383202328835,0.552,0.839,3.64967292108758e-4
HLA-A,1.637005911056478e-8,-0.7896255237250474,0.866,0.964,5.972616066489561e-4
RTKN2,7.742594692244749e-8,1.2345616979275946,0.716,0.479,0.0028248856734654965
CCNL1,1.670760758145318e-7,1.351488488017793,0.612,0.354,0.006095770626093193
RNASEK,1.9609264759127391e-7,-1.1094118296970634,0.254,0.657,0.007154440247367629
MYL12B,1.982557220149645e-7,-0.9868745832524293,0.448,0.775,0.00723336001771598
DDX3Y,2.2234882628584054e-7,1.6493456218897002,0.284,0.075,0.008112396927038893
S100A11,2.296916434660179e-7,-1.4184066280669816,0.224,0.596,0.008380299611857663
CAST,2.602483325940298e-7,-1.07118869861633,0.299,0.704,0.009495160414693178
S100A10,3.7528695465467175e-7,-0.9750083864325849,0.612,0.846,0.0136923445405757
OAZ1,4.085849551758193e-7,-0.8823886227625524,0.522,0.825,0.014907222089589767
AC007952.4,4.705264177259879e-7,1.5247806893270146,0.328,0.096,0.017167156350732668
PPP1R15A,7.46183557555166e-7,1.2457525474628732,0.642,0.418,0.02722450709740023
KLF2,9.808541292283151e-7,0.9763526428265386,0.776,0.618,0.03578646290489508
LYZ,1.078351359749166e-6,1.2140062523315234,0.254,0.061,0.039343649360448325
SEC62,1.086758923089131e-6,-0.8401780521937634,0.269,0.632,0.039650399308906945
ELK3,1.1974258761641882e-6,-1.289366045146131,0.03,0.339,0.043688083091850405
CXCL8,1.3279762914317813e-6,-1.2980202861513082,0.119,0.464,0.04845121499288854
EEF1A1,1.8151978198029341e-6,-0.45834195402788946,0.955,0.993,0.06622749245551005
AC026979.2,1.8385809643375046e-6,1.2526322493980293,0.328,0.104,0.06708062648385385
EIF3J,2.0399408739711572e-6,-1.4231907513174584,0.119,0.429,0.07442724278683767
FAM107B,2.1852229837396723e-6,-0.852356629604504,0.478,0.779,0.07972786056174194
EIF1,2.493350548543169e-6,0.6497775770812568,0.94,0.971,0.09096989476359753
SARAF,2.5361926531382793e-6,-0.7469309173338918,0.582,0.825,0.09253298894975012
TXNIP,3.970493324585795e-6,0.9594365904367477,0.761,0.604,0.1448634489475127
RPP38-DT,4.3404350777820605e-6,0.5581490915624752,0.075,0,0.15836077381287847
TIGIT,4.425347580631217e-6,-1.0309757523656797,0.313,0.632,0.16145880647932995
BIRC3,4.921793172084942e-6,-0.9869475998166055,0.358,0.714,0.17957162388351913
SPA17,6.104361933083332e-6,0.8295690194122683,0.104,0.007,0.2227176451285454
EDF1,7.111270241881247e-6,-1.027623407940979,0.313,0.593,0.2594546947750373
AL391839.3,7.409807507665138e-6,0.6856672790629126,0.09,0.004,0.27034682691716255
LINC-PINT,1.1393643671269716e-5,1.202611555879647,0.463,0.243,0.4156970893462756
FYN,1.209508646972551e-5,-0.8171915909443921,0.299,0.607,0.4412892298479352
LGALS3,1.2694548572613207e-5,-1.5658483607454308,0.194,0.468,0.4631606046717929
NDUFV2,1.365095139775198e-5,-1.0044014246631527,0.164,0.482,0.498054961746981
