Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MX1,1.4746773292146657e-36,-1.5523371390081495,0.127,0.446,5.380360235639708e-32
EIF2AK2,1.6245848912166332e-36,-1.437014857489638,0.089,0.406,5.927297975603886e-32
PTMA,4.223797788163506e-35,0.4600489925320712,1,0.999,1.5410526230114551e-30
ISG15,2.849254733721572e-34,-1.571196873135855,0.153,0.475,1.0395505895983155e-29
MX2,7.589132446743463e-33,-1.2940660116039846,0.127,0.442,2.7688949731943523e-28
STAT1,2.8506825147644134e-31,-1.363454535257104,0.077,0.357,1.0400715155117963e-26
HLA-DQB1,4.961711791429409e-31,0.8735842137350831,0.911,0.822,1.81028054710302e-26
SAMD9L,1.452425990506478e-30,-1.3500922621809197,0.05,0.317,5.299176226362885e-26
IFI16,1.0264421136989922e-29,-0.9477485386165245,0.427,0.716,3.7449740518307733e-25
EPSTI1,1.2972365267521177e-28,-1.2525735158998321,0.052,0.31,4.732967467855101e-24
TRIM22,2.358818311517579e-28,-1.1616185104940584,0.141,0.432,8.606148609571886e-24
LY6E,1.323929318819652e-26,-1.2407754616735436,0.121,0.395,4.8303561197135e-22
XAF1,1.483891049197831e-26,-1.2341466159153365,0.071,0.319,5.4139764929982865e-22
HERC5,3.837309015180348e-26,-1.2874006141423031,0.05,0.287,1.40004219418855e-21
CD74,4.1799475225244524e-26,0.4540970529217745,1,0.997,1.5250538535930465e-21
IFIT3,1.556002759838597e-23,-1.1768118612938756,0.093,0.332,5.677076069271121e-19
PARP14,3.2046715597714467e-23,-0.7991769515998564,0.474,0.73,1.1692244185826123e-18
IRF7,8.863282015878581e-23,-1.1015983075084326,0.067,0.291,3.2337684434933002e-18
BST2,2.1681170726356743e-22,-0.9958318452473335,0.058,0.279,7.910375139511258e-18
ISG20,2.7809133832202104e-22,-0.8442407050616025,0.625,0.787,1.0146162478678938e-17
SP110,8.258484511136562e-22,-0.9939593505103341,0.177,0.429,3.0131080738881746e-17
PSMB9,2.1436161257239513e-21,-0.9842853792219295,0.21,0.469,7.820983434703837e-17
UBE2L6,4.01174744430354e-21,-0.9756203472186784,0.071,0.288,1.4636860550541466e-16
EZR,1.5878128783605584e-19,0.5893428267203396,0.909,0.875,5.793135286698497e-15
IFIT2,3.1918371674953085e-19,-1.072342819883312,0.083,0.29,1.1645417905606633e-14
LYSMD2,1.358356166118682e-18,-0.7211116083652473,0.167,0.413,4.9559624720840115e-14
UBC,2.6211487080333112e-18,0.4200435533294433,0.964,0.965,9.563261061259537e-14
C7orf50,5.410887984396538e-18,0.9759804661761242,0.452,0.268,1.9741624811070768e-13
H3F3A,2.157914149523299e-17,0.4040262452195096,0.956,0.952,7.873149774535757e-13
PLSCR1,7.12063383938537e-17,-0.9344283490242391,0.085,0.274,2.5979632562997524e-12
RNF213,9.527996982145985e-17,-0.8675125181130107,0.099,0.292,3.4762896989359624e-12
NMI,2.5015826885112193e-16,-0.7470944115767668,0.099,0.295,9.127024439033184e-12
DRAP1,4.004458700567207e-16,-0.8010757795119645,0.19,0.41,1.4610267569019454e-11
DTX3L,8.815331125120456e-16,-0.7374219980616669,0.103,0.297,3.216273561000198e-11
HLA-DPA1,1.2888397479318963e-15,0.5451506935863346,0.905,0.864,4.7023318203295234e-11
HLA-DRB5,1.3276522585537692e-15,-1.0227765466010168,0.099,0.279,4.8439392653334274e-11
HLA-DPB1,1.5790162839127387e-15,0.45865774989332575,0.948,0.919,5.7610409118556274e-11
IFIT1,1.6740479264254013e-15,-0.9336101875397693,0.046,0.204,6.107763859563077e-11
SP100,2.937507692479117e-15,-0.6318548253958296,0.435,0.668,1.0717496816010059e-10
TGFB1,3.849932959658735e-15,0.8691560852539033,0.53,0.397,1.4046480403314893e-10
IFI44L,4.138074145790118e-15,-0.8516329264130359,0.034,0.18,1.5097763520915245e-10
CRIP1,1.0975583080969189e-14,0.6042325368747647,0.825,0.715,4.0044414870916087e-10
IFIH1,8.848661262113656e-14,-0.7114367519525666,0.077,0.24,3.228434061482167e-9
OAS2,1.4777596025203725e-13,-0.6602231378060509,0.056,0.209,5.391605909795579e-9
GBP2,1.6464226955297696e-13,-1.0430115169348428,0.151,0.324,6.006973204640364e-9
HLA-A,4.524121543208232e-13,-0.36091274241653437,0.946,0.976,1.6506257450395233e-8
AC009950.1,4.777789255169707e-13,-0.6512754448526844,0.024,0.147,1.7431764097486677e-8
OAS1,6.958773467388731e-13,-0.6552665847133319,0.034,0.164,2.5389084995767784e-8
OAS3,2.441860477453397e-12,-0.6791336893916393,0.034,0.159,8.909127951988718e-8
PSME2,2.5210889280703635e-12,-0.6371583660357953,0.27,0.474,9.198192954064721e-8
IRF1,2.6034692125179124e-12,-0.5949819209698379,0.357,0.58,9.498757421871604e-8
IFI6,2.9412851610415064e-12,-0.8561363630395,0.042,0.17,1.0731278910059936e-7
GBP1,3.709815612829088e-12,-0.8885402314914663,0.022,0.135,1.3535262263406926e-7
RESF1,4.507965315820359e-12,-0.5912469810746723,0.3,0.504,1.644731145477058e-7
SAMD9,6.1051139678989524e-12,-0.7202110085492779,0.206,0.389,2.2274508311879328e-7
EMP3,6.7438897793033834e-12,0.3927480264679426,0.921,0.919,2.4605081859788394e-7
STAT2,8.675535689051634e-12,-0.5992138803397609,0.034,0.155,3.1652691961504887e-7
GBP4,1.783915268149908e-11,-0.9279646041204335,0.179,0.343,6.50861485584494e-7
HMGB1,2.4947462988303606e-11,0.4379805135939048,0.972,0.967,9.10208187128257e-7
NEIL1,3.90915901546808e-11,0.8800605076074282,0.278,0.149,1.426256666793529e-6
IFI35,7.446917708686133e-11,-0.5859938482264588,0.048,0.17,2.7170079260141354e-6
AC004687.1,8.572522131178306e-11,-0.5577772429748858,0.129,0.288,3.127684699560405e-6
LAP3,8.879939284514324e-11,-0.5631862881775114,0.123,0.282,3.239845847955051e-6
PKN2,9.018972434745623e-11,-0.5825485930781733,0.065,0.196,3.2905720928169407e-6
RSBN1L,9.900638729245016e-11,-0.49430581595371326,0.131,0.298,3.612248040365044e-6
H3F3B,1.1049249094816908e-10,0.3488655128468494,0.962,0.954,4.031318532243949e-6
BCL2,1.8427748250208694e-10,-0.5016322281607306,0.345,0.538,6.723363949088642e-6
BAG1,1.861498369637625e-10,-0.48359464053773293,0.173,0.349,6.7916768016228756e-6
DNAJA1,2.262082301547421e-10,-0.3958799810210172,0.272,0.478,8.253207277195765e-6
DNAJC15,2.9392493028948307e-10,-0.5147571555996027,0.135,0.292,1.072385108161179e-5
HLA-DRA,3.725149441280492e-10,0.2956333630083181,0.994,0.991,1.3591207736511875e-5
DEK,4.236148240261621e-10,-0.4805823565950864,0.319,0.514,1.5455586854594525e-5
HBB,4.3643447162684855e-10,1.5940512174008838,0.05,0.004,1.592331169730557e-5
UPF2,4.707195165844284e-10,-0.4798420265035417,0.208,0.382,1.717420156258287e-5
SMCHD1,4.922338784469329e-10,-0.5962529251902744,0.304,0.481,1.7959153055136346e-5
IFITM2,6.448114293878679e-10,-0.4974175922241031,0.19,0.353,2.352594500121636e-5
LACTB,6.908402092884844e-10,-0.557420157474729,0.121,0.266,2.5205305035890356e-5
TRIM56,9.796829698322052e-10,-0.4667264001803525,0.058,0.179,3.5743733154328005e-5
CD79A,9.929218395526494e-10,0.4099113517837134,0.952,0.93,3.6226753316078416e-5
PDCD4,1.4479634580790603e-9,-0.4748195060614244,0.298,0.495,5.2828946768014515e-5
EIF1AY,1.541802300761098e-9,0.7744944584923101,0.276,0.158,5.625265694326866e-5
RNASEH2C,1.5637685232932063e-9,-0.43511992314412107,0.069,0.192,5.7054094572352634e-5
PHF11,1.6053265176821674e-9,-0.5421965012830002,0.137,0.283,5.857033799763388e-5
TPI1,1.8061020036886509e-9,-0.49908594166988873,0.206,0.377,6.589563160458042e-5
GLS,2.266480778886497e-9,-0.5324335612039379,0.167,0.32,8.269255121767384e-5
TUT4,2.3942198941400313e-9,-0.47132527680775604,0.321,0.51,8.735311283769904e-5
CDC26,2.4765913080197344e-9,-0.40979407642280063,0.097,0.233,9.035843387310001e-5
SP140,2.6675246327437002e-9,-0.4938237771366967,0.087,0.213,9.73246362256539e-5
EIF1,2.8939145817628167e-9,0.2638626594567617,0.988,0.993,1.0558447351561636e-4
