Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TMSB10,2.1316372556712382e-32,0.635394351767606,0.956,0.935,7.777278527316513e-28
KLF2,6.2208798085516606e-30,1.223163770544648,0.503,0.296,2.2696879981500734e-25
FOS,3.6578175431866354e-28,1.4516246941777369,0.386,0.175,1.334554730631644e-23
CD74,1.5838371098479782e-25,0.2975112569203775,1,1,5.778629695280349e-21
LYSMD2,5.2359942639306844e-24,-0.7062935720346208,0.203,0.437,1.9103525071951102e-19
CD52,1.2259761248161647e-23,0.8101735781624977,0.749,0.665,4.472973891391777e-19
HLA-DPA1,8.855665450950237e-23,0.53055326246905965,0.9,0.858,3.2309895397791937e-18
JUND,3.573890378478691e-22,0.5851193016968077,0.901,0.906,1.3039339045879504e-17
FOSB,5.129865212548873e-22,1.0994081466922168,0.309,0.131,1.8716313227984562e-17
EIF1,1.6980911596385564e-21,0.33492909945403504,0.988,0.991,6.195485595941273e-17
CCR7,5.056633862838692e-21,-0.6007676624327596,0.484,0.72,1.8449128648566969e-16
HLA-A,5.129698658977144e-21,-0.3802956200042704,0.913,0.964,1.871570555727811e-16
IFI16,5.8232816038348695e-21,-0.5956996228591875,0.371,0.605,2.1246242931591522e-16
DUSP1,4.056124189454999e-20,0.8759726900966742,0.314,0.144,1.4798769105226565e-15
YPEL5,3.790791005501273e-19,0.9254069326746768,0.552,0.427,1.3830700983571394e-14
HLA-DRB1,6.096307019541697e-19,-0.508181478421748,0.884,0.918,2.224237616079788e-14
RCSD1,7.657221383263777e-19,-0.6495344707737865,0.193,0.391,2.793737221683789e-14
STAT1,2.9313008403553793e-18,-0.5810410410220757,0.059,0.198,1.0694851116036602e-13
H3F3B,4.151771692934439e-18,0.3969469960034768,0.95,0.938,1.5147739021671302e-13
CD69,6.968598243332056e-18,0.6833628037503212,0.563,0.403,2.542493069079701e-13
EPSTI1,7.010503372057077e-18,-0.5942009309813602,0.077,0.225,2.5577821552950247e-13
AC253572.2,8.282926939740577e-17,2.0409931800799455,0.238,0.109,3.0220258939643497e-12
ATP2B1-AS1,1.568827394710936e-16,0.9401130587337403,0.233,0.099,5.72386674960285e-12
PARP14,1.6176449043497704e-16,-0.5195627857193639,0.446,0.65,5.901977433520137e-12
LTB,7.740964465865318e-16,0.6420520193660839,0.697,0.634,2.8242908853709612e-11
IRF9,1.6554155187195742e-15,-0.48973166792687206,0.107,0.259,6.039783520048367e-11
PDCD4,4.152779454406589e-15,-0.4850393493296352,0.348,0.55,1.5151415839402442e-10
ANKRD12,5.066270753995885e-15,-0.4704551354425828,0.597,0.781,1.8484288845953987e-10
CYTIP,5.296896638724826e-15,-0.49266109792046775,0.406,0.605,1.9325727386387526e-10
LYZ,9.3758439783697e-15,0.7277682092987112,0.173,0.06,3.420776675508185e-10
CD200,1.4134182652462208e-14,-0.4378323335506658,0.013,0.096,5.156856540750836e-10
GBP2,2.0673843406561033e-14,-0.65099185460206,0.111,0.252,7.542851766883792e-10
AL499604.1,3.0685305629527214e-14,0.8425881838885354,0.14,0.042,1.1195533758933004e-9
MX1,6.703077704248552e-14,-0.593664489719339,0.089,0.218,2.4456179003950844e-9
RNASEK,8.804027175561846e-14,-0.4326492245710427,0.524,0.703,3.2121493150037395e-9
SESN3,1.0183617983009935e-13,-0.4738181857831214,0.29,0.47,3.7154930211011744e-9
TXNIP,1.351282201269872e-13,1.1073913050344695,0.591,0.541,4.930153111333128e-9
ARPC5,1.6561120201415887e-13,-0.41008635380320735,0.358,0.573,6.042324705486586e-9
S100A9,2.24999330382402e-13,0.6334984439292088,0.148,0.048,8.209100569001937e-9
SAMD9L,2.485107776241843e-13,-0.4961943817839891,0.067,0.183,9.066915721618364e-9
OSBPL8,2.621520928961739e-13,-0.49506774251293617,0.293,0.47,9.564619109316905e-9
NDUFV2,3.6684762838931565e-13,-0.3626613731244892,0.362,0.578,1.3384435721784181e-8
JUN,4.595203625677674e-13,0.9050180831263925,0.596,0.51,1.6765600428284992e-8
