Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FTH1,2.8436110477728693e-239,-0.6796969001845223,1,1,1.0374914907799313e-234
F3,2.73305171776876e-210,-2.0462988797596706,0.17,0.524,9.97153919227932e-206
LMNA,9.238265175611977e-177,1.1256629676346253,0.769,0.432,3.37058104932203e-172
ANXA1,1.1559030241750948e-168,0.8888125628579244,0.957,0.865,4.217312183702834e-164
RACK1,1.956431903810703e-153,0.6482395432128953,0.958,0.938,7.13804180105335e-149
SLC39A8,1.969476269098974e-142,-1.4562143823125615,0.353,0.624,7.185634167807607e-138
SLC25A37,5.3581991027912555e-138,-1.1293463425670685,0.257,0.565,1.9549389426533894e-133
HBB,7.0061606106207914e-130,1.9402822065449323,0.258,0.004,2.5561976987849955e-125
CYTOR,4.414706846078679e-129,1.0308722628604983,0.798,0.58,1.610705792791806e-124
C15orf48,5.538198738379028e-128,-0.940109776538927,0.829,0.921,2.0206118096975886e-123
PLD1,7.575852868012306e-128,-0.8242395144138488,0.096,0.353,2.76404991889429e-123
CXCL3,6.667938477857971e-124,0.8018313181268937,0.959,0.789,2.4327973536464806e-119
EEF1A1,9.570249151594564e-117,0.37722968251733757,0.996,0.996,3.4917054029592765e-112
TPT1,1.0073569361451176e-115,0.2736534809916771,0.996,0.998,3.675341781525462e-111
UBA52,2.3447812976915214e-108,0.4039945107230478,0.976,0.979,8.554934564627516e-104
MARCKS,6.44617290368133e-108,-0.7380087374526623,0.919,0.951,2.3518861839081333e-103
AC253572.2,1.024343235171982e-106,1.0620682195985647,0.634,0.365,3.737316293524976e-102
SLAMF7,3.413220612374713e-104,-1.113151523636926,0.414,0.639,1.245313540424914e-99
THBS1,3.170704652149169e-98,0.6766409226503356,0.884,0.623,1.1568315923366242e-93
GAS5,5.884238826381718e-98,0.8154801293739389,0.665,0.424,2.1468645358053695e-93
IL1A,7.654105410910778e-96,-1.1917457028749658,0.573,0.727,2.792600359170797e-91
IVNS1ABP,2.3141043907941902e-95,-1.1724685111458868,0.216,0.454,8.443009869812604e-91
MIR4435-2HG,3.66450122247202e-94,0.8685624269940602,0.476,0.202,1.3369932710189165e-89
DDX3Y,2.013388135974381e-93,0.7646208638819958,0.449,0.165,7.345846614102528e-89
CYBA,9.438653005194855e-92,-0.5722270224513846,0.842,0.911,3.4436925489453427e-87
"NACA",5.149925465891507e-91,0.42753275816292113,0.969,0.97,1.878950306230516e-86
CCL7,3.4212059681372314e-90,1.1212547584500532,0.453,0.175,1.2482269974748689e-85
VIM,9.351580381986387e-87,0.4198122881387558,0.998,0.999,3.411924102367733e-82
LGALS3,3.936428187954946e-85,-0.6034748561221175,0.891,0.953,1.436205824375362e-80
GPR183,1.7570582301213574e-83,0.8091981371229129,0.556,0.285,6.410626952597772e-79
MET,2.2539341590330713e-83,-0.5197030344260046,0.025,0.168,8.22347877923216e-79
EIF1B,2.532389880314549e-83,0.7258785945228237,0.873,0.835,9.239424478327633e-79
HIST1H1C,4.855824030638291e-83,1.0390603132736644,0.287,0.071,1.7716473975783805e-78
SNHG6,1.7525773672995709e-81,0.6956880170473281,0.708,0.49,6.3942785245924846e-77
SNHG29,2.2966085033253744e-80,0.6290149572660075,0.797,0.66,8.379176124382628e-76
HLA-DQB1,8.594475042353672e-80,0.8916943904393775,0.651,0.434,3.1356942192027373e-75
SLC11A1,7.905442337435769e-79,-0.777348596207054,0.145,0.358,2.8843006368134403e-74
S100A4,1.6377117637093998e-78,0.4970419722993884,0.922,0.884,5.975191369893745e-74
MAP3K4,2.352786024447985e-78,-0.79255669908823,0.054,0.216,8.584139810198473e-74
KCNJ2,2.673305162339047e-78,-0.7402527709086629,0.075,0.252,9.753553884794014e-74
