Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SLC25A37,2.4619741635808914e-292,-1.0781057245933474,0.295,0.619,8.982512735824882e-288
MET,1.5887273741695205e-288,-0.7750191269960798,0.021,0.202,5.796471824657495e-284
FTH1,2.2019343243322134e-283,-0.5754423114779907,0.999,1,8.03375738232608e-279
LGALS3,2.654583488786005e-219,-0.8835893917764173,0.886,0.939,9.685247858835739e-215
CFD,3.8434103063950454e-194,0.865631972616955,0.779,0.631,1.4022682502882323e-189
SDCBP,5.69772080775909e-168,-0.6587692017307409,0.775,0.865,2.078813436710904e-163
C15orf48,1.31659795805582e-158,-0.9841520341539995,0.624,0.778,4.8036076499666595e-154
UBA52,3.2438136835187674e-158,0.3077206523777667,0.987,0.988,1.1835054224318222e-153
RACK1,5.780585677208614e-158,0.4408491937548762,0.968,0.966,2.109046684329563e-153
EEF1A1,1.0397714251467354e-147,0.26508245370748273,0.998,0.998,3.793606044647864e-143
IFI30,1.262270792042089e-146,-0.5693724868895265,0.882,0.955,4.605394984765562e-142
TPT1,4.4802715687410013e-144,0.23624641230326482,0.998,0.999,1.6346270818551543e-139
SLC43A2,3.0232914669820483e-139,-0.6683850858491589,0.36,0.587,1.1030478917284004e-134
EEF1B2,5.744097652826153e-139,0.5052473734852487,0.915,0.881,2.0957340286336218e-134
HBB,4.1272514968266536e-137,1.1910382792181644,0.219,0.032,1.5058277086172047e-132
BASP1,1.618383470547578e-135,-0.8695486328680699,0.484,0.684,5.904672092292839e-131
SNHG6,3.985005725973054e-135,0.6059804345088073,0.77,0.653,1.4539293391212688e-130
SLC39A8,1.6118385331890537e-132,-0.824898482644836,0.22,0.424,5.880792888340263e-128
IL1B,4.863418818742251e-132,0.6605869753956553,0.98,0.912,1.7744183560181102e-127
AC253572.2,2.943101152053425e-130,0.7191761862906239,0.624,0.406,1.0737904553266922e-125
SGK3,3.586187759962803e-129,-0.6885306037646115,0.218,0.414,1.3084206042224286e-124
S100A11,2.4776712698709317e-124,-0.3690574373378537,0.974,0.987,9.039783628124094e-120
GAS5,5.735755771616365e-124,0.6675626742212852,0.682,0.535,2.092690493274231e-119
ANPEP,1.6323057390990518e-122,-0.6225210241024193,0.35,0.564,5.95546748910289e-118
DDX3Y,4.062648465165836e-120,0.7209744840012149,0.374,0.164,1.4822572925157552e-115
SQSTM1,1.9642578078174487e-119,-0.6224781792002911,0.698,0.81,7.166594611821961e-115
CXCL3,5.368700684271224e-119,1.1773143838461424,0.715,0.574,1.958770444656356e-114
DOCK4,2.977991671361916e-118,-0.5827147906240295,0.107,0.267,1.086520261296395e-113
PRKAG2,1.1481735313339695e-117,-0.6959916092070686,0.315,0.508,4.189111129071988e-113
S100A6,6.834516875372468e-111,-0.3300472165405104,0.986,0.99,2.493573481979645e-106
EEF1G,1.4294359829359362e-107,0.43363509109751064,0.89,0.846,5.215297183741763e-103
ALCAM,1.2113480688230771e-106,-0.6412471987874562,0.268,0.455,4.419603429100997e-102
SH3BP5,9.255361381229634e-105,-0.5902428882425248,0.236,0.425,3.376818599941632e-100
SNHG29,9.93270411156638e-104,0.5492913547003369,0.803,0.733,3.6239470951049937e-99
LYZ,6.910240065400296e-103,0.36615277109271815,0.982,0.974,2.521201087861298e-98
AQP9,6.969046247043547e-102,-0.502162304927062,0.583,0.771,2.542656523233838e-97
TNNT1,4.9314823806931704e-101,0.5869846862653717,0.198,0.043,1.7992513465959033e-96
TM4SF19,2.16666024234013e-99,-0.22383026632913536,0.006,0.068,7.905059894177964e-95
JAKMIP2,1.223543634852006e-98,-0.6193276089998552,0.032,0.128,4.464098951757544e-94
CD81,6.560881602087934e-98,-0.46379548464128884,0.118,0.268,2.3937376525217827e-93
DAB2,5.816507010242122e-97,-0.4448144921902544,0.063,0.185,2.1221525826868383e-92
CD226,3.642053070147302e-95,-0.41138316975251715,0.041,0.146,1.3288030626432432e-90
PFDN5,1.0330740586195223e-94,0.3015826450432648,0.956,0.97,3.769170702873327e-90
ADAM8,7.615353550837076e-94,-0.47509628061226505,0.123,0.273,2.778461743022907e-89
IRAK3,3.160973023968663e-92,-0.5747362419463717,0.335,0.509,1.1532810077949667e-87
NRG1,5.6647133258817456e-92,0.5724297372979901,0.261,0.097,2.0667706569479548e-87
PLA2G7,1.0574906694615922e-91,-0.6245872972397725,0.127,0.27,3.858254707530619e-87
LMNA,3.614377833495446e-91,0.6253365283927859,0.743,0.674,1.3187057525508136e-86
ANXA2,9.387490966145651e-91,-0.39230094658434744,0.86,0.91,3.425026078998241e-86
FCER1G,1.2344112660098241e-89,-0.3915718876614167,0.9,0.958,4.5037495040368434e-85
CST3,1.2885218021086842e-89,0.5218768966002028,0.914,0.91,4.7011717949935344e-85
DMXL2,4.928993918778734e-89,-0.5846516768926044,0.435,0.596,1.798343431266421e-84
TOMM7,8.940071097611319e-88,0.38286663875117277,0.875,0.842,3.2617849399634898e-83
FNDC3B,9.938563028879503e-88,-0.5186871013583771,0.398,0.569,3.6260847210866866e-83
HSP90AB1,1.0239489573889374e-87,0.5869386920829851,0.69,0.552,3.735877771033538e-83
"NACA",2.0227030158489127e-87,0.2831636002291935,0.978,0.984,7.379831953324757e-83
NPM1,3.1502495701620133e-87,0.49346960520627814,0.771,0.659,1.1493685556736105e-82
ADSS,7.799791880003444e-87,-0.6040343819192817,0.288,0.451,2.8457540674192564e-82
ARL4C,9.589451703108901e-84,-0.7161669796947736,0.348,0.514,3.4987114538792825e-79
ZFYVE16,8.833346996660858e-83,-0.5848170780410977,0.444,0.594,3.222846651731714e-78
SLC11A1,2.9399554113761315e-81,-0.5264590367324655,0.336,0.516,1.0726427318405815e-76
CYB561A3,6.820255768449023e-81,-0.46019162505576844,0.107,0.236,2.4883703171186263e-76
BTF3,3.218608829911174e-80,0.3587574225022645,0.902,0.888,1.1743094315930917e-75
RBM47,4.875557741171858e-80,-0.5882763566686202,0.281,0.433,1.7788472418665525e-75
CPVL,6.129203890735666e-80,0.6016864611968133,0.562,0.41,2.236240039534908e-75
UBC,3.5689243369471715e-78,0.3043224059515035,0.971,0.965,1.3021220443351755e-73
HBA2,4.170320754043013e-78,0.755666901485418,0.164,0.039,1.5215415271125934e-73
PIM1,3.106231914943274e-77,-0.43511366560740117,0.206,0.366,1.1333087141670535e-72
CCRL2,1.0103952077353869e-76,-0.43700440874400737,0.155,0.299,3.686426915422559e-72
ACTR3,4.770480754167802e-76,-0.438591741577985,0.606,0.724,1.7405099031581225e-71
RNASEK,3.556697710890339e-75,-0.3016616760183015,0.887,0.946,1.2976611598183402e-70
C12orf57,1.595951020660025e-73,0.7447668935038589,0.451,0.29,5.822827298878102e-69
IVNS1ABP,2.0751802181781493e-73,-0.5904276880921094,0.224,0.375,7.571295026022977e-69
HLA-DQB1,9.387520522530302e-73,0.5862188100400041,0.685,0.562,3.425036862645181e-68
HLA-DPA1,1.2702255209163946e-72,0.6507560080689401,0.724,0.624,4.634417813063466e-68
RDX,1.4963460506193368e-72,-0.6464985771700797,0.266,0.414,5.45941856568465e-68
HLA-DPB1,4.1034408308348507e-72,0.6384987663486643,0.7,0.597,1.497140387130095e-67
CRIP1,9.701130574037283e-72,0.4693873431990978,0.836,0.738,3.539457489937503e-67
CTSB,4.021292870029984e-71,-0.6182902555787064,0.428,0.561,1.4671687036304397e-66
DUSP6,5.216174511259508e-71,0.3708039716580056,0.745,0.594,1.9031212704330314e-66
TMSB10,6.761056060243328e-70,0.38214590428219175,0.983,0.986,2.466771303579778e-65
ATP6V1F,3.726891498838651e-69,-0.36995521790386343,0.808,0.881,1.3597563633512817e-64
PPIA,3.9494550784544653e-69,0.35584225039356765,0.844,0.801,1.4409586853741116e-64
SLAMF7,2.323260751653568e-68,-0.6491314927658463,0.204,0.343,8.476416852408043e-64
TKT,1.1311457131328443e-67,0.43655863792746397,0.789,0.753,4.1269851343651823e-63
AIF1,1.4090756211876344e-67,0.5585369159765086,0.759,0.665,5.141012403903084e-63
HLA-DMA,1.7318884068216848e-67,0.510165935287642,0.481,0.325,6.318794852288917e-63
SLC6A6,2.0426899051715512e-66,-0.4453071722266826,0.405,0.556,7.452754119018405e-62
ZEB2,1.873816935408967e-65,-0.32186528020310945,0.916,0.948,6.836621088839615e-61
LIMS1,3.081881223111463e-65,-0.41532823075365544,0.634,0.758,1.1244243642522172e-60
PFN1,3.80332025444372e-65,-0.30864556957592315,0.839,0.913,1.387641394833791e-60
FABP5,4.27612562325397e-65,0.6877812423036609,0.345,0.192,1.560144433644211e-60
UQCRB,1.1315902403768035e-64,0.32660543926064456,0.874,0.866,4.1286069920147676e-60
CDC42EP3,1.6250375382350688e-64,-0.5286133165921925,0.545,0.664,5.928949458250649e-60
SOD2,3.351385621673232e-64,-0.2706755724254615,0.986,0.991,1.2227530440674788e-59
ARHGDIB,3.3727498347390875e-64,0.4734693534802463,0.61,0.463,1.230547777204556e-59
CAVIN3,7.895729589545207e-64,0.441167016992854,0.133,0.03,2.880756940745569e-59
CAMKK2,8.899777693120968e-64,-0.34919102946143316,0.094,0.204,3.247083891335185e-59
VRK2,9.980783440401558e-64,-0.42541394294234747,0.167,0.298,3.6414888382305084e-59
PTMA,1.4997465236041904e-63,0.24256826998486591,0.989,0.982,5.471825191369889e-59
HLA-DQA1,1.6451718787923325e-63,0.6367556020257834,0.453,0.311,6.002409599773825e-59
TYMP,2.3764037845197834e-63,-0.3750544831345697,0.67,0.777,8.67030920782043e-59
KYNU,2.91117787969381e-63,-0.44707122529421195,0.517,0.657,1.0621432494062867e-58
RAC1,3.0707539034802465e-63,-0.352398769265978,0.809,0.888,1.120364561684768e-58
BRI3,1.173039468372592e-62,-0.3368275255773443,0.795,0.879,4.279834500357402e-58
