Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CCL5,7.327336006579334e-12,0.5000840135593769,1,0.975,2.67337854200047e-7
TRAV6,9.076055091246676e-8,0.45762962699795856,0.063,0.002,0.0033113987000413497
S100A4,1.9113945498886338e-6,0.6062580066553398,0.658,0.494,0.0697372301526868
TRBV28,2.401388464707441e-6,1.0278103036435204,0.076,0.01,0.08761465813485099
LGALS1,3.5344770069037787e-6,0.6426907158892705,0.703,0.559,0.12895539359688438
GNLY,4.379389075406996e-6,0.3560372290091376,1,0.92,0.15978201041622425
FTH1,4.9309110043914616e-6,-0.39579167735131726,1,1,0.17990428799522248
GZMB,6.922859168368016e-6,0.5427377726631679,0.741,0.556,0.25258051675790705
IL1B,7.932357505160678e-6,0.7551704230031244,0.449,0.274,0.28941206357578736
IFIT3,1.1147322626419814e-5,0.5988750427050051,0.462,0.295,0.40671006602492693
HBB,1.1309741561394877e-5,0.440296157567313,0.07,0.01,0.4126359208674921
VIM,1.5186718801927613e-5,0.35792386179438385,1,0.996,0.554087435488329
HBA2,1.5692356837825427e-5,0.42883997936588586,0.044,0.002,0.5725356392280607
TSPAN2,2.5555494072952115e-5,0.5317589210458978,0.285,0.142,0.9323922012516579
CXCL8,2.6677512713450135e-5,0.5835502962220978,0.715,0.596,0.9733290513502282
CD52,7.958909580522642e-5,0.4547837520731499,0.684,0.548,1
CXCL3,8.921922644684965e-5,0.6789606298414862,0.253,0.132,1
AHNAK,1.2668139169731108e-4,0.6084185456990947,0.481,0.331,1
LASP1,1.274193928259803e-4,0.5272599487866949,0.158,0.063,1
TRGC1,1.5401796839651218e-4,-0.7118640558974996,0.032,0.144,1
FTL,2.1673413746871905e-4,-0.3297369643289656,0.949,0.956,1
TIGIT,2.3479397473394608e-4,-0.5278535252122483,0.006,0.094,1
CCL3,3.077858260173885e-4,0.39468843364552675,0.43,0.276,1
IPCEF1,3.330579599548917e-4,0.3782513507797539,0.12,0.042,1
