Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
B2M,2.2739585979368306e-22,0.38235424133998475,1,1,8.296537944572527e-18
GNLY,4.19166006135236e-22,0.8075020613938451,0.997,0.888,1.5293271733844087e-17
FOS,1.1204177023120542e-19,3.063298595442032,0.389,0.056,4.08784398688553e-15
FTH1,2.7913290933522156e-19,-0.7516015120792918,0.99,1,1.0184164197095558e-14
S100A4,5.829882307285256e-14,1.571478073641913,0.77,0.617,2.127032559813026e-9
FOSB,1.2966863748333483e-13,1.86785309434986,0.279,0.033,4.730960238579471e-9
IL32,2.8035657695433296e-13,1.1294422714416523,0.744,0.533,1.0228809710178839e-8
JUNB,3.087000090626971e-13,1.5796560911577922,0.501,0.243,1.1262919830652503e-8
ID2,2.180968295680044e-12,1.5465394981915848,0.419,0.159,7.95726282678864e-8
TNFAIP3,4.4685413497685734e-12,1.0806395875205301,0.716,0.514,1.630347311463064e-7
CD52,5.314376055306773e-12,1.0778524869980446,0.818,0.687,1.938950103778676e-7
PDCD4,1.9547037107152326e-11,-0.794753532470132,0.45,0.682,7.131736488544526e-7
CYSTM1,2.17714099212503e-11,-0.9593042085834035,0.092,0.304,7.943298909768172e-7
NFKBIA,2.224038517006593e-11,1.1893099094560053,0.652,0.467,8.114404529298555e-7
PPP1R14B,2.9650426052287184e-10,-0.999871788545468,0.228,0.463,1.0817957945176979e-5
GZMA,4.998079807337951e-10,1.355472870923751,0.552,0.336,1.8235494177072514e-5
DUSP1,9.267679685159358e-10,1.5562954395684354,0.294,0.089,3.3813129331303916e-5
SRSF7,1.8576252276661953e-9,1.0027294121714487,0.606,0.411,6.777545643140113e-5
PPP1R15A,5.157534525168516e-9,1.2367227190290302,0.361,0.154,1.8817264715077333e-4
JUN,7.715564333136686e-9,1.4121149934769979,0.573,0.393,2.81502364694492e-4
KLF2,8.186675535950656e-9,1.6145705526196525,0.425,0.238,2.986908569291597e-4
IER2,1.6381419919309224e-8,0.9594313296313373,0.645,0.491,5.976761057559971e-4
YPEL5,2.074338048330861e-8,0.9423916374578571,0.537,0.341,7.568222369335147e-4
GIMAP7,2.1062354716046757e-8,-0.6186120364391972,0.527,0.748,7.684600118149659e-4
MYBL1,2.1305964987796338e-8,0.9167781100525656,0.174,0.019,7.773481325797493e-4
KLF6,2.7908674674594487e-8,1.019542485345553,0.627,0.472,0.0010182479955025798
PTMA,5.8859153408695445e-8,-0.3175880993023519,0.997,1,0.0021474762121162535
CLEC2B,7.954021500019782e-8,-0.7642687525117045,0.555,0.748,0.0029020247442822175
PMEPA1,1.0751253313165414e-7,-0.6582513054685584,0.212,0.425,0.003922594771308401
CCL3L1,1.4065940371226132e-7,-0.9627960684826143,0.082,0.234,0.005131958344441854
HMGB1,1.6534441371153906e-7,-0.3729342968791265,0.936,0.967,0.006032590934265503
JUND,3.310202161041948e-7,0.5903888662285022,0.811,0.687,0.012077272584561547
LTB,3.519310669193616e-7,-0.7669047306027235,0.128,0.299,0.012840204976552909
EVI2B,4.0017308679825956e-7,-0.5836305189574174,0.476,0.664,0.0146003150718345
HCST,4.81173624456161e-7,0.8026577636878076,0.678,0.514,0.017555619688283033
AC020916.1,7.695423265948069e-7,0.9184449769808636,0.258,0.098,0.028076751785811527
CD69,7.986933066061756e-7,0.5675024374725777,0.376,0.201,0.029140325291526315
PFN1,8.674810347476763e-7,0.5429320397086532,0.893,0.776,0.03165004555276897
IFITM2,9.409349466836299e-7,0.7390079561392309,0.606,0.449,0.034330011529752236
S100A11,9.718297187568055e-7,-0.4983792295483913,0.673,0.813,0.035457207288842045
GZMH,1.146314957549803e-6,0.5817786527272388,0.862,0.757,0.04182330122620456
NR4A2,1.1888978407173166e-6,1.1476805630651787,0.194,0.056,0.0433769377185713
GPATCH11,1.3141724317289575e-6,-0.6512768630935455,0.077,0.215,0.04794758117163102
CMSS1,1.4023342249191514e-6,-0.6589003544718062,0.069,0.201,0.05116416419617524
LY6E,1.4534794009581871e-6,0.7624520287425394,0.422,0.252,0.053030195943959454
GEMIN6,1.4557496839026682e-6,-0.4494853483243757,0.005,0.075,0.05311302721718885
LINC-PINT,1.7038706428663774e-6,0.8638022353861721,0.422,0.266,0.06216572040497978
KLHL6,1.8484676271493859e-6,-0.5287227262520267,0.02,0.112,0.06744134137654534
MYADM,2.7392810977890227e-6,0.8439354762007159,0.217,0.07,0.0999426708528325
TMSB10,3.0091163054575645e-6,0.46254060308632194,0.972,0.972,0.10978760840461924
BHLHE40,3.0562282605414396e-6,0.842607605385044,0.381,0.22,0.11150648808585442
CALM1,4.381502658330498e-6,0.5000618066534779,0.944,0.883,0.15985912448918824
SERTAD1,4.780925429550567e-6,0.7283178526549482,0.215,0.07,0.17443206429715244
ACTB,6.761841722081738e-6,0.9449951223864597,0.767,0.748,0.24670579523015224
ZNF22,6.9198514909943155e-6,-0.5522836186731365,0.087,0.22,0.2524707816489276
TSPO,7.213461941828052e-6,0.7103986833484399,0.373,0.21,0.2631831589475965
SARAF,8.492419231488896e-6,-0.42084337990301757,0.744,0.841,0.3098459156608724
FUS,9.690167831543795e-6,0.6175632835695206,0.519,0.369,0.3535457733338754
ZFP36,1.050069567471713e-5,1.0257158061603833,0.389,0.238,0.3831178816920545
MYL12A,1.1318051749055947e-5,0.534748440360739,0.808,0.692,0.4129391180643062
BCLAF1,1.1321648062966969e-5,0.6954478270694009,0.412,0.262,0.41307032957734985
GAPDH,1.274669725687256e-5,-0.38677787276072984,0.916,0.981,0.46506324941699534
KLRC2,1.4668433437327868e-5,-0.3854561010953399,0.003,0.056,0.5351777939609073
IFITM1,1.780461193616239e-5,0.7715046042649119,0.32,0.182,0.6496012664908849
FAM241A,2.0139876592374116e-5,-0.490025636879431,0.02,0.098,0.7348033974727696
PMAIP1,2.2255712533534277e-5,1.003929583552716,0.325,0.182,0.8119996717859981
CES1,2.4132869597655557e-5,0.6514151044594835,0.079,0,0.880487747270463
FCGR3A,2.6735665778047226e-5,-0.592638844475565,0.038,0.131,0.975450765912053
IL1B,3.037048715459869e-5,0.5373652994121272,0.299,0.15,1
PPIA,3.202999201508256e-5,0.3481799399726584,0.862,0.785,1
NIPA2,3.275054265194309e-5,-0.4536896205056654,0.036,0.126,1
TUBA1B,3.3053210135323974e-5,0.5375954913446401,0.394,0.234,1
FAM102A,3.799506382977599e-5,-0.556277885834422,0.179,0.332,1
ZNHIT1,3.933907471621511e-5,-0.5619573943667817,0.197,0.35,1
SMAD7,4.1428316518027734e-5,0.7646977362168121,0.46,0.327,1
LYZ,4.729873193453019e-5,0.6823716199912755,0.146,0.037,1
PRR5L,4.833358667617997e-5,-0.5069435748244796,0.153,0.299,1
RNF213,4.992816949861274e-5,0.5110074238569069,0.463,0.304,1
PLGRKT,5.658404027221504e-5,0.5510942591828205,0.128,0.028,1
TOB1,6.15021710244698e-5,0.7951234360693106,0.286,0.15,1
LBR,6.470172217875647e-5,-0.46911288724805633,0.223,0.383,1
TIGIT,6.65971340824829e-5,-0.6159253853599793,0.046,0.136,1
RGS1,7.72879994401232e-5,0.9490865822681616,0.205,0.089,1
RAB27A,8.012505122256248e-5,-0.6547097148612646,0.187,0.318,1
WDR41,8.191018127596344e-5,-0.3554011452585548,0.013,0.075,1
MRPL39,8.470608100667973e-5,-0.3923383862125257,0.015,0.079,1
VPS35,9.73106689213744e-5,-0.5600205843288474,0.084,0.196,1
GABPB1-AS1,9.756257777202734e-5,-0.4834434706303222,0.082,0.192,1
GLCCI1,1.0418214421068868e-4,-0.49009689478716834,0.092,0.206,1
TENT5C,1.0607194025876323e-4,0.5230409606602687,0.217,0.093,1
TRA2B,1.1137519664144527e-4,0.6599014678149022,0.478,0.35,1
LGALS1,1.1603977147858356e-4,0.5689950389327456,0.68,0.607,1
SRSF2,1.1611623566522906e-4,0.5181621569665311,0.606,0.5,1
CCL5,1.2062560418647138e-4,0.32665634470059235,0.99,0.972,1
NDUFC1,1.3151842637382463e-4,-0.45768265421371845,0.223,0.379,1
KDELR2,1.6790042279589325e-4,-0.4479952042819708,0.182,0.322,1
MFHAS1,1.6990555566436796e-4,-0.4558770048604571,0.046,0.131,1
S100A6,1.721182752613843e-4,0.400845121632758,0.872,0.79,1
GTF2H2,1.757107674382225e-4,-0.29590135375136134,0.005,0.051,1
STAT1,1.8888746261563145e-4,0.6833455111814116,0.271,0.145,1
IFI35,2.0332598367402846e-4,0.5761483344430389,0.197,0.084,1
S100A9,2.130348228703965e-4,0.560737423783719,0.107,0.023,1
ZC3H6,2.1539229967183182e-4,-0.42989293603280365,0.043,0.126,1
LCP1,2.2232549562921242e-4,0.5365366539291729,0.678,0.561,1
NCF1,2.2352117471065704e-4,-0.4757519339237135,0.036,0.112,1
ID1,2.2395993071807274e-4,0.6908162285949848,0.072,0.005,1
GSPT1,2.3102009410131465e-4,-0.5315710762333683,0.217,0.35,1
ITGB2,2.3282622250081584e-4,0.6946733392207596,0.307,0.178,1
XPC,2.357561074252705e-4,-0.4880722083070631,0.153,0.285,1
TLE5,2.4884247982811603e-4,0.5216899506581827,0.56,0.407,1
ZFP36L2,0.00025739791145260607,0.6554483535697284,0.65,0.575,1
HSP90AA1,2.624392328232481e-4,0.3455950252366513,0.834,0.818,1
PCMTD2,2.8548974589598456e-4,-0.362511498235777,0.026,0.093,1
MED1,3.0156356784684276e-4,-0.32871456452272513,0.061,0.154,1
ISCU,3.3312843350022164e-4,-0.3708719781206131,0.437,0.598,1
CST3,3.3402784415628023e-4,0.49207437740655685,0.095,0.019,1
HNRNPF,3.4604485152148326e-4,-0.4414402041336001,0.299,0.458,1
ZC3HAV1,3.460923356208107e-4,0.5729726301146845,0.304,0.182,1
RDH14,3.465189610349986e-4,-0.3972438715181653,0.049,0.131,1
GOSR1,3.5448685781807953e-4,-0.38753728373199464,0.072,0.168,1
IFRD1,3.580545204162574e-4,0.6059926137709144,0.174,0.07,1
FDX1,3.59976254651334e-4,-0.5498375545940617,0.192,0.327,1
GIMAP4,3.668744441842279e-4,-0.5597857247024873,0.289,0.425,1
IFNG,3.721265916470515e-4,0.43152205775392893,0.169,0.07,1
CCNL1,3.725157994819563e-4,0.6586168136087709,0.379,0.266,1
NSF,3.9753940713659227e-4,-0.47924993086077783,0.038,0.112,1
PCMT1,4.0332503871028536e-4,-0.45841080646200894,0.161,0.29,1
ITGB1,4.0382096921859974e-4,0.42299231778384616,0.76,0.659,1
RFC2,4.0498512674469315e-4,-0.3506436885713448,0.015,0.07,1
TERF2,4.113152776710969e-4,-0.37776453942552213,0.049,0.131,1
TIAM1,4.3840341947235407e-4,-0.32906724572070245,0.005,0.047,1
EIF1,4.5234608329639605e-4,0.34352217559210363,0.982,0.967,1
YIPF5,4.5793701985281677e-4,-0.400180210109254,0.217,0.36,1
ATAD5,4.593982926832484e-4,-0.49116934642935395,0.023,0.084,1
SEPTIN7,5.047486194799132e-4,-0.3123181171855336,0.849,0.916,1
IER5,5.099185994344453e-4,0.6157553593386266,0.253,0.136,1
SHLD1,5.213414124864491e-4,-0.339570141557167,0.026,0.089,1
CHORDC1,5.29152546027664e-4,-0.49448315640765494,0.079,0.173,1
CD7,5.324956266317681e-4,-0.47234213558133,0.184,0.313,1
DIP2A,5.401591464498651e-4,0.7156989227275288,0.182,0.084,1
VEGFB,5.787933319351918e-4,-0.3646808873697742,0.059,0.145,1
BTG2,5.968608568849246e-4,0.716739697574535,0.355,0.243,1
TXK,6.152223519248732e-4,-0.3554914172795715,0.008,0.051,1
MRPL21,6.283013373743662e-4,-0.3433181785912349,0.118,0.234,1
EVI2A,6.319977020101726e-4,-0.5113776400053474,0.235,0.36,1
CD320,6.342819632336044e-4,0.683684953896702,0.169,0.075,1
"NAA38",6.827324776532087e-4,0.6072668852140809,0.187,0.089,1
TRGC1,6.885680103797456e-4,-0.4192878155315325,0.054,0.136,1
LSM10,7.001416156002069e-4,-0.41869899794835697,0.136,0.248,1
CD247,7.215116072525765e-4,-0.3211370169951082,0.46,0.598,1
FOXJ3,7.223474452707317e-4,-0.4556373519301704,0.092,0.187,1
CTR9,7.25736049924512e-4,-0.3294691294198747,0.11,0.22,1
LAIR2,7.405545149091412e-4,0.5727849968201562,0.113,0.033,1
RAN,7.580505036713233e-4,-0.4219138832458946,0.463,0.603,1
EIF2AK2,7.841208009674216e-4,0.5785993384173903,0.297,0.178,1
TPM3,8.120940423300418e-4,0.3565196770021646,0.78,0.682,1
IKBIP,8.15461244920866e-4,-0.4231803703530836,0.054,0.131,1
SPON2,8.229504259590339e-4,0.5192840802413512,0.153,0.061,1
ZBTB1,8.42639537299126e-4,0.6653756640456605,0.343,0.243,1
GNAS,8.641134412190215e-4,-0.36712784212759786,0.708,0.776,1
