Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
UBC	2.513265336637703e-150	0.5919939517274129	0.928	0.936	9.169648580722658e-146	TRUE	Other	145.03764730799165
GIMAP1	5.55141517537401e-127	-0.7231642544722008	0.165	0.395	2.0254338267352075e-122	TRUE	Other	121.69348194115145
PKIA	8.114154545463292e-115	-0.7601280912624752	0.088	0.272	2.960449285912282e-110	TRUE	Other	109.5286423742162
LYZ	1.3672034120852083e-114	1.044552519086555	0.211	0.07	4.9882416489928835e-110	TRUE	Other	109.30205251584263
GIMAP7	7.63253629033474e-111	-0.5452615236366198	0.545	0.755	2.7847308655286295e-106	TRUE	Other	105.5552167715006
CXCL3	6.541350905209478e-110	1.0812919654715798	0.189	0.061	2.3866118777656776e-105	TRUE	Other	104.6222182022961
UBB	1.8505765831751102e-96	0.5615816772165285	0.781	0.739	6.75182866371439e-92	TRUE	Other	91.17057858702036
IFI16	5.20725938548813e-88	-0.5446998314363098	0.306	0.52	1.8998685867953447e-83	TRUE	Other	82.72127643799634
SESN3	6.119319286146046e-88	-0.690583238042676	0.23	0.42	2.2326336415503848e-83	TRUE	Other	82.65118253555217
H3F3B	8.23875988833198e-84	0.3667351105616676	0.945	0.96	3.005911545257923e-79	TRUE	Other	78.52202380351345
S100A9	1.6367602835206178e-77	0.8415683079331048	0.177	0.067	5.971719894424974e-73	TRUE	Other	72.22390057120128
RALA	5.763265335576679e-76	-0.5250658230309984	0.255	0.452	2.1027273576851515e-71	TRUE	Other	70.67721703484052
CRIP1	2.661349857256528e-73	0.6890624599359194	0.831	0.832	9.709934954200443e-69	TRUE	Other	68.01278367937381
GIMAP4	8.941516363288074e-73	-0.45671278054260367	0.32	0.521	3.262312245145654e-68	TRUE	Other	67.48647447375131
DEK	1.2888795099813394e-72	-0.43648587515071746	0.395	0.598	4.702476892166917e-68	TRUE	Other	67.32767332988264
RNF213	1.0287847630077109e-69	-0.4897636521542388	0.297	0.488	3.753521207833634e-65	TRUE	Other	64.42556112597607
IKZF3	6.889682116169384e-69	-0.5087941303564061	0.175	0.34	2.5137005200843997e-64	TRUE	Other	63.599686465004176
GIMAP5	1.1229100587801307e-68	-0.464544974607763	0.272	0.461	4.096937349459308e-64	TRUE	Other	63.38754067724582
PRKCQ-AS1	3.2851169187419167e-67	-0.47163594470354786	0.239	0.42	1.1985749078029885e-62	TRUE	Other	61.921334818510694
LYSMD2	9.646905693553532e-67	-0.445437915629284	0.228	0.412	3.5196735422930064e-62	TRUE	Other	61.45349761645246
LINC00623	1.202666760715819e-66	-0.4270323736265514	0.186	0.359	4.387929676471666e-62	TRUE	Other	61.35774034129902
DNPH1	4.839935412805001e-65	-0.4600886128121716	0.078	0.205	1.7658504353619047e-60	TRUE	Other	59.75304608323168
MFHAS1	6.495487370743083e-65	-0.4640415255701852	0.125	0.272	2.3698785672156141e-60	TRUE	Other	59.6252739067069
EZR	2.1549967345435633e-64	0.653103664302789	0.669	0.643	7.862505585982191e-60	TRUE	Other	59.10443903299846
