Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ZFP36L2,9.397591490523934e-7,-2.7084067586290015,0.182,0.857,0.03428711255317657
H3F3A,4.169670490666872e-6,1.143166517336517,1,0.929,0.15213042785198083
TXNIP,2.0594993396516156e-5,-2.0940465755763866,0.182,0.786,0.751408334071892
TECR,2.5210565800798534e-5,1.8458670483408723,0.636,0.071,0.9198074932421345
SRM,3.4413848567950753e-5,-1.8627120723302042,0,0.571,1
CLEC2B,3.510867785068555e-5,1.8066975331971604,0.818,0.357,1
FAM177A1,6.932351990537049e-5,1.5809057810857952,0.773,0.321,1
CRIP1,7.116363321918399e-5,2.3826817692791766,0.818,0.607,1
AC245297.3,7.541193397695455e-5,-1.78886566980831,0.045,0.607,1
ZFP36L1,8.078615190116928e-5,-1.7182770439550719,0.136,0.75,1
GZMA,9.525626422134772e-5,3.826561429388704,0.455,0,1
ACTG1,9.994499738275607e-5,1.9664212926345863,0.955,0.714,1
GPR183,1.9218690250949447e-4,1.970744733461646,0.591,0.107,1
EID1,2.2193943442481293e-4,1.7109447744361237,0.591,0.143,1
HCST,2.5477970907622407e-4,1.9411915479542063,0.727,0.357,1
PRKDC,2.783428681410589e-4,-1.6291710993121602,0.045,0.536,1
TRIM44,3.052443214953428e-4,-1.7207262162226944,0,0.464,1
KLF2,3.1061926018180784e-4,-1.6737849108877005,0.273,0.786,1
EPB41,3.3397485337872767e-4,-1.6570890396391174,0.182,0.679,1
SYNE2,3.3598624172141375e-4,-1.5548834679256676,0.273,0.786,1
GTF3A,3.6205998094416766e-4,-1.4320214115506809,0.5,0.857,1
RHBDD2,3.924998531615871e-4,1.409704154814886,0.455,0.036,1
SNHG8,4.116461880622675e-4,-1.3462918292254775,0.545,0.929,1
DDX17,4.1931960042157756e-4,-1.071705413903018,0.227,0.786,1
PET100,4.61342946808046e-4,1.3616413428550629,0.682,0.286,1
SUB1,5.803324125998099e-4,1.5487870238128312,0.818,0.679,1
EBLN3P,6.017148510395074e-4,-1.903012845753271,0,0.429,1
C9orf16,6.329413899385802e-4,1.4555283413568065,0.682,0.286,1
REEP5,7.070099881697903e-4,1.567516917823414,0.545,0.143,1
RESF1,7.760133558335678e-4,-1.3655085813798153,0.364,0.75,1
PRPF4B,7.987717176442684e-4,-1.7872035609177936,0.182,0.679,1
PSMB7,8.249738822010908e-4,1.486490509814371,0.591,0.179,1
EIF2AK2,8.403720268257734e-4,-1.7355387813736354,0.045,0.5,1
NOSIP,8.611016883250884e-4,-2.070747721294092,0.045,0.464,1
IL1B,9.636574407093387e-4,2.5191775373646728,0.409,0.036,1
S100A4,0.0010890419261009646,2.6372954120671688,0.591,0.25,1
MALAT1,0.00113756664889161,-0.7362743417830391,1,1,1
DDX50,0.0011600307908974747,-1.5045126751767104,0,0.393,1
ANKRD12,0.0013194626521733474,-0.9139062142600429,0.682,0.964,1
CCL3,0.0013437881947788908,2.273757310324011,0.545,0.179,1
CCL5,0.001456021304269148,4.8276776368359675,0.545,0.179,1
UBC,0.0014858206457068425,0.7473587996420732,0.955,0.857,1
DUSP4,0.001587092968996662,1.8364987429275095,0.318,0,1
APOBEC3H,0.001587092968996662,1.1650398396488404,0.318,0,1
COPE,0.0015989453408185891,1.3114012647385083,0.591,0.25,1
FNBP4,0.0016280773090024674,-1.6523227046162983,0.091,0.5,1
PCNP,0.0017862503091257305,-1.4492851402826492,0.136,0.571,1
SNW1,0.0018168855279867139,1.1760373298607294,0.727,0.357,1
EIF1,0.0018252788645416304,0.5805489713737799,1,1,1
BAG1,0.002112515057494937,-1.5096879758419828,0.091,0.464,1
FGD5-AS1,0.002190210331825997,-1.380972842354105,0,0.357,1
SESN3,0.002190210331825997,-1.591790341880982,0,0.357,1
COPS9,0.002208681662362347,1.30839620815369,0.682,0.357,1
GZMB,0.0022972847164553826,3.2930734883277264,0.364,0.036,1
APOBEC3G,0.0022972847164553826,2.5515669499875377,0.364,0.036,1
GZMK,0.002530566455545571,1.8852742037618213,0.364,0.036,1
NKG7,0.002574888106169538,3.104718300137411,0.545,0.214,1
POLE4,0.0026762061365661885,-1.3698429770605067,0.045,0.429,1
KMT2C,0.0026762061365661885,-1.7196654105199631,0.045,0.429,1
LMNA,0.0027747513338050086,1.5688994494521147,0.545,0.214,1
HLA-DRA,0.0027853312532488124,1.6360785480011835,0.364,0.036,1
BATF,0.0027853312532488124,1.8156159161701018,0.364,0.036,1
CST7,0.002892453199566294,2.66028885983891,0.409,0.071,1
TXN,0.002930391981170129,1.490692059818213,0.545,0.179,1
GAPDH,0.0031060319020731414,2.1294672480039765,0.864,0.714,1
CD8A,0.0031264581012798403,1.2033836785901602,0.727,0.464,1
HIST1H4C,0.0031264581012798403,-1.3457905838631985,0.364,0.75,1
SRSF3,0.003160514067021718,1.2085146230947128,0.682,0.429,1
CREM,0.0032577316863680737,1.1903539155967242,0.818,0.357,1
IL7R,0.003351809719343919,-1.0662277526596804,0.636,0.929,1
LCP1,0.0035408024064465292,1.247508778881092,0.636,0.286,1
NSD3,0.003734853966457863,-1.1426301526640796,0.136,0.571,1
C12orf75,0.003754716193657884,1.7483860952532266,0.409,0.071,1
ARL4C,0.003825435730172863,-1.1671804413040694,0.455,0.786,1
C8orf76,0.0038380989716802283,1.1891250282196602,0.273,0,1
MAP3K8,0.0038380989716802283,1.5146333600799735,0.273,0,1
RIC8A,0.0038380989716802283,1.1989387331654793,0.273,0,1
TALDO1,0.0038380989716802283,1.3311390876001057,0.273,0,1
PDRG1,0.0038380989716802283,1.2375307539649039,0.273,0,1
HMGB1,0.003942183615719797,0.9344961237599203,1,0.964,1
CLIC1,0.003984208157802538,1.9607994480550524,0.5,0.179,1
ZC3HAV1,0.004027789714389645,-1.586822116286923,0.045,0.429,1
ARHGDIB,0.004045165035433237,1.1896185894792803,0.818,0.786,1
CYFIP2,0.004055850617316484,-1.1879668210615268,0,0.321,1
FKBP5,0.004055850617316484,-1.1126436216771425,0,0.321,1
PHF14,0.004055850617316484,-1.1952625144226927,0,0.321,1
SMG1,0.004055850617316484,-1.3167640862241372,0,0.321,1
LONP2,0.004055850617316484,-1.046675668408164,0,0.321,1
EIF4A3,0.004055850617316484,-1.2869844534748005,0,0.321,1
DNAJC3,0.004363160348491991,1.4148701983813285,0.455,0.107,1
SLC38A2,0.0044582830054593825,-1.586587597883748,0.136,0.536,1
SRGN,0.004459108349730562,1.3173850534722877,0.818,0.714,1
CYTOR,0.004708294575924228,2.3404238194363662,0.455,0.143,1
PABPC1,0.0047400716639328004,-0.6904576359864851,0.909,1,1
MRPL22,0.0048445902689391715,1.2657618853324297,0.409,0.071,1
NDUFS5,0.005103033926713783,1.032240879085224,0.864,0.821,1
MX2,0.0052442594841279645,-1.2051392231680977,0.045,0.393,1
CCL4,0.005286407595798064,1.8100937984572802,0.682,0.357,1
GABPB1-AS1,0.005358907863289343,-1.44043926505359,0.091,0.464,1
SMAP2,0.005456416682800972,1.0615358877313736,0.682,0.464,1
LSP1,0.00575540027300401,1.4283464675376663,0.5,0.179,1
GZMH,0.005854632327694944,2.084565792755477,0.318,0.036,1
LAPTM5,0.006114826812912471,0.7535189067696364,0.773,0.571,1
YWHAZ,0.006126833807810665,0.8416153033487555,0.818,0.75,1
SF3B6,0.006403561902436344,1.1813680296836646,0.682,0.357,1
ICOS,0.00642637922879023,1.745638671551074,0.318,0.036,1
ZNHIT6,0.006741422908653327,-1.0434324542579438,0.045,0.357,1
CYBA,0.006843285923417392,1.2678155005771568,0.773,0.643,1
ARL6IP1,0.007019945670010325,1.5125490520444766,0.545,0.214,1
TRIP4,0.007047879121636857,1.0640781754809518,0.318,0.036,1
GDE1,0.007047879121636857,1.3157508399887845,0.318,0.036,1
VPS35,0.007203780952931804,-1.0249255658332441,0.045,0.393,1
LGALS1,0.007203780952931804,2.249537222929231,0.409,0.107,1
UBB,0.0073189873937350705,1.0150707287300431,0.864,0.714,1
DCTN3,0.007369758767771039,0.9200198173157461,0.636,0.286,1
PPP4R3B,0.007378433307149702,-1.0841251468487896,0,0.286,1
PTCD3,0.007378433307149702,-1.0002849797666202,0,0.286,1
SLC25A36,0.007378433307149702,-0.9394909859564752,0,0.286,1
YWHAG,0.007378433307149702,-1.4331695997449585,0,0.286,1
MLLT6,0.007378433307149702,-1.24044983693552,0,0.286,1
DNMT1,0.007378433307149702,-1.058029693199127,0,0.286,1
DYRK1A,0.007378433307149702,-1.5774852326766207,0,0.286,1
URI1,0.007622592236238345,-1.0994857875937758,0.182,0.607,1
HINT2,0.007722828399198497,1.1160816016728086,0.318,0.036,1
EIF4B,0.007732796940026682,-0.9510884255511534,0.409,0.786,1
NOP53,0.007736195511850972,-0.7750098737669155,0.773,0.893,1
HSPA5,0.007901090058586012,1.183632738708906,0.727,0.5,1
ATP6V0B,0.007968065930447217,1.1600072183358847,0.545,0.25,1
PMF1,0.008029466411080328,1.1443519878530575,0.5,0.214,1
ERCC5,0.008411397859892688,-0.8857763534620589,0.045,0.393,1
MIR4435-2HG,0.008455136866287152,1.5237229938701773,0.318,0.036,1
PMPCB,0.00890022191346755,-0.9691930349073327,0.091,0.464,1
MT2A,0.008914430547628385,1.180229303636184,0.773,0.393,1
SSBP1,0.009013677216216036,-1.2598526015756328,0.318,0.643,1
TENT5C,0.009082886715889311,1.013252359737064,0.227,0,1
CD84,0.009082886715889311,1.0984738606829674,0.227,0,1
CD38,0.009082886715889311,0.8867321994328207,0.227,0,1
FGFBP2,0.009082886715889311,1.75917952449215,0.227,0,1
HAVCR2,0.009082886715889311,0.9757853571010721,0.227,0,1
HLA-DQB1,0.009082886715889311,1.1314414364184717,0.227,0,1
