Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TXNIP,3.5639954336861515e-19,1.3485392379439984,0.896,0.883,1.3003237339803923e-14
SNHG5,6.84986619049064e-12,0.9514157302331512,0.834,0.615,2.49917367960051e-7
CPA5,5.484781320735036e-9,-1.2664325419448403,0,0.188,2.001122464870178e-4
H3F3B,1.0164682127756575e-8,0.5033300835569063,0.963,0.953,3.708584274311986e-4
NKG7,7.645953913916225e-7,2.1451249476595775,0.215,0.052,0.027896262854923345
LTB,1.8091416943418396e-6,-0.5878691183038476,0.785,0.948,0.06600653471806202
SAMD3,3.5903037949813065e-6,0.9005751439030375,0.27,0.094,0.13099223395989296
PPDPF,4.493123499968396e-6,-0.7536649244119731,0.313,0.549,0.16393161089634692
IL32,5.303611838724888e-6,0.5762861382300688,0.804,0.704,0.19350227793587751
GZMA,2.2562010511307582e-5,2.0118528305024252,0.135,0.023,0.8231749535050571
ITGA4,3.396893813575293e-5,0.8196578064977744,0.442,0.249,1
GPX4,6.32549942134598e-5,-0.5378573808403941,0.417,0.615,1
EHD1,7.627137026040974e-5,0.6744762326871294,0.178,0.052,1
AP3B1,9.725885083497062e-5,-0.5963219934785406,0.031,0.155,1
SEC62,9.764886315176989e-5,-0.5778637538264546,0.368,0.554,1
STK17A,1.054430384435029e-4,-0.6086262058977634,0.417,0.61,1
KANSL1-AS1,1.2971172056960666e-4,-0.6672385445398591,0.037,0.16,1
GZMH,1.5586887563303798e-4,1.1563327820732987,0.11,0.019,1
EEF1D,1.8155663406159694e-4,-0.33980066579508783,0.963,0.972,1
ITGB2,2.467667093212757e-4,0.7063442158859765,0.331,0.178,1
LGALS1,2.591290443148651e-4,1.012188619354633,0.227,0.099,1
KLRC4,2.656313105749124e-4,-0.5682704252208337,0.049,0.174,1
CRIP1,2.9419987996490377e-4,1.0114777909104316,0.638,0.488,1
AKR1B1,2.949835139728745e-4,-0.5410612709186161,0.025,0.131,1
EMC6,3.460590843918589e-4,-0.5591581457235728,0.067,0.197,1
GZMB,3.8168920891546083e-4,1.7197407866226966,0.11,0.023,1
VIM,4.5751550182630113e-4,-0.48422595617176256,0.847,0.934,1
ANP32B,4.7048570867499464e-4,0.3846196766128278,0.773,0.662,1
ACAA2,5.216749743497245e-4,0.5424325162302959,0.135,0.038,1
MAF,5.313588105888189e-4,0.3899325077301687,0.055,0,1
TRAF2,5.313643203720725e-4,0.3398443837838264,0.055,0,1
TOMM7,5.393124547472666e-4,-0.2516250217324094,0.963,0.977,1
CD3D,5.41309620312014e-4,-0.3883100368264283,0.748,0.897,1
REG4,5.590132523760965e-4,-0.43612279252848196,0,0.07,1
ID2,6.022397854411518e-4,0.7718254080070652,0.448,0.31,1
FAM133B,6.402394177554092e-4,0.5313540602051634,0.479,0.319,1
ARL4C,6.536374413078273e-4,-0.4743115786346217,0.546,0.685,1
GIMAP5,6.899684337276026e-4,-0.796881032407286,0.135,0.268,1
MRFAP1L1,7.15555808555291e-4,0.5154462858971733,0.172,0.061,1
"NAA16",7.400403727252698e-4,0.6950427348340616,0.319,0.188,1
CST7,8.144218329979173e-4,1.1302991782898535,0.141,0.047,1
BANF1,8.866898353352705e-4,-0.5530410728723211,0.117,0.254,1
RASSF1,9.409447895615142e-4,-0.45348191649616376,0.037,0.141,1
GBP5,9.41075916496847e-4,0.6980607399685999,0.129,0.038,1
HIF1A,9.443157560364193e-4,0.6408060762199231,0.239,0.117,1
HIST1H1C,9.475205176800005e-4,0.6040035628322871,0.184,0.075,1
CHRM3-AS2,9.839860144584213e-4,-0.6367213826593565,0.049,0.155,1
TXK,9.919662669337383e-4,0.5950879690799624,0.362,0.221,1
ABHD14A,0.0010049090462421395,-0.5849090346670978,0.037,0.136,1
PMS2,0.0010836192469738418,0.4725105632569804,0.074,0.009,1
SVIP,0.0010861036325188185,-0.42624937230243876,0.172,0.333,1
SLC7A5,0.0010948484612201973,0.41923481560546794,0.074,0.009,1
MXRA8,0.001107439091216672,0.42091049389982255,0.049,0,1
MIR4435-2HG,0.0011645147866781087,0.5372444949865409,0.074,0.009,1
SEC24B,0.0011886325152560887,0.4147683700171129,0.074,0.009,1
