Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HBB,2.731364398730225e-168,1.2039845935115765,0.172,0.004,9.965383008767227e-164
IL1B,4.491496471722843e-134,0.9349667435788829,0.519,0.253,1.6387224877080793e-129
VIM,3.993019708903585e-114,0.6971953808545042,0.997,0.993,1.456853240793473e-109
CXCL8,2.3004137875800844e-109,0.7621538711756952,0.722,0.545,8.393059703985937e-105
LMNA,7.04925467096802e-102,1.115726850769937,0.517,0.295,2.571920566702682e-97
CRIP1,3.534776471714984e-101,0.7751965184636882,0.919,0.858,1.289663195705212e-96
UBC,2.2093423032630117e-93,0.41606886680847843,0.986,0.964,8.060785393455099e-89
JUND,2.6412876523360217e-90,0.6638568537342846,0.885,0.784,9.636737999547975e-86
HBA2,1.3455664785781332e-79,0.7871160120343231,0.087,0.003,4.909299297092319e-75
TGFB1,2.6592279647066472e-77,0.6321375552668385,0.793,0.682,9.702193229232203e-73
CXCL3,3.876028383491756e-74,0.9251336850992529,0.276,0.114,1.414168955716967e-69
EZR,3.188654435081273e-73,0.7425572823186561,0.742,0.624,1.1633805706394026e-68
EIF1,4.224503710158149e-68,0.3700106768266833,0.985,0.979,1.5413101786512007e-63
SOD2,7.966457993028443e-63,0.553151248729054,0.547,0.376,2.9065621987564274e-58
CCL3,1.2692676103544414e-61,0.5772886816721767,0.497,0.327,4.6309228763781794e-57
HLA-A,1.1678047009876797e-60,-0.2906210494673198,0.996,0.998,4.26073545155355e-56
PSMB9,2.3409222240956575e-51,-0.5742030246842238,0.421,0.61,8.540854734613007e-47
CALM1,4.072190275501029e-51,0.41427103564886547,0.91,0.876,1.4857386220165505e-46
LRRFIP1,4.705520426377583e-50,0.6031487628380936,0.622,0.481,1.7168091275638612e-45
TAGLN2,4.288933387869183e-49,0.534601301814893,0.695,0.579,1.5648173465640712e-44
UBB,6.650550514380251e-49,0.4223448259541023,0.91,0.893,2.4264533551716343e-44
LDHA,5.641866277001414e-44,0.3623305216609962,0.901,0.871,2.058434911163966e-39
HBA1,3.778181834457555e-43,0.5389120345660654,0.053,0.004,1.3784696423018388e-38
LYZ,1.042322564212092e-42,0.5362978875229966,0.149,0.052,3.802913875527818e-38
OAZ1,6.508176978307481e-41,-0.3611029526505627,0.768,0.848,2.3745083705354845e-36
CD3D,5.577130629216073e-38,-0.3554221273230973,0.63,0.799,2.0348161100694842e-33
YWHAZ,2.8752224888035e-33,0.38767992061569334,0.767,0.703,1.049024925039957e-28
LINC01871,2.481369195226809e-32,-0.6046746154137828,0.199,0.334,9.053275508785014e-28
TRBC2,3.5265980773345934e-32,-0.38793068553606425,0.652,0.773,1.2866793085155264e-27
HERC5,6.078639216574403e-32,-0.5351713427186302,0.204,0.342,2.2177915181671706e-27
S100A10,1.572588621003599e-30,0.3809924139829466,0.883,0.855,5.737589583731631e-26
ISG15,1.88643566221e-30,-0.5042204968514854,0.312,0.46,6.882660513573185e-26
IFI16,2.9968243439594704e-30,-0.3845013942956155,0.48,0.625,1.0933913618936128e-25
DRAP1,1.0939179039400211e-29,-0.45068871580224235,0.342,0.493,3.991159472525167e-25
S100A4,1.9026799288412007e-29,0.4809615809045811,0.55,0.427,6.941927720377121e-25
TRAC,3.2083617153165096e-29,-0.42118228745380115,0.362,0.515,1.1705707718332285e-24
