Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
JUND,3.707395291697037e-104,0.5602374272670287,0.848,0.72,1.3526431721756639e-99
UBC,6.117445504615004e-98,0.4181208071355078,0.967,0.949,2.2319499923587845e-93
IL1B,6.100577969033183e-80,0.8785587606474812,0.358,0.19,2.2257958720017566e-75
HBB,2.2640592560670904e-72,0.9362600084242092,0.133,0.028,8.260420195760779e-68
GNLY,1.6306529700410302e-71,0.6932484376143817,0.746,0.631,5.949437361194698e-67
PPP1R14B,2.2625941370177234e-67,-0.6846641479951219,0.293,0.468,8.255074708909163e-63
FCGR3B,1.2834801817767345e-65,-0.45489285111315547,0,0.063,4.682777443212416e-61
CXCL3,5.71300114556096e-61,0.7557487884989269,0.184,0.069,2.084388467957916e-56
TIGIT,8.328221981916058e-55,-0.6087020750453741,0.123,0.253,3.038551790102074e-50
EIF1,5.2233388152358533e-51,0.25864192630933047,0.986,0.978,1.9057351667388012e-46
CXCL8,5.947789134767574e-48,0.7397712495160182,0.531,0.432,2.1700508658199492e-43
HBA2,1.894506558227651e-46,0.4140755300536594,0.105,0.028,6.912107177693585e-42
IFITM1,2.1693115576068192e-44,0.6314466134849258,0.257,0.144,7.91473321792848e-40
CALM1,4.488943930750523e-43,0.31155049669357116,0.92,0.895,1.6377911931343284e-38
ACTB,7.692028696662657e-43,0.558971242045279,0.798,0.75,2.8064366699773705e-38
SRSF2,2.3064995860323282e-42,0.4478098416635916,0.602,0.486,8.41526373963895e-38
CREM,2.966562483113908e-42,0.7292188025743609,0.382,0.267,1.0823503219641092e-37
S100A4,8.368397643037365e-42,0.49507361845922615,0.679,0.57,3.0532098800621826e-37
IFNG,6.678509454128227e-41,0.8141375810215267,0.172,0.078,2.4366541743386837e-36
B2M,7.102881273120696e-41,0.13892295932416676,1,0.999,2.5914862324980858e-36
DDX3Y,8.356706347286914e-40,0.6202977139471988,0.2,0.103,3.04894431080763e-35
CCL3,8.802824826219817e-39,0.5775354884214621,0.399,0.285,3.2117106378463e-34
S100A9,2.0994839101575966e-38,0.5472046629585275,0.149,0.064,7.659967046209991e-34
GZMB,3.4150788333390243e-38,0.6010974139879246,0.535,0.432,1.245991512343743e-33
GIMAP1,1.2628581046995518e-37,-0.4427964623375126,0.133,0.242,4.607537794996315e-33
GZMA,1.5033337482295097e-37,0.6309085698305887,0.489,0.382,5.484913180415366e-33
FCGR3A,1.5311872822418898e-37,-0.5255138571200364,0.167,0.279,5.586536799259535e-33
JUN,3.029816394143654e-36,0.6874083906207904,0.491,0.38,1.1054285114033122e-31
PROK2,9.354517813933672e-36,0.4002909857738277,0.068,0.014,3.4129958244137e-31
PTMA,9.727135814277478e-35,-0.1845199768136041,0.992,0.996,3.548945501839138e-30
HLA-B,1.218046990913083e-34,0.14859684932048722,0.998,0.998,4.444044446346384e-30
LMNA,1.802305842445069e-34,0.605135950805987,0.406,0.3,6.575712866160834e-30
GIMAP7,4.500531794564009e-34,-0.3842856593091435,0.48,0.603,1.6420190252466788e-29
LGALS1,2.304886512367992e-33,0.4791437212620715,0.598,0.504,8.409378440374618e-29
H3F3B,5.6121113018476626e-33,0.2484227793059386,0.967,0.953,2.0475788084791196e-28
ANKRD12,8.3161985976546e-33,-0.35011011691811555,0.561,0.665,3.0341650583542806e-28
ID2,2.1011260400332862e-32,0.5806085340785245,0.345,0.241,7.665958357061445e-28
LYZ,3.5080262303379175e-32,0.4922526551719104,0.168,0.084,1.2799033701387893e-27
SRGN,3.413641479633663e-31,0.25041823206981473,0.922,0.906,1.245467093844342e-26
FAM102A,4.194602837915869e-31,-0.41400312982988263,0.149,0.249,1.5304008454136048e-26
TGFB1,5.68677056453888e-31,0.48911844401843174,0.637,0.58,2.0748182404720103e-26
SPON2,6.39219333092218e-31,0.515992412307071,0.133,0.06,2.3321917367869575e-26
HBA1,7.135165780495325e-31,0.5848882073968837,0.069,0.018,2.603265235013719e-26
DUSP1,7.093766950234217e-30,0.5835247881811543,0.304,0.202,2.588160871792954e-25
ABCB1,1.8689925253406195e-29,-0.4001431843679154,0.061,0.132,6.81901922870525e-25
CMC1,6.965732460058548e-29,-0.3805720891564168,0.39,0.506,2.5414474880523614e-24
EVI2B,2.0033895150954372e-28,-0.3483176063177895,0.42,0.537,7.309366645825703e-24
EOMES,3.7124782707549683e-28,-0.42914807662782894,0.118,0.204,1.3544976970849502e-23
ZBTB38,5.071922773454226e-28,-0.3993304213621711,0.237,0.343,1.8504910238947746e-23
LINC00623,7.299214741344521e-28,-0.36009495657629786,0.22,0.33,2.6631184983795485e-23
LDHA,7.671424842225147e-28,0.3806262442338517,0.773,0.762,2.798919353685845e-23
UBB,1.3894463399707854e-27,0.2733388774668821,0.894,0.87,5.0693949713834104e-23
YPEL5,2.180465256932594e-27,0.35528912025356485,0.535,0.441,7.955427489918568e-23
KLRC2,2.5240841806628564e-27,-0.5528855336998763,0.084,0.158,9.209121133148432e-23
PPP1R2,3.378197974311285e-27,-0.3985156686006477,0.301,0.408,1.2325355309274723e-22
ANKRD28,3.87961147069967e-27,0.47260103752691746,0.108,0.047,1.4154762450847747e-22
GZMM,7.855145434374763e-27,0.32886549987875435,0.577,0.479,2.865949811731632e-22
STK17A,1.8830534433475977e-26,-0.2968755971359256,0.534,0.638,6.870320488053711e-22
FOS,5.036772758162672e-26,0.21970951113875792,0.336,0.221,1.837666540815651e-21
ITGB2,2.8356512973397817e-25,0.4960195951202515,0.294,0.206,1.0345873758344194e-20
ITM2B,3.6582666712695724e-25,-0.22441821010312735,0.778,0.852,1.3347185950127034e-20
CCL4,9.762238081877796e-25,0.3365323096033572,0.598,0.508,3.5617525641731136e-20
