Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
JUND,1.4478692219873315e-75,0.8579551910186565,0.909,0.757,5.282550856420779e-71
HBB,9.264190357563337e-50,1.8955585085033944,0.147,0.004,3.3800398519569834e-45
HLA-B,6.612164443478674e-49,0.28745151580531303,0.999,0.999,2.4124481972031943e-44
IL1B,8.039908982571538e-48,0.845871294934492,0.47,0.222,2.9333607922912254e-43
VIM,4.0901865287751704e-47,0.6120456943945003,0.991,0.976,1.492304555023621e-42
LMNA,6.510113037827903e-45,0.9895355380064395,0.599,0.377,2.3752147418515105e-40
CCL5,1.5641189987994998e-41,-0.6428029089634766,0.615,0.839,5.706688167119975e-37
CXCL8,1.8356825588615376e-40,0.6719510107894902,0.71,0.519,6.69748781600632e-36
CRIP1,5.98340061131927e-37,0.8696550055097783,0.844,0.755,2.1830437130398357e-32
GRASP,4.065439489505293e-35,0.9076017465040876,0.29,0.11,1.4832755977460062e-30
CXCL3,8.680208419332935e-35,0.8495316651347785,0.253,0.085,3.166974041793621e-30
PTPRC,1.6236809829282977e-34,-0.559698504478793,0.695,0.818,5.924000066213894e-30
HBA2,8.338399740652588e-33,1.2190190752955516,0.098,0.003,3.042265145377097e-28
DDX3Y,4.633090465304105e-32,0.8388719316344889,0.231,0.077,1.6903830562662027e-27
FTH1,1.9333573144245584e-30,0.38256778035434635,0.995,0.994,7.053854161678001e-26
UBB,3.0760084177572105e-30,0.43739853230937253,0.968,0.936,1.1222816712187182e-25
LDHA,6.40987613846338e-30,0.4749648381294511,0.896,0.85,2.338643309118364e-25
HLA-C,9.354774426302537e-30,0.30722504998658273,0.993,0.984,3.413089449436481e-25
CREM,8.181676736978857e-29,0.6519587373458515,0.676,0.489,2.985084757486736e-24
BCL2A1,5.495697147327716e-28,1.0095377937090055,0.387,0.216,2.0051051042025172e-23
ACTG1,2.472238986738771e-26,0.5057731528779437,0.892,0.826,9.019963943116406e-22
FAM177A1,1.2912801029691168e-25,0.6236172575147174,0.559,0.391,4.7112354556828225e-21
EIF1,1.8894856649589264e-22,0.3013839588978584,0.982,0.972,6.893788448602643e-18
