Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FCGR3B,2.5978476001279745e-69,-0.8159979087031134,0.001,0.118,9.478246969066915e-65
S100B,5.470998105894461e-47,1.5872295994592596,0.142,0.011,1.9960936589355943e-42
S100A4,1.4211089260492813e-42,0.642271536468427,0.76,0.588,5.184915916690802e-38
MYOM2,8.912980335300864e-34,1.4520163362161331,0.144,0.031,3.25190087533452e-29
DIP2A,1.0360726927997987e-24,0.7305611863471894,0.201,0.086,3.7801112196800654e-20
GZMM,1.5508908112562914e-22,0.481720048464243,0.63,0.507,5.658425124868579e-18
ACTB,2.711566389521746e-22,0.49844149188120657,0.829,0.776,9.893149972170091e-18
KLF2,5.992681299913374e-22,0.6117489810665382,0.545,0.42,2.1864297722733945e-17
HLA-B,2.311455650622034e-21,0.25438806303128025,0.997,0.999,8.433345941294491e-17
STK17A,1.3971283596369336e-20,-0.43531252632363016,0.46,0.594,5.097422820135352e-16
CALM1,1.6562805422133114e-20,0.3145570214048208,0.906,0.889,6.042939558265266e-16
HBA1,1.8243436609461092e-20,1.2471436432027803,0.109,0.031,6.656117846961879e-16
ID2,4.973705762031216e-20,0.6615239705675982,0.484,0.365,1.8146565472770892e-15
GZMB,1.5078100347242659e-19,0.30719721440841674,0.858,0.8,5.501244911691484e-15
APOBEC3G,3.4134913386056187e-19,-0.3915127561627223,0.549,0.675,1.24541231489026e-14
TIGIT,2.605105103975425e-18,-0.49313561847440335,0.092,0.185,9.504725971854338e-14
ITGB2,4.329525976669839e-18,0.5148566910417038,0.483,0.365,1.5796275525879907e-13
CMC1,1.4242718722526574e-17,-0.43483621315248033,0.416,0.542,5.196455925913821e-13
JUNB,2.0356279384482306e-17,0.5536135624239451,0.514,0.407,7.42698853342837e-13
DUSP1,3.1722603459028273e-17,0.5178996280951282,0.447,0.315,1.1573991872026466e-12
TXNIP,7.604181279371966e-16,0.561473180850796,0.7,0.641,2.7743855397788615e-11
LINC00996,9.546025467225578e-16,-0.3231582715869608,0.031,0.088,3.482867391717252e-11
BIRC3,3.5506140131257675e-15,-0.4395308915831422,0.154,0.253,1.2954415226889364e-10
FOS,5.882382813628393e-15,0.37112734325470065,0.489,0.355,2.1461873695523192e-10
HBA2,7.845060469591121e-15,1.3729418393616517,0.12,0.05,2.8622703123303203e-10
PRMT2,1.2234024981416764e-14,0.44126482898061603,0.457,0.359,4.463584014469906e-10
GZMH,1.5299795196638384e-14,0.42552986907838397,0.607,0.51,5.582130277493514e-10
LAIR2,2.1550072200428812e-14,0.5802895268392602,0.169,0.086,7.862543842326452e-10
GZMA,2.6784344495774272e-14,0.343261159176091,0.72,0.634,9.772268089283242e-10
DDX3Y,6.832674912556987e-14,0.5330671085064437,0.14,0.067,2.4929014418464166e-9
KLRC2,3.397297768646863e-13,-0.6672449398415685,0.111,0.188,1.239504090890808e-8
GIMAP7,5.119861840974429e-13,-0.3669356551973251,0.41,0.516,1.8679815926795204e-8
PFN1,1.7087300215327213e-12,0.25795624320858845,0.886,0.873,6.234301483562134e-8
EIF3G,2.305117722459665e-12,-0.3451177183396048,0.451,0.554,8.410222010394088e-8
FUS,3.0848899374278904e-12,0.3636467895942084,0.503,0.407,1.1255220936705658e-7
IL32,6.451107258620327e-12,0.5623725863855866,0.339,0.248,2.3536864833076262e-7
CKLF,3.7492540128964835e-11,-0.38369572323960144,0.264,0.359,1.367915326605282e-6
CXCL3,5.3208341200563635e-11,0.5634459479831063,0.119,0.059,1.9413063287025643e-6
CD244,5.471839096409231e-11,-0.4112585630849368,0.118,0.19,1.996400494324908e-6
CFL1,1.1388752863512096e-10,0.2708379116356263,0.81,0.782,4.155186482252388e-6
PPP1R2,1.5014411507402728e-10,-0.42055896176923335,0.256,0.343,5.478008038475886e-6
CCL5,1.5560343067559678e-10,-0.33649390697876225,0.779,0.851,5.677191168199148e-6
PIM1,1.8501566319523394e-10,-0.32805215062812776,0.205,0.293,6.75029647167811e-6
HBB,3.024850756801219e-10,0.9186849815330477,0.104,0.049,1.1036167986189247e-5
ZBTB38,3.1501653600037666e-10,-0.3497635799597947,0.166,0.247,1.1493378315973742e-5
HCST,3.736752150131565e-10,0.31758079090896496,0.721,0.666,1.3633540219755014e-5
LMNA,3.769394236604753e-10,0.5109167949969375,0.332,0.253,1.3752634872252443e-5
DUSP6,4.939305375497652e-10,0.32408412410543125,0.071,0.027,1.8021055662503184e-5
HOPX,5.096001815856093e-10,-0.28236252081779023,0.468,0.565,1.8592762625150958e-5
RHOH,5.379042405732182e-10,-0.3255781009649379,0.109,0.177,1.9625436217313867e-5
EOMES,6.296097808977198e-10,-0.28880702941860825,0.086,0.151,2.2971312856053307e-5
DDIT4,9.167681910742462e-10,0.4304952500458492,0.295,0.217,3.344828745134387e-5
ANXA2,1.0796629117841003e-9,0.4360934292326417,0.248,0.174,3.9391501336442896e-5
CCL4,1.298188254376002e-9,-0.5456087787093766,0.635,0.686,4.7364398460908436e-5
RNASEK,1.9199079038313116e-9,-0.2868852961550501,0.599,0.668,7.004783987128541e-5
SRSF7,2.4199143223947557e-9,0.32889673494920313,0.541,0.471,8.829057405257266e-5
PRDX1,2.479173295631829e-9,0.6533546976528812,0.257,0.189,9.045263769112727e-5
GTF2I,2.661623993088138e-9,-0.2940892233075967,0.199,0.283,9.710935138782072e-5
OSTF1,3.026820541530503e-9,-0.30070516942465164,0.339,0.43,1.104335474577404e-4
GADD45A,3.5259037123700244e-9,0.40900066430985565,0.109,0.056,1.2864259694582035e-4
IL1B,6.712534686686262e-9,0.49392743712093634,0.246,0.175,2.4490682804374824e-4
IFNG,7.3001895202121666e-9,0.3535026078849983,0.21,0.14,2.663474146449409e-4
LINC00623,7.359305636211027e-9,-0.3016985020801213,0.188,0.264,2.685042661371593e-4
GABPB1-AS1,9.10737409934081e-9,-0.3379217340957328,0.11,0.173,3.3228254401444947e-4
UTS2,1.1239915540520547e-8,0.2649200779999764,0.034,0.007,4.1008831849589217e-4
CLEC2B,1.2954228216575726e-8,-0.2644815579889932,0.693,0.746,4.726350164817654e-4
CARD19,1.4242641055050046e-8,-0.30349605398541446,0.102,0.164,5.19642758893501e-4
TTC39C,2.0870552895462018e-8,-0.3075576335583493,0.143,0.212,7.614621223909317e-4
HOXB2,2.176316667338848e-8,-0.2960675266291408,0.056,0.103,7.940291360785788e-4
KLRC1,2.1921734910810254e-8,0.38248609991418814,0.19,0.126,7.998144982209122e-4
PCID2,2.4973649633990645e-8,-0.37858961069210806,0.101,0.159,9.111636068961487e-4
PRF1,2.8085723100093564e-8,0.29272728670792203,0.606,0.544,0.0010247076073069137
NDUFB2,3.023110346014387e-8,0.2534390603937542,0.504,0.423,0.001102981809743349
TMEM43,3.234558674418148e-8,-0.2974571365800551,0.111,0.172,0.0011801287323614613
CEMIP2,3.743350760879775e-8,0.3818050076146988,0.219,0.153,0.001365761525106986
DTHD1,5.4129714275334244e-8,-0.26363273736710446,0.094,0.151,0.00197492262533557
ELL,5.8414108618871697e-8,-0.2524629279606435,0.041,0.08,0.002131238752959534
CYLD,5.897680259948961e-8,-0.28320365823071647,0.277,0.358,0.0021517686428423784
TOB1,6.918600675396072e-8,0.36858472172422707,0.152,0.095,0.002524251456418257
