Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IL1B,2.8714119942465773e-17,2.1150279970783004,0.716,0.206,1.0476346661008637e-12
CXCL8,4.52664374193873e-16,1.7425351144967225,0.905,0.545,1.6515459692463458e-11
CCL3,9.885944606569975e-9,1.3354591376206257,0.622,0.297,3.6068868897070553e-4
SOD2,2.6846654912564562e-8,1.059979840178849,0.743,0.382,9.79500204484918e-4
HBB,6.193524437760916e-8,1.494990351623144,0.189,0.006,0.0022597073911170703
CXCL3,6.215094794926735e-7,1.9297360568261581,0.351,0.103,0.022675773359290195
FYB1,2.685271653043876e-5,-0.8724626305941228,0.23,0.545,0.9797213626130581
CCNT1,3.492725761307807e-5,1.032241872093242,0.122,0.006,1
H3F3B,4.123918589165495e-5,0.7396006147604242,0.932,0.897,1
CCL4,5.489429219574342e-5,0.8593160561013664,0.527,0.279,1
LYZ,5.9356657492681135e-5,1.264641845700055,0.23,0.055,1
IKZF2,8.61708538660711e-5,-0.961988321141342,0.081,0.333,1
FAM177A1,1.1691802966781075e-4,1.260278108885197,0.486,0.291,1
RNF213,1.1908057539340444e-4,-0.7950021152839211,0.257,0.533,1
SRP14,1.739743248288892e-4,0.5931770065781579,0.824,0.758,1
GTF2I,1.9029074291030575e-4,-1.0246280623028787,0.027,0.224,1
CD7,1.9518868719882657e-4,-1.0682403353178267,0.203,0.461,1
MRPS34,2.1908549916529763e-4,-0.9360759672379757,0.041,0.248,1
TIGIT,2.3427090825561275e-4,-0.9054288158546147,0.351,0.6,1
OAS1,2.483651588976498e-4,-0.9703679397533241,0.027,0.218,1
PSME1,3.3587137581361006e-4,-0.6544616353424471,0.284,0.582,1
PHACTR2,3.522443025010499e-4,-1.1124702530633637,0.068,0.273,1
ARID5A,3.5263273206535654e-4,1.1233120724114574,0.365,0.182,1
HTATIP2,3.636912511216815e-4,-0.9153726750785163,0.122,0.358,1
DDI2,3.7114129226799866e-4,-1.1915081034791233,0.014,0.182,1
TRBC2,4.248335926808423e-4,-0.7388000770593819,0.486,0.697,1
PSMA1,4.387945764721085e-4,-0.7617056057663387,0.108,0.339,1
JAK1,4.4572205968438646e-4,-0.6698695056889652,0.486,0.727,1
PCBP1,4.803108601403515e-4,-0.8411519526591515,0.203,0.448,1
MAT2B,4.95625063119613e-4,-0.8368211164582071,0.108,0.333,1
SYNE2,4.961152907796372e-4,-0.9347389942466888,0.324,0.576,1
EPB41,5.48819957015452e-4,-0.7960353453847193,0.243,0.509,1
AC232271.3,5.844883949758062e-4,0.7185895913345692,0.108,0.012,1
MAP3K8,6.070219389910542e-4,1.020085496148227,0.149,0.03,1
BCL3,6.363457888435974e-4,1.011322695038285,0.23,0.079,1
CAPN2,7.129102454035982e-4,-0.8842597670095166,0.054,0.242,1
