Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
IL1B,3.340384339752019e-12,1.7625109402316177,0.457,0.143,1.2187392263585242e-7
CXCL8,4.419474707365874e-12,2.0108622036206434,0.691,0.464,1.6124453469824392e-7
CCL3,2.5067991433321166e-10,1.756516685903479,0.489,0.207,9.146056674447228e-6
HIST1H4C,1.1601306306253504e-7,-1.0536397979556054,0.128,0.457,0.004232736605836591
CXCL3,1.8806684736892262e-7,1.4983621143809018,0.266,0.075,0.006861618926255142
SOD2,2.410016106313427e-7,1.2301741557323367,0.628,0.446,0.008792943763884538
CAPN2,2.9089755262785804e-7,-1.1096251891795372,0.043,0.311,0.010613397207627401
RNF213,3.133360519383381e-7,-1.1854078956791405,0.213,0.514,0.011432065854970266
DDT,8.546754716578594e-7,-1.0763227035070577,0.117,0.411,0.031182834583437
LYZ,1.3366620742908695e-6,0.8425236040863706,0.234,0.061,0.04876811578050237
RNF145,3.458026844741122e-6,-1.0196965851504274,0.096,0.368,0.12616610943037984
PTGS2,4.771789878742925e-6,0.9690222103623589,0.16,0.029,0.1740987537259356
LCK,6.772453374545766e-6,-0.9484686982510829,0.138,0.411,0.24709296137030226
CASP4,1.643713273589729e-5,-0.981347507710876,0.043,0.254,0.5997087878692127
NDUFA12,2.2827035050623055e-5,-0.8676273634904434,0.202,0.457,0.8328443738219822
TMED4,3.069636977129875e-5,-0.841196477798134,0.043,0.246,1
TRMT112,3.7048768020297406e-5,-0.7462310414307984,0.138,0.393,1
IKZF3,4.275598274029546e-5,-0.7429224096706104,0.149,0.418,1
OAZ1,5.6463652679634925e-5,-0.5463338511302989,0.606,0.825,1
APRT,6.78361690308585e-5,-0.7340695116024791,0.202,0.457,1
CXCL2,7.127321010370361e-5,1.0227177629462754,0.17,0.046,1
ERBIN,7.856019380906158e-5,-0.8347723531589794,0.021,0.186,1
CCL4,8.44010095828703e-5,1.1625575161992154,0.426,0.261,1
PARP14,9.727204967277719e-5,-0.6095218760323422,0.106,0.336,1
HBA2,9.871147732387067e-5,-1.8169125821320606,0.117,0.021,1
LAT,1.0390373277979044e-4,-0.8028951638841446,0.202,0.443,1
SOS1,1.1187539527289673e-4,-0.8628436228083013,0,0.143,1
EZR,1.3142423855036685e-4,0.8055901692054754,0.702,0.654,1
CCL4L2,1.4261424611811891e-4,1.3124358312818711,0.266,0.118,1
ENO1,1.6535689467200672e-4,-0.7254553240745318,0.266,0.504,1
UBC,1.7091986853152785e-4,0.6180000335748916,0.904,0.914,1
XAF1,1.7247371383816628e-4,-0.7725499839231306,0.043,0.221,1
DEK,1.775989629087814e-4,-0.6345756239328639,0.319,0.554,1
YKT6,2.0218775565783253e-4,0.5140854556751444,0.096,0.014,1
CCL3L1,2.0608742959378422e-4,1.0624329035221178,0.255,0.111,1
BRD7,2.2576483846742046e-4,-0.59125685572561415,0.128,0.354,1
RGS10,2.3685844952109336e-4,-0.4907653473268496,0.266,0.554,1
BCL2,2.6374329840887984e-4,-0.6732757686007034,0.213,0.464,1
THBS1,2.70654257694671e-4,1.1585827509621114,0.255,0.118,1
ITSN2,2.798798457392044e-4,-0.6055549443994501,0.053,0.232,1
ELOB,2.9523395775280106e-4,-0.6019642443441791,0.298,0.564,1
CLEC2D,3.134943845867798e-4,-0.6159635651666182,0.351,0.596,1
PEBP1,3.4294140254323706e-4,-0.6863304824253749,0.255,0.489,1
TLK1,3.4856097899236627e-4,-0.5716338491544903,0.16,0.379,1
SELENOH,3.726872425302047e-4,-0.6395464470808307,0.17,0.393,1
EPB41,3.734714149680089e-4,-0.6367147947189356,0.372,0.629,1
RNF149,3.7624201515610537e-4,-0.730471521484197,0.106,0.304,1
MRPS26,3.979834956057607e-4,-0.8025472265095517,0.021,0.164,1
KANSL1,4.0899048045096333e-4,-0.49371602689337557,0.074,0.264,1
ARHGDIB,4.230181943281187e-4,0.4916752218793152,0.798,0.725,1
LMNA,4.724391311896623e-4,1.0990480368593336,0.415,0.264,1
LSM14A,4.8241774145829327e-4,-0.5583001674714373,0.096,0.286,1
IFIT3,5.107368080151581e-4,-0.9035589036428567,0,0.118,1
GOLGA4,5.189576547511959e-4,-0.6950713155516146,0.213,0.439,1
DNAJC19,5.388743430489291e-4,-0.5372667043051275,0.064,0.239,1
AASDHPPT,5.482825115875217e-4,-0.7265057096885867,0.011,0.136,1
CLIP1,5.546436149340703e-4,-0.6265278596438457,0.085,0.268,1
S100A9,5.556986281946551e-4,0.8472382879574957,0.181,0.064,1
FANK1,5.617255049697373e-4,-0.598148349099502,0.021,0.161,1
EIF1,5.763914213802651e-4,0.26598173832893934,0.957,0.971,1
PIM1,5.85122013134231e-4,-0.5234934765062902,0.138,0.343,1
ARPC5,6.070178707866249e-4,-0.6810927366904722,0.255,0.489,1
IRF7,6.343407690686981e-4,-0.8176646278310311,0.011,0.136,1
LNPEP,7.644074316773004e-4,-0.8022567876758784,0.128,0.311,1
RAC2,7.796018291626796e-4,-0.6182175920097643,0.234,0.486,1
EGLN2,7.86759455726401e-4,-0.5828344038492942,0.021,0.154,1
COA6,7.930796256365579e-4,-0.6869674264180612,0.064,0.225,1
ECHDC2,8.553754957884386e-4,0.6430242384060738,0.074,0.011,1
GBA,9.044537038374642e-4,0.506029855238348,0.053,0.004,1
HSPA8,9.345831596851915e-4,-0.5260631480485709,0.394,0.646,1
YTHDF3-AS1,9.378297012211713e-4,0.5080204459396339,0.053,0.004,1
U2AF2,9.682216771748597e-4,-0.6652402610210449,0,0.107,1
ISG20,0.0010071664674814755,-0.601216474905125,0.372,0.607,1
CREBRF,0.0010127819909435873,-0.5091805085780519,0.213,0.436,1
LGALS3,0.0010263726368823906,-0.8217837122988705,0.266,0.468,1
CD48,0.0010458555298997448,-0.5008079901706313,0.415,0.675,1
HLA-DQA2,0.0010544774204555615,0.4414995346044148,0.064,0.007,1
CD82,0.0010577780280098864,-0.7901642934554923,0.043,0.182,1
GNPTAB,0.0011100837803172425,-0.5684609087259813,0.043,0.189,1
CCPG1,0.0011874695806887066,-0.5651846179110946,0.032,0.168,1
HDAC2,0.0011967451850130315,-0.6080494863007795,0,0.104,1
NDUFB5,0.00122443958235006,-0.45614540295112116,0.053,0.204,1
DUSP1,0.0012454859383464459,0.857089179946277,0.287,0.146,1
GOPC,0.001272904129608305,-0.6215305395548999,0.021,0.146,1
ISG15,0.00128615732106749,-0.6931697373313803,0.128,0.311,1
MFAP1,0.001354843106510929,-0.4896634410689262,0.021,0.146,1
ACTR3,0.0013581284068678286,-0.502201769018346,0.202,0.421,1
CNPY3,0.0013906537379668427,-0.3202767599716836,0.043,0.186,1
EIF2AK2,0.001398490938909868,-0.5970497929861167,0.096,0.268,1
ZNHIT1,0.0014186868869670952,-0.5722874894231077,0.128,0.307,1
YWHAQ,0.0014232346175862766,-0.4345852612893164,0.085,0.261,1
SNHG25,0.0014439482962703596,-0.6834761646075237,0.106,0.275,1
SP110,0.0015367628489613573,-0.4130269515814885,0.085,0.25,1
GNAI2,0.0015639539211159989,-0.5713946644283441,0.16,0.357,1
EVI2A,0.0015744674009704703,-0.6218810767934693,0.277,0.479,1
GTF3A,0.0016949611640406804,-0.4223305074885033,0.319,0.546,1
SMCHD1,0.0017193173847510055,-0.46147408293673564,0.394,0.632,1
CHMP5,0.0018458798217988693,-0.584539636640327,0.074,0.221,1
KPNA5,0.0019125420509494354,-0.5762896096137261,0.021,0.139,1
AIP,0.001924075992746795,-0.6291876922934889,0.074,0.225,1
RYBP,0.0019398790349933678,-0.6199438532052993,0.043,0.175,1
TOMM7,0.0019576165864531674,-0.3518980131352456,0.798,0.921,1
IPCEF1,0.0019839005958826907,-0.5852797008756851,0.106,0.271,1
SERPINA1,0.0019961233261348577,0.5403188735468052,0.085,0.018,1
UXS1,0.002007149444917097,-0.6287833824974458,0.053,0.193,1
MIS18BP1,0.0020352687453650893,-0.6151414764843316,0.064,0.211,1
HTATIP2,0.002068207533692433,-0.6325695647409741,0.128,0.3,1
PIP4K2A,0.002110753547945719,-0.5181223677075608,0.117,0.296,1
FGD3,0.0021872625476524027,-0.7019950316796826,0.053,0.186,1
NDUFA11,0.002263167525284082,-0.4060454834070828,0.181,0.382,1
MRPL19,0.00227434673282772,-0.6281615635509796,0.032,0.154,1
SEPHS2,0.0022794343425215557,-0.48567630155834757,0.032,0.157,1
EXOSC9,0.0023115093856881344,-0.6939261989626728,0.011,0.114,1
SRSF1,0.002394296723570301,-0.635549306736717,0.032,0.154,1
BTN3A2,0.0024038666597952212,-0.5243832599962392,0.138,0.325,1
PRKDC,0.0025373139654316546,-0.6419819227056035,0.085,0.236,1
SAMD9L,0.0025983384783230317,-0.761432074264474,0.043,0.161,1
SRI,0.002618990180228265,-0.5969337769261187,0.085,0.239,1
AMD1,0.0026645524165361456,-0.634478775734397,0.128,0.296,1
AC103591.3,0.002683527286096055,0.6954778569029585,0.245,0.121,1
RIF1,0.002722771602091189,-0.4729412844169799,0.085,0.239,1
PLRG1,0.00273031716849314,-0.5663185199404275,0.021,0.132,1
AKAP9,0.0027502009550632533,-0.6927533910496833,0.202,0.396,1
SCGB3A1,0.0027553336873255983,0.32704169303816866,0.032,0,1
AKR1C3,0.0027553336873255983,0.35506221985886366,0.032,0,1
SYNGR3,0.0027553336873255983,0.26420699912707,0.032,0,1
VPS9D1,0.0027553336873255983,0.43033736719454524,0.032,0,1
ZNF519,0.0027553336873255983,0.4307262160768452,0.032,0,1
ZSCAN5A,0.0027553336873255983,0.3566997444697972,0.032,0,1
SMOX,0.0027553336873255983,0.2552983065987146,0.032,0,1
MORC2-AS1,0.0027553336873255983,0.2684085012241042,0.032,0,1
LY6E,0.002767326786417143,-0.5617994903654737,0.138,0.314,1
MED11,0.002777545838452409,-0.5210889425712468,0,0.089,1
SRSF11,0.002798964462902808,-0.32857082004456184,0.223,0.446,1
TWF2,0.002824860099397497,-0.5514985865569523,0.021,0.132,1
GLRX,0.0028400875650203307,-0.5989986708604542,0.128,0.296,1
RALBP1,0.002900499420929326,-0.7453912556390331,0.085,0.229,1
PCMTD1,0.002934925516607667,-0.5584594461328097,0.085,0.236,1
CSNK1A1,0.0029484739605217837,-0.5521173891483886,0.149,0.321,1
LINC00623,0.00296956098307005,-0.5662212831908933,0.064,0.204,1
