Gene	Pathway	avg.exp	pct.exp	id	avg.exp.scaled	colors	log_avg_exp	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	Adj p-value	Avg exp	Pct exp	Significant	Avg log2 fold change
NEAT1	Inflammation	55.122824914217425	98.88888888888889	TET2	20	#D3D3D3	4.009563875650089	6.120435290471378e-13	-0.8761344175869512	0.996	0.989	2.2330408157284817e-8	TRUE	< 0.0001	> 50 & < 100	>= 10%	yes	< 0
SOD2	Monocyte activation	109.91628136600838	94.44444444444444	TET2	1	#BEBEBE	4.699718997534315	6.847220356592381e-13	0.41851355334693086	0.997	0.944	2.49820834710273e-8	TRUE	< 0.0001	>= 100	>= 10%	yes	> 0
SOD2	Inflammation	109.91628136600838	94.44444444444444	TET2	1	#BEBEBE	4.699718997534315	6.847220356592381e-13	0.41851355334693086	0.997	0.944	2.49820834710273e-8	TRUE	< 0.0001	>= 100	>= 10%	yes	> 0
YBX3	Inflammation	2.101476289727093	46.111111111111114	TET2	1	#BEBEBE	0.7426400928522019	6.680294265406726e-11	0.3505175918222272	0.753	0.461	2.4373053627336437e-6	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
HLA-DRA	Antigen presentation	19.35308574846788	78.33333333333333	TET2	1	#BEBEBE	2.9628518769668277	1.2668460320280002e-10	0.48191429855870016	0.978	0.783	4.62208774785416e-6	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
DRAM1	Inflammation	1.7239526077771736	46.666666666666664	TET2	1	#BEBEBE	0.5446196821752386	2.3506323391344005e-10	0.4762289612844075	0.728	0.467	8.57628208933186e-6	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
LGALS3	Inflammation	11.69272063913997	72.77777777777777	TET2	1	#BEBEBE	2.4589664805822617	6.07865213177582e-10	0.3768232459430756	0.961	0.728	2.217796230278408e-5	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
VIM	Inflammation	133.2137779746355	98.33333333333333	TET2	1	#BEBEBE	4.891955191004937	1.010545639173491e-9	0.3248360998338473	0.999	0.983	3.686975764524483e-5	TRUE	< 0.0001	>= 100	>= 10%	yes	> 0
HLA-DPA1	Antigen presentation	3.4171996997332266	53.888888888888886	TET2	1	#BEBEBE	1.2288214144260807	1.2215580033303723e-9	0.4927120274291727	0.774	0.539	4.456854375150864e-5	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
SEC61B	Antigen presentation	4.683876814126398	68.33333333333333	TET2	1	#BEBEBE	1.5441261460998004	1.3609128157228963e-9	0.412584454194183	0.926	0.683	4.9652904081649874e-5	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
HLA-DQA1	Antigen presentation	1.52941788414715	37.77777777777778	TET2	1	#BEBEBE	0.4248871951303978	1.5291969911477051e-9	0.5031880244082283	0.626	0.378	5.579275222202401e-5	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
YBX1	Inflammation	7.198827633670984	72.77777777777777	TET2	1	#BEBEBE	1.973918184107177	1.7649051049683416e-9	0.3465594868896025	0.955	0.728	6.439256275476995e-5	TRUE	< 0.0001	< 50	>= 10%	yes	> 0
HLA-DRB5	Antigen presentation	2.025731965559209	48.333333333333336	TET2	1	#BEBEBE	0.7059310997196413	3.492889217398219e-9	0.47960456392723394	0.735	0.483	1.2743806309677402e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
