Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
DDX3Y,3.918139631551984e-8,-0.6619647912633394,0.015,0.176,5.327886270984388e-4
TNNT1,7.660652487647428e-6,0.42737697909044914,0.217,0.065,0.10416955252702972
MEF2A,1.2929845353940934e-4,0.3738751508012538,0.328,0.167,1
LYPD3,5.52111015836884e-4,0.4463259496027592,0.455,0.282,1
MSRB1,6.227960475834732e-4,0.20055625782655775,0.086,0.014,1
ASXL1,6.519495243093331e-4,0.35556185328084683,0.227,0.102,1
ZFY,6.550012752287895e-4,-0.19405497573475466,0.005,0.069,1
EEF1A1,7.505154420607827e-4,0.1537562517896056,1,1,1
KIF20B,7.799911324108222e-4,-0.1697241342728769,0,0.056,1
AKR1C1,0.0011243304397604795,-0.5210145723099711,0.005,0.065,1
SCAMP1,0.00121110078176563,-0.2773966702254992,0.04,0.13,1
STAT3,0.0012444433355416897,0.24335073377336264,0.237,0.12,1
LYSMD3,0.0014595011413696295,-0.2769666092822635,0.096,0.208,1
CAPG,0.0018901518907488287,0.2760427578407516,0.742,0.602,1
TPD52L2,0.002008960793834876,0.3079857581700437,0.409,0.269,1
FKBP15,0.0020696608242420323,0.2024114291856337,0.182,0.079,1
PSMA4,0.0021829654025176458,-0.318543726022832,0.237,0.375,1
LRRC47,0.0022182481253916306,-0.14198734754226924,0,0.046,1
DDA1,0.002269710516664839,0.2616700060896196,0.268,0.144,1
LY6K,0.0023087621763602092,0.34708282942256163,0.212,0.102,1
MTMR11,0.002550315755294082,0.3282253425021738,0.222,0.111,1
CUL5,0.0027895930341727865,0.27901865732085385,0.091,0.023,1
"NABP1",0.0028200463041470813,-0.37538897749725947,0.157,0.273,1
EGLN2,0.0028895579771797443,0.3019231252456463,0.273,0.153,1
UTY,0.003161286351133365,-0.1716477876724886,0.005,0.056,1
RAB34,0.00332788458700975,0.15461751906407895,0.081,0.019,1
FAM160A2,0.0038237190321905377,0.19642984584018816,0.061,0.009,1
AKR1A1,0.0038348209083122714,0.23324397558640225,0.172,0.079,1
NDUFV3,0.0038881286828884028,0.14248250844228466,0.061,0.009,1
ZNF330,0.003911762087473504,0.2551041007836059,0.293,0.171,1
CNPY3,0.003939595251296106,0.24310932656195394,0.293,0.171,1
ARL4C,0.0039438531217783354,-0.3270035872234949,0.121,0.231,1
PLAC8,0.00401808489309156,-0.3575094420304734,0.475,0.606,1
POLDIP2,0.004303979171727518,-0.17063447638866583,0.01,0.065,1
ADGRE2,0.004613690385488113,0.18606352518505706,0.111,0.037,1
ATP13A3,0.004637296754742411,-0.30483043856779224,0.657,0.736,1
IER3,0.004661788931889264,-0.26834632048523277,0.939,0.968,1
MTHFD2L,0.004733024716325705,-0.2896335679824835,0.131,0.236,1
TRAPPC6A,0.00481124904054936,0.21221857917846595,0.101,0.032,1
PARP6,0.0048702985238553926,0.16664873482821213,0.086,0.023,1
SRP19,0.005002611232410996,0.2373651835504762,0.49,0.343,1
SEPTIN9,0.0050162198910268735,-0.2973555224975315,0.177,0.292,1
SLC24A1,0.005407192118379364,0.10510123596870127,0.035,0,1
PSMA2,0.0054316924189243,0.29790468939968484,0.348,0.218,1
CPSF2,0.00554915049308331,-0.17630696498362555,0.03,0.097,1
OAT,0.005588700397293738,0.252086350658714,0.192,0.097,1
CDC27,0.006131308305806409,0.13775106761408645,0.076,0.019,1
TFCP2,0.006345677149890314,-0.11239367777460618,0,0.037,1
CTSB,0.006378551553702413,0.2543452580954646,0.525,0.389,1
TTC1,0.006399547770028998,-0.23053801389345974,0.01,0.06,1
PHGDH,0.0064336253029847155,-0.2035661322750809,0.04,0.111,1
RUNX2,0.006556430523978527,0.24171363120097747,0.172,0.083,1
DDX19B,0.0065613692030461425,0.16031695057471151,0.066,0.014,1
ZSWIM8,0.0065788900179627316,0.13655975380241386,0.177,0.083,1
COX7A2L,0.006821934650525329,0.2742260605860809,0.354,0.236,1
ATP6V1A,0.007033825552153731,-0.21035829718833882,0.045,0.12,1
MRPL46,0.007138196128239392,0.13053932865929307,0.056,0.009,1
C22orf39,0.007173162867511068,0.19219790253139582,0.096,0.032,1
AKAP13,0.007369103851915971,0.2834654128555687,0.702,0.579,1
HNRNPUL1,0.007501641020286885,-0.25445631499939403,0.121,0.218,1
PHLDA2,0.007517390546137945,0.3704760543608705,0.52,0.398,1
NCF2,0.007755839116060443,0.2106095381235118,0.914,0.912,1
RTF2,0.008328964401961585,-0.25315807630706744,0.146,0.245,1
EIF3H,0.008410485180693593,0.3177823123683494,0.742,0.676,1
PTEN,0.008600079596637698,-0.30540052970908826,0.52,0.63,1
AL162458.1,0.008981908069574914,0.1663336917987327,0.131,0.056,1
LBH,0.009116310361904884,-0.10351534551018599,0.005,0.046,1
MAPRE1,0.009422891081110218,-0.3038747015506974,0.379,0.472,1
NUDT4,0.009519682369637603,-0.3170665175477994,0.091,0.176,1
ARPC3,0.009675442991798145,-0.21852015622597865,0.924,0.94,1
LACTB,0.009701287246577426,0.24966840304463367,0.611,0.481,1
SLC9B2,0.00993120684916978,-0.23727822729005477,0.03,0.093,1
AC016949.1,0.010002402286610503,0.1927656039925165,0.086,0.028,1
C3orf14,0.010112386712999308,0.09805703850772228,0.03,0,1
BBS7,0.010112386712999308,0.08461375736091321,0.03,0,1
FMC1,0.010112386712999308,0.08981905242388578,0.03,0,1
AC073896.2,0.010112386712999308,0.09226405412048491,0.03,0,1
HAMP,0.010112386712999308,0.11706095796629985,0.03,0,1
ITGAV,0.010123924823113601,-0.2637988659896213,0.273,0.384,1
RSRC2,0.010192760385358471,0.2376413724596227,0.652,0.528,1
PARVG,0.010216432513827239,0.10271533171668229,0.131,0.056,1
MAGI3,0.010298209970355646,0.14318752626234957,0.071,0.019,1
ASCL2,0.01045487723093233,0.224952800889775,0.141,0.065,1
UBR4,0.010512144897905893,0.2512470837996623,0.338,0.213,1
GPI,0.010567566224704159,0.14499222211136126,0.101,0.037,1
CWF19L2,0.010661014754990795,-0.3473427981171374,0.01,0.056,1
SIGLEC10,0.010661014754990795,-0.13276639173254648,0.01,0.056,1
PPIL4,0.01069919755542294,-0.26016453109937115,0.04,0.106,1
AC008443.1,0.010779858423718905,-0.08326569174118742,0,0.032,1
CYTH3,0.010779858423718905,-0.0827625284064652,0,0.032,1
HPS6,0.010779858423718905,-0.10866395778594672,0,0.032,1
MUS81,0.010779858423718905,-0.10468784678963997,0,0.032,1
TBCD,0.010779858423718905,-0.1233034653220501,0,0.032,1
GRWD1,0.010779858423718905,-0.08361164905913739,0,0.032,1
EGR3,0.010973924023708568,-0.40850803108375083,0.015,0.065,1
SNRPN,0.010986916001467282,-0.1133227537342619,0.01,0.056,1
THUMPD1,0.011065538620817184,-0.3749233268593007,0.061,0.134,1
ARIH2,0.011132467946890006,-0.3406474781796733,0.162,0.259,1
TYMP,0.011261447192807727,0.34374425619479876,0.793,0.778,1
PFDN6,0.011539472859734235,0.1333448577081583,0.061,0.014,1
UQCRC2,0.011672086544109528,0.19234381727535899,0.232,0.13,1
SIK3,0.011842988629300746,-0.25407064158754117,0.091,0.171,1
SERPINB9P1,0.011843054784497386,-0.30348143652156323,0.404,0.514,1
OSTF1,0.012112033645928862,-0.21698309818923112,0.152,0.245,1
USP25,0.012263901816525,0.17850694763898706,0.106,0.042,1
AC010980.1,0.01226684889512997,-0.2549619423321148,0.051,0.12,1
MRPL23,0.012391173394973146,0.1265433639368434,0.136,0.06,1
CACUL1,0.012539876205714758,0.2049780887658661,0.091,0.032,1
AC007728.2,0.012630113265868121,0.16806823298865747,0.051,0.009,1
PRMT2,0.012838462076824956,0.24376208241879305,0.328,0.218,1
APPBP2,0.012896391250911387,0.2346443680266933,0.091,0.032,1
MGA,0.012945796339648655,0.11835228599512247,0.04,0.005,1
USP10,0.01304148962761329,0.18191210393086946,0.091,0.032,1
U91324.1,0.01318448782124383,0.10133010837693113,0.04,0.005,1
HINT2,0.01318448782124383,0.08445209867618383,0.04,0.005,1
PMAIP1,0.013275995212972836,0.2169692831243233,0.919,0.861,1
FAM122A,0.01330528640824072,0.07758279462166946,0.04,0.005,1
ATXN1L,0.013410570684658632,0.128060238538978,0.091,0.032,1
TRAF1,0.013473618703333417,0.2674084710617668,0.722,0.676,1
IDI1,0.014108660586514533,-0.302727475646775,0.091,0.176,1
CD151,0.014140430463309777,0.17286232971553428,0.207,0.111,1
SMCR8,0.014193824746164882,-0.2888374523126704,0.04,0.102,1
CAMTA1,0.014438079582291482,0.201477743956317,0.308,0.194,1
BOLA2,0.014465129147721092,0.11637802866451759,0.076,0.023,1
TNPO1,0.014851068381004664,-0.27420033482582423,0.162,0.25,1
CBX6,0.015123988143794424,-0.24057112854591015,0.035,0.093,1
MED10,0.015183799147350713,-0.27695696715737017,0.268,0.37,1
ZCCHC8,0.015246434560489467,0.2378960430793436,0.141,0.069,1
RAVER1,0.015351672855517993,-0.11811587676580676,0.005,0.042,1
CHCHD7,0.01598103907006651,-0.16478510286586273,0.025,0.079,1
VPS4B,0.016076556393902052,0.2867974131112583,0.419,0.306,1
TIPARP-AS1,0.01615371497907221,-0.08828219059814853,0.005,0.042,1
RPA3,0.016355385900387622,-0.17433303797881822,0.025,0.079,1
PGP,0.01649773964895603,0.158793553118105,0.081,0.028,1
GNA13,0.016504212892145532,-0.3555599655071724,0.263,0.366,1
IL1RAP,0.01660925003489171,0.15458362218003951,0.066,0.019,1
CCL4L2,0.016739001995088196,0.16329458956351228,0.975,0.963,1
NBPF12,0.016804910811436303,-0.13381790421308404,0.01,0.051,1
STAT1,0.016926209710018052,0.2538849937853782,0.207,0.12,1
TBL1XR1,0.016986016505306536,0.2031645964719187,0.126,0.06,1
CREB3,0.01699141808862537,-0.13357671786821823,0.02,0.069,1
SLC35D2,0.0170364736229197,-0.1360167540056445,0.015,0.06,1
TMEM258,0.017416166229629444,0.21193230098194982,0.581,0.444,1
CDC37L1,0.017416262325087355,0.2500982057987946,0.101,0.042,1
ST3GAL1,0.017737071946379423,0.25513720298039044,0.601,0.491,1
RAB3GAP2,0.01798165105914156,-0.2019138997987061,0.035,0.093,1
