Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
DDX3Y,3.84903040034873e-9,-0.46797825791052566,0.009,0.123,5.233911538394203e-5
LYPD3,6.442547807534895e-8,0.4534033716045327,0.462,0.254,8.76057650868595e-4
TNNT1,5.155648354970848e-7,0.42556141370042744,0.257,0.109,0.007010650633089359
TCF20,1.2187057123340887e-6,0.311592248872108,0.138,0.034,0.016571960276318937
RIOK3,9.83945872180407e-6,0.35989799001229716,0.82,0.663,0.13379695969909175
P4HA1,2.4715535747691465e-4,0.18050828663397006,0.101,0.031,1
JOSD1,3.923932322967957e-4,0.257549711007107,0.281,0.166,1
VIM,4.322294926198495e-4,0.1458066721107052,0.997,1,1
AKR1C1,4.3913404166098265e-4,-0.175393952272611,0,0.037,1
UTY,4.3913404166098265e-4,-0.19856838693226983,0,0.037,1
SKIL,5.238283621286112e-4,0.22224719882589095,0.713,0.6,1
VOPP1,5.723015216245183e-4,0.18959324623612783,0.703,0.557,1
CFD,6.840347650446787e-4,-0.2869442710657095,0.731,0.806,1
EEF1B2,7.01557899270996e-4,0.22265417538590482,0.939,0.863,1
HNRNPU,7.050279585729237e-4,0.2828238853992109,0.81,0.726,1
SIGLEC7,7.646270172506752e-4,0.1311686673543935,0.04,0.003,1
CENPB,7.725493966988132e-4,0.19860343708346162,0.119,0.049,1
EEF1A1,8.364081306551045e-4,0.11337793121946937,0.997,0.989,1
SKP1,0.0010007366439101926,-0.25823949384584144,0.633,0.689,1
PLA2G7,0.0011308788350319267,0.2560109688834087,0.346,0.226,1
TPT1,0.0011508276098790649,0.09144289815323603,0.994,0.994,1
PEAK1,0.0011676161544796706,0.1628743319050403,0.135,0.06,1
H1FX,0.0012024560259794477,0.3246263052630931,0.578,0.44,1
KDM1B,0.0012069090293430238,0.21943090913163998,0.11,0.043,1
SOAT1,0.001512727348102359,0.2716964684563682,0.428,0.303,1
PCNX1,0.0016098416256043573,0.2857478231671295,0.239,0.143,1
HNRNPD,0.0016512122610547824,0.24283268247452172,0.63,0.514,1
MAST4,0.00180141064084925,0.0944863276882143,0.028,0,1
RNH1,0.0019751533006531047,0.20318362034279103,0.63,0.526,1
RRP1B,0.0022799357401972167,0.1500907163215052,0.067,0.02,1
DHX15,0.002315070834685756,0.24106950691943546,0.229,0.143,1
NTPCR,0.0024116181078224237,0.08732427936244994,0.034,0.003,1
SRRM1,0.0024132909775013175,0.3415994220306455,0.59,0.503,1
WDR74,0.0025104020250102206,0.3508872813656154,0.713,0.663,1
PEBP1,0.00256295287643676,-0.18742076267684052,0.055,0.12,1
LY75,0.002570988676321911,0.103422135970284,0.046,0.009,1
ITPKB,0.002639932910993431,0.11195794484297766,0.04,0.006,1
LIX1L,0.002668322514774518,0.09607253410573166,0.046,0.009,1
TUBB4B,0.002680746218000552,0.3224514973725321,0.477,0.386,1
BCL3,0.00270777856026825,0.2544467340719794,0.339,0.231,1
"NACA",0.002748090406231922,0.11429458865264053,0.997,0.98,1
SECTM1,0.002749986918639401,0.18622003184725344,0.251,0.154,1
PRRC2C,0.0027673238756626994,0.17334538711191305,0.844,0.754,1
ARNT,0.0031887642022909433,0.16925081103786083,0.092,0.037,1
RAB4A,0.003197889028176217,0.21915246590349102,0.205,0.123,1
SUPT16H,0.0032480257024503894,0.20158355670878492,0.232,0.143,1
CCND2,0.0032769857223348764,0.14291582390238045,0.08,0.029,1
SLC41A1,0.0032783310809643158,0.07196129960975008,0.024,0,1
VPS8,0.003296474036843889,0.12820882119112406,0.07,0.023,1
RBBP6,0.003331940897919823,0.2369032956766698,0.391,0.28,1
SLC49A3,0.003363591596126799,0.13933690291263764,0.08,0.029,1
