Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MBOAT7,4.3177367551191477e-11,0.6167266476098999,0.138,0.006,5.871258439611017e-7
AC011462.5,3.135598074298033e-8,0.9389431532980794,0.207,0.025,4.263786261430465e-4
AC018816.1,3.6853319911272924e-8,0.3505963731048267,0.069,0.001,5.011314441534892e-4
AC011476.3,3.6853319911272924e-8,0.36400351980834156,0.069,0.001,5.011314441534892e-4
LINC00174,1.8976646707815873e-7,0.3901543011533544,0.103,0.006,0.0025804444193288025
IRF8,7.040507643595705e-7,0.8289281169944005,0.172,0.02,0.00957368229376144
SELENON,1.131863860240047e-6,0.25402985344515133,0.034,0,0.015391084771544158
IL12RB2,1.131863860240047e-6,0.20419128777198053,0.034,0,0.015391084771544158
CTH,1.131863860240047e-6,0.14799524048196228,0.034,0,0.015391084771544158
LAMTOR5-AS1,1.131863860240047e-6,0.15253715922562439,0.034,0,0.015391084771544158
OPN3,1.131863860240047e-6,0.21666350288163141,0.034,0,0.015391084771544158
AC093690.1,1.131863860240047e-6,0.20648343572883457,0.034,0,0.015391084771544158
DYSF,1.131863860240047e-6,0.23314630082567248,0.034,0,0.015391084771544158
CAPN10-DT,1.131863860240047e-6,0.23852394378905625,0.034,0,0.015391084771544158
AC069243.1,1.131863860240047e-6,0.19375667215227238,0.034,0,0.015391084771544158
LPP-AS2,1.131863860240047e-6,0.20419128777198053,0.034,0,0.015391084771544158
MFAP3L,1.131863860240047e-6,0.20648343572883457,0.034,0,0.015391084771544158
AC025449.2,1.131863860240047e-6,0.23314630082567248,0.034,0,0.015391084771544158
CD14,1.131863860240047e-6,0.23852394378905625,0.034,0,0.015391084771544158
FAM184A,1.131863860240047e-6,0.22120005061040196,0.034,0,0.015391084771544158
SASH1,1.131863860240047e-6,0.14799524048196228,0.034,0,0.015391084771544158
AIRN,1.131863860240047e-6,0.3134379318556887,0.034,0,0.015391084771544158
EPDR1,1.131863860240047e-6,0.15253715922562439,0.034,0,0.015391084771544158
AC027373.1,1.131863860240047e-6,0.14799524048196228,0.034,0,0.015391084771544158
AP003469.4,1.131863860240047e-6,0.2258282624305819,0.034,0,0.015391084771544158
AL356481.1,1.131863860240047e-6,0.2258282624305819,0.034,0,0.015391084771544158
AP001189.1,1.131863860240047e-6,0.22409540271018571,0.034,0,0.015391084771544158
RAB38,1.131863860240047e-6,0.20648343572883457,0.034,0,0.015391084771544158
LINC02762,1.131863860240047e-6,0.15253715922562439,0.034,0,0.015391084771544158
CD163,1.131863860240047e-6,0.23852394378905625,0.034,0,0.015391084771544158
AC010186.1,1.131863860240047e-6,0.14799524048196228,0.034,0,0.015391084771544158
