Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PRAM1,3.329402990128906e-10,0.41253928204963947,0.053,0,4.5273221859772864e-6
ZNF223,3.329402990128906e-10,0.38895053371918703,0.053,0,4.5273221859772864e-6
KLRC1,3.1048740611911564e-9,0.9421538320546536,0.158,0.015,4.222007748407735e-5
CNNM4,7.395468644167284e-9,0.4650175755328697,0.079,0.003,1.0056358262338673e-4
SCAP,1.9401475328566473e-7,0.6433310827751063,0.132,0.013,0.002638212615178469
KLRB1,1.9800672832687713e-7,0.9895956132523454,0.474,0.147,0.0026924954917888753
DNAAF1,2.3753388994867434e-7,0.3983638541231708,0.079,0.004,0.0032299858355220737
AC215522.2,5.451118693557684e-7,0.37663209332665293,0.053,0.001,0.0074124311994997385
ADM,5.451118693557684e-7,0.3713655655833621,0.053,0.001,0.0074124311994997385
Z97192.3,5.852675214835448e-7,0.2716672822854902,0.053,0.001,0.007958467757133242
INAFM1,8.677696214429944e-7,0.5696882704171445,0.105,0.009,0.011799931312381839
REPS1,3.568118251801428e-6,0.8613013372747469,0.158,0.025,0.04851927198799581
RNF207,9.135139126960815e-6,0.1403304907698762,0.026,0,0.12421962184841316
PADI4,9.135139126960815e-6,0.20253738738494156,0.026,0,0.12421962184841316
ZNF436-AS1,9.135139126960815e-6,0.21790942710624134,0.026,0,0.12421962184841316
WDR78,9.135139126960815e-6,0.09273103905637917,0.026,0,0.12421962184841316
CD1C,9.135139126960815e-6,0.19187529844477913,0.026,0,0.12421962184841316
AL136984.1,9.135139126960815e-6,0.20253738738494156,0.026,0,0.12421962184841316
SLC19A2,9.135139126960815e-6,0.1824564837283177,0.026,0,0.12421962184841316
AL096803.2,9.135139126960815e-6,0.19473365728095487,0.026,0,0.12421962184841316
CNIH3,9.135139126960815e-6,0.19473365728095487,0.026,0,0.12421962184841316
C2orf88,9.135139126960815e-6,0.18695499152380302,0.026,0,0.12421962184841316
AC108047.1,9.135139126960815e-6,0.1796043564620996,0.026,0,0.12421962184841316
AC012510.1,9.135139126960815e-6,0.1403304907698762,0.026,0,0.12421962184841316
ZNF717,9.135139126960815e-6,0.19473365728095487,0.026,0,0.12421962184841316
STX18-AS1,9.135139126960815e-6,0.20253738738494156,0.026,0,0.12421962184841316
LINC02432,9.135139126960815e-6,0.13012627884122435,0.026,0,0.12421962184841316
GAB1,9.135139126960815e-6,0.13012627884122435,0.026,0,0.12421962184841316
AC123595.1,9.135139126960815e-6,0.1508797506779511,0.026,0,0.12421962184841316
SHROOM1,9.135139126960815e-6,0.16342704121202498,0.026,0,0.12421962184841316
LINC01011,9.135139126960815e-6,0.206397622491812,0.026,0,0.12421962184841316
IER3-AS1,9.135139126960815e-6,0.20406399429771882,0.026,0,0.12421962184841316
AL358852.1,9.135139126960815e-6,0.21205639336792387,0.026,0,0.12421962184841316
MYOM2,9.135139126960815e-6,0.27148294156655617,0.026,0,0.12421962184841316
ZNF703,9.135139126960815e-6,0.20253738738494156,0.026,0,0.12421962184841316
AC087623.2,9.135139126960815e-6,0.1508797506779511,0.026,0,0.12421962184841316
TSPYL5,9.135139126960815e-6,0.1673206443799692,0.026,0,0.12421962184841316
ASAP1-IT2,9.135139126960815e-6,0.21205639336792387,0.026,0,0.12421962184841316
PTK2,9.135139126960815e-6,0.1626560347610063,0.026,0,0.12421962184841316
LINC02649,9.135139126960815e-6,0.09273103905637917,0.026,0,0.12421962184841316
AL133551.1,9.135139126960815e-6,0.15178539870690397,0.026,0,0.12421962184841316
AL138762.1,9.135139126960815e-6,0.09273103905637917,0.026,0,0.12421962184841316
C10orf95,9.135139126960815e-6,0.19473365728095487,0.026,0,0.12421962184841316
AL731557.1,9.135139126960815e-6,0.15469491772691327,0.026,0,0.12421962184841316
LMO2,9.135139126960815e-6,0.13012627884122435,0.026,0,0.12421962184841316
HARBI1,9.135139126960815e-6,0.13198225364076702,0.026,0,0.12421962184841316
AC026369.3,9.135139126960815e-6,0.1824564837283177,0.026,0,0.12421962184841316
LRRK2,9.135139126960815e-6,0.20253738738494156,0.026,0,0.12421962184841316
AC024257.3,9.135139126960815e-6,0.1673206443799692,0.026,0,0.12421962184841316
RND1,9.135139126960815e-6,0.20253738738494156,0.026,0,0.12421962184841316
CYSLTR2,9.135139126960815e-6,0.1824564837283177,0.026,0,0.12421962184841316
AC069368.2,9.135139126960815e-6,0.09273103905637917,0.026,0,0.12421962184841316
HEXA-AS1,9.135139126960815e-6,0.1673206443799692,0.026,0,0.12421962184841316
TMEM204,9.135139126960815e-6,0.19473365728095487,0.026,0,0.12421962184841316
IRX5,9.135139126960815e-6,0.1796043564620996,0.026,0,0.12421962184841316
CMTM2,9.135139126960815e-6,0.09273103905637917,0.026,0,0.12421962184841316
PFAS,9.135139126960815e-6,0.1673206443799692,0.026,0,0.12421962184841316
AC138207.9,9.135139126960815e-6,0.13012627884122435,0.026,0,0.12421962184841316
AC138207.4,9.135139126960815e-6,0.27148294156655617,0.026,0,0.12421962184841316
RARA-AS1,9.135139126960815e-6,0.20018411906506783,0.026,0,0.12421962184841316
L3MBTL4,9.135139126960815e-6,0.35828884033182384,0.026,0,0.12421962184841316
ANGPTL6,9.135139126960815e-6,0.19187529844477913,0.026,0,0.12421962184841316
RASGRP4,9.135139126960815e-6,0.13012627884122435,0.026,0,0.12421962184841316
AC010247.1,9.135139126960815e-6,0.21253208822010766,0.026,0,0.12421962184841316
AL035661.2,9.135139126960815e-6,0.1673206443799692,0.026,0,0.12421962184841316
NKILA,9.135139126960815e-6,0.1673206443799692,0.026,0,0.12421962184841316
AATBC,9.135139126960815e-6,0.13012627884122435,0.026,0,0.12421962184841316
AP000547.3,9.135139126960815e-6,0.21790942710624134,0.026,0,0.12421962184841316
AL031595.3,9.135139126960815e-6,0.09273103905637917,0.026,0,0.12421962184841316
MOV10,1.4963204789471809e-5,0.4558470246778248,0.079,0.007,0.20346965872723766
KANSL1L,1.5545403927506576e-5,0.4063136562383084,0.079,0.007,0.21138640260623442
MRPS23,2.26391147034171e-5,0.8268930483592278,0.316,0.099,0.30784668173706575
DPY19L3,2.2909072318066483e-5,0.3451025899480368,0.053,0.003,0.31151756538106806
AC083798.2,2.3521704890664837e-5,0.34978241589418974,0.053,0.003,0.31984814310326043
CKAP4,2.4149906249747722e-5,0.31685226623946877,0.053,0.003,0.3283904251840695
DUOX1,2.4149906249747722e-5,0.31227527214291434,0.053,0.003,0.3283904251840695
AL157893.2,2.4794049355593187e-5,0.29534096169753365,0.053,0.003,0.33714948313735615
BPHL,2.545451549580503e-5,0.2910249837348953,0.053,0.003,0.3461305017119568
ZNF416,2.545451549580503e-5,0.31115880726329803,0.053,0.003,0.3461305017119568
NUDT14,2.947984381084234e-5,0.512819013631735,0.105,0.013,0.4008669161398341
CEBPD,4.550778889807223e-5,1.0585585797644947,0.237,0.065,0.6188149134359862
NCR1,4.874960366011058e-5,0.7373262764028942,0.158,0.031,0.6628971105701836
HIST1H3H,5.5622038543244426e-5,0.47305900465189005,0.079,0.008,0.7563484801110377
AK5,5.950208447117958e-5,0.4491269836964948,0.079,0.008,0.8091093446390999
LINC00115,6.051139815592017e-5,0.4136880821365272,0.079,0.008,0.8228339921242025
POLRMT,6.363749400198868e-5,0.39904116066298656,0.079,0.008,0.865342643439042
SMIM29,7.903945591405419e-5,0.841244267353462,0.263,0.08,1
PARVG,1.0010717622435783e-4,0.7622648401583675,0.211,0.055,1
